ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,lupin
834,United Republic of Tanzania,2,0,0,0,0,0,lupin
732,Western Sahara,3,0,0,0,0,0,lupin
124,Canada,4,0,0,0,0,0,lupin
840,United States of America,5,23.79686041350942,0,0,0,0,lupin
398,Kazakhstan,6,165.87257178561413,0,0,0,0,lupin
860,Uzbekistan,7,0,0,0,0,0,lupin
598,Papua New Guinea,8,0,0,0,0,0,lupin
360,Indonesia,9,0,0,0,0,0,lupin
032,Argentina,10,139.92744322365533,168.00000000000077,655200000.000003,21840000.0000001,67200000.00000031,lupin
152,Chile,11,34447.015588691225,29964.999999999964,116863499999.99986,3895449999.999995,11985999999.999985,lupin
180,Democratic Republic of the Congo,12,0,0,0,0,0,lupin
706,Somalia,13,0,0,0,0,0,lupin
404,Kenya,14,0,0,0,0,0,lupin
729,Sudan,15,0,0,0,0,0,lupin
148,Chad,16,0,0,0,0,0,lupin
332,Haiti,17,0,0,0,0,0,lupin
214,Dominican Republic,18,0,0,0,0,0,lupin
643,Russia,19,18726.429902088817,103791.70000000027,404787630000.0011,13492921000.000036,41516680000.00011,lupin
044,The Bahamas,20,0,0,0,0,0,lupin
238,United Kingdom,21,0,0,0,0,0,lupin
578,Norway,22,0,0,0,0,0,lupin
304,Denmark,23,0,0,0,0,0,lupin
260,France,24,0,0,0,0,0,lupin
626,East Timor,25,0,0,0,0,0,lupin
710,South Africa,26,11246.892863479326,24435.000000000022,95296500000.00008,3176550000.000003,9774000000.000008,lupin
426,Lesotho,27,7.533466190099716,0,0,0,0,lupin
484,Mexico,28,7076.655205550459,0,0,0,0,lupin
858,Uruguay,29,0.001399728236719966,0,0,0,0,lupin
076,Brazil,30,2.626672201193287,0,0,0,0,lupin
068,Bolivia,31,37.765295751771646,0,0,0,0,lupin
604,Peru,32,8145.989630897297,15830.040000000032,61737156000.00013,2057905200.0000043,6332016000.000013,lupin
170,Colombia,33,2.829400534988963,0,0,0,0,lupin
591,Panama,34,0,0,0,0,0,lupin
188,Costa Rica,35,0,0,0,0,0,lupin
558,Nicaragua,36,0,0,0,0,0,lupin
340,Honduras,37,0,0,0,0,0,lupin
222,El Salvador,38,0,0,0,0,0,lupin
320,Guatemala,39,5.310938309878111,0,0,0,0,lupin
084,Belize,40,0,0,0,0,0,lupin
862,Venezuela,41,0,0,0,0,0,lupin
328,Guyana,42,0,0,0,0,0,lupin
740,Suriname,43,0,0,0,0,0,lupin
250,France,44,23043.993143382482,13029.999999999938,50816999999.999756,1693899999.999992,5211999999.999975,lupin
218,Ecuador,45,1284.8382267929592,1363.8399999999976,5318975999.99999,177299199.99999967,545535999.999999,lupin
630,United States of America,46,0,0,0,0,0,lupin
388,Jamaica,47,0,0,0,0,0,lupin
192,Cuba,48,0,0,0,0,0,lupin
716,Zimbabwe,49,0,0,0,0,0,lupin
072,Botswana,50,5.027963559841737,0,0,0,0,lupin
516,Namibia,51,0.01376313529908657,0,0,0,0,lupin
686,Senegal,52,0,0,0,0,0,lupin
466,Mali,53,0,0,0,0,0,lupin
478,Mauritania,54,0,0,0,0,0,lupin
204,Benin,55,0,0,0,0,0,lupin
562,Niger,56,0,0,0,0,0,lupin
566,Nigeria,57,0,0,0,0,0,lupin
120,Cameroon,58,0,0,0,0,0,lupin
768,Togo,59,0,0,0,0,0,lupin
288,Ghana,60,0,0,0,0,0,lupin
384,Ivory Coast,61,0,0,0,0,0,lupin
324,Guinea,62,0,0,0,0,0,lupin
624,Guinea-Bissau,63,0,0,0,0,0,lupin
430,Liberia,64,0,0,0,0,0,lupin
694,Sierra Leone,65,0,0,0,0,0,lupin
854,Burkina Faso,66,0,0,0,0,0,lupin
140,Central African Republic,67,0,0,0,0,0,lupin
178,Republic of the Congo,68,0,0,0,0,0,lupin
266,Gabon,69,0,0,0,0,0,lupin
226,Equatorial Guinea,70,0,0,0,0,0,lupin
894,Zambia,71,0,0,0,0,0,lupin
454,Malawi,72,0,0,0,0,0,lupin
508,Mozambique,73,17.14099177531898,0,0,0,0,lupin
748,eSwatini,74,15.82556288689375,0,0,0,0,lupin
024,Angola,75,0,0,0,0,0,lupin
108,Burundi,76,0,0,0,0,0,lupin
376,Israel,77,9.210017280998727,0,0,0,0,lupin
422,Lebanon,78,1061.1510444767773,101.64999999999996,396434999.9999999,13214499.999999996,40659999.999999985,lupin
450,Madagascar,79,0,0,0,0,0,lupin
275,Israel,80,0.15726707899011672,0,0,0,0,lupin
