ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,maize
834,United Republic of Tanzania,2,2089630.0091080666,6710999.999999991,23891159999999.97,288572999999.9996,637544999999.9991,maize
732,Western Sahara,3,0,0,0,0,0,maize
124,Canada,4,8356254.7435034495,13563300.000000004,48285348000000.01,583221900000.0001,1288513500000.0002,maize
840,United States of America,5,244885791.71208614,358447310.0000021,1276072423600007.5,15413234330000.09,34052494450000.2,maize
398,Kazakhstan,6,266923.77237881906,958106.4500000015,3410858962000.0054,41198577350.00006,91020112750.00015,maize
860,Uzbekistan,7,159626.6411395669,475340.9999999997,1692213959999.999,20439662999.99999,45157394999.99997,maize
598,Papua New Guinea,8,4456.256312584039,12672.499999999996,45114099999.99999,544917499.9999999,1203887499.9999998,maize
360,Indonesia,9,7971027.833702843,16925999.999999993,60256559999999.98,727817999999.9998,1607969999999.9995,maize
032,Argentina,10,15662319.598944122,58395810.999999985,207889087159999.97,2511019872999.9995,5547602044999.999,maize
152,Chile,11,835554.2706982424,592987.9999999974,2111037279999.9907,25498483999.99989,56333859999.999756,maize
180,Democratic Republic of the Congo,12,1146842.9117226005,2186149.9999999874,7782693999999.955,94004449999.99945,207684249999.9988,maize
706,Somalia,13,223815.64466118813,74999.99999999997,266999999999.9999,3224999999.999999,7124999999.999998,maize
404,Kenya,14,2391290.087579325,3788999.9999999967,13488839999999.988,162926999999.99985,359954999999.9997,maize
729,Sudan,15,38182.697579942644,0,0,0,0,maize
148,Chad,16,86186.44945232198,407371.4499999996,1450242361999.9985,17516972349.999985,38700287749.99996,maize
332,Haiti,17,198775.5449438095,131131.99999999997,466829919999.99994,5638675999.999999,12457539999.999998,maize
214,Dominican Republic,18,31699.05186033249,51130.56999999997,182024829199.9999,2198614509.9999986,4857404149.999997,maize
643,Russia,19,1543346.722114354,13879210.10000015,49409987956000.53,596806034300.0063,1318524959500.0142,maize
044,The Bahamas,20,0,0,0,0,0,maize
238,United Kingdom,21,0,0,0,0,0,maize
578,Norway,22,0,0,0,0,0,maize
304,Denmark,23,0,0,0,0,0,maize
260,France,24,0,0,0,0,0,maize
626,East Timor,25,76914.85825157166,77606,276277360000,3337058000,7372570000,maize
710,South Africa,26,7686948.099514618,15843545.000000011,56403020200000.05,681272435000.0005,1505136775000.0012,maize
426,Lesotho,27,98404.92109966278,21782.000000000004,77543920000.00002,936626000.0000001,2069290000.0000002,maize
484,Mexico,28,17188376.407988038,27424527.549999934,97631318077999.77,1179254684649.997,2605330117249.9937,maize
858,Uruguay,29,177685.1964397803,763099.9999999994,2716635999999.998,32813299999.999973,72494499999.99994,maize
076,Brazil,30,34379842.31043801,103990935.00000013,370207728600000.5,4471610205000.006,9879138825000.014,maize
068,Bolivia,31,570255.2273501605,954832.9999999983,3399205479999.9937,41057818999.99992,90709134999.99983,maize
604,Peru,32,874791.1448089826,1448383.0000000016,5156243480000.006,62280469000.00007,137596385000.00015,maize
170,Colombia,33,995531.3761097763,1392895.189999998,4958706876399.993,59894493169.999916,132325043049.99982,maize
591,Panama,34,76485.45957267843,133115.00000000006,473889400000.0002,5723945000.000002,12645925000.000004,maize
188,Costa Rica,35,20837.18103760481,14181.000000000011,50484360000.000046,609783000.0000005,1347195000.0000012,maize
558,Nicaragua,36,385208.49237543344,371147.9999999999,1321286879999.9998,15959363999.999996,35259059999.99999,maize
340,Honduras,37,510607.64240116626,666798.7699999991,2373803621199.9966,28672347109.999958,63345883149.99991,maize
222,El Salvador,38,587017.8510322571,780729.73,2779397838800,33571378390,74169324350,maize
320,Guatemala,39,1051112.0692513585,1972289.9999999993,7021352399999.997,84808469999.99997,187367549999.99994,maize
084,Belize,40,36226.15387767553,83339,296686840000,3583577000,7917205000,maize
862,Venezuela,41,1153289.354249707,1636271.0000000042,5825124760000.015,70359653000.00018,155445745000.0004,maize
328,Guyana,42,3286.3973454334773,3999.999999999996,14239999999.999987,171999999.99999982,379999999.99999964,maize
740,Suriname,43,68.4156074984785,38,135280000,1634000,3610000,maize
250,France,44,14817590.766581196,13726410.00000002,48866019600000.07,590235630000.0009,1304008950000.002,maize
218,Ecuador,45,522815.0408478603,1304884.0000000002,4645387040000.001,56110012000.00001,123963980000.00002,maize
630,United States of America,46,588.381293296814,17.739999999999995,63154399.99999998,762819.9999999998,1685299.9999999995,maize
388,Jamaica,47,1918.692982494831,2018.0000000000002,7184080000.000001,86774000.00000001,191710000.00000003,maize
192,Cuba,48,263196.0194424391,257216.39999999985,915690383999.9995,11060305199.999994,24435557999.999985,maize
716,Zimbabwe,49,1006981.5244322866,1202346.9999999998,4280355319999.9995,51700920999.99999,114222964999.99998,maize
072,Botswana,50,6530.712939386762,61946.56999999992,220529789199.9997,2663702509.999996,5884924149.999992,maize
516,Namibia,51,31555.670204024296,60142.000000000065,214105520000.0002,2586106000.0000024,5713490000.000006,maize
686,Senegal,52,81106.31927713752,761883.0399999993,2712303622399.9976,32760970719.99997,72378888799.99994,maize
466,Mali,53,217000.7942367402,3516864.999999999,12520039399999.998,151225194999.99997,334102174999.99994,maize
478,Mauritania,54,9090.07975455001,14999.99999999998,53399999999.99992,644999999.999999,1424999999.999998,maize
204,Benin,55,469500.76927143335,1611615.1300000006,5737349862800.002,69299450590.00002,153103437350.00006,maize
562,Niger,56,13096.914544003084,6419,22851640000,276017000,609805000,maize
566,Nigeria,57,4198465.36631985,12403299.99999999,44155747999999.97,533341899999.9996,1178313499999.999,maize
120,Cameroon,58,756918.757576704,2087957.0999999996,7433127275999.999,89782155299.99998,198355924499.99997,maize
768,Togo,59,466163.79586052895,885030.0000000001,3150706800000.0005,38056290000.00001,84077850000.00002,maize
288,Ghana,60,1026623.4820437431,3071000.0000000037,10932760000000.014,132053000000.00015,291745000000.00037,maize
384,Ivory Coast,61,688860.8625195026,1175715.0000000026,4185545400000.009,50555745000.00011,111692925000.00023,maize
324,Guinea,62,74397.96321586147,792508.9999999998,2821332039999.9995,34077886999.99999,75288354999.99998,maize
624,Guinea-Bissau,63,18383.856082439423,13470.000000000013,47953200000.000046,579210000.0000005,1279650000.0000012,maize
430,Liberia,64,2810.007197380066,0,0,0,0,maize
694,Sierra Leone,65,8317.971252650023,26549.000000000022,94514440000.00008,1141607000.000001,2522155000.000002,maize
854,Burkina Faso,66,341260.0400994532,1920100.9999999977,6835559559999.992,82564342999.9999,182409594999.9998,maize
140,Central African Republic,67,102576.12780020013,202077.0000000002,719394120000.0007,8689311000.00001,19197315000.00002,maize
178,Republic of the Congo,68,7725.739484637976,12999.999999999987,46279999999.999954,558999999.9999994,1234999999.9999988,maize
266,Gabon,69,16136.793958425522,44987.990000000005,160157244400.00003,1934483570.0000002,4273859050.0000005,maize
226,Equatorial Guinea,70,0,0,0,0,0,maize
894,Zambia,71,726419.0844296291,3387469.5699999956,12059391669199.984,145661191509.99982,321809609149.9996,maize
454,Malawi,72,842914.4107661247,3691866.000000004,13143042960000.014,158750238000.00015,350727270000.00037,maize
508,Mozambique,73,896639.0850826353,1632320.9999999988,5811062759999.996,70189802999.99995,155070494999.99988,maize
748,eSwatini,74,100260.64414787292,87000.00000000004,309720000000.0002,3741000000.000002,8265000000.000005,maize
024,Angola,75,436101.565160563,2972177.0000000196,10580950120000.068,127803611000.00082,282356815000.00183,maize
108,Burundi,76,121645.86210823059,260000.00000000012,925600000000.0004,11180000000.000004,24700000000.000008,maize
376,Israel,77,56324.962884664536,74477.00000000001,265138120000.00003,3202511000.0000005,7075315000.000001,maize
422,Lebanon,78,4982.514314651489,2999.999999999999,10679999999.999998,128999999.99999996,284999999.99999994,maize
450,Madagascar,79,116090.78495330457,224883.00000000073,800583480000.0026,9669969000.00003,21363885000.00007,maize
275,Israel,80,26345.09196472168,0,0,0,0,maize
