ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,mango
834,United Republic of Tanzania,2,172916.37263682485,449954.07999999815,202479335999.99918,899908159.9999964,1799816319.9999928,mango
732,Western Sahara,3,0,0,0,0,0,mango
124,Canada,4,0,0,0,0,0,mango
840,United States of America,5,2269.6493481993675,839.8800000000001,377946000.00000006,1679760.0000000005,3359520.000000001,mango
398,Kazakhstan,6,8.806659771897102,0,0,0,0,mango
860,Uzbekistan,7,106.28827870308305,0,0,0,0,mango
598,Papua New Guinea,8,0,0,0,0,0,mango
360,Indonesia,9,930841.0268320888,3617270.8999999994,1627771904999.9998,7234541799.999999,14469083599.999998,mango
032,Argentina,10,1790.4538060074592,2203.3399999999974,991502999.9999988,4406679.999999995,8813359.99999999,mango
152,Chile,11,0.4621790610253811,0,0,0,0,mango
180,Democratic Republic of the Congo,12,194903.12489789166,295628.17999999924,133032680999.99966,591256359.9999985,1182512719.999997,mango
706,Somalia,13,81.17853519320488,1225.5,551475000,2451000,4902000,mango
404,Kenya,14,138087.18516144156,819276.06,368674227000.00006,1638552120.0000002,3277104240.0000005,mango
729,Sudan,15,102412.63732288592,0,0,0,0,mango
148,Chad,16,23331.067219265562,35894.270000000026,16152421500.000011,71788540.00000004,143577080.0000001,mango
332,Haiti,17,233398.85435676575,228691.33000000013,102911098500.00006,457382660.0000003,914765320.0000006,mango
214,Dominican Republic,18,177142.65346598625,53421.820000000014,24039819000.000004,106843640.00000003,213687280.00000006,mango
643,Russia,19,113.08021979616024,0,0,0,0,mango
044,The Bahamas,20,0,0,0,0,0,mango
238,United Kingdom,21,0,0,0,0,0,mango
578,Norway,22,0,0,0,0,0,mango
304,Denmark,23,0,0,0,0,0,mango
260,France,24,0,0,0,0,0,mango
626,East Timor,25,3024.7776179909706,7479.469999999999,3365761500,14958940,29917880,mango
710,South Africa,26,49590.45780767873,113290.99999999968,50980949999.99986,226581999.9999994,453163999.9999988,mango
426,Lesotho,27,0,0,0,0,0,mango
484,Mexico,28,1478974.1441120873,2373111.22,1067900049000.0001,4746222440.000001,9492444880.000002,mango
858,Uruguay,29,0,0,0,0,0,mango
076,Brazil,30,626984.1882180247,2113918.000000021,951263100000.0094,4227836000.000042,8455672000.000084,mango
068,Bolivia,31,8136.981450837746,17613.00000000001,7925850000.000006,35226000.00000002,70452000.00000004,mango
604,Peru,32,152623.49696298968,518193.94000000186,233187273000.00085,1036387880.0000038,2072775760.0000076,mango
