ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,mate
834,United Republic of Tanzania,2,13197.705462416634,0,0,0,0,mate
732,Western Sahara,3,0,0,0,0,0,mate
124,Canada,4,0,0,0,0,0,mate
840,United States of America,5,0,0,0,0,0,mate
398,Kazakhstan,6,288.51849821065116,0,0,0,0,mate
860,Uzbekistan,7,0,0,0,0,0,mate
598,Papua New Guinea,8,5532.73060218757,0,0,0,0,mate
360,Indonesia,9,104818.92934199423,0,0,0,0,mate
032,Argentina,10,313166.63357793563,813453.9999999999,325381599999.99994,0,81345399999.99998,mate
152,Chile,11,0,0,0,0,0,mate
180,Democratic Republic of the Congo,12,3279.946694451617,0,0,0,0,mate
706,Somalia,13,0.010347227565944195,0,0,0,0,mate
404,Kenya,14,5.6044559055019855e-37,0,0,0,0,mate
729,Sudan,15,3.926685504615307,0,0,0,0,mate
148,Chad,16,20.213905345648527,0,0,0,0,mate
332,Haiti,17,0,0,0,0,0,mate
214,Dominican Republic,18,0,0,0,0,0,mate
643,Russia,19,2158.242577436256,0,0,0,0,mate
044,The Bahamas,20,0,0,0,0,0,mate
238,United Kingdom,21,0,0,0,0,0,mate
578,Norway,22,0,0,0,0,0,mate
304,Denmark,23,0,0,0,0,0,mate
260,France,24,0,0,0,0,0,mate
626,East Timor,25,3.5553066730499268,0,0,0,0,mate
710,South Africa,26,14.239197628572583,0,0,0,0,mate
426,Lesotho,27,0.3712053671479225,0,0,0,0,mate
484,Mexico,28,7.729617260115492e-38,0,0,0,0,mate
858,Uruguay,29,0,0,0,0,0,mate
076,Brazil,30,463447.334966616,527546.0000000001,211018400000.00003,0,52754600000.00001,mate
068,Bolivia,31,40.54973316192627,0,0,0,0,mate
604,Peru,32,0,0,0,0,0,mate
170,Colombia,33,0,0,0,0,0,mate
591,Panama,34,0,0,0,0,0,mate
188,Costa Rica,35,0,0,0,0,0,mate
558,Nicaragua,36,0,0,0,0,0,mate
340,Honduras,37,0,0,0,0,0,mate
222,El Salvador,38,0,0,0,0,0,mate
320,Guatemala,39,1.5896189649454292e-40,0,0,0,0,mate
084,Belize,40,0,0,0,0,0,mate
862,Venezuela,41,0,0,0,0,0,mate
328,Guyana,42,0,0,0,0,0,mate
740,Suriname,43,0,0,0,0,0,mate
250,France,44,0,0,0,0,0,mate
218,Ecuador,45,0,0,0,0,0,mate
630,United States of America,46,0,0,0,0,0,mate
388,Jamaica,47,0,0,0,0,0,mate
192,Cuba,48,0,0,0,0,0,mate
716,Zimbabwe,49,3200.5328621333465,0,0,0,0,mate
072,Botswana,50,8.046556685119867,0,0,0,0,mate
516,Namibia,51,0.23022263031452894,0,0,0,0,mate
686,Senegal,52,0.05157225951552391,0,0,0,0,mate
466,Mali,53,78.46285124783662,0,0,0,0,mate
478,Mauritania,54,0.8208056325092912,0,0,0,0,mate
204,Benin,55,0,0,0,0,0,mate
562,Niger,56,0.2448655217885971,0,0,0,0,mate
566,Nigeria,57,4.677765678614378,0,0,0,0,mate
120,Cameroon,58,1484.1875774599612,0,0,0,0,mate
768,Togo,59,0,0,0,0,0,mate
288,Ghana,60,0,0,0,0,0,mate
384,Ivory Coast,61,0.036027533817104995,0,0,0,0,mate
324,Guinea,62,0.08280663079494843,0,0,0,0,mate
624,Guinea-Bissau,63,0,0,0,0,0,mate
430,Liberia,64,0,0,0,0,0,mate
694,Sierra Leone,65,0,0,0,0,0,mate
854,Burkina Faso,66,1.799892703158548,0,0,0,0,mate
140,Central African Republic,67,14.374273910652846,0,0,0,0,mate
178,Republic of the Congo,68,1.284592716023326,0,0,0,0,mate
266,Gabon,69,0.3061531186103821,0,0,0,0,mate
226,Equatorial Guinea,70,3.913759171962738,0,0,0,0,mate
894,Zambia,71,758.649799822364,0,0,0,0,mate
454,Malawi,72,12090.947051738389,0,0,0,0,mate
508,Mozambique,73,4020.858942227671,0,0,0,0,mate
748,eSwatini,74,0.32796717528253794,0,0,0,0,mate
024,Angola,75,21.594494848279282,0,0,0,0,mate
108,Burundi,76,7814.5173506736755,0,0,0,0,mate
376,Israel,77,0,0,0,0,0,mate
422,Lebanon,78,0,0,0,0,0,mate
450,Madagascar,79,255.8765279102663,0,0,0,0,mate
275,Israel,80,0,0,0,0,0,mate
270,Gambia,81,0,0,0,0,0,mate
788,Tunisia,82,0,0,0,0,0,mate
012,Algeria,83,0,0,0,0,0,mate
400,Jordan,84,0,0,0,0,0,mate
784,United Arab Emirates,85,0,0,0,0,0,mate
634,Qatar,86,0,0,0,0,0,mate
414,Kuwait,87,0,0,0,0,0,mate
368,Iraq,88,120.3010502755642,0,0,0,0,mate
512,Oman,89,0,0,0,0,0,mate
548,Vanuatu,90,0,0,0,0,0,mate
116,Cambodia,91,446.1031563282013,0,0,0,0,mate
764,Thailand,92,8789.662103396375,0,0,0,0,mate
418,Laos,93,3.3891065418720245,0,0,0,0,mate
104,Myanmar,94,61364.113043383695,0,0,0,0,mate
704,Vietnam,95,30082.14349193126,0,0,0,0,mate
408,North Korea,96,273.17624923586845,0,0,0,0,mate
410,South Korea,97,1182.3624389423057,0,0,0,0,mate
496,Mongolia,98,13.749594293407426,0,0,0,0,mate
356,India,99,460146.6371728026,0,0,0,0,mate
050,Bangladesh,100,45963.51785057783,0,0,0,0,mate
064,Bhutan,101,9.274720292538404,0,0,0,0,mate
524,Nepal,102,7680.219960628718,0,0,0,0,mate
586,Pakistan,103,256.1664981339127,0,0,0,0,mate
004,Afghanistan,104,47.20814088359475,0,0,0,0,mate
762,Tajikistan,105,0.4834705889225006,0,0,0,0,mate
417,Kyrgyzstan,106,2.1511712968349457,0,0,0,0,mate
795,Turkmenistan,107,86.63097576797009,0,0,0,0,mate
364,Iran,108,31400.649932168424,0,0,0,0,mate
760,Syria,109,262.97468304634094,0,0,0,0,mate
051,Armenia,110,133.60398724675179,0,0,0,0,mate
752,Sweden,111,0,0,0,0,0,mate
112,Belarus,112,0.21464434382505715,0,0,0,0,mate
804,Ukraine,113,0.8635443281382322,0,0,0,0,mate
616,Poland,114,0,0,0,0,0,mate
040,Austria,115,0,0,0,0,0,mate
348,Hungary,116,0,0,0,0,0,mate
498,Moldova,117,0,0,0,0,0,mate
642,Romania,118,0,0,0,0,0,mate
440,Lithuania,119,0.27805678313598037,0,0,0,0,mate
428,Latvia,120,0.07754978351294994,0,0,0,0,mate
233,Estonia,121,0.20080707455053926,0,0,0,0,mate
276,Germany,122,0,0,0,0,0,mate
100,Bulgaria,123,0,0,0,0,0,mate
300,Greece,124,26.174428939819336,0,0,0,0,mate
792,Turkey,125,72367.77973023802,0,0,0,0,mate
008,Albania,126,0,0,0,0,0,mate
191,Croatia,127,0,0,0,0,0,mate
756,Switzerland,128,0,0,0,0,0,mate
442,Luxembourg,129,0,0,0,0,0,mate
056,Belgium,130,0,0,0,0,0,mate
528,Netherlands,131,0,0,0,0,0,mate
620,Portugal,132,36.27109999320237,0,0,0,0,mate
724,Spain,133,1.1060827593319118,0,0,0,0,mate
372,Ireland,134,0,0,0,0,0,mate
540,France,135,0,0,0,0,0,mate
090,Solomon Islands,136,0,0,0,0,0,mate
554,New Zealand,137,0,0,0,0,0,mate
036,Australia,138,0,0,0,0,0,mate
144,Sri Lanka,139,201482.76237866282,0,0,0,0,mate
156,China,140,893056.1144075245,0,0,0,0,mate
158,Taiwan,141,16085.250156730413,0,0,0,0,mate
380,Italy,142,0,0,0,0,0,mate
208,Denmark,143,0,0,0,0,0,mate
826,United Kingdom,144,0,0,0,0,0,mate
352,Iceland,145,0,0,0,0,0,mate
031,Azerbaijan,146,5500.94781960221,0,0,0,0,mate
268,Georgia,147,25213.81048066035,0,0,0,0,mate
608,Philippines,148,0,0,0,0,0,mate
458,Malaysia,149,3230.995586812496,0,0,0,0,mate
096,Brunei,150,6.672927334904671,0,0,0,0,mate
705,Slovenia,151,0,0,0,0,0,mate
246,Finland,152,0.146753873443231,0,0,0,0,mate
703,Slovakia,153,0,0,0,0,0,mate
203,Czechia,154,0,0,0,0,0,mate
232,Eritrea,155,1.137019757181406,0,0,0,0,mate
392,Japan,156,44358.07931110263,0,0,0,0,mate
600,Paraguay,157,87559.8549129834,132738.99999999974,53095599999.99989,0,13273899999.999973,mate
887,Yemen,158,0,0,0,0,0,mate
682,Saudi Arabia,159,0,0,0,0,0,mate
010,Antarctica,160,0,0,0,0,0,mate
-99,Northern Cyprus,161,0,0,0,0,0,mate
196,Cyprus,162,0,0,0,0,0,mate
504,Morocco,163,0,0,0,0,0,mate
818,Egypt,164,0,0,0,0,0,mate
434,Libya,165,0,0,0,0,0,mate
231,Ethiopia,166,3183.0040071646217,0,0,0,0,mate
262,Djibouti,167,0,0,0,0,0,mate
-99,Somaliland,168,2.127596376463771,0,0,0,0,mate
800,Uganda,169,7090.556777771562,0,0,0,0,mate
646,Rwanda,170,10583.008319020271,0,0,0,0,mate
070,Bosnia and Herzegovina,171,0,0,0,0,0,mate
807,North Macedonia,172,0,0,0,0,0,mate
688,Republic of Serbia,173,0,0,0,0,0,mate
499,Montenegro,174,0,0,0,0,0,mate
-99,Kosovo,175,0,0,0,0,0,mate
780,Trinidad and Tobago,176,0,0,0,0,0,mate
728,South Sudan,177,86.6450675893575,0,0,0,0,mate
