ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,melonetc
834,United Republic of Tanzania,2,0,0,0,0,0,melonetc
732,Western Sahara,3,0,0,0,0,0,melonetc
124,Canada,4,9574.53945882388,11057.99999999999,1879859999.9999986,11057999.999999993,44231999.99999997,melonetc
840,United States of America,5,1048567.0251793364,608472.0000000012,103440240000.0002,608472000.0000012,2433888000.000005,melonetc
398,Kazakhstan,6,4965.466527696226,1165397.0200000054,198117493400.00092,1165397020.0000055,4661588080.000022,melonetc
860,Uzbekistan,7,10.537248847074807,0,0,0,0,melonetc
598,Papua New Guinea,8,0,0,0,0,0,melonetc
360,Indonesia,9,0,0,0,0,0,melonetc
032,Argentina,10,69674.83482468038,80956.08999999976,13762535299.99996,80956089.99999976,323824359.99999905,melonetc
152,Chile,11,62367.28460040679,43432.41999999998,7383511399.999996,43432419.99999998,173729679.9999999,melonetc
180,Democratic Republic of the Congo,12,0.20343968272209167,0,0,0,0,melonetc
706,Somalia,13,0,0,0,0,0,melonetc
404,Kenya,14,213.3891671858728,0,0,0,0,melonetc
729,Sudan,15,17091.90741885733,0,0,0,0,melonetc
148,Chad,16,461.3108675032854,0,0,0,0,melonetc
332,Haiti,17,3257.751963868737,3356.0899999999983,570535299.9999998,3356089.9999999986,13424359.999999994,melonetc
214,Dominican Republic,18,43259.40285688639,27300.189999999988,4641032299.999998,27300189.99999999,109200759.99999996,melonetc
643,Russia,19,649.2559297587723,0,0,0,0,melonetc
044,The Bahamas,20,0,0,0,0,0,melonetc
238,United Kingdom,21,0,0,0,0,0,melonetc
578,Norway,22,0,0,0,0,0,melonetc
304,Denmark,23,0,0,0,0,0,melonetc
260,France,24,0,0,0,0,0,melonetc
626,East Timor,25,0,0,0,0,0,melonetc
710,South Africa,26,26561.724128845846,14561.000000000013,2475370000.000002,14561000.000000013,58244000.00000005,melonetc
426,Lesotho,27,17.78958636522293,0,0,0,0,melonetc
484,Mexico,28,508667.47027261124,612939.9299999991,104199788099.99985,612939929.9999992,2451759719.9999967,melonetc
858,Uruguay,29,3520.2071381764254,2368.450000000003,402636500.0000005,2368450.0000000033,9473800.000000013,melonetc
076,Brazil,30,145354.3476450051,634403.9999999967,107848679999.99945,634403999.9999968,2537615999.999987,melonetc
068,Bolivia,31,114.94529742980376,0,0,0,0,melonetc
604,Peru,32,12847.940623354849,19807.96000000003,3367353200.000005,19807960.000000026,79231840.0000001,melonetc
170,Colombia,33,17093.009303977396,81147.60000000027,13795092000.000044,81147600.00000027,324590400.0000011,melonetc
591,Panama,34,34759.093775136396,5498.000000000004,934660000.0000006,5498000.000000004,21992000.000000015,melonetc
188,Costa Rica,35,188434.65591812134,78725.99999999988,13383419999.999979,78725999.99999988,314903999.9999995,melonetc
558,Nicaragua,36,747.2728514671326,0,0,0,0,melonetc
340,Honduras,37,124043.27907907963,310184.3999999994,52731347999.99989,310184399.9999994,1240737599.9999976,melonetc
222,El Salvador,38,16954.147932052612,1285.3800000000006,218514600.0000001,1285380.0000000007,5141520.000000003,melonetc
320,Guatemala,39,155129.5661173463,713338.9999999999,121267629999.99998,713339000,2853356000,melonetc
084,Belize,40,159.59024956822395,606,103020000,606000,2424000,melonetc
862,Venezuela,41,137230.7924547152,129356.50999999979,21990606699.99996,129356509.99999979,517426039.99999917,melonetc
328,Guyana,42,3.8218958377838135,0,0,0,0,melonetc
740,Suriname,43,0,0,0,0,0,melonetc
250,France,44,292668.07934859395,290529.99999999924,49390099999.99987,290529999.9999992,1162119999.999997,melonetc
218,Ecuador,45,14399.978401265573,17114.620000000028,2909485400.000005,17114620.000000026,68458480.0000001,melonetc
630,United States of America,46,2669.2339004278183,144.68999999999997,24597299.999999996,144689.99999999997,578759.9999999999,melonetc
388,Jamaica,47,0,0,0,0,0,melonetc
192,Cuba,48,47769.84261466563,46621.849999999984,7925714499.999997,46621849.999999985,186487399.99999994,melonetc
716,Zimbabwe,49,202.79723063809797,458.1499999999993,77885499.99999988,458149.9999999993,1832599.9999999972,melonetc
072,Botswana,50,17.50841525522992,0,0,0,0,melonetc
516,Namibia,51,490.8770962175331,668.4500000000018,113636500.0000003,668450.0000000019,2673800.0000000075,melonetc
686,Senegal,52,4.375319212675095,0,0,0,0,melonetc
466,Mali,53,12.932558363303542,59251.32000000001,10072724400.000002,59251320.000000015,237005280.00000006,melonetc
478,Mauritania,54,0,0,0,0,0,melonetc
204,Benin,55,0,0,0,0,0,melonetc
562,Niger,56,0,0,0,0,0,melonetc
566,Nigeria,57,99.75445887446404,0,0,0,0,melonetc
120,Cameroon,58,31650.65228009224,46958.20000000006,7982894000.0000105,46958200.00000006,187832800.00000024,melonetc
768,Togo,59,0,0,0,0,0,melonetc
288,Ghana,60,0,0,0,0,0,melonetc
384,Ivory Coast,61,159.0858156979084,0,0,0,0,melonetc
324,Guinea,62,2476.7982391472906,2838.4100000000017,482529700.00000024,2838410.000000002,11353640.000000007,melonetc
624,Guinea-Bissau,63,17.713951349258423,0,0,0,0,melonetc
430,Liberia,64,9.770551085472107,0,0,0,0,melonetc
694,Sierra Leone,65,48.67611849308014,0,0,0,0,melonetc
854,Burkina Faso,66,0,0,0,0,0,melonetc
140,Central African Republic,67,133.52373032271862,0,0,0,0,melonetc
178,Republic of the Congo,68,10.292379274964333,0,0,0,0,melonetc
266,Gabon,69,6.528788089752197,0,0,0,0,melonetc
226,Equatorial Guinea,70,83.4618501663208,0,0,0,0,melonetc
894,Zambia,71,0.06518428772687912,0,0,0,0,melonetc
454,Malawi,72,0,0,0,0,0,melonetc
508,Mozambique,73,44.197812291327864,0,0,0,0,melonetc
748,eSwatini,74,37.37060736119747,0,0,0,0,melonetc
024,Angola,75,0,0,0,0,0,melonetc
108,Burundi,76,0,0,0,0,0,melonetc
376,Israel,77,25749.194784879684,33117.00000000001,5629890000.000001,33117000.000000007,132468000.00000003,melonetc
422,Lebanon,78,27281.472733974457,17830.000000000004,3031100000.0000005,17830000.000000004,71320000.00000001,melonetc
450,Madagascar,79,0,0,0,0,0,melonetc
275,Israel,80,13137.447443008423,4970,844900000,4970000,19880000,melonetc
270,Gambia,81,0,0,0,0,0,melonetc
788,Tunisia,82,55591.573649674654,106484.33000000006,18102336100.00001,106484330.00000006,425937320.00000024,melonetc
012,Algeria,83,367.2113058567047,0,0,0,0,melonetc
400,Jordan,84,23884.856023550034,53653.99999999998,9121179999.999996,53653999.99999998,214615999.9999999,melonetc
784,United Arab Emirates,85,45704.261474609375,4408,749360000,4408000,17632000,melonetc
634,Qatar,86,0,0,0,0,0,melonetc
414,Kuwait,87,1261.6890449523926,1320,224400000,1320000,5280000,melonetc
368,Iraq,88,3726.103470802307,200808.00000000003,34137360000.000004,200808000.00000003,803232000.0000001,melonetc
512,Oman,89,5212.45263671875,50910,8654700000,50910000,203640000,melonetc
548,Vanuatu,90,0,0,0,0,0,melonetc
116,Cambodia,91,128.717511177063,0,0,0,0,melonetc
764,Thailand,92,1172.1082834601402,0,0,0,0,melonetc
418,Laos,93,29702.25547160022,18641.39000000001,3169036300.0000014,18641390.00000001,74565560.00000004,melonetc
104,Myanmar,94,1194.4613231075928,0,0,0,0,melonetc
704,Vietnam,95,3665.691168099642,0,0,0,0,melonetc
408,North Korea,96,109626.78278928995,83773.27000000002,14241455900.000004,83773270.00000003,335093080.0000001,melonetc
410,South Korea,97,256802.6420251131,148874.99999999994,25308749999.999992,148874999.99999997,595499999.9999999,melonetc
496,Mongolia,98,4.271243124385364,0,0,0,0,melonetc
356,India,99,621882.9964803586,1368000.0000000047,232560000000.0008,1368000000.0000048,5472000000.000019,melonetc
050,Bangladesh,100,87848.65979360044,295637.99999999965,50258459999.99995,295637999.9999997,1182551999.9999988,melonetc
064,Bhutan,101,9.133749485947192,0,0,0,0,melonetc
524,Nepal,102,644.1658170358278,0,0,0,0,melonetc
586,Pakistan,103,267370.3007090653,94911.74000000051,16134995800.000088,94911740.00000052,379646960.0000021,melonetc
004,Afghanistan,104,1938.3301112474874,793496.0000000001,134894320000.00002,793496000.0000001,3173984000.0000005,melonetc
762,Tajikistan,105,0.6590250134468079,0,0,0,0,melonetc
