ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,melonseed
834,United Republic of Tanzania,2,0,0,0,0,0,melonseed
732,Western Sahara,3,0,0,0,0,0,melonseed
124,Canada,4,0,0,0,0,0,melonseed
840,United States of America,5,0,0,0,0,0,melonseed
398,Kazakhstan,6,9.634397765330505,0,0,0,0,melonseed
860,Uzbekistan,7,0,0,0,0,0,melonseed
598,Papua New Guinea,8,0,0,0,0,0,melonseed
360,Indonesia,9,0,0,0,0,0,melonseed
032,Argentina,10,74.56561350962147,0,0,0,0,melonseed
152,Chile,11,0,0,0,0,0,melonseed
180,Democratic Republic of the Congo,12,38037.692745521665,63370.57999999997,253482319999.9999,21482626619.999992,11533445559.999994,melonseed
706,Somalia,13,0,0,0,0,0,melonseed
404,Kenya,14,0,0,0,0,0,melonseed
729,Sudan,15,339.4261428564787,0,0,0,0,melonseed
148,Chad,16,19024.909094456583,24229.790000000157,96919160000.00063,8213898810.000053,4409821780.000029,melonseed
332,Haiti,17,12462.222512483597,0,0,0,0,melonseed
214,Dominican Republic,18,70.37890243530273,0,0,0,0,melonseed
643,Russia,19,14.555949296336621,0,0,0,0,melonseed
044,The Bahamas,20,0,0,0,0,0,melonseed
238,United Kingdom,21,0,0,0,0,0,melonseed
578,Norway,22,0,0,0,0,0,melonseed
304,Denmark,23,0,0,0,0,0,melonseed
260,France,24,0,0,0,0,0,melonseed
626,East Timor,25,0,0,0,0,0,melonseed
710,South Africa,26,0,0,0,0,0,melonseed
426,Lesotho,27,0,0,0,0,0,melonseed
484,Mexico,28,40.522757435999665,9.570000000000004,38280000.000000015,3244230.0000000014,1741740.0000000007,melonseed
858,Uruguay,29,4.868077690480277,0,0,0,0,melonseed
076,Brazil,30,23043.905370007924,0,0,0,0,melonseed
068,Bolivia,31,11.524620776996017,0,0,0,0,melonseed
604,Peru,32,224.96640237978136,0,0,0,0,melonseed
170,Colombia,33,34.78285582668468,0,0,0,0,melonseed
591,Panama,34,348.41034438600764,0,0,0,0,melonseed
188,Costa Rica,35,227.69513771962374,0,0,0,0,melonseed
558,Nicaragua,36,14202.799034066498,0,0,0,0,melonseed
340,Honduras,37,1095.463714883197,0,0,0,0,melonseed
222,El Salvador,38,7434.674047112465,0,0,0,0,melonseed
320,Guatemala,39,18.40125846862793,0,0,0,0,melonseed
084,Belize,40,2.2098476782402365e-42,0,0,0,0,melonseed
862,Venezuela,41,34038.69822846689,0,0,0,0,melonseed
328,Guyana,42,1.9675677362829447,0,0,0,0,melonseed
740,Suriname,43,0,0,0,0,0,melonseed
250,France,44,0.021123906131833792,0,0,0,0,melonseed
218,Ecuador,45,60.81565331103593,0,0,0,0,melonseed
630,United States of America,46,0,0,0,0,0,melonseed
388,Jamaica,47,0,0,0,0,0,melonseed
192,Cuba,48,0,0,0,0,0,melonseed
716,Zimbabwe,49,0,0,0,0,0,melonseed
072,Botswana,50,0,0,0,0,0,melonseed
516,Namibia,51,0,0,0,0,0,melonseed
686,Senegal,52,1441.1746793056373,1569.0899999999997,6276359999.999998,531921509.9999999,285574379.99999994,melonseed
466,Mali,53,1223.4450655493638,44359.960000000276,177439840000.0011,15038026440.000092,8073512720.00005,melonseed
478,Mauritania,54,3020.4847441776365,2519.9499999999985,10079799999.999994,854263049.9999994,458630899.9999997,melonseed
204,Benin,55,312.8779630661011,0,0,0,0,melonseed
562,Niger,56,1517.400284472853,0,0,0,0,melonseed
566,Nigeria,57,305062.77370248735,573318.8700000028,2293275480000.011,194355096930.00092,104344034340.0005,melonseed
120,Cameroon,58,55804.38545587659,46756.22000000009,187024880000.00037,15850358580.00003,8509632040.000016,melonseed
768,Togo,59,0,0,0,0,0,melonseed
288,Ghana,60,0,0,0,0,0,melonseed
384,Ivory Coast,61,0.5557360853999853,0,0,0,0,melonseed
324,Guinea,62,1.378017793991603,0,0,0,0,melonseed
624,Guinea-Bissau,63,11.445233047008514,0,0,0,0,melonseed
430,Liberia,64,0,0,0,0,0,melonseed
694,Sierra Leone,65,0,0,0,0,0,melonseed
854,Burkina Faso,66,27.763915990944952,0,0,0,0,melonseed
140,Central African Republic,67,23001.190102722496,38388.83000000007,153555320000.00027,13013813370.000021,6986767060.000011,melonseed
178,Republic of the Congo,68,3413.3560205698013,3625.1200000000003,14500480000,1228915680,659771840,melonseed
266,Gabon,69,39.139132142066956,0,0,0,0,melonseed
