ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,millet
834,United Republic of Tanzania,2,193420.12061763182,324999.99999999895,1104999999999.9963,9749999999.99997,31524999999.999897,millet
732,Western Sahara,3,0,0,0,0,0,millet
124,Canada,4,0.0013137917267158628,0,0,0,0,millet
840,United States of America,5,245737.82143992465,217110.00000000055,738174000000.002,6513300000.000017,21059670000.000053,millet
398,Kazakhstan,6,56415.81573809308,39852.22999999999,135497581999.99995,1195566899.9999995,3865666309.9999986,millet
860,Uzbekistan,7,2419.1627107507084,99099.9999999999,336939999999.99963,2972999999.9999967,9612699999.999989,millet
598,Papua New Guinea,8,0,0,0,0,0,millet
360,Indonesia,9,0,0,0,0,0,millet
032,Argentina,10,41401.943814503815,5441.000000000009,18499400000.00003,163230000.00000027,527777000.00000083,millet
152,Chile,11,9.631307024688567,0,0,0,0,millet
180,Democratic Republic of the Congo,12,34579.36652203137,39952.999999999956,135840199999.99986,1198589999.9999988,3875440999.9999957,millet
706,Somalia,13,23.950984716415405,0,0,0,0,millet
404,Kenya,14,58183.37505105883,152999.99999999988,520199999999.9996,4589999999.999996,14840999999.999987,millet
729,Sudan,15,570018.9832489826,0,0,0,0,millet
148,Chad,16,277707.23350962624,686584.3900000001,2334386926000.0005,20597531700.000004,66598685830.00001,millet
332,Haiti,17,0,0,0,0,0,millet
214,Dominican Republic,18,0,0,0,0,0,millet
643,Russia,19,743104.9027091379,396457.49999999756,1347955499999.9917,11893724999.999928,38456377499.99976,millet
044,The Bahamas,20,0,0,0,0,0,millet
238,United Kingdom,21,0,0,0,0,0,millet
578,Norway,22,0,0,0,0,0,millet
304,Denmark,23,0,0,0,0,0,millet
260,France,24,0,0,0,0,0,millet
626,East Timor,25,0,0,0,0,0,millet
710,South Africa,26,9580.091773553751,6325.289999999999,21505985999.999996,189758699.99999997,613553129.9999999,millet
426,Lesotho,27,7.5135418474674225,0,0,0,0,millet
484,Mexico,28,21.37884572846815,279.0199999999999,948667999.9999996,8370599.999999997,27064939.99999999,millet
858,Uruguay,29,1.0280957370996475,0,0,0,0,millet
076,Brazil,30,26.11152708530426,0,0,0,0,millet
068,Bolivia,31,0.296819472219795,0,0,0,0,millet
604,Peru,32,0,0,0,0,0,millet
170,Colombia,33,0,0,0,0,0,millet
591,Panama,34,0,0,0,0,0,millet
188,Costa Rica,35,0,0,0,0,0,millet
558,Nicaragua,36,0,0,0,0,0,millet
340,Honduras,37,0,0,0,0,0,millet
222,El Salvador,38,0,0,0,0,0,millet
320,Guatemala,39,0,0,0,0,0,millet
084,Belize,40,0,0,0,0,0,millet
