ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,mixedgrain
834,United Republic of Tanzania,2,0,0,0,0,0,mixedgrain
732,Western Sahara,3,0,0,0,0,0,mixedgrain
124,Canada,4,450126.22397551755,232999.99999999945,792199999999.998,3494999999.9999914,18639999999.999954,mixedgrain
840,United States of America,5,178.8722752481699,0,0,0,0,mixedgrain
398,Kazakhstan,6,0,0,0,0,0,mixedgrain
860,Uzbekistan,7,0,0,0,0,0,mixedgrain
598,Papua New Guinea,8,0,0,0,0,0,mixedgrain
360,Indonesia,9,0,0,0,0,0,mixedgrain
032,Argentina,10,1728.1417349913763,0,0,0,0,mixedgrain
152,Chile,11,0,0,0,0,0,mixedgrain
180,Democratic Republic of the Congo,12,0,0,0,0,0,mixedgrain
706,Somalia,13,0,0,0,0,0,mixedgrain
404,Kenya,14,0,0,0,0,0,mixedgrain
729,Sudan,15,0,0,0,0,0,mixedgrain
148,Chad,16,0,0,0,0,0,mixedgrain
332,Haiti,17,0,0,0,0,0,mixedgrain
214,Dominican Republic,18,0,0,0,0,0,mixedgrain
643,Russia,19,1513.8441467285156,0,0,0,0,mixedgrain
044,The Bahamas,20,0,0,0,0,0,mixedgrain
238,United Kingdom,21,0,0,0,0,0,mixedgrain
578,Norway,22,0,0,0,0,0,mixedgrain
304,Denmark,23,0,0,0,0,0,mixedgrain
260,France,24,0,0,0,0,0,mixedgrain
626,East Timor,25,0,0,0,0,0,mixedgrain
710,South Africa,26,0,0,0,0,0,mixedgrain
426,Lesotho,27,0,0,0,0,0,mixedgrain
484,Mexico,28,0,0,0,0,0,mixedgrain
858,Uruguay,29,777.9551691291854,0,0,0,0,mixedgrain
076,Brazil,30,24.71875908970833,0,0,0,0,mixedgrain
068,Bolivia,31,0,0,0,0,0,mixedgrain
604,Peru,32,0,0,0,0,0,mixedgrain
170,Colombia,33,0,0,0,0,0,mixedgrain
591,Panama,34,0,0,0,0,0,mixedgrain
188,Costa Rica,35,0,0,0,0,0,mixedgrain
558,Nicaragua,36,0,0,0,0,0,mixedgrain
340,Honduras,37,0,0,0,0,0,mixedgrain
222,El Salvador,38,0,0,0,0,0,mixedgrain
320,Guatemala,39,0,0,0,0,0,mixedgrain
084,Belize,40,0,0,0,0,0,mixedgrain
862,Venezuela,41,0,0,0,0,0,mixedgrain
328,Guyana,42,0,0,0,0,0,mixedgrain
740,Suriname,43,0,0,0,0,0,mixedgrain
250,France,44,213786.83649384975,357640.00000000116,1215976000000.004,5364600000.000017,28611200000.00009,mixedgrain
218,Ecuador,45,0,0,0,0,0,mixedgrain
630,United States of America,46,0,0,0,0,0,mixedgrain
388,Jamaica,47,0,0,0,0,0,mixedgrain
192,Cuba,48,0,0,0,0,0,mixedgrain
716,Zimbabwe,49,0,0,0,0,0,mixedgrain
072,Botswana,50,0,0,0,0,0,mixedgrain
516,Namibia,51,0,0,0,0,0,mixedgrain
686,Senegal,52,0,0,0,0,0,mixedgrain
466,Mali,53,0,0,0,0,0,mixedgrain
478,Mauritania,54,0,0,0,0,0,mixedgrain
204,Benin,55,0,0,0,0,0,mixedgrain
562,Niger,56,0,0,0,0,0,mixedgrain
566,Nigeria,57,0,0,0,0,0,mixedgrain
120,Cameroon,58,0,0,0,0,0,mixedgrain
768,Togo,59,0,0,0,0,0,mixedgrain
288,Ghana,60,0,0,0,0,0,mixedgrain
384,Ivory Coast,61,0,0,0,0,0,mixedgrain
324,Guinea,62,0,0,0,0,0,mixedgrain
624,Guinea-Bissau,63,0,0,0,0,0,mixedgrain
430,Liberia,64,0,0,0,0,0,mixedgrain
694,Sierra Leone,65,0,0,0,0,0,mixedgrain
854,Burkina Faso,66,0,0,0,0,0,mixedgrain
140,Central African Republic,67,0,0,0,0,0,mixedgrain
178,Republic of the Congo,68,0,0,0,0,0,mixedgrain
266,Gabon,69,0,0,0,0,0,mixedgrain
226,Equatorial Guinea,70,0,0,0,0,0,mixedgrain
894,Zambia,71,0,0,0,0,0,mixedgrain
454,Malawi,72,0,0,0,0,0,mixedgrain
508,Mozambique,73,0,0,0,0,0,mixedgrain
748,eSwatini,74,0,0,0,0,0,mixedgrain
024,Angola,75,0,0,0,0,0,mixedgrain
108,Burundi,76,0,0,0,0,0,mixedgrain
376,Israel,77,0,0,0,0,0,mixedgrain
422,Lebanon,78,0,0,0,0,0,mixedgrain
450,Madagascar,79,0,0,0,0,0,mixedgrain
275,Israel,80,0,0,0,0,0,mixedgrain
270,Gambia,81,0,0,0,0,0,mixedgrain
788,Tunisia,82,0,0,0,0,0,mixedgrain
012,Algeria,83,0,0,0,0,0,mixedgrain
400,Jordan,84,0,0,0,0,0,mixedgrain
784,United Arab Emirates,85,0,0,0,0,0,mixedgrain
634,Qatar,86,0,0,0,0,0,mixedgrain
414,Kuwait,87,0,0,0,0,0,mixedgrain
368,Iraq,88,7.501052390784025,0,0,0,0,mixedgrain
512,Oman,89,0,0,0,0,0,mixedgrain
548,Vanuatu,90,0,0,0,0,0,mixedgrain
116,Cambodia,91,59.57445043325424,0,0,0,0,mixedgrain
764,Thailand,92,19812.219160252716,0,0,0,0,mixedgrain
418,Laos,93,105.13733956217766,0,0,0,0,mixedgrain
104,Myanmar,94,72.99304988980293,0,0,0,0,mixedgrain
704,Vietnam,95,0,0,0,0,0,mixedgrain
408,North Korea,96,0,0,0,0,0,mixedgrain
410,South Korea,97,0,0,0,0,0,mixedgrain
496,Mongolia,98,0,0,0,0,0,mixedgrain
356,India,99,0,0,0,0,0,mixedgrain
050,Bangladesh,100,0,0,0,0,0,mixedgrain
064,Bhutan,101,0,0,0,0,0,mixedgrain
524,Nepal,102,0,0,0,0,0,mixedgrain
586,Pakistan,103,0,0,0,0,0,mixedgrain
004,Afghanistan,104,0,0,0,0,0,mixedgrain
762,Tajikistan,105,0,0,0,0,0,mixedgrain
417,Kyrgyzstan,106,0,0,0,0,0,mixedgrain
795,Turkmenistan,107,0,0,0,0,0,mixedgrain
364,Iran,108,7.820350706577301,0,0,0,0,mixedgrain
760,Syria,109,43.034498393535614,0,0,0,0,mixedgrain
051,Armenia,110,3.626739025115967,0,0,0,0,mixedgrain
752,Sweden,111,80868.19538469138,49900.000000000095,169660000000.00034,748500000.0000014,3992000000.0000076,mixedgrain
112,Belarus,112,16892.47760295868,0,0,0,0,mixedgrain
804,Ukraine,113,12444.125071883202,6649.999999999999,22609999999.999996,99749999.99999999,531999999.99999994,mixedgrain
616,Poland,114,3755930.2694789916,2039780.0000000042,6935252000000.015,30596700000.00006,163182400000.00034,mixedgrain
