ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,nutmeg
834,United Republic of Tanzania,2,613.8018570800195,791.2500000000011,4154062500.0000057,287223750.00000036,45892500.00000007,nutmeg
732,Western Sahara,3,0,0,0,0,0,nutmeg
124,Canada,4,0,0,0,0,0,nutmeg
840,United States of America,5,0,0,0,0,0,nutmeg
398,Kazakhstan,6,160.55902122115072,0,0,0,0,nutmeg
860,Uzbekistan,7,1671.5391653261613,0,0,0,0,nutmeg
598,Papua New Guinea,8,0,0,0,0,0,nutmeg
360,Indonesia,9,19235.323017310817,38149.99999999982,200287499999.99902,13848449999.999931,2212699999.999989,nutmeg
032,Argentina,10,0,0,0,0,0,nutmeg
152,Chile,11,0,0,0,0,0,nutmeg
180,Democratic Republic of the Congo,12,0,0,0,0,0,nutmeg
706,Somalia,13,0.024049268889939412,0,0,0,0,nutmeg
404,Kenya,14,42.25187592615839,58.999999999999844,309749999.9999992,21416999.999999944,3421999.999999991,nutmeg
729,Sudan,15,0.10522309958469123,0,0,0,0,nutmeg
148,Chad,16,0,0,0,0,0,nutmeg
332,Haiti,17,0,0,0,0,0,nutmeg
214,Dominican Republic,18,0,0,0,0,0,nutmeg
643,Russia,19,1.9547597925993614,0,0,0,0,nutmeg
044,The Bahamas,20,0,0,0,0,0,nutmeg
238,United Kingdom,21,0,0,0,0,0,nutmeg
578,Norway,22,0,0,0,0,0,nutmeg
304,Denmark,23,0,0,0,0,0,nutmeg
260,France,24,0,0,0,0,0,nutmeg
626,East Timor,25,0.6525951027870178,0,0,0,0,nutmeg
710,South Africa,26,0,0,0,0,0,nutmeg
426,Lesotho,27,0,0,0,0,0,nutmeg
484,Mexico,28,219.66384193487465,0,0,0,0,nutmeg
858,Uruguay,29,0,0,0,0,0,nutmeg
076,Brazil,30,0,0,0,0,0,nutmeg
068,Bolivia,31,0,0,0,0,0,nutmeg
604,Peru,32,0,0,0,0,0,nutmeg
170,Colombia,33,0,0,0,0,0,nutmeg
591,Panama,34,0,0,0,0,0,nutmeg
188,Costa Rica,35,0,0,0,0,0,nutmeg
558,Nicaragua,36,1.6606376143172383,0,0,0,0,nutmeg
340,Honduras,37,288.82693978282623,578.9199999999998,3039329999.999999,210147959.9999999,33577359.999999985,nutmeg
222,El Salvador,38,18.08254587650299,0,0,0,0,nutmeg
320,Guatemala,39,16902.511108564213,36456.159999999996,191394839999.99997,13233586079.999996,2114457279.9999995,nutmeg
084,Belize,40,1.4730674922466278,0,0,0,0,nutmeg
862,Venezuela,41,0,0,0,0,0,nutmeg
328,Guyana,42,0,0,0,0,0,nutmeg
740,Suriname,43,0,0,0,0,0,nutmeg
250,France,44,2.4450003625825047,0,0,0,0,nutmeg
218,Ecuador,45,0,0,0,0,0,nutmeg
630,United States of America,46,0,0,0,0,0,nutmeg
388,Jamaica,47,0,0,0,0,0,nutmeg
192,Cuba,48,0,0,0,0,0,nutmeg
716,Zimbabwe,49,0,0,0,0,0,nutmeg
072,Botswana,50,0,0,0,0,0,nutmeg
516,Namibia,51,0,0,0,0,0,nutmeg
686,Senegal,52,0,0,0,0,0,nutmeg
466,Mali,53,0,0,0,0,0,nutmeg
478,Mauritania,54,0,0,0,0,0,nutmeg
204,Benin,55,0.01805784273892641,0,0,0,0,nutmeg
562,Niger,56,0,0,0,0,0,nutmeg
566,Nigeria,57,0,0,0,0,0,nutmeg
120,Cameroon,58,0,0,0,0,0,nutmeg
768,Togo,59,12.284687292994931,35.179999999999986,184694999.99999994,12770339.999999994,2040439.9999999993,nutmeg
288,Ghana,60,0.1872041579335928,0,0,0,0,nutmeg
384,Ivory Coast,61,0,0,0,0,0,nutmeg
324,Guinea,62,0,0,0,0,0,nutmeg
624,Guinea-Bissau,63,0,0,0,0,0,nutmeg
430,Liberia,64,0,0,0,0,0,nutmeg
694,Sierra Leone,65,0,0,0,0,0,nutmeg
854,Burkina Faso,66,0.03868543775752187,0,0,0,0,nutmeg
140,Central African Republic,67,0,0,0,0,0,nutmeg
178,Republic of the Congo,68,0,0,0,0,0,nutmeg
266,Gabon,69,0,0,0,0,0,nutmeg
226,Equatorial Guinea,70,0,0,0,0,0,nutmeg
894,Zambia,71,2.277779871597886,0,0,0,0,nutmeg
454,Malawi,72,35.03211036516586,90.77999999999994,476594999.9999997,32953139.999999978,5265239.999999996,nutmeg
508,Mozambique,73,3.671821268624626,0,0,0,0,nutmeg
748,eSwatini,74,0,0,0,0,0,nutmeg
024,Angola,75,0,0,0,0,0,nutmeg
108,Burundi,76,1.642002860084176,0,0,0,0,nutmeg
376,Israel,77,0,0,0,0,0,nutmeg
422,Lebanon,78,0,0,0,0,0,nutmeg
450,Madagascar,79,9.516646835932079,16.879999999999985,88619999.99999993,6127439.999999994,979039.9999999991,nutmeg
275,Israel,80,0,0,0,0,0,nutmeg
270,Gambia,81,0,0,0,0,0,nutmeg
788,Tunisia,82,0,0,0,0,0,nutmeg
012,Algeria,83,0,0,0,0,0,nutmeg
400,Jordan,84,0,0,0,0,0,nutmeg
784,United Arab Emirates,85,0,0,0,0,0,nutmeg
634,Qatar,86,0,0,0,0,0,nutmeg
414,Kuwait,87,0,0,0,0,0,nutmeg
368,Iraq,88,0,0,0,0,0,nutmeg
512,Oman,89,0,0,0,0,0,nutmeg
548,Vanuatu,90,0,0,0,0,0,nutmeg
116,Cambodia,91,9.24422311782837,0,0,0,0,nutmeg
764,Thailand,92,85.32680320553482,0,0,0,0,nutmeg
418,Laos,93,2133.8943191308063,3126.400000000004,16413600000.000021,1134883200.0000014,181331200.00000024,nutmeg
104,Myanmar,94,45.70676217228174,0,0,0,0,nutmeg
704,Vietnam,95,101.03593104332685,0,0,0,0,nutmeg
408,North Korea,96,0,0,0,0,0,nutmeg
410,South Korea,97,0,0,0,0,0,nutmeg
496,Mongolia,98,0,0,0,0,0,nutmeg
356,India,99,12441.266900147046,36999.99999999998,194249999999.99988,13430999999.99999,2145999999.9999986,nutmeg
050,Bangladesh,100,13.93615409033373,0,0,0,0,nutmeg
064,Bhutan,101,5259.391102141235,2174.850000000001,11417962500.000004,789470550.0000002,126141300.00000004,nutmeg
524,Nepal,102,4945.5497565041005,9544.999999999996,50111249999.999985,3464834999.9999986,553609999.9999998,nutmeg
586,Pakistan,103,6.31893425816088,0,0,0,0,nutmeg
004,Afghanistan,104,0.8028189837932587,0,0,0,0,nutmeg
762,Tajikistan,105,15.742161417147145,0,0,0,0,nutmeg
417,Kyrgyzstan,106,55.26497238932643,0,0,0,0,nutmeg
795,Turkmenistan,107,6.56428118981421,0,0,0,0,nutmeg
364,Iran,108,0,0,0,0,0,nutmeg
760,Syria,109,0,0,0,0,0,nutmeg
051,Armenia,110,0,0,0,0,0,nutmeg
752,Sweden,111,0,0,0,0,0,nutmeg
112,Belarus,112,0,0,0,0,0,nutmeg
804,Ukraine,113,38.02933746576309,0,0,0,0,nutmeg
616,Poland,114,34.04428593814373,0,0,0,0,nutmeg
040,Austria,115,26.690171867609024,0,0,0,0,nutmeg
348,Hungary,116,5345.62937932834,0,0,0,0,nutmeg
498,Moldova,117,155.99132347106934,0,0,0,0,nutmeg
642,Romania,118,29256.114116445184,0,0,0,0,nutmeg
440,Lithuania,119,0,0,0,0,0,nutmeg
428,Latvia,120,0,0,0,0,0,nutmeg
233,Estonia,121,0,0,0,0,0,nutmeg
276,Germany,122,6.702693998813629,0,0,0,0,nutmeg
100,Bulgaria,123,342.33203900035005,0,0,0,0,nutmeg
300,Greece,124,66.2615591933718,0,0,0,0,nutmeg
792,Turkey,125,1.8452917695976794,0,0,0,0,nutmeg
008,Albania,126,0.8436179310083389,0,0,0,0,nutmeg
191,Croatia,127,327.2632649242878,0,0,0,0,nutmeg
756,Switzerland,128,0,0,0,0,0,nutmeg
442,Luxembourg,129,0,0,0,0,0,nutmeg
056,Belgium,130,0,0,0,0,0,nutmeg
528,Netherlands,131,0,0,0,0,0,nutmeg
620,Portugal,132,1.5034346673637629,0,0,0,0,nutmeg
724,Spain,133,3235.0171253354056,0,0,0,0,nutmeg
372,Ireland,134,0,0,0,0,0,nutmeg
540,France,135,0,0,0,0,0,nutmeg
090,Solomon Islands,136,0,0,0,0,0,nutmeg
554,New Zealand,137,0,0,0,0,0,nutmeg
