ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,oats
834,United Republic of Tanzania,2,1.7218458205461502,0,0,0,0,oats
732,Western Sahara,3,0,0,0,0,0,oats
124,Canada,4,3359884.4662902243,4575799.999999995,17616829999999.98,343184999999.99963,594853999999.9994,oats
840,United States of America,5,2109121.811785354,953550.0000000058,3671167500000.023,71516250000.00044,123961500000.00076,oats
398,Kazakhstan,6,217046.59075593937,240157.20999999944,924605258499.9978,18011790749.999958,31220437299.999924,oats
860,Uzbekistan,7,528.2548724384978,1899.9999999999993,7314999999.999997,142499999.99999994,246999999.9999999,oats
598,Papua New Guinea,8,0,0,0,0,0,oats
360,Indonesia,9,0,0,0,0,0,oats
032,Argentina,10,499034.12975258834,600104.9999999973,2310404249999.9897,45007874999.9998,78013649999.99965,oats
152,Chile,11,320122.7057620921,477395.9999999995,1837974599999.998,35804699999.99996,62061479999.99994,oats
180,Democratic Republic of the Congo,12,0,0,0,0,0,oats
706,Somalia,13,2.766908986493945,0,0,0,0,oats
404,Kenya,14,3528.8836481738836,3749.559999999992,14435805999.999971,281216999.99999946,487442799.99999905,oats
729,Sudan,15,16.602585673332214,0,0,0,0,oats
148,Chad,16,0,0,0,0,0,oats
332,Haiti,17,0,0,0,0,0,oats
214,Dominican Republic,18,0,0,0,0,0,oats
643,Russia,19,6222975.320067455,4132095.8000000045,15908568830000.018,309907185000.00037,537172454000.0006,oats
044,The Bahamas,20,0,0,0,0,0,oats
238,United Kingdom,21,0,0,0,0,0,oats
578,Norway,22,167302.32026089553,315500.00000000006,1214675000000.0002,23662500000.000004,41015000000.00001,oats
304,Denmark,23,0,0,0,0,0,oats
260,France,24,0,0,0,0,0,oats
626,East Timor,25,0,0,0,0,0,oats
710,South Africa,26,34035.53814600571,56999.99999999985,219449999999.9994,4274999999.9999886,7409999999.99998,oats
426,Lesotho,27,378.70820466428995,332.28999999999996,1279316499.9999998,24921749.999999996,43197699.99999999,oats
484,Mexico,28,92660.10649457866,69016.31000000006,265712793500.00024,5176223250.000005,8972120300.000008,oats
858,Uruguay,29,39071.21750420239,45482.99999999995,175109549999.9998,3411224999.999996,5912789999.999993,oats
076,Brazil,30,265220.94973579474,898404.9999999993,3458859249999.997,67380374999.99994,116792649999.99991,oats
068,Bolivia,31,4442.481214047642,23202.99999999994,89331549999.99977,1740224999.9999955,3016389999.9999924,oats
604,Peru,32,9728.679226914479,22600.999999999916,87013849999.99968,1695074999.9999938,2938129999.999989,oats
170,Colombia,33,1872.1014296885828,0,0,0,0,oats
591,Panama,34,0.0023540754336863756,0,0,0,0,oats
188,Costa Rica,35,0,0,0,0,0,oats
558,Nicaragua,36,0,0,0,0,0,oats
340,Honduras,37,0,0,0,0,0,oats
222,El Salvador,38,0,0,0,0,0,oats
320,Guatemala,39,0,0,0,0,0,oats
084,Belize,40,0,0,0,0,0,oats
862,Venezuela,41,2.0379119906574488,0,0,0,0,oats
328,Guyana,42,0,0,0,0,0,oats
740,Suriname,43,0,0,0,0,0,oats
250,France,44,574178.0207465589,387020.00000000064,1490027000000.0024,29026500000.000046,50312600000.000084,oats
218,Ecuador,45,833.1318483217597,883.4799999999987,3401397999.9999948,66260999.9999999,114852399.99999984,oats
630,United States of America,46,0,0,0,0,0,oats
388,Jamaica,47,0,0,0,0,0,oats
192,Cuba,48,0,0,0,0,0,oats
716,Zimbabwe,49,418.56258201552555,581.7299999999993,2239660499.9999976,43629749.99999995,75624899.99999991,oats
072,Botswana,50,17.080033368896693,0,0,0,0,oats
516,Namibia,51,0.04157285392284393,0,0,0,0,oats
686,Senegal,52,0,0,0,0,0,oats
466,Mali,53,0,0,0,0,0,oats
478,Mauritania,54,0,0,0,0,0,oats
204,Benin,55,0,0,0,0,0,oats
562,Niger,56,0,0,0,0,0,oats
566,Nigeria,57,0,0,0,0,0,oats
120,Cameroon,58,0,0,0,0,0,oats
768,Togo,59,0.3326076873927377,0,0,0,0,oats
288,Ghana,60,18.821583945900784,40.87000000000005,157349500.00000018,3065250.0000000037,5313100.000000006,oats
384,Ivory Coast,61,0.0405803244211711,0,0,0,0,oats
324,Guinea,62,0,0,0,0,0,oats
624,Guinea-Bissau,63,0,0,0,0,0,oats
430,Liberia,64,0,0,0,0,0,oats
694,Sierra Leone,65,0,0,0,0,0,oats
854,Burkina Faso,66,0.02652641572058201,0,0,0,0,oats
140,Central African Republic,67,0,0,0,0,0,oats
178,Republic of the Congo,68,0,0,0,0,0,oats
266,Gabon,69,0,0,0,0,0,oats
226,Equatorial Guinea,70,0,0,0,0,0,oats
894,Zambia,71,0.13453686237335205,0,0,0,0,oats
454,Malawi,72,0,0,0,0,0,oats
508,Mozambique,73,59.45580724161118,0,0,0,0,oats
748,eSwatini,74,47.80260822921991,0,0,0,0,oats
024,Angola,75,0,0,0,0,0,oats
108,Burundi,76,0,0,0,0,0,oats
376,Israel,77,262.0239668004215,259.47000000000025,998959500.000001,19460250.00000002,33731100.00000003,oats
422,Lebanon,78,459.7712724134326,150.00000000000003,577500000.0000001,11250000.000000002,19500000.000000004,oats
450,Madagascar,79,0,0,0,0,0,oats
275,Israel,80,137.0794818997383,0,0,0,0,oats
270,Gambia,81,0,0,0,0,0,oats
788,Tunisia,82,944.1922569461167,1628.1500000000012,6268377500.000005,122111250.0000001,211659500.00000018,oats
012,Algeria,83,34437.356478158385,69384.99999999994,267132249999.99976,5203874999.999995,9020049999.999992,oats
400,Jordan,84,0.022101955488324165,0,0,0,0,oats
784,United Arab Emirates,85,0,0,0,0,0,oats
634,Qatar,86,0,0,0,0,0,oats
414,Kuwait,87,0,0,0,0,0,oats
368,Iraq,88,0.24734889762476087,0,0,0,0,oats
512,Oman,89,0,0,0,0,0,oats
548,Vanuatu,90,0,0,0,0,0,oats
116,Cambodia,91,0,0,0,0,0,oats
764,Thailand,92,0,0,0,0,0,oats
418,Laos,93,0.3805769383907318,0,0,0,0,oats
104,Myanmar,94,100.86020092712715,0,0,0,0,oats
704,Vietnam,95,146.30254172510467,0,0,0,0,oats
408,North Korea,96,16377.47606189549,14398.199999999999,55433070000,1079865000,1871766000,oats
410,South Korea,97,31.50681671500206,0,0,0,0,oats
496,Mongolia,98,1870.9923471358818,16596.300000000057,63895755000.00022,1244722500.0000043,2157519000.000007,oats
356,India,99,73.69232333172113,0,0,0,0,oats
050,Bangladesh,100,0,0,0,0,0,oats
064,Bhutan,101,18.229754991829395,0,0,0,0,oats
524,Nepal,102,178.25684805959463,0,0,0,0,oats
586,Pakistan,103,10.918816059827805,0,0,0,0,oats
004,Afghanistan,104,10.577211537398398,0,0,0,0,oats
762,Tajikistan,105,389.215757294558,3128.240000000002,12043724000.00001,234618000.00000018,406671200.0000003,oats
417,Kyrgyzstan,106,3597.964959322475,2194.8,8449980000,164610000,285324000,oats
795,Turkmenistan,107,0,0,0,0,0,oats
364,Iran,108,4.356141448020935,0,0,0,0,oats
760,Syria,109,185.76629925589077,34.999999999999936,134749999.99999976,2624999.9999999953,4549999.999999992,oats
051,Armenia,110,868.9019053671509,6177.499999999999,23783374999.999996,463312499.99999994,803074999.9999999,oats
752,Sweden,111,922643.6555646216,807600,3109260000000,60570000000,104988000000,oats
112,Belarus,112,530626.7321913242,444546.0000000006,1711502100000.0022,33340950000.000042,57790980000.00008,oats
804,Ukraine,113,898211.9913320839,510000.0000000023,1963500000000.0088,38250000000.00017,66300000000.0003,oats
616,Poland,114,1279304.5732147694,1646720.0000000037,6339872000000.015,123504000000.00029,214073600000.0005,oats
040,Austria,115,134591.16961500212,83970,323284500000,6297750000,10916100000,oats
348,Hungary,116,128064.02836126089,76969.99999999984,296334499999.9994,5772749999.999989,10006099999.999979,oats
498,Moldova,117,6190.538151741028,1546.0000000000007,5952100000.000003,115950000.00000006,200980000.0000001,oats
642,Romania,118,329334.0207019448,196659.99999999985,757140999999.9994,14749499999.999989,25565799999.99998,oats
440,Lithuania,119,93751.96786570549,275570.0000000004,1060944500000.0017,20667750000.00003,35824100000.00005,oats
428,Latvia,120,86716.16628789902,287899.9999999999,1108414999999.9995,21592499999.999992,37426999999.999985,oats
233,Estonia,121,85720.58989691734,117950.00000000003,454107500000.0001,8846250000.000002,15333500000.000004,oats
276,Germany,122,1063700.8384597898,721900.0000000019,2779315000000.0073,54142500000.000145,93847000000.00024,oats
100,Bulgaria,123,62323.7232144773,31660,121891000000,2374500000,4115800000,oats
300,Greece,124,68819.33796609938,77550.00000000003,298567500000.0001,5816250000.000002,10081500000.000004,oats
792,Turkey,125,259247.27520855423,314528.0000000005,1210932800000.002,23589600000.00004,40888640000.00007,oats
008,Albania,126,15281.291111826897,35579.00000000002,136979150000.00009,2668425000.000002,4625270000.000003,oats
191,Croatia,127,51770.194435715675,66100.00000000001,254485000000.00006,4957500000.000001,8593000000.000002,oats
756,Switzerland,128,28851.90477335453,8904.999999999993,34284249999.99997,667874999.9999994,1157649999.999999,oats
442,Luxembourg,129,2618.960325241089,8190,31531500000,614250000,1064700000,oats
056,Belgium,130,12095.39485475421,18239.99999999998,70223999999.99992,1367999999.9999986,2371199999.9999976,oats
528,Netherlands,131,12337.1028842628,7579.9999999999945,29182999999.999977,568499999.9999995,985399999.9999993,oats
620,Portugal,132,54111.5821377635,48630.00000000011,187225500000.00043,3647250000.000008,6321900000.000014,oats
724,Spain,133,720917.1926589906,1377690.0000000037,5304106500000.015,103326750000.00029,179099700000.0005,oats
372,Ireland,134,111977.83467710018,180260.00000000003,694001000000.0001,13519500000.000002,23433800000.000004,oats
540,France,135,0,0,0,0,0,oats
090,Solomon Islands,136,0,0,0,0,0,oats
554,New Zealand,137,36384.15001735091,23264.00000000003,89566400000.00012,1744800000.0000021,3024320000.000004,oats
036,Australia,138,1428809.9840034265,1142934.4700000146,4400297709500.057,85720085250.0011,148581481100.00192,oats
144,Sri Lanka,139,0,0,0,0,0,oats
156,China,140,853661.5738519165,600000.0000000029,2310000000000.011,45000000000.00022,78000000000.00038,oats
158,Taiwan,141,0,0,0,0,0,oats
380,Italy,142,292282.5286705047,249029.9999999997,958765499999.9989,18677249999.999977,32373899999.99996,oats
208,Denmark,143,179860.37927150726,425659.99999999953,1638790999999.998,31924499999.999966,55335799999.99994,oats
826,United Kingdom,144,584601.9885841608,1031000.0000000005,3969350000000.0015,77325000000.00003,134030000000.00005,oats
352,Iceland,145,0,0,0,0,0,oats
031,Azerbaijan,146,394.5021602525376,11100.90000000001,42738465000.00004,832567500.0000008,1443117000.0000014,oats
268,Georgia,147,5189.546202920377,2299.999999999999,8854999999.999996,172499999.99999994,298999999.9999999,oats
608,Philippines,148,0,0,0,0,0,oats
458,Malaysia,149,0,0,0,0,0,oats
096,Brunei,150,0,0,0,0,0,oats
705,Slovenia,151,4562.401794373989,3229.999999999998,12435499999.999992,242249999.99999985,419899999.99999976,oats
246,Finland,152,1210826.4037479162,1212660.000000001,4668741000000.004,90949500000.00008,157645800000.00012,oats
703,Slovakia,153,40468.27237647772,33040.00000000001,127204000000.00003,2478000000.0000005,4295200000.000001,oats
203,Czechia,154,176641.19233703613,183360.00000000003,705936000000.0001,13752000000.000002,23836800000.000004,oats
232,Eritrea,155,0,0,0,0,0,oats
392,Japan,156,2292.6978111367207,316.93000000000023,1220180500.000001,23769750.00000002,41200900.00000003,oats
600,Paraguay,157,184.95534622657578,0,0,0,0,oats
887,Yemen,158,0,0,0,0,0,oats
682,Saudi Arabia,159,0,0,0,0,0,oats
010,Antarctica,160,0,0,0,0,0,oats
-99,Northern Cyprus,161,0,0,0,0,0,oats
196,Cyprus,162,0,0,0,0,0,oats
504,Morocco,163,15549.868243835866,5551.399999999966,21372889999.999866,416354999.99999744,721681999.9999956,oats
818,Egypt,164,0,0,0,0,0,oats
434,Libya,165,0,0,0,0,0,oats
231,Ethiopia,166,42093.122202067636,39514.69999999987,152131594999.9995,2963602499.9999905,5136910999.999984,oats
262,Djibouti,167,0,0,0,0,0,oats
-99,Somaliland,168,0,0,0,0,0,oats
800,Uganda,169,41.080062225461006,0,0,0,0,oats
646,Rwanda,170,0,0,0,0,0,oats
070,Bosnia and Herzegovina,171,54198.11026597023,33945.00000000001,130688250000.00003,2545875000.0000005,4412850000.000001,oats
807,North Macedonia,172,2864.063300162554,6341.000000000003,24412850000.00001,475575000.00000024,824330000.0000004,oats
688,Republic of Serbia,173,96381.41973364353,0,0,0,0,oats
499,Montenegro,174,11601.854920744896,0,0,0,0,oats
-99,Kosovo,175,13381.18166422844,0,0,0,0,oats
780,Trinidad and Tobago,176,0,0,0,0,0,oats
728,South Sudan,177,0.806824610568583,0,0,0,0,oats
