ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,oilpalm
834,United Republic of Tanzania,2,56233.80125280097,76583.49000000031,121001914200.00049,10109020680.00004,229750470.00000092,oilpalm
732,Western Sahara,3,0,0,0,0,0,oilpalm
124,Canada,4,0,0,0,0,0,oilpalm
840,United States of America,5,0,0,0,0,0,oilpalm
398,Kazakhstan,6,604.405982567946,0,0,0,0,oilpalm
860,Uzbekistan,7,7120.912454126461,0,0,0,0,oilpalm
598,Papua New Guinea,8,1091828.679838419,2863507.9899999956,4524342624199.993,377983054679.9994,8590523969.999987,oilpalm
360,Indonesia,9,35908718.59090209,251398336.39999995,397209371511999.94,33184580404799.992,754195009199.9999,oilpalm
032,Argentina,10,612.7203537961468,0,0,0,0,oilpalm
152,Chile,11,0,0,0,0,0,oilpalm
180,Democratic Republic of the Congo,12,959883.2501341403,2138441.4999999986,3378737569999.9976,282274277999.99976,6415324499.999995,oilpalm
706,Somalia,13,0,0,0,0,0,oilpalm
404,Kenya,14,207.79017442464828,0,0,0,0,oilpalm
729,Sudan,15,94.95751437544823,0,0,0,0,oilpalm
148,Chad,16,356.3367735352367,0,0,0,0,oilpalm
332,Haiti,17,4442.438182830811,0,0,0,0,oilpalm
214,Dominican Republic,18,141656.01258182526,291772.1199999996,460999949599.9993,38513919839.99994,875316359.9999987,oilpalm
643,Russia,19,302.66337197239045,0,0,0,0,oilpalm
044,The Bahamas,20,0,0,0,0,0,oilpalm
238,United Kingdom,21,0,0,0,0,0,oilpalm
578,Norway,22,0,0,0,0,0,oilpalm
304,Denmark,23,0,0,0,0,0,oilpalm
260,France,24,0,0,0,0,0,oilpalm
626,East Timor,25,0,0,0,0,0,oilpalm
710,South Africa,26,0,0,0,0,0,oilpalm
426,Lesotho,27,0,0,0,0,0,oilpalm
484,Mexico,28,128871.83169147931,1571230.9700000007,2482544932600.001,207402488040.0001,4713692910.000002,oilpalm
858,Uruguay,29,0,0,0,0,0,oilpalm
076,Brazil,30,422205.8412856165,2867986.0000000037,4531417880000.006,378574152000.0005,8603958000.000011,oilpalm
068,Bolivia,31,93.0244975052774,0,0,0,0,oilpalm
604,Peru,32,168011.27761329105,898480.7300000023,1419599553400.0037,118599456360.00029,2695442190.0000067,oilpalm
170,Colombia,33,2355999.884919853,7172977.999999997,11333305239999.996,946833095999.9995,21518933999.99999,oilpalm
591,Panama,34,52243.55090811849,281987.0000000001,445539460000.0001,37222284000.00001,845961000.0000002,oilpalm
188,Costa Rica,35,602799.3527975082,1138886.9999999993,1799441459999.9988,150333083999.99988,3416660999.9999976,oilpalm
558,Nicaragua,36,47689.10451579094,479999.99999999994,758399999999.9999,63359999999.999985,1439999999.9999998,oilpalm
340,Honduras,37,695572.7613357902,2358430.170000001,3726319668600.001,311312782440.00006,7075290510.000002,oilpalm
222,El Salvador,38,3200.9466247558594,0,0,0,0,oilpalm
320,Guatemala,39,423587.8968746662,2870903.4200000013,4536027403600.002,378959251440.0001,8612710260.000004,oilpalm
084,Belize,40,36.87250518798828,0,0,0,0,oilpalm
862,Venezuela,41,334708.0449086622,588460.8300000003,929768111400.0005,77676829560.00003,1765382490.0000007,oilpalm
328,Guyana,42,14.048632502555847,0,0,0,0,oilpalm
740,Suriname,43,740.7028121203184,1087.5299999999995,1718297399.999999,143553959.9999999,3262589.999999998,oilpalm
250,France,44,0.9242042465339182,0,0,0,0,oilpalm
218,Ecuador,45,1377485.6688119173,2446312.1700000074,3865173228600.011,322913206440.0009,7338936510.000022,oilpalm
630,United States of America,46,0,0,0,0,0,oilpalm
388,Jamaica,47,0,0,0,0,0,oilpalm
192,Cuba,48,0,0,0,0,0,oilpalm
716,Zimbabwe,49,0,0,0,0,0,oilpalm
