ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,oilseednes
834,United Republic of Tanzania,2,20817.464584279805,48270.089999999924,186805248299.9997,15301618529.999975,7095703229.999989,oilseednes
732,Western Sahara,3,0,0,0,0,0,oilseednes
124,Canada,4,68.88790771889113,18322.54000000028,70908229800.00108,5808245180.000089,2693413380.000041,oilseednes
840,United States of America,5,110.59320256308911,0,0,0,0,oilseednes
398,Kazakhstan,6,25547.765953072136,40000.00000000004,154800000000.00015,12680000000.000011,5880000000.000005,oilseednes
860,Uzbekistan,7,520.1540734228911,3035.7899999999972,11748507299.99999,962345429.9999992,446261129.9999996,oilseednes
598,Papua New Guinea,8,0,0,0,0,0,oilseednes
360,Indonesia,9,362.5971293449402,0,0,0,0,oilseednes
032,Argentina,10,0,0,0,0,0,oilseednes
152,Chile,11,0,0,0,0,0,oilseednes
180,Democratic Republic of the Congo,12,0,0,0,0,0,oilseednes
706,Somalia,13,18.892802476882935,0,0,0,0,oilseednes
404,Kenya,14,31602.073106065392,39273.799999999974,151989605999.9999,12449794599.999992,5773248599.999996,oilseednes
729,Sudan,15,12.779516398906708,0,0,0,0,oilseednes
148,Chad,16,0,0,0,0,0,oilseednes
332,Haiti,17,0,0,0,0,0,oilseednes
214,Dominican Republic,18,0,0,0,0,0,oilseednes
643,Russia,19,1968.489454469175,31571.59999999991,122182091999.99965,10008197199.999971,4641025199.999987,oilseednes
044,The Bahamas,20,0,0,0,0,0,oilseednes
238,United Kingdom,21,0,0,0,0,0,oilseednes
578,Norway,22,0,0,0,0,0,oilseednes
304,Denmark,23,0,0,0,0,0,oilseednes
260,France,24,0,0,0,0,0,oilseednes
626,East Timor,25,0,0,0,0,0,oilseednes
710,South Africa,26,10198.187943533645,15153.580000000045,58644354600.000175,4803684860.000014,2227576260.0000067,oilseednes
426,Lesotho,27,1.4563595885410905,0,0,0,0,oilseednes
