ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,okra
834,United Republic of Tanzania,2,1.9081171303987503,0,0,0,0,okra
732,Western Sahara,3,0,0,0,0,0,okra
124,Canada,4,0.012024340336211026,0,0,0,0,okra
840,United States of America,5,7783.656130686571,10546.099999999968,3269290999.99999,31638299.9999999,168737599.9999995,okra
398,Kazakhstan,6,5565.271720057586,0,0,0,0,okra
860,Uzbekistan,7,2035.4568886668421,0,0,0,0,okra
598,Papua New Guinea,8,0,0,0,0,0,okra
360,Indonesia,9,0,0,0,0,0,okra
032,Argentina,10,0,0,0,0,0,okra
152,Chile,11,0,0,0,0,0,okra
180,Democratic Republic of the Congo,12,0,0,0,0,0,okra
706,Somalia,13,2.3242040276527405,0,0,0,0,okra
404,Kenya,14,3904.9190624710172,15104.599999999982,4682425999.999994,45313799.99999995,241673599.99999973,okra
729,Sudan,15,0,0,0,0,0,okra
148,Chad,16,319.30435794591904,0,0,0,0,okra
332,Haiti,17,0,0,0,0,0,okra
214,Dominican Republic,18,0,0,0,0,0,okra
643,Russia,19,88.94219628255814,0,0,0,0,okra
044,The Bahamas,20,0,0,0,0,0,okra
238,United Kingdom,21,0,0,0,0,0,okra
578,Norway,22,584.5438723312757,0,0,0,0,okra
304,Denmark,23,0,0,0,0,0,okra
260,France,24,0,0,0,0,0,okra
626,East Timor,25,0,0,0,0,0,okra
710,South Africa,26,0,0,0,0,0,okra
426,Lesotho,27,0,0,0,0,0,okra
484,Mexico,28,32906.06124828018,40223.3399999998,12469235399.999937,120670019.99999939,643573439.9999968,okra
858,Uruguay,29,0,0,0,0,0,okra
076,Brazil,30,16.46386434743181,0,0,0,0,okra
068,Bolivia,31,0,0,0,0,0,okra
604,Peru,32,0,0,0,0,0,okra
170,Colombia,33,0,0,0,0,0,okra
591,Panama,34,0,0,0,0,0,okra
188,Costa Rica,35,0,0,0,0,0,okra
558,Nicaragua,36,0,0,0,0,0,okra
340,Honduras,37,4.7034220695495605,0,0,0,0,okra
222,El Salvador,38,5.7704010009765625,0,0,0,0,okra
320,Guatemala,39,5742.350979018956,6181.419999999998,1916240199.9999995,18544259.999999996,98902719.99999999,okra
084,Belize,40,134.08062616735697,16.999999999999996,5269999.999999999,50999.99999999999,271999.99999999994,okra
862,Venezuela,41,0.6004086434841156,0,0,0,0,okra
328,Guyana,42,1590.5327193718404,16603.420000000027,5147060200.000009,49810260.00000008,265654720.00000045,okra
740,Suriname,43,1.7940106391906738,0,0,0,0,okra
250,France,44,15588.398547586054,0,0,0,0,okra
218,Ecuador,45,0,0,0,0,0,okra
630,United States of America,46,0,0,0,0,0,okra
388,Jamaica,47,0,0,0,0,0,okra
192,Cuba,48,0,0,0,0,0,okra
716,Zimbabwe,49,0,0,0,0,0,okra
072,Botswana,50,0,0,0,0,0,okra
516,Namibia,51,0,0,0,0,0,okra
686,Senegal,52,0,0,0,0,0,okra
466,Mali,53,267.71803084015846,659809.4099999999,204540917099.99997,1979428229.9999995,10556950560,okra
478,Mauritania,54,0,0,0,0,0,okra
204,Benin,55,53813.527908056974,55125.30999999995,17088846099.999985,165375929.99999985,882004959.9999993,okra
562,Niger,56,3365.5353451371193,0,0,0,0,okra
566,Nigeria,57,619910.0682688653,1758180.000000004,545035800000.00116,5274540000.000011,28130880000.00006,okra
120,Cameroon,58,25674.563304932788,75546.24000000002,23419334400.000008,226638720.00000006,1208739840.0000005,okra
768,Togo,59,3900.6170263290405,0,0,0,0,okra
288,Ghana,60,115936.13786867261,68336.68,21184370799.999996,205010039.99999997,1093386879.9999998,okra
384,Ivory Coast,61,278.0087171792984,188736.00000000006,58508160000.000015,566208000.0000001,3019776000.000001,okra
324,Guinea,62,0,0,0,0,0,okra
624,Guinea-Bissau,63,0,0,0,0,0,okra
430,Liberia,64,0,0,0,0,0,okra
694,Sierra Leone,65,0,0,0,0,0,okra
854,Burkina Faso,66,22459.249635599554,23871.229999999938,7400081299.999981,71613689.9999998,381939679.99999905,okra
140,Central African Republic,67,38.365359514951706,0,0,0,0,okra
178,Republic of the Congo,68,0,0,0,0,0,okra
266,Gabon,69,0,0,0,0,0,okra
226,Equatorial Guinea,70,0,0,0,0,0,okra
894,Zambia,71,0,0,0,0,0,okra
454,Malawi,72,0,0,0,0,0,okra
508,Mozambique,73,0,0,0,0,0,okra
748,eSwatini,74,0,0,0,0,0,okra
024,Angola,75,0,0,0,0,0,okra
108,Burundi,76,0,0,0,0,0,okra
376,Israel,77,2894.1289836466312,0,0,0,0,okra
422,Lebanon,78,2438.543629437685,1050.0000000000005,325500000.0000001,3150000.000000001,16800000.000000007,okra
450,Madagascar,79,0,0,0,0,0,okra
275,Israel,80,1439.1331777572632,3089.999999999999,957899999.9999998,9269999.999999998,49439999.99999999,okra
270,Gambia,81,0,0,0,0,0,okra
