ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,olive
834,United Republic of Tanzania,2,0,0,0,0,0,olive
732,Western Sahara,3,0,0,0,0,0,olive
124,Canada,4,0,0,0,0,0,olive
840,United States of America,5,96674.9663486889,61419.99999999999,107484999999.99998,10748499999.999998,798459999.9999999,olive
398,Kazakhstan,6,1.357806160027394,0,0,0,0,olive
860,Uzbekistan,7,92.35595336335246,118.41999999999999,207234999.99999997,20723499.999999996,1539459.9999999998,olive
598,Papua New Guinea,8,0,0,0,0,0,olive
360,Indonesia,9,0,0,0,0,0,olive
032,Argentina,10,93122.25936642595,321000.00000000146,561750000000.0026,56175000000.00026,4173000000.0000196,olive
152,Chile,11,13809.632463788728,130817.21999999958,228930134999.99924,22893013499.999924,1700623859.9999945,olive
180,Democratic Republic of the Congo,12,0,0,0,0,0,olive
706,Somalia,13,0,0,0,0,0,olive
404,Kenya,14,0,0,0,0,0,olive
729,Sudan,15,0,0,0,0,0,olive
148,Chad,16,0,0,0,0,0,olive
332,Haiti,17,0,0,0,0,0,olive
214,Dominican Republic,18,0,0,0,0,0,olive
643,Russia,19,3.35866467456799,0,0,0,0,olive
044,The Bahamas,20,0,0,0,0,0,olive
238,United Kingdom,21,0,0,0,0,0,olive
578,Norway,22,0,0,0,0,0,olive
304,Denmark,23,0,0,0,0,0,olive
260,France,24,0,0,0,0,0,olive
626,East Timor,25,0,0,0,0,0,olive
710,South Africa,26,0,0,0,0,0,olive
426,Lesotho,27,0,0,0,0,0,olive
484,Mexico,28,14655.193509222263,26762.369999999937,46834147499.99989,4683414749.9999895,347910809.9999992,olive
858,Uruguay,29,3083.558655392316,1930.9999999999984,3379249999.9999976,337924999.99999976,25102999.99999998,olive
076,Brazil,30,102.5364646355254,2650.9999999999964,4639249999.999993,463924999.99999934,34462999.999999955,olive
068,Bolivia,31,19.18409239934249,0,0,0,0,olive
604,Peru,32,23527.255112788516,174315.85,305052737500,30505273750,2266106050,olive
170,Colombia,33,6.3357191197564475,0,0,0,0,olive
591,Panama,34,0,0,0,0,0,olive
188,Costa Rica,35,0,0,0,0,0,olive
558,Nicaragua,36,0,0,0,0,0,olive
340,Honduras,37,37.3406343460083,0,0,0,0,olive
222,El Salvador,38,3448.51877489686,11273.279999999993,19728239999.99999,1972823999.999999,146552639.99999994,olive
320,Guatemala,39,61.330265045166016,0,0,0,0,olive
084,Belize,40,0,0,0,0,0,olive
862,Venezuela,41,2.995711670727118e-6,0,0,0,0,olive
328,Guyana,42,2.709071732169832e-4,0,0,0,0,olive
740,Suriname,43,0,0,0,0,0,olive
250,France,44,18751.550691127002,27690.000000000036,48457500000.00006,4845750000.000007,359970000.0000005,olive
218,Ecuador,45,66.78147599101067,0,0,0,0,olive
630,United States of America,46,0,0,0,0,0,olive
388,Jamaica,47,0,0,0,0,0,olive
192,Cuba,48,0,0,0,0,0,olive
716,Zimbabwe,49,0,0,0,0,0,olive
072,Botswana,50,0,0,0,0,0,olive
516,Namibia,51,0,0,0,0,0,olive
686,Senegal,52,0,0,0,0,0,olive
466,Mali,53,0,0,0,0,0,olive
478,Mauritania,54,0,0,0,0,0,olive
204,Benin,55,0,0,0,0,0,olive
562,Niger,56,0,0,0,0,0,olive
566,Nigeria,57,0,0,0,0,0,olive
120,Cameroon,58,0,0,0,0,0,olive
768,Togo,59,0,0,0,0,0,olive
288,Ghana,60,0,0,0,0,0,olive
384,Ivory Coast,61,0,0,0,0,0,olive
324,Guinea,62,0,0,0,0,0,olive
624,Guinea-Bissau,63,0,0,0,0,0,olive
430,Liberia,64,0,0,0,0,0,olive
694,Sierra Leone,65,0,0,0,0,0,olive
854,Burkina Faso,66,0,0,0,0,0,olive
140,Central African Republic,67,0,0,0,0,0,olive
178,Republic of the Congo,68,0,0,0,0,0,olive
266,Gabon,69,0,0,0,0,0,olive
226,Equatorial Guinea,70,0,0,0,0,0,olive
894,Zambia,71,0,0,0,0,0,olive
454,Malawi,72,0,0,0,0,0,olive
508,Mozambique,73,0,0,0,0,0,olive
748,eSwatini,74,0,0,0,0,0,olive
024,Angola,75,0,0,0,0,0,olive
108,Burundi,76,0,0,0,0,0,olive
376,Israel,77,60833.30854177475,83000,145250000000,14525000000,1079000000,olive
422,Lebanon,78,92129.84041595459,136379.9999999999,238664999999.99985,23866499999.999985,1772939999.9999988,olive
450,Madagascar,79,0,0,0,0,0,olive
275,Israel,80,35875.569553375244,76630,134102500000,13410250000,996190000,olive
270,Gambia,81,0,0,0,0,0,olive
788,Tunisia,82,239868.41695404053,1999999.9999999995,3499999999999.9995,349999999999.99994,25999999999.999996,olive
012,Algeria,83,226118.4569124058,1079507.9999999995,1889138999999.9993,188913899999.99994,14033603999.999996,olive
400,Jordan,84,63873.04972887039,169264.99999999994,296213749999.99994,29621374999.999992,2200444999.9999995,olive
784,United Arab Emirates,85,0,0,0,0,0,olive
634,Qatar,86,0,0,0,0,0,olive
414,Kuwait,87,11.979458540678024,740,1295000000,129500000,9620000,olive
368,Iraq,88,2348.114656716585,33912.00000000001,59346000000.00001,5934600000.000001,440856000.0000001,olive
512,Oman,89,0,0,0,0,0,olive
548,Vanuatu,90,0,0,0,0,0,olive
116,Cambodia,91,0,0,0,0,0,olive
764,Thailand,92,0,0,0,0,0,olive
418,Laos,93,0,0,0,0,0,olive
104,Myanmar,94,0.5816421938652638,0,0,0,0,olive
704,Vietnam,95,1.1680722353048623,0,0,0,0,olive
408,North Korea,96,0.8653992144390941,0,0,0,0,olive
410,South Korea,97,0,0,0,0,0,olive
496,Mongolia,98,0.04442171875052736,0,0,0,0,olive
356,India,99,0.09058215361983457,0,0,0,0,olive
050,Bangladesh,100,0,0,0,0,0,olive
064,Bhutan,101,0.011460356327006593,0,0,0,0,olive
524,Nepal,102,0.08065215965621064,0,0,0,0,olive
586,Pakistan,103,0.005626458412734792,0,0,0,0,olive
004,Afghanistan,104,46.08289862730089,7546.09,13205657500,1320565750,98099170,olive
762,Tajikistan,105,0.8308934702072293,0,0,0,0,olive
417,Kyrgyzstan,106,0.3979965369217098,0,0,0,0,olive
795,Turkmenistan,107,86.02186221210286,0,0,0,0,olive
364,Iran,108,31622.366733312607,101808.90000000042,178165575000.00073,17816557500.000072,1323515700.0000055,olive
760,Syria,109,638706.2385797501,781203.9999999991,1367106999999.9983,136710699999.99983,10155651999.999989,olive
051,Armenia,110,360.8064270466566,0,0,0,0,olive
752,Sweden,111,0,0,0,0,0,olive
112,Belarus,112,0,0,0,0,0,olive
804,Ukraine,113,0,0,0,0,0,olive
616,Poland,114,0,0,0,0,0,olive
040,Austria,115,102.03869430348277,0,0,0,0,olive
348,Hungary,116,2728.6355048306286,0,0,0,0,olive
498,Moldova,117,0,0,0,0,0,olive
642,Romania,118,456.2248227777891,0,0,0,0,olive
440,Lithuania,119,0,0,0,0,0,olive
428,Latvia,120,0,0,0,0,0,olive
233,Estonia,121,0,0,0,0,0,olive
276,Germany,122,0,0,0,0,0,olive
100,Bulgaria,123,1211.9795775003731,0,0,0,0,olive
300,Greece,124,1641342.596792196,3051400,5339950000000,533995000000,39668200000,olive
792,Turkey,125,1057185.6075600982,1316625.9999999986,2304095499999.9976,230409549999.99976,17116137999.999983,olive
008,Albania,126,40902.427093058825,131970.99999999988,230949249999.9998,23094924999.99998,1715622999.9999986,olive
191,Croatia,127,23994.109851062298,33230.00000000002,58152500000.00004,5815250000.000004,431990000.0000003,olive
756,Switzerland,128,7.305886656045914,0,0,0,0,olive
442,Luxembourg,129,0,0,0,0,0,olive
056,Belgium,130,0,0,0,0,0,olive
528,Netherlands,131,0,0,0,0,0,olive
620,Portugal,132,266816.59004080296,735350.0000000003,1286862500000.0007,128686250000.00006,9559550000.000006,olive
724,Spain,133,5253638.054990649,8137809.999999995,14241167499999.992,1424116749999.9993,105791529999.99994,olive
372,Ireland,134,0,0,0,0,0,olive
540,France,135,0,0,0,0,0,olive
090,Solomon Islands,136,0,0,0,0,0,olive
554,New Zealand,137,0,0,0,0,0,olive
036,Australia,138,1570.180450542404,48204.0299999998,84357052499.99965,8435705249.999966,626652389.9999975,olive
144,Sri Lanka,139,0,0,0,0,0,olive
156,China,140,2936.74310523975,0,0,0,0,olive
