ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,onion
834,United Republic of Tanzania,2,49773.94999842346,200200.58999999933,62062182899.999794,400401179.9999987,2202206489.999993,onion
732,Western Sahara,3,0,0,0,0,0,onion
124,Canada,4,176083.54750616205,232800.0000000012,72168000000.00037,465600000.0000024,2560800000.0000134,onion
840,United States of America,5,2894769.056988821,3353499.999999996,1039584999999.9987,6706999999.999992,36888499999.999954,onion
398,Kazakhstan,6,254035.45541613677,993491.850000001,307982473500.0003,1986983700.000002,10928410350.000011,onion
860,Uzbekistan,7,448994.15024220943,1256084.9999999993,389386349999.99976,2512169999.9999986,13816934999.999992,onion
598,Papua New Guinea,8,0,0,0,0,0,onion
360,Indonesia,9,693123.886166729,1815445.3400000015,562788055400.0005,3630890680.0000033,19969898740.00002,onion
032,Argentina,10,623830.3740277144,661454.0299999982,205050749299.99945,1322908059.9999964,7275994329.999981,onion
152,Chile,11,268267.24785381096,394587.04999999946,122321985499.99983,789174099.999999,4340457549.999994,onion
180,Democratic Republic of the Congo,12,53938.01502524316,56255.32000000007,17439149200.000023,112510640.00000015,618808520.0000008,onion
706,Somalia,13,11588.901002764702,5801.859999999992,1798576599.9999976,11603719.999999985,63820459.999999925,onion
404,Kenya,14,59574.019541196525,196966.91000000053,61059742100.00016,393933820.0000011,2166636010.0000057,onion
729,Sudan,15,36978.126348849386,0,0,0,0,onion
148,Chad,16,13347.444319433533,21902.839999999935,6789880399.99998,43805679.99999987,240931239.99999928,onion
332,Haiti,17,4673.638496994972,8765.94,2717441400,17531880,96425340.00000001,onion
214,Dominican Republic,18,33729.03592592478,68034.02000000002,21090546200.000008,136068040.00000006,748374220.0000004,onion
643,Russia,19,1300509.7104196975,1738164.999999977,538831149999.9929,3476329999.999954,19119814999.99975,onion
044,The Bahamas,20,0,0,0,0,0,onion
238,United Kingdom,21,0,0,0,0,0,onion
578,Norway,22,0,0,0,0,0,onion
304,Denmark,23,0,0,0,0,0,onion
260,France,24,0,0,0,0,0,onion
626,East Timor,25,23.51752471923828,0,0,0,0,onion
710,South Africa,26,333082.57071932126,726226.0000000002,225130060000.00006,1452452000.0000005,7988486000.000003,onion
426,Lesotho,27,209.7669139802456,0,0,0,0,onion
484,Mexico,28,96286.84038745216,1499740.7300000016,464919626300.0005,2999481460.0000033,16497148030.000017,onion
858,Uruguay,29,26794.796000863425,31056.969999999976,9627660699.999992,62113939.999999955,341626669.99999976,onion
076,Brazil,30,1033014.7665388015,1499617.9999999877,464881579999.99615,2999235999.999975,16495797999.999865,onion
068,Bolivia,31,49410.77732124645,119734.30000000034,37117633000.00011,239468600.0000007,1317077300.0000038,onion
604,Peru,32,378011.51892032474,604802.6700000002,187488827700.00006,1209605340.0000005,6652829370.000003,onion
170,Colombia,33,624856.862159022,617465.1699999959,191414202699.9987,1234930339.9999917,6792116869.999954,onion
591,Panama,34,10190.27448531799,21966,6809460000,43932000,241626000.00000003,onion
188,Costa Rica,35,20953.352847337723,36546.000000000015,11329260000.000004,73092000.00000003,402006000.0000002,onion
558,Nicaragua,36,5571.449631266296,20663.999999999996,6405839999.999999,41328000,227304000,onion
340,Honduras,37,11574.698664434254,14928.75000000001,4627912500.000003,29857500.00000002,164216250.00000012,onion
222,El Salvador,38,3720.7092083096504,2503.1800000000017,775985800.0000005,5006360.000000003,27534980.00000002,onion
320,Guatemala,39,98416.02954220772,170962.00000000006,52998220000.000015,341924000.0000001,1880582000.0000007,onion
084,Belize,40,8.562520384788513,0,0,0,0,onion
862,Venezuela,41,214824.28657933374,182179.40999999968,56475617099.9999,364358819.9999994,2003973509.9999967,onion
328,Guyana,42,5.951384663581848,2446.3499999999995,758368499.9999999,4892699.999999999,26909849.999999996,onion
740,Suriname,43,0,0,0,0,0,onion
250,France,44,369482.94185592234,727149.999999998,225416499999.9994,1454299999.9999962,7998649999.999979,onion
218,Ecuador,45,1361.5924252569675,0,0,0,0,onion
630,United States of America,46,0,0,0,0,0,onion
388,Jamaica,47,1370.7507022619247,1757,544670000,3514000,19327000,onion
192,Cuba,48,56651.3699657619,56772.00000000004,17599320000.00001,113544000.00000007,624492000.0000005,onion
716,Zimbabwe,49,2335.114862250164,3728.5499999999965,1155850499.9999988,7457099.999999993,41014049.99999996,onion
072,Botswana,50,814.7951535987668,10015.95000000001,3104944500.0000033,20031900.000000022,110175450.00000012,onion
516,Namibia,51,11.151345372200012,25859.38,8016407800,51718760,284453180,onion
686,Senegal,52,73798.16153544188,412305.00000000023,127814550000.00008,824610000.0000005,4535355000.000003,onion
466,Mali,53,30183.099534107023,80142.77000000012,24844258700.00004,160285540.00000024,881570470.0000014,onion
478,Mauritania,54,1201.952188193798,0,0,0,0,onion
204,Benin,55,12902.101495809853,77362.27,23982303700,154724540,850984970.0000001,onion
562,Niger,56,243397.66239839792,1310444.0199999984,406237646199.9995,2620888039.999997,14414884219.999985,onion
566,Nigeria,57,533620.5243931711,1517270.0000000056,470353700000.0017,3034540000.0000114,16689970000.000063,onion
120,Cameroon,58,60290.71541067958,338634.6600000004,104976744600.00012,677269320.0000008,3724981260.0000043,onion
768,Togo,59,780.7163895983249,0,0,0,0,onion
288,Ghana,60,36168.67176254094,149111.58000000013,46224589800.000046,298223160.0000003,1640227380.0000017,onion
384,Ivory Coast,61,91.69625663757324,0,0,0,0,onion
324,Guinea,62,36.73135979287326,0,0,0,0,onion
624,Guinea-Bissau,63,592.0562388896942,0,0,0,0,onion
