ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,orange
834,United Republic of Tanzania,2,584.5279501299956,439782.39999999845,149526015999.99948,439782399.9999985,3078476799.999989,orange
732,Western Sahara,3,0,0,0,0,0,orange
124,Canada,4,0,0,0,0,0,orange
840,United States of America,5,10839026.2959464,4766350.000000008,1620559000000.003,4766350000.000009,33364450000.000057,orange
398,Kazakhstan,6,474.39517673105,0,0,0,0,orange
860,Uzbekistan,7,59.07030013948679,0,0,0,0,orange
598,Papua New Guinea,8,0,0,0,0,0,orange
360,Indonesia,9,918258.2761447728,2722951.8400000073,925803625600.0024,2722951840.0000076,19060662880.00005,orange
032,Argentina,10,721434.6116657013,1000000.000000001,340000000000.0003,1000000000.000001,7000000000.000007,orange
152,Chile,11,102275.88189226668,134275.38000000012,45653629200.00004,134275380.00000012,939927660.0000007,orange
180,Democratic Republic of the Congo,12,176578.07291522808,166881.73000000056,56739788200.0002,166881730.0000006,1168172110.0000038,orange
706,Somalia,13,8388.615057457238,11095.32,3772408800,11095320,77667240,orange
404,Kenya,14,26327.059991971124,145444.78000000026,49451225200.00009,145444780.00000027,1018113460.0000018,orange
729,Sudan,15,10312.344997712877,0,0,0,0,orange
148,Chad,16,171.9022875027731,0,0,0,0,orange
332,Haiti,17,25988.23046517372,64030.00000000002,21770200000.000008,64030000.00000003,448210000.0000001,orange
214,Dominican Republic,18,98431.70302379131,97177.15000000011,33040231000.00004,97177150.00000012,680240050.0000007,orange
643,Russia,19,1317.0393083393574,66.59999999999998,22643999.999999993,66599.99999999999,466199.9999999998,orange
044,The Bahamas,20,0,0,0,0,0,orange
238,United Kingdom,21,0,0,0,0,0,orange
578,Norway,22,0,0,0,0,0,orange
304,Denmark,23,0,0,0,0,0,orange
260,France,24,0,0,0,0,0,orange
626,East Timor,25,412.0246456563473,1918.9499999999998,652443000,1918950,13432650,orange
710,South Africa,26,1115442.7517452398,1499311.0000000014,509765740000.0004,1499311000.0000014,10495177000.00001,orange
426,Lesotho,27,4.261989340186119,0,0,0,0,orange
484,Mexico,28,3745403.917918976,4648619.969999994,1580530789799.998,4648619969.999994,32540339789.999954,orange
858,Uruguay,29,123310.51021553203,88537.00000000012,30102580000.000042,88537000.00000012,619759000.0000008,orange
076,Brazil,30,19956994.58918744,16721556.00000007,5685329040000.023,16721556000.00007,117050892000.00049,orange
068,Bolivia,31,109218.58541490417,191817.00000000064,65217780000.00022,191817000.00000066,1342719000.0000045,orange
604,Peru,32,252887.7970652536,558614.2799999984,189928855199.99945,558614279.9999985,3910299959.9999886,orange
170,Colombia,33,331180.72634978616,366013.47000000044,124444579800.00015,366013470.0000005,2562094290.000003,orange
591,Panama,34,31942.77101810649,242679.0000000001,82510860000.00003,242679000.00000012,1698753000.0000005,orange
188,Costa Rica,35,352601.1720805168,258233.99999999994,87799559999.99998,258233999.99999997,1807637999.9999995,orange
558,Nicaragua,36,68356.42470011115,109162.76999999981,37115341799.99994,109162769.99999982,764139389.9999986,orange
340,Honduras,37,145024.77893784642,241868.26999999981,82235211799.99994,241868269.99999982,1693077889.9999986,orange
222,El Salvador,38,34999.3171646595,57489.389999999985,19546392599.999996,57489389.99999999,402425729.9999999,orange
320,Guatemala,39,93266.35377696157,166915.07999999978,56751127199.99992,166915079.9999998,1168405559.9999983,orange
084,Belize,40,204038.6868146658,95099.85999999999,32333952399.999996,95099860,665699019.9999999,orange
862,Venezuela,41,435872.538939165,324435.5099999996,110308073399.99988,324435509.99999964,2271048569.999997,orange
328,Guyana,42,4012.2421615235507,23553.510000000013,8008193400.000004,23553510.000000015,164874570.00000006,orange
740,Suriname,43,10060.359457410872,19314,6566760000,19314000,135198000,orange
250,France,44,3251.868320589594,10660.000000000007,3624400000.0000024,10660000.000000007,74620000.00000004,orange
218,Ecuador,45,181051.4122299503,146159.38000000015,49694189200.000046,146159380.00000015,1023115660.000001,orange
630,United States of America,46,15777.553464889526,12799.060000000005,4351680400.000002,12799060.000000006,89593420.00000003,orange
388,Jamaica,47,132204.0281791687,71144,24188960000,71144000,498007999.99999994,orange
192,Cuba,48,454187.8216486424,9987.699999999997,3395817999.999999,9987699.999999998,69913899.99999997,orange
716,Zimbabwe,49,101610.36082515866,100864.67000000003,34293987800.000008,100864670.00000003,706052690.0000001,orange
072,Botswana,50,2023.1045222950634,4033.78,1371485200,4033780,28236460,orange
516,Namibia,51,2.1757889529690146,2019.9900000000005,686796600.0000001,2019990.0000000005,14139930.000000002,orange
686,Senegal,52,15644.193784255534,56799.99999999996,19311999999.99999,56799999.99999997,397599999.9999997,orange
466,Mali,53,220.271564114606,354636.00000000006,120576240000.00002,354636000.00000006,2482452000,orange
478,Mauritania,54,271.70071367546916,0,0,0,0,orange
204,Benin,55,7586.745236712042,14983.730000000014,5094468200.000005,14983730.000000015,104886110.0000001,orange
562,Niger,56,28.03179109445773,0,0,0,0,orange
566,Nigeria,57,108.98934884369373,0,0,0,0,orange
120,Cameroon,58,7.198814392089844,0,0,0,0,orange
768,Togo,59,25203.5967310071,15082.900000000005,5128186000.000002,15082900.000000007,105580300.00000003,orange
288,Ghana,60,242288.9920707289,698216.7499999998,237393694999.99994,698216749.9999999,4887517249.999998,orange
384,Ivory Coast,61,29134.130268865265,41626.43000000006,14152986200.000021,41626430.00000006,291385010.0000004,orange
324,Guinea,62,164.5863879788667,0,0,0,0,orange
624,Guinea-Bissau,63,3032.3293577581644,7056.11,2399077400,7056110,49392770,orange
430,Liberia,64,5435.7509553432465,7886.169999999997,2681297799.999999,7886169.999999997,55203189.99999998,orange
694,Sierra Leone,65,30.660197615623474,0,0,0,0,orange
854,Burkina Faso,66,684.5645496943034,617.2099999999997,209851399.9999999,617209.9999999998,4320469.999999998,orange
140,Central African Republic,67,21367.07781822607,33946.34000000004,11541755600.000013,33946340.000000045,237624380.00000027,orange
