ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,pea
834,United Republic of Tanzania,2,23466.300922270864,33775.749999999876,116864094999.99957,607963499.9999977,7599543749.999971,pea
732,Western Sahara,3,0,0,0,0,0,pea
124,Canada,4,2129168.4530665725,4594400.0000000475,15896624000000.164,82699200000.00085,1033740000000.0106,pea
840,United States of America,5,251167.51266298824,981080.0000000042,3394536800000.0146,17659440000.000076,220743000000.00095,pea
398,Kazakhstan,6,19748.9348492336,118446.10999999999,409823540599.99994,2132029979.9999995,26650374749.999996,pea
860,Uzbekistan,7,722.1655170979211,3480.589999999994,12042841399.999979,62650619.999999896,783132749.9999987,pea
598,Papua New Guinea,8,0,0,0,0,0,pea
360,Indonesia,9,0,0,0,0,0,pea
032,Argentina,10,24000.939832960674,195675.99999999985,677038959999.9995,3522167999.9999976,44027099999.99997,pea
152,Chile,11,1698.6646782244525,917.480000000003,3174480800.0000105,16514640.000000054,206433000.00000066,pea
180,Democratic Republic of the Congo,12,1424.7160612272564,1450.000000000001,5017000000.000003,26100000.00000002,326250000.00000024,pea
706,Somalia,13,0,0,0,0,0,pea
404,Kenya,14,115.79246234893799,0,0,0,0,pea
729,Sudan,15,415.3592109680176,0,0,0,0,pea
148,Chad,16,0,0,0,0,0,pea
332,Haiti,17,8.681839719414711,0,0,0,0,pea
214,Dominican Republic,18,276.8377833161503,438.70000000000016,1517902000.0000007,7896600.000000004,98707500.00000004,pea
643,Russia,19,982146.261017235,2740075.3999999743,9480660883999.912,49321357199.99954,616516964999.9943,pea
044,The Bahamas,20,0,0,0,0,0,pea
238,United Kingdom,21,0,0,0,0,0,pea
578,Norway,22,0,0,0,0,0,pea
304,Denmark,23,0,0,0,0,0,pea
260,France,24,0,0,0,0,0,pea
626,East Timor,25,0,0,0,0,0,pea
710,South Africa,26,1268.1326781189346,916.1200000000026,3169775200.000009,16490160.000000047,206127000.0000006,pea
426,Lesotho,27,2140.97536553815,16.999999999999993,58819999.99999998,305999.9999999999,3824999.9999999986,pea
