ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,peachetc
834,United Republic of Tanzania,2,0.16996745392680168,0,0,0,0,peachetc
732,Western Sahara,3,0,0,0,0,0,peachetc
124,Canada,4,32302.532633321127,19505.00000000002,6436650000.000006,19505000.00000002,97525000.00000009,peachetc
840,United States of America,5,1252887.5409763502,703300.0000000027,232089000000.0009,703300000.0000027,3516500000.0000134,peachetc
398,Kazakhstan,6,2239.890833670652,4209.899999999988,1389266999.9999962,4209899.999999988,21049499.99999994,peachetc
860,Uzbekistan,7,43276.277493031695,184264.99999999962,60807449999.99988,184264999.99999964,921324999.9999981,peachetc
598,Papua New Guinea,8,0,0,0,0,0,peachetc
360,Indonesia,9,0,0,0,0,0,peachetc
032,Argentina,10,233594.66507781626,101000.00000000009,33330000000.000027,101000000.00000009,505000000.0000004,peachetc
152,Chile,11,260998.6078209776,309445.42000000086,102116988600.00029,309445420.0000009,1547227100.0000043,peachetc
180,Democratic Republic of the Congo,12,0,0,0,0,0,peachetc
706,Somalia,13,0.20703082159161568,0,0,0,0,peachetc
404,Kenya,14,347.83460959861986,142.29999999999998,46958999.99999999,142299.99999999997,711499.9999999999,peachetc
729,Sudan,15,0,0,0,0,0,peachetc
148,Chad,16,10.940572892548516,0,0,0,0,peachetc
332,Haiti,17,0,0,0,0,0,peachetc
214,Dominican Republic,18,0,0,0,0,0,peachetc
643,Russia,19,21118.90674454942,39999.99999999973,13199999999.999912,39999999.99999973,199999999.99999866,peachetc
044,The Bahamas,20,0,0,0,0,0,peachetc
238,United Kingdom,21,0,0,0,0,0,peachetc
578,Norway,22,0,0,0,0,0,peachetc
304,Denmark,23,0,0,0,0,0,peachetc
260,France,24,0,0,0,0,0,peachetc
626,East Timor,25,0,0,0,0,0,peachetc
710,South Africa,26,226387.9441295052,175373.99999999953,57873419999.99984,175373999.99999952,876869999.9999976,peachetc
426,Lesotho,27,53.167832581326365,0,0,0,0,peachetc
484,Mexico,28,148990.8454721702,172950.32000000068,57073605600.00022,172950320.0000007,864751600.0000033,peachetc
858,Uruguay,29,19118.91841787845,11165.000000000007,3684450000.0000024,11165000.000000007,55825000.00000004,peachetc
076,Brazil,30,174117.03424589837,201855.99999999994,66612479999.999985,201855999.99999997,1009279999.9999998,peachetc
068,Bolivia,31,36406.50789237255,59435.00000000023,19613550000.00008,59435000.00000024,297175000.0000012,peachetc
604,Peru,32,35088.05442770664,40826.999999999956,13472909999.999987,40826999.99999996,204134999.9999998,peachetc
170,Colombia,33,56.011866757182474,31386.40999999999,10357515299.999996,31386409.99999999,156932049.99999994,peachetc
591,Panama,34,0,0,0,0,0,peachetc
188,Costa Rica,35,0,0,0,0,0,peachetc
558,Nicaragua,36,0,0,0,0,0,peachetc
340,Honduras,37,0,0,0,0,0,peachetc
222,El Salvador,38,0,0,0,0,0,peachetc
320,Guatemala,39,0,0,0,0,0,peachetc
084,Belize,40,0,0,0,0,0,peachetc
862,Venezuela,41,17622.294142665178,29818.99999999998,9840269999.999994,29818999.999999985,149094999.9999999,peachetc
328,Guyana,42,0.4896489083766937,0,0,0,0,peachetc
740,Suriname,43,0,0,0,0,0,peachetc
250,France,44,415973.1642679721,234099.99999999945,77252999999.99982,234099999.99999943,1170499999.9999971,peachetc
218,Ecuador,45,14501.342064560566,4562.530000000003,1505634900.0000012,4562530.000000004,22812650.00000002,peachetc
630,United States of America,46,0,0,0,0,0,peachetc
388,Jamaica,47,0,0,0,0,0,peachetc
192,Cuba,48,0,0,0,0,0,peachetc
716,Zimbabwe,49,935.1831038333476,994.0200000000003,328026600.0000001,994020.0000000005,4970100.000000002,peachetc
072,Botswana,50,93.50635683909059,0,0,0,0,peachetc
516,Namibia,51,0.9144441187381744,0,0,0,0,peachetc
686,Senegal,52,0,0,0,0,0,peachetc
466,Mali,53,0,0,0,0,0,peachetc
478,Mauritania,54,0,0,0,0,0,peachetc
204,Benin,55,0,0,0,0,0,peachetc
562,Niger,56,0,0,0,0,0,peachetc
566,Nigeria,57,0.8318495000712574,0,0,0,0,peachetc
120,Cameroon,58,428.33006476273295,997.0200000000004,329016600.0000001,997020.0000000005,4985100.000000002,peachetc
768,Togo,59,0,0,0,0,0,peachetc
288,Ghana,60,0,0,0,0,0,peachetc
384,Ivory Coast,61,0,0,0,0,0,peachetc
324,Guinea,62,0,0,0,0,0,peachetc
624,Guinea-Bissau,63,0,0,0,0,0,peachetc
430,Liberia,64,0,0,0,0,0,peachetc
694,Sierra Leone,65,0,0,0,0,0,peachetc
854,Burkina Faso,66,0,0,0,0,0,peachetc
140,Central African Republic,67,1.9602504972135648,0,0,0,0,peachetc
178,Republic of the Congo,68,0.7858503992902115,0,0,0,0,peachetc
266,Gabon,69,0,0,0,0,0,peachetc
226,Equatorial Guinea,70,0,0,0,0,0,peachetc
894,Zambia,71,0.22383656725287437,0,0,0,0,peachetc
454,Malawi,72,0,0,0,0,0,peachetc
508,Mozambique,73,785.7408172357827,0,0,0,0,peachetc
748,eSwatini,74,831.5957962553948,0,0,0,0,peachetc
024,Angola,75,0,0,0,0,0,peachetc
108,Burundi,76,0,0,0,0,0,peachetc
376,Israel,77,11689.071781873703,58120.00000000001,19179600000.000004,58120000.000000015,290600000.00000006,peachetc
422,Lebanon,78,33628.52794837952,39180,12929400000,39180000,195900000,peachetc
450,Madagascar,79,7217.105623549782,11274.840000000026,3720697200.0000086,11274840.000000026,56374200.00000013,peachetc
275,Israel,80,9715.060767650604,1777.6499999999994,586624499.9999998,1777649.9999999993,8888249.999999996,peachetc
270,Gambia,81,0,0,0,0,0,peachetc
788,Tunisia,82,55832.09329009056,147000.00000000012,48510000000.00004,147000000.00000012,735000000.0000006,peachetc
012,Algeria,83,57198.22006011009,186444.1000000003,61526553000.00009,186444100.0000003,932220500.0000014,peachetc
400,Jordan,84,5207.722344264388,87568.99999999997,28897769999.999992,87568999.99999999,437844999.9999999,peachetc
784,United Arab Emirates,85,0,0,0,0,0,peachetc
634,Qatar,86,0,0,0,0,0,peachetc
414,Kuwait,87,0,0,0,0,0,peachetc
368,Iraq,88,1079.553715467453,3645.000000000001,1202850000.0000002,3645000.000000001,18225000.000000004,peachetc
512,Oman,89,0,0,0,0,0,peachetc
548,Vanuatu,90,0,0,0,0,0,peachetc
116,Cambodia,91,0,0,0,0,0,peachetc
764,Thailand,92,0,0,0,0,0,peachetc
418,Laos,93,0.4046000838279724,0,0,0,0,peachetc
104,Myanmar,94,723.0471637938172,0,0,0,0,peachetc
704,Vietnam,95,1050.9869250059128,0,0,0,0,peachetc
408,North Korea,96,109476.42582282424,121984.60000000002,40254918000.00001,121984600.00000003,609923000.0000001,peachetc
410,South Korea,97,150293.57847994566,189058.00000000017,62389140000.00005,189058000.00000018,945290000.0000008,peachetc
496,Mongolia,98,0.6901096012152266,0,0,0,0,peachetc
356,India,99,123386.9038470004,0,0,0,0,peachetc
050,Bangladesh,100,150.35801346600056,0,0,0,0,peachetc
064,Bhutan,101,1.5455410685390234,1061.19,350192700,1061190,5305950,peachetc
524,Nepal,102,113.98792365565896,11463,3782790000,11463000,57315000,peachetc
586,Pakistan,103,49322.00926738279,110764.00000000003,36552120000.00001,110764000.00000003,553820000.0000001,peachetc
004,Afghanistan,104,927.7001079656184,70012.00000000001,23103960000.000004,70012000.00000001,350060000.00000006,peachetc
762,Tajikistan,105,13700.270912474021,30634.240000000023,10109299200.000008,30634240.000000026,153171200.00000012,peachetc
417,Kyrgyzstan,106,2288.6437476543324,11453.319999999974,3779595599.9999914,11453319.999999976,57266599.99999987,peachetc
795,Turkmenistan,107,10587.091814883053,29382.80999999999,9696327299.999996,29382809.99999999,146914049.99999994,peachetc
364,Iran,108,312027.2235978842,604717.7799999998,199556867399.99994,604717779.9999999,3023588899.999999,peachetc
760,Syria,109,38972.498675346375,53662.000000000044,17708460000.000015,53662000.000000045,268310000.0000002,peachetc
051,Armenia,110,13195.917884767056,53471.20000000003,17645496000.00001,53471200.00000004,267356000.00000018,peachetc
752,Sweden,111,0,0,0,0,0,peachetc
112,Belarus,112,18.76514196023345,0,0,0,0,peachetc
804,Ukraine,113,24424.621849028394,17430.000000000004,5751900000.000001,17430000.000000004,87150000.00000001,peachetc
616,Poland,114,170.74927440285683,3800.0000000000005,1254000000.0000002,3800000.000000001,19000000.000000004,peachetc
040,Austria,115,8063.821927791927,2059.9999999999986,679799999.9999995,2059999.9999999986,10299999.999999993,peachetc
348,Hungary,116,50141.416068315506,12670.000000000011,4181100000.0000033,12670000.000000011,63350000.00000005,peachetc
498,Moldova,117,12878.294651269913,18701.999999999993,6171659999.999998,18701999.999999996,93509999.99999997,peachetc
642,Romania,118,18099.86439045891,15900.000000000036,5247000000.000011,15900000.000000037,79500000.00000018,peachetc
440,Lithuania,119,0.7250005584210157,0,0,0,0,peachetc
428,Latvia,120,0,0,0,0,0,peachetc
233,Estonia,121,0.37893825955688953,0,0,0,0,peachetc
276,Germany,122,15461.685563804582,0,0,0,0,peachetc
100,Bulgaria,123,29500.712594375014,20740.00000000001,6844200000.000004,20740000.000000015,103700000.00000006,peachetc
300,Greece,124,581950.071385324,890580.0000000008,293891400000.00024,890580000.0000008,4452900000.000004,peachetc
792,Turkey,125,405583.9509823173,892048.0000000029,294375840000.0009,892048000.0000029,4460240000.000014,peachetc
008,Albania,126,7727.3407926261425,20392.000000000007,6729360000.000002,20392000.000000007,101960000.00000003,peachetc
191,Croatia,127,9492.23051147163,4209.999999999996,1389299999.9999988,4209999.999999996,21049999.99999998,peachetc
756,Switzerland,128,1378.3534101676196,214.9999999999999,70949999.99999997,214999.9999999999,1074999.9999999995,peachetc
442,Luxembourg,129,115.72606086730957,0,0,0,0,peachetc
056,Belgium,130,690.8495002388954,0,0,0,0,peachetc
528,Netherlands,131,40.830789268016815,0,0,0,0,peachetc
620,Portugal,132,61148.57981932163,34770.00000000005,11474100000.000017,34770000.00000005,173850000.00000027,peachetc
724,Spain,133,1067379.947696507,1306020.0000000002,430986600000.00006,1306020000.0000002,6530100000.000001,peachetc
372,Ireland,134,0,0,0,0,0,peachetc
540,France,135,0,0,0,0,0,peachetc
090,Solomon Islands,136,0,0,0,0,0,peachetc
554,New Zealand,137,13283.563458018005,9.690000000000012,3197700.0000000037,9690.000000000013,48450.00000000006,peachetc
036,Australia,138,113134.24307222367,81379.99999999965,26855399999.999886,81379999.99999966,406899999.9999983,peachetc
144,Sri Lanka,139,0,0,0,0,0,peachetc
156,China,140,4106353.5976317306,15000000.000000024,4950000000000.008,15000000000.000025,75000000000.00012,peachetc
158,Taiwan,141,21638.932610839605,16103.000000000002,5313990000.000001,16103000.000000004,80515000.00000001,peachetc
380,Italy,142,1338533.7277130447,1015349.9999999991,335065499999.9997,1015349999.999999,5076749999.999995,peachetc
208,Denmark,143,3.417747974395752,0,0,0,0,peachetc
826,United Kingdom,144,0,0,0,0,0,peachetc
352,Iceland,145,0,0,0,0,0,peachetc
031,Azerbaijan,146,26231.994269564748,29159.499999999964,9622634999.999989,29159499.999999966,145797499.99999982,peachetc
268,Georgia,147,9722.587548839161,28200,9306000000,28200000,141000000,peachetc
608,Philippines,148,0,0,0,0,0,peachetc
458,Malaysia,149,0,0,0,0,0,peachetc
096,Brunei,150,0,0,0,0,0,peachetc
705,Slovenia,151,6388.423104822636,2020.0000000000014,666600000.0000005,2020000.0000000016,10100000.000000007,peachetc
246,Finland,152,3.0545694562606514,0,0,0,0,peachetc
703,Slovakia,153,4584.5993079170585,1080.0000000000002,356400000.00000006,1080000.0000000002,5400000.000000001,peachetc
203,Czechia,154,7621.656634435058,430.00000000000006,141900000.00000003,430000.0000000001,2150000.0000000005,peachetc
232,Eritrea,155,0,0,0,0,0,peachetc
392,Japan,156,150612.50941373408,98900.00000000028,32637000000.00009,98900000.00000028,494500000.0000014,peachetc
600,Paraguay,157,1397.1351005779384,1401.0299999999993,462339899.99999976,1401029.9999999993,7005149.999999996,peachetc
887,Yemen,158,2517.220648676157,11347.020000000013,3744516600.0000043,11347020.000000015,56735100.00000007,peachetc
682,Saudi Arabia,159,3.637067437171936,0,0,0,0,peachetc
010,Antarctica,160,0,0,0,0,0,peachetc
-99,Northern Cyprus,161,0,0,0,0,0,peachetc
196,Cyprus,162,0,0,0,0,0,peachetc
504,Morocco,163,44731.65472526848,159530.79999999955,52645163999.99985,159530799.99999955,797653999.9999977,peachetc
818,Egypt,164,306386.6887178421,273500.00000000006,90255000000.00002,273500000.00000006,1367500000.0000002,peachetc
434,Libya,165,8079.776891946793,14616.030000000008,4823289900.000003,14616030.00000001,73080150.00000004,peachetc
231,Ethiopia,166,0.6612357646226883,160.63999999999996,53011199.999999985,160639.99999999997,803199.9999999998,peachetc
262,Djibouti,167,0,0,0,0,0,peachetc
-99,Somaliland,168,0,0,0,0,0,peachetc
800,Uganda,169,3.4688118509948254,0,0,0,0,peachetc
646,Rwanda,170,0,0,0,0,0,peachetc
070,Bosnia and Herzegovina,171,2874.6792833581567,6412.000000000003,2115960000.000001,6412000.000000004,32060000.000000015,peachetc
807,North Macedonia,172,6232.899023711681,12765.000000000002,4212450000.0000005,12765000.000000002,63825000.00000001,peachetc
688,Republic of Serbia,173,37263.19064632058,0,0,0,0,peachetc
499,Montenegro,174,4522.367471545935,0,0,0,0,peachetc
-99,Kosovo,175,5270.353272199631,0,0,0,0,peachetc
780,Trinidad and Tobago,176,0,0,0,0,0,peachetc
728,South Sudan,177,0,0,0,0,0,peachetc
