ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,pear
834,United Republic of Tanzania,2,134.83047581277788,5200.669999999973,2808361799.999985,20802679.999999892,20802679.999999892,pear
732,Western Sahara,3,0,0,0,0,0,pear
124,Canada,4,16155.53157588589,8544.999999999984,4614299999.999991,34179999.99999993,34179999.99999993,pear
840,United States of America,5,834458.5954122115,595109.9999999992,321359399999.9995,2380439999.9999967,2380439999.9999967,pear
398,Kazakhstan,6,7919.394375157742,14344.890000000029,7746240600.000016,57379560.00000012,57379560.00000012,pear
860,Uzbekistan,7,20706.836706839502,109330.00000000001,59038200000.000015,437320000.0000001,437320000.0000001,pear
598,Papua New Guinea,8,0,0,0,0,0,pear
360,Indonesia,9,0,0,0,0,0,pear
032,Argentina,10,538957.2330222329,658999.9999999997,355859999999.9998,2635999999.9999986,2635999999.9999986,pear
152,Chile,11,239075.4484130363,242765.7500000001,131093505000.00005,971063000.0000005,971063000.0000005,pear
180,Democratic Republic of the Congo,12,0,0,0,0,0,pear
706,Somalia,13,4.05218642950058,0,0,0,0,pear
404,Kenya,14,6808.606417999719,960.6000000000001,518724000.0000001,3842400.000000001,3842400.000000001,pear
729,Sudan,15,0,0,0,0,0,pear
148,Chad,16,0,0,0,0,0,pear
332,Haiti,17,0,0,0,0,0,pear
214,Dominican Republic,18,0,0,0,0,0,pear
643,Russia,19,54127.29456248335,72800.00000000029,39312000000.00015,291200000.00000113,291200000.00000113,pear
044,The Bahamas,20,0,0,0,0,0,pear
238,United Kingdom,21,0,0,0,0,0,pear
578,Norway,22,496.3570385815821,487.9999999999999,263519999.99999994,1951999.9999999998,1951999.9999999998,pear
304,Denmark,23,0,0,0,0,0,pear
260,France,24,0,0,0,0,0,pear
626,East Timor,25,0,0,0,0,0,pear
710,South Africa,26,276028.05046233226,434589.000000001,234678060000.00052,1738356000.0000038,1738356000.0000038,pear
426,Lesotho,27,1.875655299576465,0,0,0,0,pear
484,Mexico,28,29709.157977955365,25903.34999999996,13987808999.999977,103613399.99999984,103613399.99999984,pear
858,Uruguay,29,14319.22942565591,7182.000000000007,3878280000.000004,28728000.00000003,28728000.00000003,pear
076,Brazil,30,18116.436335204817,15362.999999999976,8296019999.999987,61451999.99999991,61451999.99999991,pear
068,Bolivia,31,4463.977954408911,1911.9999999999961,1032479999.999998,7647999.999999985,7647999.999999985,pear
604,Peru,32,6671.216612498451,3956.4799999999977,2136499199.9999988,15825919.999999993,15825919.999999993,pear
170,Colombia,33,5875.9106382874015,28012.499999999978,15126749999.999987,112049999.99999991,112049999.99999991,pear
591,Panama,34,0.006907694507390261,0,0,0,0,pear
188,Costa Rica,35,0,0,0,0,0,pear
558,Nicaragua,36,0,0,0,0,0,pear
340,Honduras,37,0,0,0,0,0,pear
222,El Salvador,38,0,0,0,0,0,pear
320,Guatemala,39,0,0,0,0,0,pear
084,Belize,40,0,0,0,0,0,pear
862,Venezuela,41,5.979959078133106,0,0,0,0,pear
328,Guyana,42,0,0,0,0,0,pear
740,Suriname,43,0,0,0,0,0,pear
