ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,pepper
834,United Republic of Tanzania,2,0.5642427508719265,480.96000000000004,1327449600,12985920,51462720,pepper
732,Western Sahara,3,0,0,0,0,0,pepper
124,Canada,4,0,0,0,0,0,pepper
840,United States of America,5,8.684111155782375,0,0,0,0,pepper
398,Kazakhstan,6,6.5483764064265415,0,0,0,0,pepper
860,Uzbekistan,7,107.22352869299357,211.59999999999968,584015999.999999,5713199.999999992,22641199.999999963,pepper
598,Papua New Guinea,8,0,0,0,0,0,pepper
360,Indonesia,9,64330.65901079308,86083.00000000044,237589080000.00122,2324241000.000012,9210881000.000046,pepper
032,Argentina,10,0,0,0,0,0,pepper
152,Chile,11,0,0,0,0,0,pepper
180,Democratic Republic of the Congo,12,2.7234664472925942,0,0,0,0,pepper
706,Somalia,13,0.186329695105087,0,0,0,0,pepper
404,Kenya,14,325.7364235124551,900.0000000000003,2484000000.000001,24300000.00000001,96300000.00000003,pepper
729,Sudan,15,0.22128852410241961,0,0,0,0,pepper
148,Chad,16,0.8950613960623741,0,0,0,0,pepper
332,Haiti,17,0,0,0,0,0,pepper
214,Dominican Republic,18,0,0,0,0,0,pepper
643,Russia,19,8.382110961247236,0,0,0,0,pepper
044,The Bahamas,20,0,0,0,0,0,pepper
238,United Kingdom,21,0,0,0,0,0,pepper
578,Norway,22,0,0,0,0,0,pepper
304,Denmark,23,0,0,0,0,0,pepper
260,France,24,0,0,0,0,0,pepper
626,East Timor,25,2.1880850791931152,0,0,0,0,pepper
710,South Africa,26,17.87564766407013,0,0,0,0,pepper
426,Lesotho,27,0,0,0,0,0,pepper
484,Mexico,28,2656.341160301094,10399.479999999949,28702564799.99986,280785959.9999986,1112744359.9999945,pepper
858,Uruguay,29,0,0,0,0,0,pepper
076,Brazil,30,37375.99860763689,114749.00000000036,316707240000.001,3098223000.00001,12278143000.000038,pepper
068,Bolivia,31,1.0112184059107676,27.17,74989200,733590,2907190,pepper
604,Peru,32,5.36583699285984,166.00000000000003,458160000.00000006,4482000.000000001,17762000,pepper
170,Colombia,33,0.9674713512868038,0,0,0,0,pepper
591,Panama,34,1.789262294769287,0,0,0,0,pepper
188,Costa Rica,35,573.6143806818873,1228.2200000000005,3389887200.0000014,33161940.00000002,131419540.00000004,pepper
558,Nicaragua,36,1.1777438642457128,0,0,0,0,pepper
340,Honduras,37,195.34432667691726,669.6700000000004,1848289200.000001,18081090.00000001,71654690.00000003,pepper
222,El Salvador,38,1.1752094626426697,0,0,0,0,pepper
320,Guatemala,39,395.92427140823565,772.8500000000008,2133066000.0000024,20866950.000000022,82694950.00000009,pepper
084,Belize,40,0.034386863466352224,0,0,0,0,pepper
862,Venezuela,41,0,0,0,0,0,pepper
328,Guyana,42,0,0,0,0,0,pepper
740,Suriname,43,0.003291902830824256,0,0,0,0,pepper
250,France,44,0,0,0,0,0,pepper
218,Ecuador,45,1909.976718956108,4254.08,11741260800,114860160.00000001,455186559.99999994,pepper
630,United States of America,46,0,0,0,0,0,pepper
388,Jamaica,47,0,0,0,0,0,pepper
192,Cuba,48,0,0,0,0,0,pepper
716,Zimbabwe,49,1537.5368664961425,1915.7899999999988,5287580399.999997,51726329.99999997,204989529.99999988,pepper
072,Botswana,50,6.9516349863260984,0,0,0,0,pepper
516,Namibia,51,0.018336280714720488,0,0,0,0,pepper
686,Senegal,52,0,0,0,0,0,pepper
466,Mali,53,1.0750833959318697,0,0,0,0,pepper
478,Mauritania,54,0,0,0,0,0,pepper
204,Benin,55,127.13913792616222,181.39999999999995,500663999.9999999,4897799.999999999,19409799.999999993,pepper
562,Niger,56,1250.5430802998599,3689.5099999999948,10183047599.999985,99616769.99999987,394777569.9999994,pepper
566,Nigeria,57,23.19797001290135,0,0,0,0,pepper
120,Cameroon,58,65.71906818327261,97.18999999999993,268244399.99999982,2624129.999999998,10399329.999999993,pepper
768,Togo,59,43.66657070070505,0,0,0,0,pepper
288,Ghana,60,2079.8877010697615,3733.6999999999935,10305011999.99998,100809899.99999982,399505899.9999993,pepper
384,Ivory Coast,61,100.81658942264039,247.3299999999996,682630799.9999988,6677909.999999989,26464309.99999995,pepper
324,Guinea,62,0.020569171756505966,0,0,0,0,pepper
624,Guinea-Bissau,63,0,0,0,0,0,pepper
430,Liberia,64,0,0,0,0,0,pepper
694,Sierra Leone,65,0,0,0,0,0,pepper
854,Burkina Faso,66,6.501643576077186,0,0,0,0,pepper
140,Central African Republic,67,0.2523094192147255,0,0,0,0,pepper
178,Republic of the Congo,68,0.02137098368257284,0,0,0,0,pepper
266,Gabon,69,0.013556302525103092,0,0,0,0,pepper
226,Equatorial Guinea,70,0.17329925671219826,0,0,0,0,pepper
894,Zambia,71,52.39909170331521,66.66000000000008,183981600.00000024,1799820.0000000023,7132620.000000008,pepper
454,Malawi,72,757.3461688741227,465.3600000000006,1284393600.0000014,12564720.000000017,49793520.00000006,pepper
508,Mozambique,73,74.48782369941182,0,0,0,0,pepper
748,eSwatini,74,0,0,0,0,0,pepper
024,Angola,75,0.010415296826977283,0,0,0,0,pepper
108,Burundi,76,0,0,0,0,0,pepper
376,Israel,77,0,0,0,0,0,pepper
422,Lebanon,78,0,0,0,0,0,pepper
450,Madagascar,79,1461.903263960965,4508.449999999995,12443321999.999989,121728149.99999988,482404149.99999946,pepper
275,Israel,80,0,0,0,0,0,pepper
270,Gambia,81,0,0,0,0,0,pepper
788,Tunisia,82,0,0,0,0,0,pepper
012,Algeria,83,0,0,0,0,0,pepper
400,Jordan,84,0,0,0,0,0,pepper
784,United Arab Emirates,85,0,0,0,0,0,pepper
634,Qatar,86,0,0,0,0,0,pepper
414,Kuwait,87,0,0,0,0,0,pepper
368,Iraq,88,0,0,0,0,0,pepper
512,Oman,89,0,0,0,0,0,pepper
548,Vanuatu,90,0,0,0,0,0,pepper
116,Cambodia,91,1999.9277434106916,2498.8500000000013,6896826000.000003,67468950.00000003,267376950.0000001,pepper
764,Thailand,92,7702.45098982472,1031.0000000000002,2845560000.0000005,27837000.000000007,110317000.00000001,pepper
418,Laos,93,87.90366671886295,0,0,0,0,pepper
104,Myanmar,94,31.730396142811514,0,0,0,0,pepper
704,Vietnam,95,55394.543461661786,261981.46000000075,723068829600.0021,7073499420.000021,28032016220.00008,pepper
408,North Korea,96,5.310461984016001,0,0,0,0,pepper
410,South Korea,97,0,0,0,0,0,pepper
496,Mongolia,98,0.2725907956410083,0,0,0,0,pepper
356,India,99,53676.58183320139,66000,182160000000,1782000000,7062000000,pepper
050,Bangladesh,100,0,0,0,0,0,pepper
064,Bhutan,101,0.07768001907970756,0,0,0,0,pepper
524,Nepal,102,0.4949163596784274,0,0,0,0,pepper
586,Pakistan,103,0.034526370000094175,0,0,0,0,pepper
004,Afghanistan,104,1.6277228176477365,0,0,0,0,pepper
762,Tajikistan,105,84.01210248289863,62081.64000000004,171345326400.00012,1676204280.0000014,6642735480.000005,pepper
417,Kyrgyzstan,106,94.87951356288977,195.72999999999996,540214799.9999999,5284709.999999999,20943109.999999993,pepper
795,Turkmenistan,107,0.3808884040918201,0,0,0,0,pepper
364,Iran,108,0,0,0,0,0,pepper
760,Syria,109,0,0,0,0,0,pepper
051,Armenia,110,0,0,0,0,0,pepper
752,Sweden,111,0,0,0,0,0,pepper
112,Belarus,112,0,0,0,0,0,pepper
804,Ukraine,113,0,0,0,0,0,pepper
616,Poland,114,0,0,0,0,0,pepper
040,Austria,115,0,0,0,0,0,pepper
348,Hungary,116,0,0,0,0,0,pepper
498,Moldova,117,0,0,0,0,0,pepper
642,Romania,118,0,0,0,0,0,pepper
440,Lithuania,119,0,0,0,0,0,pepper
428,Latvia,120,0,0,0,0,0,pepper
233,Estonia,121,0,0,0,0,0,pepper
276,Germany,122,0,0,0,0,0,pepper
100,Bulgaria,123,0,0,0,0,0,pepper
300,Greece,124,0,0,0,0,0,pepper
792,Turkey,125,0,0,0,0,0,pepper
008,Albania,126,0,0,0,0,0,pepper
191,Croatia,127,0,0,0,0,0,pepper
756,Switzerland,128,0,0,0,0,0,pepper
442,Luxembourg,129,0,0,0,0,0,pepper
056,Belgium,130,0,0,0,0,0,pepper
528,Netherlands,131,0,0,0,0,0,pepper
620,Portugal,132,0,0,0,0,0,pepper
724,Spain,133,0,0,0,0,0,pepper
372,Ireland,134,0,0,0,0,0,pepper
540,France,135,0,0,0,0,0,pepper
090,Solomon Islands,136,0,0,0,0,0,pepper
554,New Zealand,137,0,0,0,0,0,pepper
036,Australia,138,0,0,0,0,0,pepper
144,Sri Lanka,139,11968.632205665112,43557.099999999984,120217595999.99995,1176041699.9999995,4660609699.999998,pepper
156,China,140,18333.82171040688,33836.5699999999,93388933199.99973,913587389.9999974,3620512989.999989,pepper
158,Taiwan,141,0,0,0,0,0,pepper
380,Italy,142,0,0,0,0,0,pepper
208,Denmark,143,0,0,0,0,0,pepper
826,United Kingdom,144,0,0,0,0,0,pepper
