ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,persimmon
834,United Republic of Tanzania,2,0.16427983529865742,0,0,0,0,persimmon
732,Western Sahara,3,0,0,0,0,0,persimmon
124,Canada,4,0,0,0,0,0,persimmon
840,United States of America,5,2.5908763464464872,0,0,0,0,persimmon
398,Kazakhstan,6,4.196717401739079,0,0,0,0,persimmon
860,Uzbekistan,7,0,0,0,0,0,persimmon
598,Papua New Guinea,8,0,0,0,0,0,persimmon
360,Indonesia,9,0,0,0,0,0,persimmon
032,Argentina,10,4.971652721054852,0,0,0,0,persimmon
152,Chile,11,0,0,0,0,0,persimmon
180,Democratic Republic of the Congo,12,0.21925364434719086,0,0,0,0,persimmon
706,Somalia,13,3170.5118767824024,0,0,0,0,persimmon
404,Kenya,14,567.631740684621,0,0,0,0,persimmon
729,Sudan,15,14836.885141170584,0,0,0,0,persimmon
148,Chad,16,43.93304622173309,0,0,0,0,persimmon
332,Haiti,17,0,0,0,0,0,persimmon
214,Dominican Republic,18,0,0,0,0,0,persimmon
643,Russia,19,56.85552182496758,0,0,0,0,persimmon
044,The Bahamas,20,0,0,0,0,0,persimmon
238,United Kingdom,21,0,0,0,0,0,persimmon
578,Norway,22,0,0,0,0,0,persimmon
304,Denmark,23,0,0,0,0,0,persimmon
260,France,24,0,0,0,0,0,persimmon
626,East Timor,25,0,0,0,0,0,persimmon
710,South Africa,26,5.464351128437556,0,0,0,0,persimmon
426,Lesotho,27,0,0,0,0,0,persimmon
484,Mexico,28,438.93217907753217,197.86999999999998,162253399.99999997,593609.9999999999,1187219.9999999998,persimmon
858,Uruguay,29,0,0,0,0,0,persimmon
076,Brazil,30,62356.71497159201,158761.99999999956,130184839999.99965,476285999.9999987,952571999.9999974,persimmon
068,Bolivia,31,0,0,0,0,0,persimmon
604,Peru,32,0,0,0,0,0,persimmon
170,Colombia,33,0,0,0,0,0,persimmon
591,Panama,34,0,0,0,0,0,persimmon
188,Costa Rica,35,0,0,0,0,0,persimmon
558,Nicaragua,36,0,0,0,0,0,persimmon
340,Honduras,37,0,0,0,0,0,persimmon
222,El Salvador,38,0,0,0,0,0,persimmon
320,Guatemala,39,0.32940685097128153,0,0,0,0,persimmon
084,Belize,40,0,0,0,0,0,persimmon
862,Venezuela,41,0,0,0,0,0,persimmon
328,Guyana,42,0,0,0,0,0,persimmon
740,Suriname,43,0,0,0,0,0,persimmon
250,France,44,1.6510309278964996,0,0,0,0,persimmon
218,Ecuador,45,0,0,0,0,0,persimmon
630,United States of America,46,0,0,0,0,0,persimmon
388,Jamaica,47,0,0,0,0,0,persimmon
192,Cuba,48,0,0,0,0,0,persimmon
