ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,pigeonpea
834,United Republic of Tanzania,2,40944.2775641866,220000.00000000073,754600000000.0024,3740000000.000012,45980000000.000145,pigeonpea
732,Western Sahara,3,0,0,0,0,0,pigeonpea
124,Canada,4,0,0,0,0,0,pigeonpea
840,United States of America,5,17.68358907586662,0,0,0,0,pigeonpea
398,Kazakhstan,6,0,0,0,0,0,pigeonpea
860,Uzbekistan,7,0,0,0,0,0,pigeonpea
598,Papua New Guinea,8,0,0,0,0,0,pigeonpea
360,Indonesia,9,0,0,0,0,0,pigeonpea
032,Argentina,10,0,0,0,0,0,pigeonpea
152,Chile,11,0,0,0,0,0,pigeonpea
180,Democratic Republic of the Congo,12,5101.971148580313,6633.999999999982,22754619999.99994,112777999.99999969,1386505999.9999962,pigeonpea
706,Somalia,13,42.64583158493042,0,0,0,0,pigeonpea
404,Kenya,14,79054.74413782358,123627.29000000015,424041604700.0005,2101663930.0000024,25838103610.000027,pigeonpea
729,Sudan,15,0,0,0,0,0,pigeonpea
148,Chad,16,0,0,0,0,0,pigeonpea
332,Haiti,17,3126.751169770956,19933.000000000004,68370190000.00001,338861000.00000006,4165997000.0000005,pigeonpea
214,Dominican Republic,18,15344.889138370752,22405.669999999987,76851448099.99995,380896389.99999976,4682785029.999997,pigeonpea
643,Russia,19,0,0,0,0,0,pigeonpea
044,The Bahamas,20,0,0,0,0,0,pigeonpea
238,United Kingdom,21,0,0,0,0,0,pigeonpea
578,Norway,22,0,0,0,0,0,pigeonpea
304,Denmark,23,0,0,0,0,0,pigeonpea
260,France,24,0,0,0,0,0,pigeonpea
626,East Timor,25,0,0,0,0,0,pigeonpea
710,South Africa,26,0,0,0,0,0,pigeonpea
426,Lesotho,27,0,0,0,0,0,pigeonpea
484,Mexico,28,1.8247021530987695,0,0,0,0,pigeonpea
858,Uruguay,29,0,0,0,0,0,pigeonpea
076,Brazil,30,0.01862103814207769,0,0,0,0,pigeonpea
068,Bolivia,31,0,0,0,0,0,pigeonpea
604,Peru,32,0,0,0,0,0,pigeonpea
170,Colombia,33,5.377942971642852,3837.1499999999987,13161424499.999994,65231549.99999997,801964349.9999996,pigeonpea
591,Panama,34,1968.3414746827912,1450.9999999999995,4976929999.999999,24666999.999999993,303258999.9999999,pigeonpea
188,Costa Rica,35,4.843111902475357,0,0,0,0,pigeonpea
558,Nicaragua,36,0,0,0,0,0,pigeonpea
340,Honduras,37,0,0,0,0,0,pigeonpea
222,El Salvador,38,0,0,0,0,0,pigeonpea
320,Guatemala,39,0,0,0,0,0,pigeonpea
084,Belize,40,0,0,0,0,0,pigeonpea
862,Venezuela,41,2263.151885955537,2001.759999999998,6866036799.999992,34029919.99999996,418367839.9999995,pigeonpea
328,Guyana,42,0.06288349069654942,0,0,0,0,pigeonpea
740,Suriname,43,0,0,0,0,0,pigeonpea
250,France,44,0,0,0,0,0,pigeonpea
218,Ecuador,45,0,0,0,0,0,pigeonpea
630,United States of America,46,400.0396231263876,224.65999999999994,770583799.9999999,3819219.999999999,46953939.999999985,pigeonpea
388,Jamaica,47,1402.6472516059875,503.0000000000002,1725290000.0000007,8551000.000000004,105127000.00000003,pigeonpea
192,Cuba,48,0,0,0,0,0,pigeonpea
716,Zimbabwe,49,0,0,0,0,0,pigeonpea
072,Botswana,50,0,0,0,0,0,pigeonpea
516,Namibia,51,0,0,0,0,0,pigeonpea
686,Senegal,52,0,0,0,0,0,pigeonpea
466,Mali,53,0,0,0,0,0,pigeonpea
478,Mauritania,54,0,0,0,0,0,pigeonpea
204,Benin,55,0,0,0,0,0,pigeonpea
562,Niger,56,0,0,0,0,0,pigeonpea
566,Nigeria,57,0,0,0,0,0,pigeonpea
120,Cameroon,58,0,0,0,0,0,pigeonpea
