ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,pineapple
834,United Republic of Tanzania,2,68718.24416771904,380492.72999999986,98928109799.99997,760985459.9999998,760985459.9999998,pineapple
732,Western Sahara,3,0,0,0,0,0,pineapple
124,Canada,4,0,0,0,0,0,pineapple
840,United States of America,5,0,0,0,0,0,pineapple
398,Kazakhstan,6,3.0462151879164594,0,0,0,0,pineapple
860,Uzbekistan,7,0,0,0,0,0,pineapple
598,Papua New Guinea,8,13365.664659347385,23281.029999999962,6053067799.9999895,46562059.999999925,46562059.999999925,pineapple
360,Indonesia,9,409607.79827924445,2447243.459999995,636283299599.9987,4894486919.9999895,4894486919.9999895,pineapple
032,Argentina,10,2864.762810496397,3247.9799999999973,844474799.9999993,6495959.999999995,6495959.999999995,pineapple
152,Chile,11,3.380967006087303,0,0,0,0,pineapple
180,Democratic Republic of the Congo,12,185984.0801558271,189720.06000000014,49327215600.00004,379440120.0000003,379440120.0000003,pineapple
706,Somalia,13,304.3456802368164,0,0,0,0,pineapple
404,Kenya,14,511633.4686182402,330330.60000000003,85885956000.00002,660661200.0000001,660661200.0000001,pineapple
729,Sudan,15,3332.649844031781,0,0,0,0,pineapple
148,Chad,16,101.656449993141,0,0,0,0,pineapple
332,Haiti,17,5798.463408589363,7198.879999999994,1871708799.9999986,14397759.999999989,14397759.999999989,pineapple
214,Dominican Republic,18,104023.78862285614,428599.29,111435815400,857198580,857198580,pineapple
643,Russia,19,42.50179361508344,0,0,0,0,pineapple
044,The Bahamas,20,0,0,0,0,0,pineapple
238,United Kingdom,21,0,0,0,0,0,pineapple
578,Norway,22,0,0,0,0,0,pineapple
304,Denmark,23,0,0,0,0,0,pineapple
260,France,24,0,0,0,0,0,pineapple
626,East Timor,25,99.13687206804752,135.91000000000003,35336600.00000001,271820.00000000006,271820.00000000006,pineapple
710,South Africa,26,149912.09776202124,113469.00000000051,29501940000.00013,226938000.000001,226938000.000001,pineapple
426,Lesotho,27,122.34350324422121,0,0,0,0,pineapple
484,Mexico,28,552101.779592287,1208247.3500000008,314144311000.0002,2416494700.0000014,2416494700.0000014,pineapple
858,Uruguay,29,0,0,0,0,0,pineapple
076,Brazil,30,1266056.0458521633,2456154.000000011,638600040000.0029,4912308000.000022,4912308000.000022,pineapple
068,Bolivia,31,56918.08087247517,85964.00000000026,22350640000.00007,171928000.00000054,171928000.00000054,pineapple
604,Peru,32,138155.2896468751,583627.7899999993,151743225399.99982,1167255579.9999988,1167255579.9999988,pineapple
170,Colombia,33,284601.8330722247,834719.2299999985,217026999799.9996,1669438459.9999971,1669438459.9999971,pineapple
591,Panama,34,24089.421767760068,101126.99999999999,26293019999.999996,202254000,202254000,pineapple
188,Costa Rica,35,870422.1309826374,2648138.0000000023,688515880000.0006,5296276000.000005,5296276000.000005,pineapple
558,Nicaragua,36,44891.04464828968,67333.1999999999,17506631999.999973,134666399.9999998,134666399.9999998,pineapple
340,Honduras,37,59418.22361320257,103000.00000000003,26780000000.000008,206000000.00000006,206000000.00000006,pineapple
222,El Salvador,38,4808.868769139051,4526.340000000005,1176848400.0000012,9052680.00000001,9052680.00000001,pineapple
320,Guatemala,39,67822.78665283322,358714.00000000006,93265640000.00002,717428000.0000001,717428000.0000001,pineapple
084,Belize,40,1405.9275115774944,3828.0000000000005,995280000.0000002,7656000.000000002,7656000.000000002,pineapple
862,Venezuela,41,159374.4140886647,473015.8300000002,122984115800.00005,946031660.0000005,946031660.0000005,pineapple
328,Guyana,42,3839.340587582439,37550.270000000004,9763070200.000002,75100540.00000001,75100540.00000001,pineapple
740,Suriname,43,323.6288477210328,3794.999999999994,986699999.9999985,7589999.999999989,7589999.999999989,pineapple
250,France,44,1585.0841446127743,0,0,0,0,pineapple
218,Ecuador,45,58625.966237669985,104058.65999999996,27055251599.999992,208117319.99999994,208117319.99999994,pineapple
630,United States of America,46,19708.093924075365,2931.24,762122399.9999999,5862480,5862480,pineapple
388,Jamaica,47,19104.437168121338,41536,10799360000,83072000,83072000,pineapple
192,Cuba,48,20105.929381616414,28056.999999999978,7294819999.999994,56113999.999999955,56113999.999999955,pineapple
716,Zimbabwe,49,95.5574152674526,141.22000000000028,36717200.000000075,282440.0000000006,282440.0000000006,pineapple
072,Botswana,50,87.78702588117449,0,0,0,0,pineapple
516,Namibia,51,136.7271453142166,0,0,0,0,pineapple
686,Senegal,52,166.41056503169239,0,0,0,0,pineapple
466,Mali,53,1602.5813182145357,0,0,0,0,pineapple
