ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,plantain
834,United Republic of Tanzania,2,660275.3429044187,580460.9800000004,435345735000.00037,1741382940.0000014,4643687840.000004,plantain
732,Western Sahara,3,0,0,0,0,0,plantain
124,Canada,4,0,0,0,0,0,plantain
840,United States of America,5,16.113632339634933,0,0,0,0,plantain
398,Kazakhstan,6,0,0,0,0,0,plantain
860,Uzbekistan,7,0,0,0,0,0,plantain
598,Papua New Guinea,8,0,0,0,0,0,plantain
360,Indonesia,9,0,0,0,0,0,plantain
032,Argentina,10,2.616961121559143,0,0,0,0,plantain
152,Chile,11,2.3173611164093018,0,0,0,0,plantain
180,Democratic Republic of the Congo,12,1090484.7824225947,4866797.999999987,3650098499999.99,14600393999.99996,38934383999.9999,plantain
706,Somalia,13,269.35828399658203,0,0,0,0,plantain
404,Kenya,14,518500.03312158585,33730.35000000005,25297762500.000034,101191050.00000013,269842800.0000004,plantain
729,Sudan,15,524.450508415699,0,0,0,0,plantain
148,Chad,16,14588.173338824883,0,0,0,0,plantain
332,Haiti,17,283354.6043987274,228007.00000000012,171005250000.00006,684021000.0000002,1824056000.000001,plantain
214,Dominican Republic,18,226311.5955839157,1155151.5400000003,866363655000.0001,3465454620.0000005,9241212320.000002,plantain
643,Russia,19,0,0,0,0,0,plantain
044,The Bahamas,20,0,0,0,0,0,plantain
238,United Kingdom,21,0,0,0,0,0,plantain
578,Norway,22,0,0,0,0,0,plantain
304,Denmark,23,0,0,0,0,0,plantain
260,France,24,0,0,0,0,0,plantain
626,East Timor,25,0,0,0,0,0,plantain
710,South Africa,26,0,0,0,0,0,plantain
426,Lesotho,27,0,0,0,0,0,plantain
484,Mexico,28,1.4560988674456894,0,0,0,0,plantain
858,Uruguay,29,0,0,0,0,0,plantain
076,Brazil,30,934.9561154036792,0,0,0,0,plantain
068,Bolivia,31,179948.31533593894,481092.9999999996,360819749999.9997,1443278999.9999988,3848743999.999997,plantain
604,Peru,32,1351585.9647265542,0,0,0,0,plantain
170,Colombia,33,2410119.035681814,2300810.270000006,1725607702500.0046,6902430810.000018,18406482160.00005,plantain
591,Panama,34,97664.69106350839,166613.00000000003,124959750000.00002,499839000.00000006,1332904000.0000002,plantain
188,Costa Rica,35,62509.94650411606,84413.00000000001,63309750000.00001,253239000.00000003,675304000.0000001,plantain
558,Nicaragua,36,38928.5136936903,288289.00000000076,216216750000.00058,864867000.0000023,2306312000.000006,plantain
340,Honduras,37,245592.69897541404,92279.03999999996,69209279999.99997,276837119.9999999,738232319.9999998,plantain
222,El Salvador,38,48103.139605641365,36879.00000000002,27659250000.00002,110637000.00000007,295032000.0000002,plantain
320,Guatemala,39,261693.40247750282,188528.9999999999,141396749999.99994,565586999.9999996,1508231999.9999993,plantain
084,Belize,40,18114.24731206894,6120.310000000002,4590232500.000002,18360930.000000007,48962480.00000002,plantain
862,Venezuela,41,595330.6606097069,664095.0000000006,498071250000.0004,1992285000.0000017,5312760000.000005,plantain
328,Guyana,42,13381.60637935251,110986.81999999999,83240115000,332960460,887894560,plantain
740,Suriname,43,10566.740506738424,18703.00000000001,14027250000.00001,56109000.00000004,149624000.0000001,plantain
250,France,44,3474.8768817430464,0,0,0,0,plantain
218,Ecuador,45,624945.5452317446,722298.0099999999,541723507499.99994,2166894029.9999995,5778384080,plantain
630,United States of America,46,85311.48442840576,103845.36,77884020000,311536080,830762880,plantain
388,Jamaica,47,22475.769075393677,44822,33616500000,134466000,358576000,plantain
192,Cuba,48,567121.4036748409,594373.8999999998,445780424999.9999,1783121699.9999993,4754991199.999999,plantain
716,Zimbabwe,49,0,0,0,0,0,plantain
072,Botswana,50,0,0,0,0,0,plantain
516,Namibia,51,0,0,0,0,0,plantain
686,Senegal,52,3249.3627813607454,0,0,0,0,plantain
466,Mali,53,3161.1923409495503,0,0,0,0,plantain
478,Mauritania,54,0,0,0,0,0,plantain
204,Benin,55,3140.51045962004,0,0,0,0,plantain
562,Niger,56,0,0,0,0,0,plantain
566,Nigeria,57,1452180.6364101171,0,0,0,0,plantain
120,Cameroon,58,1195346.4281635284,4493285,3369963750000,13479855000,35946280000,plantain
768,Togo,59,59.9188117980957,0,0,0,0,plantain
288,Ghana,60,2038797.0832996368,4654493.130000003,3490869847500.0024,13963479390.00001,37235945040.00002,plantain
384,Ivory Coast,61,1400393.7787895203,2082812,1562109000000,6248436000,16662496000,plantain
324,Guinea,62,384915.5716955587,480158.98999999964,360119242499.9997,1440476969.9999988,3841271919.999997,plantain
624,Guinea-Bissau,63,37885.66358959675,56170.040000000015,42127530000.00001,168510120.00000003,449360320.0000001,plantain
430,Liberia,64,34057.948187828064,51722.679999999986,38792009999.99999,155168039.99999997,413781439.99999994,plantain
694,Sierra Leone,65,29088.562779208645,46395.44999999998,34796587499.999985,139186349.99999994,371163599.9999999,plantain
854,Burkina Faso,66,0,0,0,0,0,plantain
140,Central African Republic,67,94584.53143528849,88466.51999999967,66349889999.99975,265399559.999999,707732159.9999974,plantain
178,Republic of the Congo,68,81247.6453704834,84704.54999999989,63528412499.99991,254113649.99999964,677636399.999999,plantain
266,Gabon,69,226959.3401737213,345777.6500000001,259333237500.00006,1037332950.0000002,2766221200.000001,plantain
226,Equatorial Guinea,70,24523.440032958984,40725.07999999999,30543809999.999992,122175239.99999996,325800639.99999994,plantain
894,Zambia,71,4275.680262900889,0,0,0,0,plantain
454,Malawi,72,137482.52018904686,403606.7300000003,302705047500.00024,1210820190.0000007,3228853840.0000024,plantain
508,Mozambique,73,9732.806756973267,0,0,0,0,plantain
748,eSwatini,74,0,0,0,0,0,plantain
024,Angola,75,4906.062501505017,0,0,0,0,plantain
108,Burundi,76,51267.76617050171,0,0,0,0,plantain
376,Israel,77,0.6494162231683731,0,0,0,0,plantain
422,Lebanon,78,7.312650532447007e-38,0,0,0,0,plantain
450,Madagascar,79,0,0,0,0,0,plantain
275,Israel,80,1.2559002961858598e-38,0,0,0,0,plantain
270,Gambia,81,167.58138740062714,0,0,0,0,plantain
788,Tunisia,82,0,0,0,0,0,plantain
012,Algeria,83,0,0,0,0,0,plantain
400,Jordan,84,50.00623734295368,0,0,0,0,plantain
784,United Arab Emirates,85,292.3500225767493,0,0,0,0,plantain
634,Qatar,86,0,0,0,0,0,plantain
414,Kuwait,87,0,0,0,0,0,plantain
368,Iraq,88,3.6007054027868435,0,0,0,0,plantain
512,Oman,89,1912.7097661793232,0,0,0,0,plantain
548,Vanuatu,90,0,0,0,0,0,plantain
116,Cambodia,91,0,0,0,0,0,plantain
764,Thailand,92,1138.6860563755035,0,0,0,0,plantain
418,Laos,93,49.54767042398453,0,0,0,0,plantain
104,Myanmar,94,428856.49855414033,1404566.0000000037,1053424500000.0028,4213698000.0000114,11236528000.00003,plantain
704,Vietnam,95,0,0,0,0,0,plantain
408,North Korea,96,0,0,0,0,0,plantain
410,South Korea,97,0,0,0,0,0,plantain
496,Mongolia,98,0,0,0,0,0,plantain
356,India,99,624.3804442286491,0,0,0,0,plantain
050,Bangladesh,100,834.8792686462402,0,0,0,0,plantain
064,Bhutan,101,0,0,0,0,0,plantain
524,Nepal,102,0,0,0,0,0,plantain
586,Pakistan,103,0,0,0,0,0,plantain
004,Afghanistan,104,1.5665091802366078,0,0,0,0,plantain
762,Tajikistan,105,0,0,0,0,0,plantain
417,Kyrgyzstan,106,0,0,0,0,0,plantain
795,Turkmenistan,107,2.914762790314853,0,0,0,0,plantain
364,Iran,108,1053.2417379326653,0,0,0,0,plantain
760,Syria,109,17.74762499204371,0,0,0,0,plantain
051,Armenia,110,1.546175497584045,0,0,0,0,plantain
