ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,plum
834,United Republic of Tanzania,2,2.312641531229019,4051.870000000001,2106972400.0000005,24311220.000000004,28363090.000000004,plum
732,Western Sahara,3,0,0,0,0,0,plum
124,Canada,4,3211.132085033626,2992.9999999999986,1556359999.9999993,17957999.99999999,20950999.99999999,plum
840,United States of America,5,695130.1567187486,245380.00000000064,127597600000.00032,1472280000.0000036,1717660000.0000043,plum
398,Kazakhstan,6,6019.600679369634,10185.39999999999,5296407999.999995,61112399.99999994,71297799.99999993,plum
860,Uzbekistan,7,85744.69790185988,130092.0000000001,67647840000.000046,780552000.0000006,910644000.0000006,plum
598,Papua New Guinea,8,0,0,0,0,0,plum
360,Indonesia,9,0,0,0,0,0,plum
032,Argentina,10,91806.26049109094,64825.00000000011,33709000000.000057,388950000.00000066,453775000.0000007,plum
152,Chile,11,187806.09646744136,414129.4700000007,215347324400.00037,2484776820.0000043,2898906290.000005,plum
180,Democratic Republic of the Congo,12,0,0,0,0,0,plum
706,Somalia,13,2.816939800977707,0,0,0,0,plum
404,Kenya,14,4732.769303811714,448.39999999999986,233167999.99999994,2690399.9999999995,3138799.999999999,plum
729,Sudan,15,0,0,0,0,0,plum
148,Chad,16,6.85068828961812,0,0,0,0,plum
332,Haiti,17,0,0,0,0,0,plum
214,Dominican Republic,18,0,0,0,0,0,plum
643,Russia,19,101665.57154218535,181999.99999999886,94639999999.9994,1091999999.999993,1273999999.999992,plum
044,The Bahamas,20,0,0,0,0,0,plum
238,United Kingdom,21,0,0,0,0,0,plum
578,Norway,22,501.6280745156726,723.9999999999999,376479999.99999994,4343999.999999999,5067999.999999999,plum
304,Denmark,23,0,0,0,0,0,plum
260,France,24,0,0,0,0,0,plum
626,East Timor,25,0,0,0,0,0,plum
710,South Africa,26,42165.8614573559,65373.00000000006,33993960000.00003,392238000.00000036,457611000.0000004,plum
426,Lesotho,27,2.08761175267864,0,0,0,0,plum
484,Mexico,28,72411.6301746548,90437.64000000004,47027572800.00002,542625840.0000002,633063480.0000002,plum
858,Uruguay,29,3186.927303039469,2292.0000000000014,1191840000.0000007,13752000.00000001,16044000.00000001,plum
076,Brazil,30,39.49343376115576,0,0,0,0,plum
068,Bolivia,31,4203.864214260539,4094.0000000000055,2128880000.0000026,24564000.00000003,28658000.000000034,plum
604,Peru,32,6739.861831375281,6861.010000000013,3567725200.000007,41166060.00000008,48027070.00000009,plum
170,Colombia,33,6374.540871142546,16419.64000000002,8538212800.0000105,98517840.00000012,114937480.00000013,plum
591,Panama,34,0.007496503181755543,0,0,0,0,plum
188,Costa Rica,35,0,0,0,0,0,plum
558,Nicaragua,36,0,0,0,0,0,plum
340,Honduras,37,0,0,0,0,0,plum
222,El Salvador,38,0,0,0,0,0,plum
320,Guatemala,39,11.915148735046387,0,0,0,0,plum
084,Belize,40,0,0,0,0,0,plum
862,Venezuela,41,6.489687845110893,0,0,0,0,plum
328,Guyana,42,0,0,0,0,0,plum
740,Suriname,43,0,0,0,0,0,plum
250,France,44,212615.07002505846,225899.99999999956,117467999999.99977,1355399999.9999974,1581299999.999997,plum
218,Ecuador,45,8090.6625767374135,8715.32999999999,4531971599.999995,52291979.99999995,61007309.99999993,plum
630,United States of America,46,0,0,0,0,0,plum
388,Jamaica,47,0,0,0,0,0,plum
192,Cuba,48,0,0,0,0,0,plum
716,Zimbabwe,49,228.28986946260557,266.56999999999994,138616399.99999997,1599419.9999999998,1865989.9999999995,plum
072,Botswana,50,16.974255306296982,0,0,0,0,plum
516,Namibia,51,0.28685200959444046,0,0,0,0,plum
686,Senegal,52,0,0,0,0,0,plum
466,Mali,53,0,0,0,0,0,plum
478,Mauritania,54,0,0,0,0,0,plum
204,Benin,55,0,0,0,0,0,plum
562,Niger,56,0,0,0,0,0,plum
566,Nigeria,57,0.5241013949271291,0,0,0,0,plum
120,Cameroon,58,267.837427122402,620.3099999999994,322561199.99999964,3721859.999999996,4342169.999999995,plum
768,Togo,59,0,0,0,0,0,plum
288,Ghana,60,0,0,0,0,0,plum
384,Ivory Coast,61,0,0,0,0,0,plum
324,Guinea,62,0,0,0,0,0,plum
624,Guinea-Bissau,63,0,0,0,0,0,plum
430,Liberia,64,0,0,0,0,0,plum
694,Sierra Leone,65,0,0,0,0,0,plum
854,Burkina Faso,66,0,0,0,0,0,plum
140,Central African Republic,67,1.2291924022720195,0,0,0,0,plum
178,Republic of the Congo,68,0.49115242215339094,0,0,0,0,plum
266,Gabon,69,0,0,0,0,0,plum
226,Equatorial Guinea,70,0,0,0,0,0,plum
894,Zambia,71,0.054532251320779324,0,0,0,0,plum
454,Malawi,72,0,0,0,0,0,plum
508,Mozambique,73,71.77131782984361,0,0,0,0,plum
748,eSwatini,74,2106.320709526539,1445.1000000000001,751452000.0000001,8670600,10115700,plum
024,Angola,75,0,0,0,0,0,plum
108,Burundi,76,0,0,0,0,0,plum
376,Israel,77,9433.272426247597,20970,10904400000,125820000,146790000,plum
422,Lebanon,78,24761.986417770386,38366.79,19950730800,230200740,268567530,plum
450,Madagascar,79,1741.0821225857362,2368.0500000000097,1231386000.000005,14208300.000000058,16576350.000000067,plum
275,Israel,80,7031.096030712128,1120.37,582592399.9999999,6722219.999999999,7842589.999999998,plum
270,Gambia,81,0,0,0,0,0,plum
788,Tunisia,82,12511.318000674248,20000.00000000001,10400000000.000006,120000000.00000007,140000000.0000001,plum
012,Algeria,83,28230.855121195316,98908.2999999997,51432315999.99985,593449799.9999982,692358099.9999979,plum
400,Jordan,84,2061.0740064159036,3683.0000000000005,1915160000.0000005,22098000.000000004,25781000.000000004,plum
784,United Arab Emirates,85,0,0,0,0,0,plum
634,Qatar,86,0,0,0,0,0,plum
414,Kuwait,87,0,0,0,0,0,plum
368,Iraq,88,502.56768840551376,16584.000000000004,8623680000.000002,99504000.00000001,116088000.00000001,plum
512,Oman,89,0,0,0,0,0,plum
548,Vanuatu,90,0,0,0,0,0,plum
116,Cambodia,91,0,0,0,0,0,plum
764,Thailand,92,0,0,0,0,0,plum
418,Laos,93,0.4056345224380493,0,0,0,0,plum
104,Myanmar,94,660.2329798508435,0,0,0,0,plum
704,Vietnam,95,951.2250402271748,0,0,0,0,plum
408,North Korea,96,520.1367970556021,0,0,0,0,plum
410,South Korea,97,48384.35115648806,50027.99999999996,26014559999.99998,300167999.99999976,350195999.9999997,plum
496,Mongolia,98,3.02807505299279,0,0,0,0,plum
356,India,99,77351.58033587881,0,0,0,0,plum
050,Bangladesh,100,93.57970609515905,0,0,0,0,plum
064,Bhutan,101,0.9619126599282026,438.69,228118800,2632140,3070830,plum
524,Nepal,102,70.94371737912297,11737,6103240000,70422000,82159000,plum
586,Pakistan,103,66471.40999514353,52074.999999999825,27078999999.99991,312449999.9999989,364524999.99999875,plum
004,Afghanistan,104,567.9793349653482,29871.999999999993,15533439999.999996,179231999.99999997,209103999.99999994,plum
762,Tajikistan,105,5576.6850053444505,3539.0900000000024,1840326800.0000012,21234540.00000001,24773630.000000015,plum
417,Kyrgyzstan,106,4017.3323600607764,12329.220000000063,6411194400.000032,73975320.00000037,86304540.00000043,plum
795,Turkmenistan,107,12959.784660324454,33800.63000000003,17576327600.00001,202803780.00000015,236604410.00000015,plum
364,Iran,108,127927.55685201287,341290.88,177471257600,2047745280,2389036160,plum
760,Syria,109,27720.152375400066,25888.00000000002,13461760000.00001,155328000.0000001,181216000.00000012,plum
051,Armenia,110,8380.72092205286,24961.19999999999,12979823999.999996,149767199.99999994,174728399.99999994,plum
752,Sweden,111,423.26115092061514,190.00000000000014,98800000.00000007,1140000.0000000007,1330000.000000001,plum
112,Belarus,112,12741.567697538063,15631.999999999987,8128639999.999994,93791999.99999993,109423999.99999991,plum
804,Ukraine,113,114409.32017843239,173229.99999999997,90079599999.99998,1039379999.9999998,1212609999.9999998,plum
616,Poland,114,110968.28934448957,117399.99999999977,61047999999.99988,704399999.9999986,821799999.9999983,plum
040,Austria,115,55660.67984531284,17859.999999999993,9287199999.999996,107159999.99999996,125019999.99999996,plum
348,Hungary,116,84930.32859897614,27040,14060800000,162240000,189280000,plum
498,Moldova,117,46716.70812153816,103172.99999999994,53649959999.99997,619037999.9999996,722210999.9999995,plum
642,Romania,118,486877.2507543862,757880.0000000017,394097600000.0009,4547280000.0000105,5305160000.000011,plum
440,Lithuania,119,3680.849209865555,529.9999999999998,275599999.9999999,3179999.9999999986,3709999.9999999986,plum
428,Latvia,120,1603.514450572431,99.99999999999994,51999999.99999997,599999.9999999997,699999.9999999995,plum
233,Estonia,121,1347.4279062077403,19.999999999999975,10399999.999999987,119999.99999999984,139999.9999999998,plum
276,Germany,122,338995.8113379739,51320.00000000003,26686400000.000015,307920000.0000002,359240000.0000002,plum
100,Bulgaria,123,70126.4940418005,60020.00000000002,31210400000.00001,360120000.0000001,420140000.0000001,plum
300,Greece,124,8728.920611546375,21199.99999999998,11023999999.99999,127199999.99999988,148399999.99999985,plum
792,Turkey,125,190653.62668970972,329055.9999999985,171109119999.9992,1974335999.9999907,2303391999.999989,plum
