ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,potato
834,United Republic of Tanzania,2,200586.1127385497,1095855.279999997,734223037599.9979,1095855279.999997,17533684479.99995,potato
732,Western Sahara,3,0,0,0,0,0,potato
124,Canada,4,4327922.958607946,5286792.000000024,3542150640000.0166,5286792000.000025,84588672000.0004,potato
840,United States of America,5,21651957.273787275,19051789.99999977,12764699299999.844,19051789999.999767,304828639999.9963,potato
398,Kazakhstan,6,1778808.2240558937,4006780.389999996,2684542861299.9976,4006780389.999996,64108486239.99994,potato
860,Uzbekistan,7,749692.3324387074,3143818.0000000047,2106358060000.0032,3143818000.000005,50301088000.00008,potato
598,Papua New Guinea,8,585.1115201407229,1250.580000000004,837888600.0000027,1250580.0000000042,20009280.000000067,potato
360,Indonesia,9,867974.0988722817,1282767.7599999963,859454399199.9976,1282767759.9999964,20524284159.999943,potato
032,Argentina,10,2064837.5883145921,2884000.0000000014,1932280000000.001,2884000000.000002,46144000000.00003,potato
152,Chile,11,726063.2266735607,1288154.0000000019,863063180000.0012,1288154000.000002,20610464000.00003,potato
180,Democratic Republic of the Congo,12,89147.12895837775,104157.00000000023,69785190000.00015,104157000.00000024,1666512000.0000038,potato
706,Somalia,13,534.3967844247818,0,0,0,0,potato
404,Kenya,14,883786.7018336784,1859776.0000000023,1246049920000.0015,1859776000.0000024,29756416000.00004,potato
729,Sudan,15,9459.687678630464,0,0,0,0,potato
148,Chad,16,24807.701027029194,36506.35000000026,24459254500.000175,36506350.00000026,584101600.0000042,potato
332,Haiti,17,10506.788074076176,34806.829999999994,23320576099.999996,34806829.99999999,556909279.9999999,potato
214,Dominican Republic,18,34504.27352684736,89124.82999999993,59713636099.999954,89124829.99999994,1425997279.999999,potato
643,Russia,19,31111399.042590182,19607361.000000067,13136931870000.045,19607361000.00007,313717776000.0011,potato
044,The Bahamas,20,0,0,0,0,0,potato
238,United Kingdom,21,0,0,0,0,0,potato
578,Norway,22,178665.62258556366,361200.0000000002,242004000000.00012,361200000.00000024,5779200000.000004,potato
304,Denmark,23,0,0,0,0,0,potato
260,France,24,0,0,0,0,0,potato
626,East Timor,25,646.9940977022052,1134.1199999999994,759860399.9999996,1134119.9999999995,18145919.999999993,potato
710,South Africa,26,1557368.442563355,2669147.00000001,1788328490000.0066,2669147000.00001,42706352000.00016,potato
426,Lesotho,27,73426.81400251389,129643.46000000002,86861118200.00002,129643460.00000003,2074295360.0000005,potato
484,Mexico,28,1476480.6010251439,1943910.460000012,1302420008200.0083,1943910460.0000124,31102567360.0002,potato
858,Uruguay,29,134110.7038084166,73705.99999999991,49383019999.99995,73705999.99999993,1179295999.9999988,potato
076,Brazil,30,2822048.4394789496,3752998.9999999898,2514509329999.993,3752998999.9999905,60047983999.99985,potato
068,Bolivia,31,760542.7626199108,1317922.9999999935,883008409999.9956,1317922999.9999936,21086767999.999897,potato
604,Peru,32,2441165.6546436977,5515378.000000004,3695303260000.0024,5515378000.000004,88246048000.00006,potato
170,Colombia,33,2705543.263021646,2625272.0000000005,1758932240000.0002,2625272000.0000005,42004352000.00001,potato
591,Panama,34,16279.829118498688,32310.000000000007,21647700000.000004,32310000.000000007,516960000.0000001,potato
188,Costa Rica,35,68799.5708502531,47619.000000000044,31904730000.000027,47619000.000000045,761904000.0000007,potato
558,Nicaragua,36,26955.129797279835,68817.00000000006,46107390000.00004,68817000.00000006,1101072000.000001,potato
340,Honduras,37,21099.70240802318,26790.489999999994,17949628299.999996,26790489.999999996,428647839.99999994,potato
222,El Salvador,38,13224.798355221748,10339.639999999989,6927558799.999992,10339639.999999989,165434239.99999982,potato
320,Guatemala,39,221514.03496038914,598685.0000000005,401118950000.0003,598685000.0000005,9578960000.000008,potato
084,Belize,40,484.146595778293,1184.0000000000002,793280000.0000001,1184000.0000000002,18944000.000000004,potato
862,Venezuela,41,337637.2107512252,451333.7200000007,302393592400.0005,451333720.0000008,7221339520.000012,potato
328,Guyana,42,0,0,0,0,0,potato
740,Suriname,43,0,0,0,0,0,potato
250,France,44,5898234.112992808,8822180.000000024,5910860600000.017,8822180000.000025,141154880000.0004,potato
218,Ecuador,45,458125.27082877385,408313.30000000075,273569911000.00052,408313300.0000008,6533012800.000012,potato
630,United States of America,46,0,0,0,0,0,potato
388,Jamaica,47,7098.355941712856,14684.999999999995,9838949999.999996,14684999.999999994,234959999.9999999,potato
192,Cuba,48,292651.56802618504,115385.00000000003,77307950000.00002,115385000.00000003,1846160000.0000005,potato
716,Zimbabwe,49,31957.635966174304,14523.120000000023,9730490400.000015,14523120.000000024,232369920.0000004,potato
072,Botswana,50,816.6855081915855,0,0,0,0,potato
516,Namibia,51,381.0041004233062,14327.550000000007,9599458500.000004,14327550.000000007,229240800.00000012,potato
686,Senegal,52,4853.436629015952,147984.99999999977,99149949999.99985,147984999.99999976,2367759999.999996,potato
466,Mali,53,460.5073052853695,225879.67000000016,151339378900.0001,225879670.00000015,3614074720.0000024,potato
478,Mauritania,54,1625.8340849474334,2225.830000000001,1491306100.0000005,2225830.000000001,35613280.000000015,potato
204,Benin,55,282.4678829249533,63.080000000000005,42263600,63080,1009280,potato
562,Niger,56,9855.15646193691,235635.29,157875644300,235635290,3770164640,potato
566,Nigeria,57,437899.5013598935,1221405.6599999997,818341792199.9998,1221405659.9999998,19542490559.999996,potato
120,Cameroon,58,103599.16495230794,321755.2999999998,215576050999.99988,321755299.9999998,5148084799.999997,potato
768,Togo,59,1560.0131175506394,0,0,0,0,potato
288,Ghana,60,313.83408816054,0,0,0,0,potato
384,Ivory Coast,61,53.62521771714091,0,0,0,0,potato
324,Guinea,62,64.68456358544063,266865.99999999994,178800219999.99997,266865999.99999997,4269855999.9999995,potato
624,Guinea-Bissau,63,66.17190979234874,0,0,0,0,potato
430,Liberia,64,11.170994278043509,0,0,0,0,potato
694,Sierra Leone,65,0,0,0,0,0,potato
854,Burkina Faso,66,1445.0325419643777,35273.530000000064,23633265100.000046,35273530.00000007,564376480.0000011,potato
140,Central African Republic,67,1362.8767730591353,1337.990000000001,896453300.0000006,1337990.000000001,21407840.000000015,potato
178,Republic of the Congo,68,3890.506700694561,7024.849999999994,4706649499.999996,7024849.999999994,112397599.99999991,potato
266,Gabon,69,43.59991228580475,0,0,0,0,potato
226,Equatorial Guinea,70,143.23711967468262,0,0,0,0,potato
894,Zambia,71,16201.364923536312,79979.74999999956,53586432499.9997,79979749.99999957,1279675999.999993,potato
454,Malawi,72,1062426.1379823238,1318236.0000000002,883218120000.0001,1318236000.0000002,21091776000.000004,potato
508,Mozambique,73,127940.13366887718,65418.43000000003,43830348100.000015,65418430.00000003,1046694880.0000005,potato
748,eSwatini,74,7715.638563036919,8438.000000000002,5653460000.000001,8438000.000000002,135008000.00000003,potato
024,Angola,75,87295.98134805309,480560.0000000003,321975200000.0002,480560000.0000003,7688960000.000005,potato
108,Burundi,76,27757.500607728958,350000.0000000002,234500000000.00012,350000000.00000024,5600000000.000004,potato
376,Israel,77,133266.81212329865,527965,353736550000,527965000,8447440000,potato
422,Lebanon,78,291597.97988176346,628410,421034700000,628410000,10054560000,potato
450,Madagascar,79,124825.60631848127,247020.67000000004,165503848900.00003,247020670.00000006,3952330720.000001,potato
275,Israel,80,72970.24980163574,60079.99999999999,40253599999.99999,60079999.99999999,961279999.9999999,potato
270,Gambia,81,139.05574602633715,0,0,0,0,potato
788,Tunisia,82,251409.55795943737,450000.0000000002,301500000000.0001,450000000.00000024,7200000000.000004,potato
012,Algeria,83,1150353.4734740257,4659482.000000001,3121852940000.0005,4659482000.000001,74551712000.00002,potato
400,Jordan,84,96014.09202671051,147912.99999999997,99101709999.99998,147912999.99999997,2366607999.9999995,potato
784,United Arab Emirates,85,9127.950729370117,1051.0000000000002,704170000.0000001,1051000.0000000002,16816000.000000004,potato
634,Qatar,86,0,0,0,0,0,potato
414,Kuwait,87,23590.727661132812,18681.000000000004,12516270000.000002,18681000.000000004,298896000.00000006,potato
368,Iraq,88,395130.5927592814,674839.9999999995,452142799999.9997,674839999.9999995,10797439999.999992,potato
512,Oman,89,11969.814813613892,16145.999999999996,10817819999.999998,16145999.999999998,258335999.99999997,potato
548,Vanuatu,90,0,0,0,0,0,potato
116,Cambodia,91,3862.566054802388,0,0,0,0,potato
764,Thailand,92,93821.74742824584,126864.00000000023,84998880000.00015,126864000.00000024,2029824000.0000038,potato
418,Laos,93,31007.47604593821,3770.340000000001,2526127800.0000005,3770340.000000001,60325440.000000015,potato
104,Myanmar,94,277525.4709062278,468098,313625660000,468098000,7489568000,potato
704,Vietnam,95,322776.2086199522,294090.2299999998,197040454099.99988,294090229.9999998,4705443679.999997,potato
408,North Korea,96,1628681.7746925354,661092.000000001,442931640000.00073,661092000.0000011,10577472000.000017,potato
410,South Korea,97,556360.3412493467,553193.9999999998,370639979999.9999,553193999.9999999,8851103999.999998,potato
496,Mongolia,98,65576.18173710155,244261.59999999983,163655271999.99988,244261599.99999982,3908185599.999997,potato
356,India,99,22744131.439815816,48561999.99999955,32536539999999.703,48561999999.99956,776991999999.9929,potato
050,Bangladesh,100,2502634.4997816086,9605999.999999972,6436019999999.981,9605999999.999973,153695999999.99957,potato
064,Bhutan,101,29164.98139923811,45500.32999999999,30485221099.999992,45500329.99999999,728005279.9999999,potato
524,Nepal,102,1163693.8493426666,3131829.9999999953,2098326099999.9968,3131829999.9999957,50109279999.99993,potato
586,Pakistan,103,1577496.5981345742,4552656.000000002,3050279520000.001,4552656000.000002,72842496000.00003,potato
004,Afghanistan,104,3785139.1981095253,855395.0000000003,573114650000.0002,855395000.0000005,13686320000.000008,potato
762,Tajikistan,105,268233.00415257085,915999.9999999993,613719999999.9995,915999999.9999993,14655999999.999989,potato
417,Kyrgyzstan,106,957015.4554277528,1327162.9999999925,889199209999.995,1327162999.9999926,21234607999.99988,potato
795,Turkmenistan,107,95060.64349919558,490606.0000000002,328706020000.0001,490606000.00000024,7849696000.000004,potato
364,Iran,108,3385802.7216997817,3214971.3500000034,2154030804500.0022,3214971350.000004,51439541600.00006,potato
760,Syria,109,429819.8566250801,647319,433703730000,647319000,10357104000,potato
051,Armenia,110,364659.1132297516,437226.0000000002,292941420000.0001,437226000.00000024,6995616000.000004,potato
752,Sweden,111,732074.0261709401,877200.0000000006,587724000000.0004,877200000.0000006,14035200000.00001,potato
112,Belarus,112,7843961.611369133,3707899.0000000005,2484292330000.0005,3707899000.000001,59326384000.000015,potato
804,Ukraine,113,16447639.843781948,20837990.000000034,13961453300000.023,20837990000.000034,333407840000.00055,potato
616,Poland,114,19664066.119457483,7859510.000000004,5265871700000.002,7859510000.000004,125752160000.00006,potato
040,Austria,115,642713.3930629715,885890.0000000002,593546300000.0001,885890000.0000002,14174240000.000004,potato
348,Hungary,116,939418.819190979,270090.0000000002,180960300000.00012,270090000.0000002,4321440000.000003,potato
498,Moldova,117,364714.0542373657,171899.00000000012,115172330000.00008,171899000.00000012,2750384000.000002,potato
642,Romania,118,3711282.5829274654,1601239.999999997,1072830799999.9979,1601239999.9999971,25619839999.999954,potato
440,Lithuania,119,1578349.4039092064,296740.0000000002,198815800000.00012,296740000.0000002,4747840000.000003,potato
428,Latvia,120,803314.642996788,181099.99999999988,121336999999.99992,181099999.99999988,2897599999.999998,potato
233,Estonia,121,345368.3917045593,88390.00000000001,59221300000.00001,88390000.00000001,1414240000.0000002,potato
276,Germany,122,10847323.292572975,11715099.999999981,7849116999999.987,11715099999.999983,187441599999.99973,potato
100,Bulgaria,123,511653.05551946163,192330.00000000012,128861100000.00008,192330000.00000012,3077280000.000002,potato
300,Greece,124,764833.0401878357,450639.9999999999,301928799999.99994,450639999.99999994,7210239999.999999,potato
792,Turkey,125,5213231.815547466,5200000.000000017,3484000000000.011,5200000000.000017,83200000000.00027,potato
008,Albania,126,148172.9701666832,254885.99999999997,170773619999.99997,254885999.99999997,4078175999.9999995,potato
191,Croatia,127,633995.9959411621,174279.99999999997,116767599999.99998,174280000,2788480000,potato
756,Switzerland,128,529540.5988222957,488637.9999999998,327387459999.9999,488637999.9999998,7818207999.999997,potato
442,Luxembourg,129,7651.446714401245,16369.999999999998,10967899999.999998,16369999.999999998,261919999.99999997,potato
056,Belgium,130,1109628.8692297935,3928910.000000002,2632369700000.001,3928910000.000002,62862560000.00003,potato
528,Netherlands,131,5822177.9099731445,7020059.999999999,4703440199999.999,7020059999.999999,112320959999.99998,potato
620,Portugal,132,1084408.2659650445,409640.0000000006,274458800000.0004,409640000.0000006,6554240000.00001,potato
724,Spain,133,2972795.280335903,2051829.9999999965,1374726099999.9978,2051829999.9999967,32829279999.999947,potato
372,Ireland,134,429525.2836649418,300150.00000000023,201100500000.00015,300150000.00000024,4802400000.000004,potato
540,France,135,0,0,0,0,0,potato
090,Solomon Islands,136,0,0,0,0,0,potato
554,New Zealand,137,486196.58618330956,549617.02,368243403400,549617020,8793872320,potato
036,Australia,138,1251381.87111359,1076780.109999996,721442673699.9973,1076780109.999996,17228481759.999935,potato
144,Sri Lanka,139,51807.50387763977,65085.299999999974,43607150999.999985,65085299.99999998,1041364799.9999996,potato
156,China,140,62655008.05194038,92799999.99999985,62175999999999.9,92799999999.99986,1484799999999.9978,potato
158,Taiwan,141,37136.37779510021,52722.04999999996,35323773499.99997,52722049.99999996,843552799.9999994,potato
380,Italy,142,1702011.6074123383,1434649.9999999998,961215499999.9999,1434650000,22954400000,potato
208,Denmark,143,1253460.0520515442,2762900.000000003,1851143000000.0017,2762900000.000003,44206400000.000046,potato
826,United Kingdom,144,6023856.254528999,5512813.080000008,3693584763600.006,5512813080.000009,88205009280.00014,potato
352,Iceland,145,0,0,0,0,0,potato
031,Azerbaijan,146,582440.5639204979,1037636.7999999997,695216655999.9998,1037636799.9999996,16602188799.999994,potato
268,Georgia,147,389809.3497300148,208599.9999999998,139761999999.99985,208599999.9999998,3337599999.9999967,potato
608,Philippines,148,67641.53792055603,113562.36000000016,76086781200.0001,113562360.00000018,1816997760.0000029,potato
458,Malaysia,149,0.008574427161875064,0,0,0,0,potato
096,Brunei,150,0,0,0,0,0,potato
705,Slovenia,151,143125.7346611023,89880.00000000009,60219600000.00005,89880000.00000009,1438080000.0000014,potato
246,Finland,152,623030.8620624542,624400,418348000000,624400000,9990400000,potato
703,Slovakia,153,394356.46444797516,166199.99999999997,111353999999.99998,166200000,2659200000,potato
203,Czechia,154,1070421.064201355,696219.9999999993,466467399999.9996,696219999.9999994,11139519999.99999,potato
232,Eritrea,155,25156.391920365393,61.559999999999995,41245200,61560,984960,potato
392,Japan,156,2709943.382080555,2205000.000000004,1477350000000.003,2205000000.0000043,35280000000.00007,potato
600,Paraguay,157,1328.84873253046,3983.000000000015,2668610000.00001,3983000.000000015,63728000.00000024,potato
887,Yemen,158,210914.0921421051,242574.99999999994,162525249999.99997,242574999.99999997,3881199999.9999995,potato
682,Saudi Arabia,159,349104.337341249,562309.8000000016,376747566000.00104,562309800.0000015,8996956800.000025,potato
010,Antarctica,160,0,0,0,0,0,potato
-99,Northern Cyprus,161,0,0,0,0,0,potato
196,Cyprus,162,0,0,0,0,0,potato
504,Morocco,163,996851.3699691296,1707068.200000003,1143735694000.002,1707068200.000003,27313091200.00005,potato
818,Egypt,164,1824461.6051559448,6786340.000000002,4546847800000.001,6786340000.000002,108581440000.00003,potato
434,Libya,165,160171.48095321655,366749.99999999994,245722499999.99997,366750000,5868000000,potato
231,Ethiopia,166,374199.3874847926,1141871.7300000044,765054059100.0029,1141871730.0000045,18269947680.000072,potato
262,Djibouti,167,0,0,0,0,0,potato
-99,Somaliland,168,223.02582049369812,0,0,0,0,potato
800,Uganda,169,427074.7616468454,250000.00000000058,167500000000.0004,250000000.0000006,4000000000.0000095,potato
646,Rwanda,170,496364.38705825806,858521.4599999997,575209378199.9998,858521459.9999998,13736343359.999996,potato
070,Bosnia and Herzegovina,171,356541.8502459526,441218.0000000003,295616060000.0002,441218000.0000003,7059488000.000005,potato
807,North Macedonia,172,169346.30692768097,193426.00000000003,129595420000.00002,193426000.00000003,3094816000.0000005,potato
688,Republic of Serbia,173,791509.5826665163,0,0,0,0,potato
499,Montenegro,174,56407.02426147461,0,0,0,0,potato
-99,Kosovo,175,75513.39562606812,0,0,0,0,potato
780,Trinidad and Tobago,176,0,0,0,0,0,potato
728,South Sudan,177,4202.48786444962,0,0,0,0,potato
