ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,pulsenes
834,United Republic of Tanzania,2,23686.474375789985,60000.00000000017,204000000000.00058,1200000000.0000033,13200000000.000036,pulsenes
732,Western Sahara,3,0,0,0,0,0,pulsenes
124,Canada,4,0,0,0,0,0,pulsenes
840,United States of America,5,0.1453760535800086,0,0,0,0,pulsenes
398,Kazakhstan,6,196.60383955702127,0,0,0,0,pulsenes
860,Uzbekistan,7,2973.923056404572,43642.48999999996,148384465999.99988,872849799.9999993,9601347799.999992,pulsenes
598,Papua New Guinea,8,2429.7866965471767,3926.8299999999986,13351221999.999994,78536599.99999997,863902599.9999996,pulsenes
360,Indonesia,9,1040.1787771960662,1486.909999999986,5055493999.999952,29738199.99999972,327120199.9999969,pulsenes
032,Argentina,10,0,0,0,0,0,pulsenes
152,Chile,11,0,0,0,0,0,pulsenes
180,Democratic Republic of the Congo,12,6948.18729758542,10614.650000000021,36089810000.00007,212293000.00000042,2335223000.000005,pulsenes
706,Somalia,13,14.050818406045437,0,0,0,0,pulsenes
404,Kenya,14,24194.76819898188,118001.3999999998,401204759999.9993,2360027999.999996,25960307999.999958,pulsenes
729,Sudan,15,45428.43009359017,0,0,0,0,pulsenes
148,Chad,16,27774.791370847262,43439.400000000096,147693960000.00034,868788000.0000019,9556668000.000021,pulsenes
332,Haiti,17,0,0,0,0,0,pulsenes
214,Dominican Republic,18,0,0,0,0,0,pulsenes
643,Russia,19,7320.722088644514,3893.1999999999903,13236879999.999968,77863999.9999998,856503999.9999979,pulsenes
044,The Bahamas,20,0,0,0,0,0,pulsenes
238,United Kingdom,21,0,0,0,0,0,pulsenes
578,Norway,22,0,0,0,0,0,pulsenes
304,Denmark,23,0,0,0,0,0,pulsenes
260,France,24,0,0,0,0,0,pulsenes
626,East Timor,25,0.0349133238196373,0,0,0,0,pulsenes
710,South Africa,26,21204.35252009157,0,0,0,0,pulsenes
426,Lesotho,27,0,0,0,0,0,pulsenes
484,Mexico,28,43.23159406735065,587.3199999999994,1996887999.9999979,11746399.999999987,129210399.99999985,pulsenes
858,Uruguay,29,0,0,0,0,0,pulsenes
076,Brazil,30,1.2433603939025488,0,0,0,0,pulsenes
068,Bolivia,31,0.34804903747863136,0,0,0,0,pulsenes
604,Peru,32,2083.6869150212733,3732.3999999999937,12690159999.999979,74647999.99999988,821127999.9999987,pulsenes
170,Colombia,33,0.9386293709394522,0,0,0,0,pulsenes
591,Panama,34,2265.278603974264,0,0,0,0,pulsenes
188,Costa Rica,35,5.5737268924713135,0,0,0,0,pulsenes
558,Nicaragua,36,0,0,0,0,0,pulsenes
340,Honduras,37,17.711828231811523,0,0,0,0,pulsenes
222,El Salvador,38,21.729782104492188,0,0,0,0,pulsenes
320,Guatemala,39,21624.185354828325,24517.87999999997,83360791999.9999,490357599.99999934,5393933599.999992,pulsenes
084,Belize,40,1.884623259305954,0,0,0,0,pulsenes
862,Venezuela,41,0,0,0,0,0,pulsenes
328,Guyana,42,0.9289815686643124,0,0,0,0,pulsenes
740,Suriname,43,142.90238983370364,71.99999999999993,244799999.99999976,1439999.9999999986,15839999.999999985,pulsenes
250,France,44,7353.016023120377,208029.9999999999,707301999999.9996,4160599999.999998,45766599999.99998,pulsenes
218,Ecuador,45,5.915536554530263,0,0,0,0,pulsenes
630,United States of America,46,0,0,0,0,0,pulsenes
388,Jamaica,47,0,0,0,0,0,pulsenes
192,Cuba,48,0,0,0,0,0,pulsenes
716,Zimbabwe,49,2672.7352105733007,5000.21,17000714000,100004200,1100046200,pulsenes
072,Botswana,50,16948.258150955662,20702.960000000032,70390064000.0001,414059200.00000066,4554651200.000008,pulsenes
516,Namibia,51,8293.725736883003,22689.399999999943,77143959999.9998,453787999.99999887,4991667999.999988,pulsenes
686,Senegal,52,1107.1418002459468,94.35,320790000,1887000,20757000,pulsenes
466,Mali,53,1190.271747315338,392.57000000000016,1334738000.0000007,7851400.000000004,86365400.00000004,pulsenes
478,Mauritania,54,15564.070150150234,21906.709999999995,74482813999.99998,438134199.9999999,4819476199.999999,pulsenes
204,Benin,55,12154.636815417558,51468.46999999998,174992797999.99994,1029369399.9999996,11323063399.999996,pulsenes
562,Niger,56,10534.242532636039,14816.829999999958,50377221999.999855,296336599.99999917,3259702599.999991,pulsenes
566,Nigeria,57,39238.966938012454,67238.09000000001,228609506000.00003,1344761800.0000002,14792379800.000002,pulsenes
120,Cameroon,58,1075.750714912312,3401.66,11565644000,68033200,748365200,pulsenes
768,Togo,59,5359.140132280067,0,0,0,0,pulsenes
288,Ghana,60,11048.154443974607,25800.18000000005,87720612000.00017,516003600.000001,5676039600.000011,pulsenes
384,Ivory Coast,61,10254.739269765676,15644.869999999957,53192557999.999855,312897399.99999917,3441871399.999991,pulsenes
324,Guinea,62,48405.11514079021,57787.18000000025,196476412000.00085,1155743600.000005,12713179600.000055,pulsenes
624,Guinea-Bissau,63,1646.555577572668,3136.7300000000014,10664882000.000006,62734600.00000003,690080600.0000004,pulsenes
430,Liberia,64,2262.761276051402,3980.699999999997,13534379999.99999,79613999.99999994,875753999.9999993,pulsenes
694,Sierra Leone,65,40846.04180055857,77888.55000000006,264821070000.0002,1557771000.0000012,17135481000.000013,pulsenes
854,Burkina Faso,66,18085.012021155988,17339.599999999988,58954639999.99996,346791999.99999976,3814711999.999997,pulsenes
140,Central African Republic,67,28475.330923576374,49829.69000000003,169420946000.0001,996593800.0000006,10962531800.000006,pulsenes
178,Republic of the Congo,68,20.019463937729597,0,0,0,0,pulsenes
266,Gabon,69,188.40824783965945,425.7899999999999,1447685999.9999998,8515799.999999998,93673799.99999999,pulsenes
226,Equatorial Guinea,70,2.2989566922187805,0,0,0,0,pulsenes
894,Zambia,71,14129.024504465982,31039.490000000013,105534266000.00005,620789800.0000002,6828687800.000003,pulsenes
454,Malawi,72,6732.045627221465,0,0,0,0,pulsenes
508,Mozambique,73,181483.77029870823,222297.09999999971,755810139999.999,4445941999.999994,48905361999.99994,pulsenes
748,eSwatini,74,1182.754864230752,1347.6100000000006,4581874000.000002,26952200.00000001,296474200.0000001,pulsenes
024,Angola,75,49.709194622933865,0,0,0,0,pulsenes
108,Burundi,76,68.64050036668777,0,0,0,0,pulsenes
