ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,pumpkinetc
834,United Republic of Tanzania,2,2394.1938156709075,0,0,0,0,pumpkinetc
732,Western Sahara,3,0,0,0,0,0,pumpkinetc
124,Canada,4,45198.03471890873,146433.9999999997,27822459999.999947,146433999.99999973,1317905999.9999974,pumpkinetc
840,United States of America,5,244967.5722536107,902517.0000000029,171478230000.00055,902517000.0000029,8122653000.000026,pumpkinetc
398,Kazakhstan,6,59.23075744751259,0,0,0,0,pumpkinetc
860,Uzbekistan,7,87.6365881767124,0,0,0,0,pumpkinetc
598,Papua New Guinea,8,129.43700930066552,150.77,28646300,150770,1356930,pumpkinetc
360,Indonesia,9,111980.49162000977,548122.6299999983,104143299699.99968,548122629.9999983,4933103669.999985,pumpkinetc
032,Argentina,10,294250.6772107347,263109.0400000003,49990717600.00006,263109040.00000036,2367981360.000003,pumpkinetc
152,Chile,11,108218.5665766605,83660.1699999997,15895432299.999943,83660169.9999997,752941529.9999974,pumpkinetc
180,Democratic Republic of the Congo,12,39421.18696825765,30771.120000000064,5846512800.000012,30771120.000000067,276940080.0000006,pumpkinetc
706,Somalia,13,0,0,0,0,0,pumpkinetc
404,Kenya,14,531.4975666105747,0,0,0,0,pumpkinetc
729,Sudan,15,42573.12665306404,0,0,0,0,pumpkinetc
148,Chad,16,1598.7381246685982,0,0,0,0,pumpkinetc
332,Haiti,17,779.9847440719604,643.29,122225100,643290,5789610,pumpkinetc
214,Dominican Republic,18,24871.36968395114,40637.530000000006,7721130700.000001,40637530.00000001,365737770.00000006,pumpkinetc
643,Russia,19,73106.89359560423,1143126.999999999,217194129999.99982,1143126999.999999,10288142999.999992,pumpkinetc
044,The Bahamas,20,0,0,0,0,0,pumpkinetc
238,United Kingdom,21,0,0,0,0,0,pumpkinetc
578,Norway,22,0,0,0,0,0,pumpkinetc
304,Denmark,23,0,0,0,0,0,pumpkinetc
260,France,24,0,0,0,0,0,pumpkinetc
626,East Timor,25,3.811277985572815,0,0,0,0,pumpkinetc
710,South Africa,26,325222.48103384115,269476.9999999982,51200629999.99966,269476999.9999982,2425292999.999984,pumpkinetc
426,Lesotho,27,175.09368017315865,0,0,0,0,pumpkinetc
484,Mexico,28,479026.5237785426,756780.5100000018,143788296900.00034,756780510.0000018,6811024590.000015,pumpkinetc
858,Uruguay,29,19659.137027084827,26255.829999999994,4988607699.999999,26255829.999999996,236302469.99999994,pumpkinetc
076,Brazil,30,595.1886840547668,0,0,0,0,pumpkinetc
068,Bolivia,31,108585.96816034894,24573.99999999997,4669059999.999994,24573999.99999997,221165999.99999973,pumpkinetc
604,Peru,32,97891.35065120272,191049.99999999956,36299499999.999916,191049999.99999958,1719449999.9999962,pumpkinetc
170,Colombia,33,34679.01496801213,192349.81999999928,36546465799.99986,192349819.99999928,1731148379.9999936,pumpkinetc
591,Panama,34,0.040783271193504333,0,0,0,0,pumpkinetc
188,Costa Rica,35,0,0,0,0,0,pumpkinetc
558,Nicaragua,36,16.598635833710432,0,0,0,0,pumpkinetc
340,Honduras,37,2748.547667396255,20984.289999999986,3987015099.999997,20984289.999999985,188858609.99999988,pumpkinetc
222,El Salvador,38,10.975065231323242,8428.58,1601430200,8428580,75857220,pumpkinetc
320,Guatemala,39,369.08163118362427,0,0,0,0,pumpkinetc
084,Belize,40,233.34722751192749,100.99999999999996,19189999.999999993,100999.99999999996,908999.9999999997,pumpkinetc
862,Venezuela,41,36.63225609064102,115168.5,21882015000,115168500,1036516500,pumpkinetc
328,Guyana,42,3513.6552068926394,62310.599999999955,11839013999.99999,62310599.999999955,560795399.9999996,pumpkinetc
740,Suriname,43,3.9631595611572266,0,0,0,0,pumpkinetc
250,France,44,185263.58860070258,410029.999999999,77905699999.99982,410029999.99999905,3690269999.999991,pumpkinetc
218,Ecuador,45,10685.207275513516,4326.010000000001,821941900.0000002,4326010.000000002,38934090.000000015,pumpkinetc
630,United States of America,46,15470.998445987701,9144.580000000002,1737470200.0000002,9144580.000000002,82301220.00000001,pumpkinetc
388,Jamaica,47,34224.834736824036,60629.999999999985,11519699999.999998,60629999.99999999,545669999.9999999,pumpkinetc
192,Cuba,48,248299.55010551214,285461.79999999976,54237741999.999954,285461799.99999976,2569156199.999998,pumpkinetc
716,Zimbabwe,49,1.1359918424859643,0,0,0,0,pumpkinetc
072,Botswana,50,181.3598148971796,0,0,0,0,pumpkinetc
516,Namibia,51,0.3075367733836174,0,0,0,0,pumpkinetc
686,Senegal,52,0,0,0,0,0,pumpkinetc
466,Mali,53,0,0,0,0,0,pumpkinetc
478,Mauritania,54,0,0,0,0,0,pumpkinetc
204,Benin,55,0,0,0,0,0,pumpkinetc
562,Niger,56,0,0,0,0,0,pumpkinetc
566,Nigeria,57,342.6392741203308,0,0,0,0,pumpkinetc
120,Cameroon,58,108715.27405157685,178269.02000000005,33871113800.000008,178269020.00000006,1604421180.0000005,pumpkinetc
768,Togo,59,0,0,0,0,0,pumpkinetc
288,Ghana,60,0,0,0,0,0,pumpkinetc
384,Ivory Coast,61,0,0,0,0,0,pumpkinetc
324,Guinea,62,0,0,0,0,0,pumpkinetc
624,Guinea-Bissau,63,0,0,0,0,0,pumpkinetc
430,Liberia,64,0,0,0,0,0,pumpkinetc
694,Sierra Leone,65,0,0,0,0,0,pumpkinetc
854,Burkina Faso,66,0,0,0,0,0,pumpkinetc
140,Central African Republic,67,6157.218982119113,29232.0000000001,5554080000.000018,29232000.000000097,263088000.00000086,pumpkinetc
178,Republic of the Congo,68,45.0617336332798,0,0,0,0,pumpkinetc
266,Gabon,69,22.42525291442871,0,0,0,0,pumpkinetc
226,Equatorial Guinea,70,286.6769676208496,0,0,0,0,pumpkinetc
894,Zambia,71,276.4889388233423,0,0,0,0,pumpkinetc
454,Malawi,72,7.402198469266295,0,0,0,0,pumpkinetc
508,Mozambique,73,1276.147056542628,1075.8900000000017,204419100.00000033,1075890.0000000016,9683010.000000015,pumpkinetc
748,eSwatini,74,646.5012122020125,0,0,0,0,pumpkinetc
024,Angola,75,257.99938228726387,0,0,0,0,pumpkinetc
108,Burundi,76,3079.5957174301147,0,0,0,0,pumpkinetc
376,Israel,77,32715.973398447037,8110.000000000004,1540900000.0000005,8110000.000000004,72990000.00000003,pumpkinetc
422,Lebanon,78,28263.31538963318,27999.999999999996,5319999999.999999,27999999.999999996,251999999.99999994,pumpkinetc
450,Madagascar,79,0,0,0,0,0,pumpkinetc
275,Israel,80,21881.832783699036,47239.99999999999,8975599999.999998,47240000,425159999.99999994,pumpkinetc
270,Gambia,81,0,0,0,0,0,pumpkinetc
788,Tunisia,82,31226.74879384041,84582.96000000008,16070762400.000015,84582960.00000009,761246640.0000007,pumpkinetc
012,Algeria,83,91925.55433893204,435326.49999999884,82712034999.99979,435326499.99999887,3917938499.99999,pumpkinetc
400,Jordan,84,36188.25111630559,85514.00000000003,16247660000.000004,85514000.00000003,769626000.0000002,pumpkinetc
784,United Arab Emirates,85,30621.395248413086,21345,4055550000,21345000,192105000,pumpkinetc
634,Qatar,86,0,0,0,0,0,pumpkinetc
414,Kuwait,87,4432.835784912109,7282.000000000001,1383580000.0000002,7282000.000000002,65538000.000000015,pumpkinetc
368,Iraq,88,1707.2965279817581,38736.99999999999,7360029999.999999,38736999.99999999,348632999.99999994,pumpkinetc
512,Oman,89,4016.0413818359375,15695,2982050000,15695000,141255000,pumpkinetc
548,Vanuatu,90,0,0,0,0,0,pumpkinetc
116,Cambodia,91,627.4479479789734,0,0,0,0,pumpkinetc
764,Thailand,92,208694.79899286106,111807.52000000008,21243428800.000015,111807520.00000007,1006267680.0000007,pumpkinetc
418,Laos,93,1107.5321945995092,0,0,0,0,pumpkinetc
104,Myanmar,94,1057.4793455079198,0,0,0,0,pumpkinetc
704,Vietnam,95,1025.6027812063694,0,0,0,0,pumpkinetc
408,North Korea,96,84813.6632951498,71945.85999999993,13669713399.999987,71945859.99999993,647512739.9999994,pumpkinetc
410,South Korea,97,213049.75325733423,325325.0000000002,61811750000.00004,325325000.00000024,2927925000.000002,pumpkinetc
496,Mongolia,98,1.972528072539717,0,0,0,0,pumpkinetc
356,India,99,3294432.5645800666,0,0,0,0,pumpkinetc
