ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,NA,NA,NA,pyrethrum
834,United Republic of Tanzania,2,1636.083037497243,0,NA,NA,NA,pyrethrum
732,Western Sahara,3,0,0,NA,NA,NA,pyrethrum
124,Canada,4,0,0,NA,NA,NA,pyrethrum
840,United States of America,5,0,0,NA,NA,NA,pyrethrum
398,Kazakhstan,6,0,0,NA,NA,NA,pyrethrum
860,Uzbekistan,7,0,0,NA,NA,NA,pyrethrum
598,Papua New Guinea,8,779.6929223766783,0,NA,NA,NA,pyrethrum
360,Indonesia,9,3.5909207463264465,0,NA,NA,NA,pyrethrum
032,Argentina,10,0,0,NA,NA,NA,pyrethrum
152,Chile,11,0,0,NA,NA,NA,pyrethrum
180,Democratic Republic of the Congo,12,12.514336675405502,0,NA,NA,NA,pyrethrum
706,Somalia,13,4.67215096950531,0,NA,NA,NA,pyrethrum
404,Kenya,14,7855.715040555224,0,NA,NA,NA,pyrethrum
729,Sudan,15,0,0,NA,NA,NA,pyrethrum
148,Chad,16,0,0,NA,NA,NA,pyrethrum
332,Haiti,17,0,0,NA,NA,NA,pyrethrum
214,Dominican Republic,18,0,0,NA,NA,NA,pyrethrum
643,Russia,19,0,0,NA,NA,NA,pyrethrum
044,The Bahamas,20,0,0,NA,NA,NA,pyrethrum
238,United Kingdom,21,0,0,NA,NA,NA,pyrethrum
578,Norway,22,0,0,NA,NA,NA,pyrethrum
304,Denmark,23,0,0,NA,NA,NA,pyrethrum
260,France,24,0,0,NA,NA,NA,pyrethrum
626,East Timor,25,0,0,NA,NA,NA,pyrethrum
710,South Africa,26,0,0,NA,NA,NA,pyrethrum
426,Lesotho,27,0,0,NA,NA,NA,pyrethrum
484,Mexico,28,0,0,NA,NA,NA,pyrethrum
858,Uruguay,29,0,0,NA,NA,NA,pyrethrum
076,Brazil,30,0,0,NA,NA,NA,pyrethrum
068,Bolivia,31,0,0,NA,NA,NA,pyrethrum
604,Peru,32,0.27575890836305916,0,NA,NA,NA,pyrethrum
170,Colombia,33,0.04971989476621275,0,NA,NA,NA,pyrethrum
591,Panama,34,0,0,NA,NA,NA,pyrethrum
188,Costa Rica,35,0,0,NA,NA,NA,pyrethrum
558,Nicaragua,36,0,0,NA,NA,NA,pyrethrum
340,Honduras,37,0,0,NA,NA,NA,pyrethrum
222,El Salvador,38,0,0,NA,NA,NA,pyrethrum
320,Guatemala,39,0,0,NA,NA,NA,pyrethrum
084,Belize,40,0,0,NA,NA,NA,pyrethrum
862,Venezuela,41,0,0,NA,NA,NA,pyrethrum
328,Guyana,42,0,0,NA,NA,NA,pyrethrum
740,Suriname,43,0,0,NA,NA,NA,pyrethrum
250,France,44,0.019732959182874765,0,NA,NA,NA,pyrethrum
218,Ecuador,45,98.15674765713652,0,NA,NA,NA,pyrethrum
630,United States of America,46,0,0,NA,NA,NA,pyrethrum
388,Jamaica,47,0,0,NA,NA,NA,pyrethrum
192,Cuba,48,0,0,NA,NA,NA,pyrethrum
716,Zimbabwe,49,0,0,NA,NA,NA,pyrethrum
072,Botswana,50,0,0,NA,NA,NA,pyrethrum
516,Namibia,51,0,0,NA,NA,NA,pyrethrum
686,Senegal,52,0,0,NA,NA,NA,pyrethrum
466,Mali,53,0,0,NA,NA,NA,pyrethrum
478,Mauritania,54,0,0,NA,NA,NA,pyrethrum
204,Benin,55,0,0,NA,NA,NA,pyrethrum
562,Niger,56,0,0,NA,NA,NA,pyrethrum
566,Nigeria,57,0,0,NA,NA,NA,pyrethrum
120,Cameroon,58,0,0,NA,NA,NA,pyrethrum
768,Togo,59,0,0,NA,NA,NA,pyrethrum
288,Ghana,60,0,0,NA,NA,NA,pyrethrum
384,Ivory Coast,61,0,0,NA,NA,NA,pyrethrum
324,Guinea,62,0,0,NA,NA,NA,pyrethrum
624,Guinea-Bissau,63,0,0,NA,NA,NA,pyrethrum
430,Liberia,64,0,0,NA,NA,NA,pyrethrum
694,Sierra Leone,65,0,0,NA,NA,NA,pyrethrum
854,Burkina Faso,66,0,0,NA,NA,NA,pyrethrum
140,Central African Republic,67,0,0,NA,NA,NA,pyrethrum
178,Republic of the Congo,68,0,0,NA,NA,NA,pyrethrum
266,Gabon,69,0,0,NA,NA,NA,pyrethrum
226,Equatorial Guinea,70,0,0,NA,NA,NA,pyrethrum
894,Zambia,71,4.972039941698313,0,NA,NA,NA,pyrethrum
454,Malawi,72,6.593487724661827,0,NA,NA,NA,pyrethrum
508,Mozambique,73,4.458577539538965,0,NA,NA,NA,pyrethrum
748,eSwatini,74,0,0,NA,NA,NA,pyrethrum
024,Angola,75,0,0,NA,NA,NA,pyrethrum
108,Burundi,76,23.10809452831745,0,NA,NA,NA,pyrethrum
376,Israel,77,0,0,NA,NA,NA,pyrethrum
422,Lebanon,78,0,0,NA,NA,NA,pyrethrum
450,Madagascar,79,0,0,NA,NA,NA,pyrethrum
275,Israel,80,0,0,NA,NA,NA,pyrethrum
270,Gambia,81,0,0,NA,NA,NA,pyrethrum
788,Tunisia,82,0,0,NA,NA,NA,pyrethrum
012,Algeria,83,0,0,NA,NA,NA,pyrethrum
400,Jordan,84,0,0,NA,NA,NA,pyrethrum
784,United Arab Emirates,85,0,0,NA,NA,NA,pyrethrum
634,Qatar,86,0,0,NA,NA,NA,pyrethrum
414,Kuwait,87,0,0,NA,NA,NA,pyrethrum
368,Iraq,88,0,0,NA,NA,NA,pyrethrum
512,Oman,89,0,0,NA,NA,NA,pyrethrum
548,Vanuatu,90,0,0,NA,NA,NA,pyrethrum
116,Cambodia,91,0,0,NA,NA,NA,pyrethrum
764,Thailand,92,0,0,NA,NA,NA,pyrethrum
418,Laos,93,0,0,NA,NA,NA,pyrethrum
104,Myanmar,94,0,0,NA,NA,NA,pyrethrum
704,Vietnam,95,0,0,NA,NA,NA,pyrethrum
408,North Korea,96,0,0,NA,NA,NA,pyrethrum
410,South Korea,97,0,0,NA,NA,NA,pyrethrum
496,Mongolia,98,0,0,NA,NA,NA,pyrethrum
356,India,99,0,0,NA,NA,NA,pyrethrum
050,Bangladesh,100,0,0,NA,NA,NA,pyrethrum
064,Bhutan,101,0,0,NA,NA,NA,pyrethrum
524,Nepal,102,0,0,NA,NA,NA,pyrethrum
586,Pakistan,103,0,0,NA,NA,NA,pyrethrum
004,Afghanistan,104,0,0,NA,NA,NA,pyrethrum
762,Tajikistan,105,0,0,NA,NA,NA,pyrethrum
417,Kyrgyzstan,106,0,0,NA,NA,NA,pyrethrum
795,Turkmenistan,107,0,0,NA,NA,NA,pyrethrum
364,Iran,108,0,0,NA,NA,NA,pyrethrum
760,Syria,109,0,0,NA,NA,NA,pyrethrum
051,Armenia,110,0,0,NA,NA,NA,pyrethrum
