ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,quince
834,United Republic of Tanzania,2,0,0,0,0,0,quince
732,Western Sahara,3,0,0,0,0,0,quince
124,Canada,4,0,0,0,0,0,quince
840,United States of America,5,24.937569980695116,0,0,0,0,quince
398,Kazakhstan,6,1272.659610235869,702.7100000000004,245948500.00000012,702710.0000000005,1405420.000000001,quince
860,Uzbekistan,7,2020.9493338279426,96242.00000000016,33684700000.000053,96242000.00000016,192484000.00000033,quince
598,Papua New Guinea,8,0,0,0,0,0,quince
360,Indonesia,9,0,0,0,0,0,quince
032,Argentina,10,24059.207439665937,28980.939999999973,10143328999.999992,28980939.999999978,57961879.999999955,quince
152,Chile,11,319.3672020291124,531.5699999999997,186049499.9999999,531569.9999999998,1063139.9999999995,quince
180,Democratic Republic of the Congo,12,0,0,0,0,0,quince
706,Somalia,13,0,0,0,0,0,quince
404,Kenya,14,0,0,0,0,0,quince
729,Sudan,15,0,0,0,0,0,quince
148,Chad,16,0,0,0,0,0,quince
332,Haiti,17,0,0,0,0,0,quince
214,Dominican Republic,18,0,0,0,0,0,quince
643,Russia,19,4651.789728388298,7300.000000000008,2555000000.0000024,7300000.000000007,14600000.000000015,quince
044,The Bahamas,20,0,0,0,0,0,quince
238,United Kingdom,21,0,0,0,0,0,quince
578,Norway,22,0,0,0,0,0,quince
304,Denmark,23,0,0,0,0,0,quince
260,France,24,0,0,0,0,0,quince
626,East Timor,25,0,0,0,0,0,quince
710,South Africa,26,244.40617656990798,87.00000000000026,30450000.00000009,87000.00000000026,174000.00000000052,quince
426,Lesotho,27,0.16370971221476793,0,0,0,0,quince
484,Mexico,28,7415.876767811957,5866.039999999996,2053113999.9999988,5866039.999999996,11732079.999999993,quince
858,Uruguay,29,8057.722685125249,4031.000000000002,1410850000.0000005,4031000.000000002,8062000.000000004,quince
076,Brazil,30,4536.507424437383,556.0000000000031,194600000.00000107,556000.0000000031,1112000.0000000063,quince
068,Bolivia,31,3575.198392471575,128.00000000000026,44800000.00000009,128000.00000000026,256000.00000000052,quince
604,Peru,32,5221.839863337562,6175.740000000001,2161509000.0000005,6175740.000000001,12351480.000000002,quince
170,Colombia,33,1.4181321096839383,0,0,0,0,quince
591,Panama,34,0,0,0,0,0,quince
188,Costa Rica,35,0,0,0,0,0,quince
558,Nicaragua,36,0,0,0,0,0,quince
340,Honduras,37,0,0,0,0,0,quince
222,El Salvador,38,0,0,0,0,0,quince
320,Guatemala,39,5.565519783645868,0,0,0,0,quince
084,Belize,40,0,0,0,0,0,quince
862,Venezuela,41,0.0020230592077519205,0,0,0,0,quince
328,Guyana,42,0.1829486017813906,0,0,0,0,quince
740,Suriname,43,0,0,0,0,0,quince
250,France,44,2031.0046382789587,0,0,0,0,quince
218,Ecuador,45,14.799123767763376,0,0,0,0,quince
630,United States of America,46,0,0,0,0,0,quince
388,Jamaica,47,0,0,0,0,0,quince
192,Cuba,48,0,0,0,0,0,quince
716,Zimbabwe,49,0,0,0,0,0,quince
072,Botswana,50,0.10926265507441713,0,0,0,0,quince
516,Namibia,51,2.9908665601396933e-4,0,0,0,0,quince
686,Senegal,52,0,0,0,0,0,quince
466,Mali,53,0,0,0,0,0,quince
478,Mauritania,54,0,0,0,0,0,quince
204,Benin,55,0,0,0,0,0,quince
562,Niger,56,0,0,0,0,0,quince
566,Nigeria,57,0,0,0,0,0,quince
120,Cameroon,58,0,0,0,0,0,quince
768,Togo,59,0,0,0,0,0,quince
288,Ghana,60,0,0,0,0,0,quince
384,Ivory Coast,61,0,0,0,0,0,quince
324,Guinea,62,0,0,0,0,0,quince
624,Guinea-Bissau,63,0,0,0,0,0,quince
430,Liberia,64,0,0,0,0,0,quince
694,Sierra Leone,65,0,0,0,0,0,quince
854,Burkina Faso,66,0,0,0,0,0,quince
140,Central African Republic,67,0,0,0,0,0,quince
178,Republic of the Congo,68,0,0,0,0,0,quince
266,Gabon,69,0,0,0,0,0,quince
226,Equatorial Guinea,70,0,0,0,0,0,quince
894,Zambia,71,0,0,0,0,0,quince
454,Malawi,72,0,0,0,0,0,quince
508,Mozambique,73,0.37249080365290865,0,0,0,0,quince
748,eSwatini,74,0.34390522621106356,0,0,0,0,quince
024,Angola,75,0,0,0,0,0,quince
108,Burundi,76,0,0,0,0,0,quince
376,Israel,77,111.5535018760711,2330.000000000002,815500000.0000006,2330000.000000002,4660000.000000004,quince
422,Lebanon,78,28.501068592071533,0,0,0,0,quince
450,Madagascar,79,0,0,0,0,0,quince
275,Israel,80,6.156734152697027,42.25999999999999,14790999.999999996,42259.99999999999,84519.99999999999,quince
270,Gambia,81,0,0,0,0,0,quince
788,Tunisia,82,4107.3363209962845,4134.020000000005,1446907000.000002,4134020.0000000056,8268040.000000011,quince
012,Algeria,83,3036.5589899644256,11748.000000000016,4111800000.0000057,11748000.000000017,23496000.000000034,quince
400,Jordan,84,1.0444074869155884,27,9450000,27000,54000,quince
784,United Arab Emirates,85,0,0,0,0,0,quince
634,Qatar,86,0,0,0,0,0,quince
414,Kuwait,87,0,0,0,0,0,quince
368,Iraq,88,136.78761100769043,1770.5200000000002,619682000.0000001,1770520.0000000005,3541040.000000001,quince
512,Oman,89,0,0,0,0,0,quince
548,Vanuatu,90,0,0,0,0,0,quince
116,Cambodia,91,0,0,0,0,0,quince
764,Thailand,92,0,0,0,0,0,quince
418,Laos,93,0.0025287503376603127,0,0,0,0,quince
104,Myanmar,94,12.149220641644206,0,0,0,0,quince
704,Vietnam,95,19.09292440977879,0,0,0,0,quince
408,North Korea,96,3.4066105550155044,0,0,0,0,quince
410,South Korea,97,0,0,0,0,0,quince
496,Mongolia,98,0.10190639948552871,0,0,0,0,quince
356,India,99,0.005088413919963841,0,0,0,0,quince
050,Bangladesh,100,0,0,0,0,0,quince
064,Bhutan,101,0,0,0,0,0,quince
524,Nepal,102,0,0,0,0,0,quince
586,Pakistan,103,0,0,0,0,0,quince
004,Afghanistan,104,39.02011941373348,0,0,0,0,quince
762,Tajikistan,105,39.082955682853935,0,0,0,0,quince
417,Kyrgyzstan,106,1392.3051819134007,2192.1900000000005,767266500.0000001,2192190.0000000005,4384380.000000001,quince
795,Turkmenistan,107,78.48369943536818,0,0,0,0,quince
364,Iran,108,25646.30921649933,90459.45000000004,31660807500.00001,90459450.00000004,180918900.0000001,quince
760,Syria,109,6300.388133376837,3343.999999999998,1170399999.9999993,3343999.999999998,6687999.999999996,quince
051,Armenia,110,55.24928966164589,1570.7000000000003,549745000.0000001,1570700.0000000002,3141400.0000000005,quince
752,Sweden,111,0,0,0,0,0,quince
112,Belarus,112,622.2092159000458,0,0,0,0,quince
804,Ukraine,113,217.65670539997518,5780,2023000000,5780000,11560000,quince
616,Poland,114,0.9025812298059464,0,0,0,0,quince
040,Austria,115,10.350666714832187,0,0,0,0,quince
348,Hungary,116,1822.264472529292,0,0,0,0,quince
498,Moldova,117,2182.8270552009344,2905.000000000001,1016750000.0000002,2905000.000000001,5810000.000000002,quince
642,Romania,118,7265.339868287556,0,0,0,0,quince
440,Lithuania,119,4.904716182500124,0,0,0,0,quince
428,Latvia,120,22.51810886374733,0,0,0,0,quince
233,Estonia,121,0.7461418437305838,0,0,0,0,quince
276,Germany,122,6.456942962482572,0,0,0,0,quince
100,Bulgaria,123,5758.8566410169005,0,0,0,0,quince
300,Greece,124,5258.040986060165,0,0,0,0,quince
792,Turkey,125,95976.53485713527,189250.99999999913,66237849999.999695,189250999.99999914,378501999.9999983,quince
008,Albania,126,691.7918009757996,5064,1772400000,5064000,10128000,quince
191,Croatia,127,645.3009681133553,0,0,0,0,quince
756,Switzerland,128,966.0202107741497,685.0000000000003,239750000.00000012,685000.0000000005,1370000.000000001,quince
442,Luxembourg,129,2.0744938254356384,0,0,0,0,quince
056,Belgium,130,127.54366448405199,0,0,0,0,quince
528,Netherlands,131,3.090686783194542,0,0,0,0,quince
620,Portugal,132,1681.5768044125289,0,0,0,0,quince
724,Spain,133,4595.029303746065,0,0,0,0,quince
372,Ireland,134,0,0,0,0,0,quince
540,France,135,0,0,0,0,0,quince
090,Solomon Islands,136,0,0,0,0,0,quince
554,New Zealand,137,893.6144966096617,1347.9200000000017,471772000.0000006,1347920.0000000019,2695840.0000000037,quince
036,Australia,138,0,0,0,0,0,quince
144,Sri Lanka,139,0,0,0,0,0,quince
156,China,140,75576.3829136285,110516.22999999957,38680680499.99985,110516229.99999958,221032459.99999917,quince
158,Taiwan,141,0,0,0,0,0,quince
380,Italy,142,561.381736616604,0,0,0,0,quince
208,Denmark,143,0,0,0,0,0,quince
826,United Kingdom,144,0,0,0,0,0,quince
352,Iceland,145,0,0,0,0,0,quince
031,Azerbaijan,146,422.86689706146717,39364.89999999999,13777714999.999996,39364899.99999999,78729799.99999999,quince
268,Georgia,147,2669.811306550633,1599.9999999999995,559999999.9999999,1599999.9999999998,3199999.9999999995,quince
608,Philippines,148,0,0,0,0,0,quince
458,Malaysia,149,0,0,0,0,0,quince
096,Brunei,150,0,0,0,0,0,quince
705,Slovenia,151,47.67997934855521,0,0,0,0,quince
246,Finland,152,0.4620193247683346,0,0,0,0,quince
703,Slovakia,153,4.339593656361103,0,0,0,0,quince
203,Czechia,154,0,0,0,0,0,quince
232,Eritrea,155,0,0,0,0,0,quince
392,Japan,156,0,0,0,0,0,quince
600,Paraguay,157,4.901344059544499,0,0,0,0,quince
887,Yemen,158,591.1411511562765,1581.4999999999993,553524999.9999998,1581499.9999999993,3162999.9999999986,quince
682,Saudi Arabia,159,0.4175260365009308,0,0,0,0,quince
010,Antarctica,160,0,0,0,0,0,quince
-99,Northern Cyprus,161,37.903045296669006,0,0,0,0,quince
196,Cyprus,162,35.7748363353312,0,0,0,0,quince
504,Morocco,163,26046.954637549818,57699.99999999996,20194999999.99999,57699999.99999997,115399999.99999994,quince
818,Egypt,164,0,0,0,0,0,quince
434,Libya,165,0,0,0,0,0,quince
231,Ethiopia,166,0,0,0,0,0,quince
262,Djibouti,167,0,0,0,0,0,quince
-99,Somaliland,168,0,0,0,0,0,quince
800,Uganda,169,0,0,0,0,0,quince
646,Rwanda,170,0,0,0,0,0,quince
070,Bosnia and Herzegovina,171,95.00499258562922,1419,496650000,1419000,2838000,quince
807,North Macedonia,172,893.6143554672599,1617.0000000000005,565950000.0000001,1617000.0000000005,3234000.000000001,quince
688,Republic of Serbia,173,9366.0696766451,0,0,0,0,quince
499,Montenegro,174,1138.4774651527405,0,0,0,0,quince
-99,Kosovo,175,1326.2532751560211,0,0,0,0,quince
780,Trinidad and Tobago,176,0,0,0,0,0,quince
728,South Sudan,177,0,0,0,0,0,quince
