ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,quinoa
834,United Republic of Tanzania,2,0,0,0,0,0,quinoa
732,Western Sahara,3,0,0,0,0,0,quinoa
124,Canada,4,2783.9907336187216,0,0,0,0,quinoa
840,United States of America,5,27483.025365558628,0,0,0,0,quinoa
398,Kazakhstan,6,19627.818120814103,0,0,0,0,quinoa
860,Uzbekistan,7,119.70485158497468,0,0,0,0,quinoa
598,Papua New Guinea,8,0,0,0,0,0,quinoa
360,Indonesia,9,0,0,0,0,0,quinoa
032,Argentina,10,6.846904672682285,0,0,0,0,quinoa
152,Chile,11,1.455824963748455,0,0,0,0,quinoa
180,Democratic Republic of the Congo,12,0,0,0,0,0,quinoa
706,Somalia,13,0,0,0,0,0,quinoa
404,Kenya,14,0,0,0,0,0,quinoa
729,Sudan,15,0,0,0,0,0,quinoa
148,Chad,16,0,0,0,0,0,quinoa
332,Haiti,17,0,0,0,0,0,quinoa
214,Dominican Republic,18,0,0,0,0,0,quinoa
643,Russia,19,12088.39873373056,0,0,0,0,quinoa
044,The Bahamas,20,0,0,0,0,0,quinoa
238,United Kingdom,21,0,0,0,0,0,quinoa
578,Norway,22,0,0,0,0,0,quinoa
304,Denmark,23,0,0,0,0,0,quinoa
260,France,24,0,0,0,0,0,quinoa
626,East Timor,25,0,0,0,0,0,quinoa
710,South Africa,26,957.1924890090013,0,0,0,0,quinoa
426,Lesotho,27,0.6411528214812279,0,0,0,0,quinoa
484,Mexico,28,4.639690313459141,0,0,0,0,quinoa
858,Uruguay,29,0,0,0,0,0,quinoa
076,Brazil,30,38.54147428329452,0,0,0,0,quinoa
068,Bolivia,31,23158.153813889716,70169.9999999999,239981399999.99963,3508499999.9999948,8420399999.999987,quinoa
604,Peru,32,27036.348401734605,100207.00000000001,342707940000.00006,5010350000.000001,12024840000.000002,quinoa
170,Colombia,33,7.530664873240312,0,0,0,0,quinoa
591,Panama,34,0,0,0,0,0,quinoa
188,Costa Rica,35,0,0,0,0,0,quinoa
558,Nicaragua,36,0,0,0,0,0,quinoa
340,Honduras,37,0,0,0,0,0,quinoa
222,El Salvador,38,0,0,0,0,0,quinoa
320,Guatemala,39,0,0,0,0,0,quinoa
084,Belize,40,0,0,0,0,0,quinoa
862,Venezuela,41,0,0,0,0,0,quinoa
328,Guyana,42,0,0,0,0,0,quinoa
740,Suriname,43,0,0,0,0,0,quinoa
250,France,44,17815.963685231283,0,0,0,0,quinoa
218,Ecuador,45,599.3518884926939,4902.910000000013,16767952200.000044,245145500.00000063,588349200.0000015,quinoa
630,United States of America,46,0,0,0,0,0,quinoa
388,Jamaica,47,0,0,0,0,0,quinoa
192,Cuba,48,0,0,0,0,0,quinoa
716,Zimbabwe,49,0,0,0,0,0,quinoa
072,Botswana,50,0.42791633066372015,0,0,0,0,quinoa
516,Namibia,51,0.0011713430285453796,0,0,0,0,quinoa
686,Senegal,52,0,0,0,0,0,quinoa
466,Mali,53,0,0,0,0,0,quinoa
478,Mauritania,54,0,0,0,0,0,quinoa
204,Benin,55,0,0,0,0,0,quinoa
562,Niger,56,0,0,0,0,0,quinoa
566,Nigeria,57,0,0,0,0,0,quinoa
120,Cameroon,58,0,0,0,0,0,quinoa
768,Togo,59,0,0,0,0,0,quinoa
288,Ghana,60,0,0,0,0,0,quinoa
384,Ivory Coast,61,0,0,0,0,0,quinoa
324,Guinea,62,0,0,0,0,0,quinoa
624,Guinea-Bissau,63,0,0,0,0,0,quinoa
430,Liberia,64,0,0,0,0,0,quinoa
694,Sierra Leone,65,0,0,0,0,0,quinoa
854,Burkina Faso,66,0,0,0,0,0,quinoa
140,Central African Republic,67,0,0,0,0,0,quinoa
178,Republic of the Congo,68,0,0,0,0,0,quinoa
266,Gabon,69,0,0,0,0,0,quinoa
226,Equatorial Guinea,70,0,0,0,0,0,quinoa
894,Zambia,71,0,0,0,0,0,quinoa
454,Malawi,72,0,0,0,0,0,quinoa
508,Mozambique,73,1.4588231923989952,0,0,0,0,quinoa
748,eSwatini,74,1.3468706216663122,0,0,0,0,quinoa
024,Angola,75,0,0,0,0,0,quinoa
108,Burundi,76,0,0,0,0,0,quinoa
376,Israel,77,402.30439100041986,0,0,0,0,quinoa
422,Lebanon,78,774.8274374753237,0,0,0,0,quinoa
450,Madagascar,79,0,0,0,0,0,quinoa
275,Israel,80,179.15734159946442,0,0,0,0,quinoa
270,Gambia,81,0,0,0,0,0,quinoa
788,Tunisia,82,0,0,0,0,0,quinoa
012,Algeria,83,0,0,0,0,0,quinoa
400,Jordan,84,91.56405960582197,0,0,0,0,quinoa
784,United Arab Emirates,85,107.28691101074219,0,0,0,0,quinoa
634,Qatar,86,0,0,0,0,0,quinoa
414,Kuwait,87,0,0,0,0,0,quinoa
368,Iraq,88,9.276918947696686,0,0,0,0,quinoa
512,Oman,89,736.9120455980301,0,0,0,0,quinoa
548,Vanuatu,90,0,0,0,0,0,quinoa
116,Cambodia,91,0,0,0,0,0,quinoa
764,Thailand,92,0,0,0,0,0,quinoa
418,Laos,93,0.9932241439819336,0,0,0,0,quinoa
104,Myanmar,94,162.26297180261463,0,0,0,0,quinoa
704,Vietnam,95,221.09947763569653,0,0,0,0,quinoa
408,North Korea,96,128.0803143978119,0,0,0,0,quinoa
410,South Korea,97,3222.044746988453,0,0,0,0,quinoa
496,Mongolia,98,0.6943784993436566,0,0,0,0,quinoa
356,India,99,740.3244787128642,0,0,0,0,quinoa
050,Bangladesh,100,0,0,0,0,0,quinoa
064,Bhutan,101,1.0394670963287354,0,0,0,0,quinoa
524,Nepal,102,201.69318263232708,0,0,0,0,quinoa
586,Pakistan,103,17.45042870938778,0,0,0,0,quinoa
004,Afghanistan,104,9.11850795825012,0,0,0,0,quinoa
762,Tajikistan,105,136.86074708111119,0,0,0,0,quinoa
417,Kyrgyzstan,106,229.03107735549565,0,0,0,0,quinoa
795,Turkmenistan,107,0,0,0,0,0,quinoa
364,Iran,108,0,0,0,0,0,quinoa
760,Syria,109,3720.598609045148,0,0,0,0,quinoa
051,Armenia,110,3.6433760072445244e-44,0,0,0,0,quinoa
752,Sweden,111,0,0,0,0,0,quinoa
112,Belarus,112,12266.822382211685,0,0,0,0,quinoa
804,Ukraine,113,259134.94616870582,0,0,0,0,quinoa
616,Poland,114,45104.74621523172,0,0,0,0,quinoa
040,Austria,115,40.30545477941632,0,0,0,0,quinoa
348,Hungary,116,826.5394304213114,0,0,0,0,quinoa
498,Moldova,117,8887.473704636097,0,0,0,0,quinoa
642,Romania,118,729.5266851186752,0,0,0,0,quinoa
440,Lithuania,119,12996.621687613428,0,0,0,0,quinoa
428,Latvia,120,5865.408667609096,0,0,0,0,quinoa
233,Estonia,121,307.82646600343287,0,0,0,0,quinoa
276,Germany,122,50.144829764962196,0,0,0,0,quinoa
100,Bulgaria,123,0,0,0,0,0,quinoa
300,Greece,124,0,0,0,0,0,quinoa
792,Turkey,125,85.48582518100739,0,0,0,0,quinoa
008,Albania,126,0,0,0,0,0,quinoa
191,Croatia,127,63.73555383650819,0,0,0,0,quinoa
756,Switzerland,128,20.09238214418292,0,0,0,0,quinoa
442,Luxembourg,129,4.966770648956299,0,0,0,0,quinoa
056,Belgium,130,29.552042961120605,0,0,0,0,quinoa
528,Netherlands,131,0,0,0,0,0,quinoa
620,Portugal,132,0,0,0,0,0,quinoa
724,Spain,133,0.48052219301462173,0,0,0,0,quinoa
372,Ireland,134,0,0,0,0,0,quinoa
540,France,135,0,0,0,0,0,quinoa
090,Solomon Islands,136,0,0,0,0,0,quinoa
554,New Zealand,137,0,0,0,0,0,quinoa
036,Australia,138,1.7566336374638798e-36,0,0,0,0,quinoa
144,Sri Lanka,139,0,0,0,0,0,quinoa
156,China,140,1204864.236855944,0,0,0,0,quinoa
158,Taiwan,141,0,0,0,0,0,quinoa
380,Italy,142,64.63631200045347,0,0,0,0,quinoa
208,Denmark,143,0,0,0,0,0,quinoa
826,United Kingdom,144,0,0,0,0,0,quinoa
352,Iceland,145,0,0,0,0,0,quinoa
031,Azerbaijan,146,8.26766093951642e-43,0,0,0,0,quinoa
268,Georgia,147,3.8087712649887825e-40,0,0,0,0,quinoa
608,Philippines,148,0,0,0,0,0,quinoa
458,Malaysia,149,0,0,0,0,0,quinoa
096,Brunei,150,0,0,0,0,0,quinoa
705,Slovenia,151,569.8469398319721,0,0,0,0,quinoa
246,Finland,152,0,0,0,0,0,quinoa
703,Slovakia,153,5.963468359783292,0,0,0,0,quinoa
203,Czechia,154,182.8403788805008,0,0,0,0,quinoa
232,Eritrea,155,0,0,0,0,0,quinoa
392,Japan,156,33465.56096263975,0,0,0,0,quinoa
600,Paraguay,157,28.925647258758545,0,0,0,0,quinoa
887,Yemen,158,80501.71762084961,0,0,0,0,quinoa
682,Saudi Arabia,159,0.02865372784435749,0,0,0,0,quinoa
010,Antarctica,160,0,0,0,0,0,quinoa
-99,Northern Cyprus,161,0,0,0,0,0,quinoa
196,Cyprus,162,0,0,0,0,0,quinoa
504,Morocco,163,0,0,0,0,0,quinoa
818,Egypt,164,0,0,0,0,0,quinoa
434,Libya,165,0,0,0,0,0,quinoa
231,Ethiopia,166,0,0,0,0,0,quinoa
262,Djibouti,167,0,0,0,0,0,quinoa
-99,Somaliland,168,0,0,0,0,0,quinoa
800,Uganda,169,0,0,0,0,0,quinoa
646,Rwanda,170,0,0,0,0,0,quinoa
070,Bosnia and Herzegovina,171,0.20381600712426007,0,0,0,0,quinoa
807,North Macedonia,172,0,0,0,0,0,quinoa
688,Republic of Serbia,173,1.2984311990439892,0,0,0,0,quinoa
499,Montenegro,174,0,0,0,0,0,quinoa
-99,Kosovo,175,0,0,0,0,0,quinoa
780,Trinidad and Tobago,176,0,0,0,0,0,quinoa
728,South Sudan,177,0,0,0,0,0,quinoa
