ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,rapeseed
834,United Republic of Tanzania,2,0,0,0,0,0,rapeseed
732,Western Sahara,3,0,0,0,0,0,rapeseed
124,Canada,4,6500965.206113775,19484699.999999892,96254417999999.47,8768114999999.952,3819001199999.9795,rapeseed
840,United States of America,5,705747.6194742374,1575309.9999999881,7782031399999.941,708889499999.9946,308760759999.9977,rapeseed
398,Kazakhstan,6,9677.785027541038,153167.5399999991,756647647599.9955,68925392999.99959,30020837839.999825,rapeseed
860,Uzbekistan,7,1589.163401544909,1286.7499999999968,6356544999.999985,579037499.9999986,252202999.9999994,rapeseed
598,Papua New Guinea,8,0,0,0,0,0,rapeseed
360,Indonesia,9,0,0,0,0,0,rapeseed
032,Argentina,10,5402.415416126515,32513.99999999998,160619159999.9999,14631299999.999992,6372743999.999997,rapeseed
152,Chile,11,43923.64409467015,153533.0000000001,758453020000.0005,69089850000.00005,30092468000.00002,rapeseed
180,Democratic Republic of the Congo,12,0,0,0,0,0,rapeseed
706,Somalia,13,0,0,0,0,0,rapeseed
404,Kenya,14,8.170258402824402,0,0,0,0,rapeseed
729,Sudan,15,0,0,0,0,0,rapeseed
148,Chad,16,0,0,0,0,0,rapeseed
332,Haiti,17,0,0,0,0,0,rapeseed
214,Dominican Republic,18,0,0,0,0,0,rapeseed
643,Russia,19,137288.08245153492,2572492.399999989,12708112455999.947,1157621579999.995,504208510399.9979,rapeseed
044,The Bahamas,20,0,0,0,0,0,rapeseed
238,United Kingdom,21,0,0,0,0,0,rapeseed
578,Norway,22,6518.628036480972,7180.000000000001,35469200000.00001,3231000000.0000005,1407280000.0000005,rapeseed
304,Denmark,23,0,0,0,0,0,rapeseed
260,France,24,0,0,0,0,0,rapeseed
626,East Timor,25,0,0,0,0,0,rapeseed
710,South Africa,26,0,0,0,0,0,rapeseed
426,Lesotho,27,0,0,0,0,0,rapeseed
484,Mexico,28,9342.928716954482,2000.0000000000073,9880000000.000036,900000000.0000033,392000000.0000015,rapeseed
858,Uruguay,29,7.688476208597422,183300,905502000000,82485000000,35926800000,rapeseed
076,Brazil,30,36371.583979053765,54999.99999999983,271699999999.99918,24749999999.999924,10779999999.999968,rapeseed
068,Bolivia,31,55.21281111019198,0,0,0,0,rapeseed
604,Peru,32,13.319916975568049,0,0,0,0,rapeseed
170,Colombia,33,0.1152217227499932,0,0,0,0,rapeseed
591,Panama,34,0,0,0,0,0,rapeseed
188,Costa Rica,35,0,0,0,0,0,rapeseed
558,Nicaragua,36,0,0,0,0,0,rapeseed
340,Honduras,37,0,0,0,0,0,rapeseed
222,El Salvador,38,0,0,0,0,0,rapeseed
320,Guatemala,39,6.105388466268778,0,0,0,0,rapeseed
084,Belize,40,0,0,0,0,0,rapeseed
862,Venezuela,41,0.016522137956499705,0,0,0,0,rapeseed
328,Guyana,42,1.494124318473041,0,0,0,0,rapeseed
740,Suriname,43,0,0,0,0,0,rapeseed
250,France,44,3292814.0226263315,3289959.999999978,16252402399999.893,1480481999999.9902,644832159999.9957,rapeseed
218,Ecuador,45,0,0,0,0,0,rapeseed
630,United States of America,46,0,0,0,0,0,rapeseed
388,Jamaica,47,0,0,0,0,0,rapeseed
192,Cuba,48,0,0,0,0,0,rapeseed
716,Zimbabwe,49,0,0,0,0,0,rapeseed
072,Botswana,50,0,0,0,0,0,rapeseed
516,Namibia,51,0,0,0,0,0,rapeseed
686,Senegal,52,0,0,0,0,0,rapeseed
466,Mali,53,0,0,0,0,0,rapeseed
478,Mauritania,54,0,0,0,0,0,rapeseed
204,Benin,55,0,0,0,0,0,rapeseed
562,Niger,56,0,0,0,0,0,rapeseed
566,Nigeria,57,0,0,0,0,0,rapeseed
120,Cameroon,58,0,0,0,0,0,rapeseed
768,Togo,59,0,0,0,0,0,rapeseed
288,Ghana,60,0,0,0,0,0,rapeseed
384,Ivory Coast,61,0,0,0,0,0,rapeseed
324,Guinea,62,0,0,0,0,0,rapeseed
624,Guinea-Bissau,63,0,0,0,0,0,rapeseed
430,Liberia,64,0,0,0,0,0,rapeseed
694,Sierra Leone,65,0,0,0,0,0,rapeseed
854,Burkina Faso,66,0,0,0,0,0,rapeseed
140,Central African Republic,67,0,0,0,0,0,rapeseed
178,Republic of the Congo,68,0,0,0,0,0,rapeseed
