ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,rasberry
834,United Republic of Tanzania,2,0,0,0,0,0,rasberry
732,Western Sahara,3,0,0,0,0,0,rasberry
124,Canada,4,14742.265578091447,7608.00000000003,3575760000.000014,38040000.00000015,68472000.00000027,rasberry
840,United States of America,5,48434.75308934079,100699.99999999946,47328999999.99975,503499999.9999973,906299999.9999952,rasberry
398,Kazakhstan,6,146.19847304156735,0,0,0,0,rasberry
860,Uzbekistan,7,55.28453597612679,0,0,0,0,rasberry
598,Papua New Guinea,8,0,0,0,0,0,rasberry
360,Indonesia,9,0,0,0,0,0,rasberry
032,Argentina,10,0,0,0,0,0,rasberry
152,Chile,11,0,0,0,0,0,rasberry
180,Democratic Republic of the Congo,12,0,0,0,0,0,rasberry
706,Somalia,13,0,0,0,0,0,rasberry
404,Kenya,14,0,0,0,0,0,rasberry
729,Sudan,15,0,0,0,0,0,rasberry
148,Chad,16,0,0,0,0,0,rasberry
332,Haiti,17,0,0,0,0,0,rasberry
214,Dominican Republic,18,0,0,0,0,0,rasberry
643,Russia,19,136194.4997997853,182000.0000000003,85540000000.00014,910000000.0000014,1638000000.0000026,rasberry
044,The Bahamas,20,0,0,0,0,0,rasberry
238,United Kingdom,21,0,0,0,0,0,rasberry
578,Norway,22,606.6552534802433,2061.999999999999,969139999.9999996,10309999.999999996,18557999.999999993,rasberry
304,Denmark,23,0,0,0,0,0,rasberry
260,France,24,0,0,0,0,0,rasberry
626,East Timor,25,0,0,0,0,0,rasberry
710,South Africa,26,0.8851697803474963,0,0,0,0,rasberry
426,Lesotho,27,0,0,0,0,0,rasberry
484,Mexico,28,1483.9757232581806,146349.7199999995,68784368399.99977,731748599.9999975,1317147479.9999955,rasberry
858,Uruguay,29,0,0,0,0,0,rasberry
076,Brazil,30,0,0,0,0,0,rasberry
068,Bolivia,31,0,0,0,0,0,rasberry
604,Peru,32,0,0,0,0,0,rasberry
170,Colombia,33,0,0,0,0,0,rasberry
591,Panama,34,0,0,0,0,0,rasberry
188,Costa Rica,35,0,0,0,0,0,rasberry
558,Nicaragua,36,0,0,0,0,0,rasberry
340,Honduras,37,0,0,0,0,0,rasberry
222,El Salvador,38,0,0,0,0,0,rasberry
320,Guatemala,39,1.1124335867352784,0,0,0,0,rasberry
084,Belize,40,0,0,0,0,0,rasberry
862,Venezuela,41,0,0,0,0,0,rasberry
328,Guyana,42,0,0,0,0,0,rasberry
740,Suriname,43,0,0,0,0,0,rasberry
250,France,44,7221.35454587359,5210.000000000003,2448700000.0000014,26050000.000000015,46890000.00000003,rasberry
218,Ecuador,45,0,0,0,0,0,rasberry
630,United States of America,46,0,0,0,0,0,rasberry
388,Jamaica,47,0,0,0,0,0,rasberry
192,Cuba,48,0,0,0,0,0,rasberry
716,Zimbabwe,49,76.12980809481815,97.54000000000003,45843800.000000015,487700.0000000002,877860.0000000003,rasberry
072,Botswana,50,0.3442323987255804,0,0,0,0,rasberry
516,Namibia,51,0,0,0,0,0,rasberry
686,Senegal,52,0,0,0,0,0,rasberry
466,Mali,53,0,0,0,0,0,rasberry
478,Mauritania,54,0,0,0,0,0,rasberry
204,Benin,55,0,0,0,0,0,rasberry
562,Niger,56,0,0,0,0,0,rasberry
566,Nigeria,57,0,0,0,0,0,rasberry
120,Cameroon,58,0,0,0,0,0,rasberry
768,Togo,59,0,0,0,0,0,rasberry
288,Ghana,60,0,0,0,0,0,rasberry
384,Ivory Coast,61,0,0,0,0,0,rasberry
324,Guinea,62,0,0,0,0,0,rasberry
624,Guinea-Bissau,63,0,0,0,0,0,rasberry
430,Liberia,64,0,0,0,0,0,rasberry
694,Sierra Leone,65,0,0,0,0,0,rasberry
854,Burkina Faso,66,0,0,0,0,0,rasberry
140,Central African Republic,67,0,0,0,0,0,rasberry
178,Republic of the Congo,68,0,0,0,0,0,rasberry
266,Gabon,69,0,0,0,0,0,rasberry
226,Equatorial Guinea,70,0,0,0,0,0,rasberry
894,Zambia,71,0.02447009412571788,0,0,0,0,rasberry
454,Malawi,72,0,0,0,0,0,rasberry
508,Mozambique,73,1.3968362362356856,0,0,0,0,rasberry
748,eSwatini,74,0,0,0,0,0,rasberry
024,Angola,75,0,0,0,0,0,rasberry
108,Burundi,76,0,0,0,0,0,rasberry
376,Israel,77,183.30312275886536,0,0,0,0,rasberry
422,Lebanon,78,353.94929077103734,0,0,0,0,rasberry
450,Madagascar,79,0,0,0,0,0,rasberry
275,Israel,80,96.53544248268008,0,0,0,0,rasberry
270,Gambia,81,0,0,0,0,0,rasberry
788,Tunisia,82,0,0,0,0,0,rasberry
012,Algeria,83,0.02798046125099063,0,0,0,0,rasberry
400,Jordan,84,56.481378740631044,0,0,0,0,rasberry
784,United Arab Emirates,85,0,0,0,0,0,rasberry
634,Qatar,86,0,0,0,0,0,rasberry
414,Kuwait,87,14.115999162197113,0,0,0,0,rasberry
368,Iraq,88,12.195347968488932,0,0,0,0,rasberry
512,Oman,89,0,0,0,0,0,rasberry
548,Vanuatu,90,0,0,0,0,0,rasberry
116,Cambodia,91,0,0,0,0,0,rasberry
764,Thailand,92,0,0,0,0,0,rasberry
418,Laos,93,2.2988638374954462e-4,0,0,0,0,rasberry
104,Myanmar,94,0.16743693613352661,0,0,0,0,rasberry
704,Vietnam,95,0.18925845952617237,0,0,0,0,rasberry
408,North Korea,96,45.00383848846832,0,0,0,0,rasberry
410,South Korea,97,6332.033725563437,0,0,0,0,rasberry
496,Mongolia,98,3.1820633370194873,0,0,0,0,rasberry
356,India,99,5.379771487623586e-5,0,0,0,0,rasberry
050,Bangladesh,100,0,0,0,0,0,rasberry
064,Bhutan,101,0,0,0,0,0,rasberry
524,Nepal,102,0,0,0,0,0,rasberry
586,Pakistan,103,0,0,0,0,0,rasberry
004,Afghanistan,104,4.037532432004809,0,0,0,0,rasberry
762,Tajikistan,105,19.64357337486672,0,0,0,0,rasberry
417,Kyrgyzstan,106,1247.5479473340383,2601.190000000008,1222559300.0000036,13005950.00000004,23410710.00000007,rasberry
795,Turkmenistan,107,7.512531295418739,0,0,0,0,rasberry
364,Iran,108,2736.0584744773805,0,0,0,0,rasberry
760,Syria,109,67.84252631664276,0,0,0,0,rasberry
051,Armenia,110,22.16098178550601,0,0,0,0,rasberry
752,Sweden,111,110.49417998445648,380.0000000000003,178600000.00000012,1900000.0000000014,3420000.000000003,rasberry
112,Belarus,112,108.3543294891715,0,0,0,0,rasberry
804,Ukraine,113,14327.832104431465,35309.99999999985,16595699999.999928,176549999.99999923,317789999.9999986,rasberry
616,Poland,114,33200.222517351154,123200.00000000015,57904000000.00007,616000000.0000007,1108800000.0000014,rasberry
040,Austria,115,85.87051692884415,679.9999999999999,319599999.99999994,3399999.9999999995,6119999.999999999,rasberry
348,Hungary,116,14845.621078114025,489.99999999999994,230299999.99999997,2449999.9999999995,4409999.999999999,rasberry
498,Moldova,117,855.8310012817383,4489.999999999998,2110299999.9999993,22449999.999999993,40409999.999999985,rasberry
642,Romania,118,2565.503132185666,129.99999999999966,61099999.999999836,649999.9999999983,1169999.999999997,rasberry
440,Lithuania,119,26.535937439650297,1280,601600000,6400000,11520000,rasberry
428,Latvia,120,0,0,0,0,0,rasberry
233,Estonia,121,327.1150170844048,119.99999999999993,56399999.99999997,599999.9999999997,1079999.9999999993,rasberry
276,Germany,122,25309.83071376104,7140.000000000008,3355800000.0000033,35700000.00000004,64260000.00000007,rasberry
100,Bulgaria,123,3407.8401090838015,6170,2899900000,30850000,55530000,rasberry
300,Greece,124,10.747905112802982,0,0,0,0,rasberry
792,Turkey,125,9073.112984238658,0,0,0,0,rasberry
008,Albania,126,3.367873191833496,0,0,0,0,rasberry
191,Croatia,127,1810.735938867554,300.00000000000034,141000000.00000015,1500000.0000000016,2700000.000000003,rasberry
756,Switzerland,128,1073.5546346367337,4669.999999999995,2194899999.999998,23349999.999999978,42029999.99999996,rasberry
442,Luxembourg,129,2.699988476932049,0,0,0,0,rasberry
056,Belgium,130,84.71165177563671,2099.999999999998,986999999.9999992,10499999.99999999,18899999.999999985,rasberry
528,Netherlands,131,385.13033402711153,3599.999999999997,1691999999.9999986,17999999.999999985,32399999.999999974,rasberry
620,Portugal,132,1.2335942815989256,25275.999999999996,11879719999.999998,126379999.99999999,227483999.99999997,rasberry
724,Spain,133,2654.5817451612093,49640.00000000001,23330800000.000004,248200000.00000003,446760000.00000006,rasberry
372,Ireland,134,260.67218803963624,320.0000000000002,150400000.00000012,1600000.0000000012,2880000.0000000023,rasberry
540,France,135,0,0,0,0,0,rasberry
090,Solomon Islands,136,0,0,0,0,0,rasberry
554,New Zealand,137,798.0904645035043,23.069999999999965,10842899.999999983,115349.99999999983,207629.99999999968,rasberry
036,Australia,138,555.1339809540275,643.0100000000001,302214700.00000006,3215050.0000000005,5787090.000000001,rasberry
144,Sri Lanka,139,0,0,0,0,0,rasberry
156,China,140,753.089272424352,0,0,0,0,rasberry
158,Taiwan,141,371.89320805622265,0,0,0,0,rasberry
