ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,rice
834,United Republic of Tanzania,2,448633.7909857556,4527499.999999995,12676999999999.986,63384999999.99993,271649999999.99973,rice
732,Western Sahara,3,0,0,0,0,0,rice
124,Canada,4,0,0,0,0,0,rice
840,United States of America,5,8993047.643946491,10319859.999999978,28895607999999.938,144478039999.99966,619191599999.9987,rice
398,Kazakhstan,6,222309.03617584147,556774.7699999993,1558969355999.998,7794846779.99999,33406486199.99996,rice
860,Uzbekistan,7,269826.79017196596,293451.00000000035,821662800000.001,4108314000.0000043,17607060000.00002,rice
598,Papua New Guinea,8,723.8484948059777,877.7799999999966,2457783999.9999905,12288919.999999952,52666799.9999998,rice
360,Indonesia,9,46489834.9136536,54649202.24000013,153017766272000.34,765088831360.0017,3278952134400.008,rice
032,Argentina,10,996671.2003278222,1222909.9999999963,3424147999999.9893,17120739999.999945,73374599999.99977,rice
152,Chile,11,114117.48393140733,169697.00000000006,475151600000.0001,2375758000.0000005,10181820000.000004,rice
180,Democratic Republic of the Congo,12,308631.89705878217,1476289.9999999958,4133611999999.9883,20668059999.99994,88577399999.99976,rice
706,Somalia,13,4606.368988085538,1592.6400000000003,4459392000.000001,22296960.000000004,95558400.00000003,rice
404,Kenya,14,35080.93146266136,180890.0000000007,506492000000.00195,2532460000.0000095,10853400000.000042,rice
729,Sudan,15,5328.591070217313,0,0,0,0,rice
148,Chad,16,36614.55786131509,278052.85000000044,778547980000.0012,3892739900.0000057,16683171000.000027,rice
332,Haiti,17,128207.98794937134,159305.99999999988,446056799999.9997,2230283999.999998,9558359999.999992,rice
214,Dominican Republic,18,577911.8453645706,1035699.9999999995,2899959999999.999,14499799999.999994,62141999999.99998,rice
643,Russia,19,475753.914339163,1141818.9000000006,3197092920000.0015,15985464600.000008,68509134000.00003,rice
044,The Bahamas,20,0,0,0,0,0,rice
238,United Kingdom,21,0,0,0,0,0,rice
578,Norway,22,0,0,0,0,0,rice
304,Denmark,23,0,0,0,0,0,rice
260,France,24,0,0,0,0,0,rice
626,East Timor,25,42361.4613161087,49983.000000000015,139952400000.00003,699762000.0000001,2998980000.000001,rice
710,South Africa,26,2923.250648711488,3080.369999999983,8625035999.999952,43125179.99999976,184822199.999999,rice
426,Lesotho,27,1.9661161452531815,0,0,0,0,rice
484,Mexico,28,327217.244777624,295337.84000000026,826945952000.0006,4134729760.000003,17720270400.000015,rice
