ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,rye
834,United Republic of Tanzania,2,0,0,0,0,0,rye
732,Western Sahara,3,0,0,0,0,0,rye
124,Canada,4,289666.8374649985,487800.0000000009,1556082000000.0027,9268200000.000015,53658000000.00009,rye
840,United States of America,5,223547.28793872753,292930.0000000018,934446700000.0057,5565670000.000034,32222300000.0002,rye
398,Kazakhstan,6,79139.9325194525,29813.340000000244,95104554600.00078,566453460.0000046,3279467400.0000267,rye
860,Uzbekistan,7,3990.578437661985,5200.0000000000055,16588000000.000017,98800000.00000009,572000000.0000006,rye
598,Papua New Guinea,8,0,0,0,0,0,rye
360,Indonesia,9,0,0,0,0,0,rye
032,Argentina,10,77578.97586213498,221200.99999999988,705631189999.9998,4202818999.999998,24332109999.99999,rye
152,Chile,11,755.3480511194839,4455.529999999996,14213140699.999989,84655069.99999993,490108299.9999996,rye
180,Democratic Republic of the Congo,12,0,0,0,0,0,rye
706,Somalia,13,0,0,0,0,0,rye
404,Kenya,14,0,0,0,0,0,rye
729,Sudan,15,0,0,0,0,0,rye
148,Chad,16,0,0,0,0,0,rye
332,Haiti,17,0,0,0,0,0,rye
214,Dominican Republic,18,0,0,0,0,0,rye
643,Russia,19,5384575.3331125025,2377628.900000006,7584636191000.02,45174949100.000114,261539179000.00067,rye
044,The Bahamas,20,0,0,0,0,0,rye
238,United Kingdom,21,0,0,0,0,0,rye
578,Norway,22,4765.571707425324,34800.00000000002,111012000000.00008,661200000.0000005,3828000000.000003,rye
304,Denmark,23,0,0,0,0,0,rye
260,France,24,0,0,0,0,0,rye
626,East Timor,25,0,0,0,0,0,rye
710,South Africa,26,3220.4341486183403,1946.0400000000066,6207867600.000021,36974760.00000013,214064400.00000075,rye
426,Lesotho,27,2.157131850719452,0,0,0,0,rye
484,Mexico,28,0.3738112486898899,16.3,51997000,309700,1793000,rye
858,Uruguay,29,2.1237722039222717,0,0,0,0,rye
076,Brazil,30,7059.394294251655,9262.999999999993,29548969999.999977,175996999.99999985,1018929999.9999992,rye
068,Bolivia,31,194.30316703372773,284.0000000000005,905960000.0000017,5396000.000000009,31240000.000000056,rye
604,Peru,32,84.91503933001059,32.00000000000007,102080000.00000022,608000.0000000013,3520000.0000000075,rye
170,Colombia,33,0.056215554717937266,0,0,0,0,rye
591,Panama,34,0,0,0,0,0,rye
188,Costa Rica,35,0,0,0,0,0,rye
558,Nicaragua,36,0,0,0,0,0,rye
340,Honduras,37,0,0,0,0,0,rye
222,El Salvador,38,0,0,0,0,0,rye
320,Guatemala,39,0,0,0,0,0,rye
084,Belize,40,0,0,0,0,0,rye
862,Venezuela,41,0,0,0,0,0,rye
328,Guyana,42,0,0,0,0,0,rye
740,Suriname,43,0,0,0,0,0,rye
250,France,44,147523.74977274472,132419.99999999985,422419799999.9996,2515979999.999997,14566199999.999985,rye
218,Ecuador,45,66.43389759871451,80.92999999999985,258166699.99999952,1537669.999999997,8902299.999999983,rye
630,United States of America,46,0,0,0,0,0,rye
388,Jamaica,47,0,0,0,0,0,rye
192,Cuba,48,0,0,0,0,0,rye
716,Zimbabwe,49,0,0,0,0,0,rye
072,Botswana,50,1.439706600329373,0,0,0,0,rye
516,Namibia,51,0.0039409351302310824,0,0,0,0,rye
686,Senegal,52,0,0,0,0,0,rye
466,Mali,53,0,0,0,0,0,rye
478,Mauritania,54,0,0,0,0,0,rye
204,Benin,55,0,0,0,0,0,rye
562,Niger,56,0,0,0,0,0,rye
566,Nigeria,57,0,0,0,0,0,rye
120,Cameroon,58,0,0,0,0,0,rye
768,Togo,59,0,0,0,0,0,rye
288,Ghana,60,0,0,0,0,0,rye
384,Ivory Coast,61,0,0,0,0,0,rye
324,Guinea,62,0,0,0,0,0,rye
624,Guinea-Bissau,63,0,0,0,0,0,rye
430,Liberia,64,0,0,0,0,0,rye
694,Sierra Leone,65,0,0,0,0,0,rye
854,Burkina Faso,66,0,0,0,0,0,rye
140,Central African Republic,67,0,0,0,0,0,rye
178,Republic of the Congo,68,0,0,0,0,0,rye
266,Gabon,69,0,0,0,0,0,rye
226,Equatorial Guinea,70,0,0,0,0,0,rye
894,Zambia,71,0,0,0,0,0,rye
454,Malawi,72,0,0,0,0,0,rye
508,Mozambique,73,4.908149768598378,0,0,0,0,rye
748,eSwatini,74,4.531489972956479,0,0,0,0,rye
024,Angola,75,0,0,0,0,0,rye
108,Burundi,76,0,0,0,0,0,rye
376,Israel,77,0,0,0,0,0,rye
422,Lebanon,78,0,0,0,0,0,rye
450,Madagascar,79,0,0,0,0,0,rye
275,Israel,80,0,0,0,0,0,rye
270,Gambia,81,0,0,0,0,0,rye
788,Tunisia,82,0,0,0,0,0,rye
012,Algeria,83,1.3454310446977615,0,0,0,0,rye
400,Jordan,84,0,0,0,0,0,rye
784,United Arab Emirates,85,0,0,0,0,0,rye
634,Qatar,86,0,0,0,0,0,rye
414,Kuwait,87,0,0,0,0,0,rye
368,Iraq,88,0,0,0,0,0,rye
512,Oman,89,0,0,0,0,0,rye
548,Vanuatu,90,0,0,0,0,0,rye
116,Cambodia,91,0,0,0,0,0,rye
764,Thailand,92,0,0,0,0,0,rye
418,Laos,93,0.5008074641227722,0,0,0,0,rye
104,Myanmar,94,107.30699449079111,0,0,0,0,rye
704,Vietnam,95,152.06432097544894,0,0,0,0,rye
408,North Korea,96,57281.6512665886,65418.34999999999,208684536499.99997,1242948649.9999998,7196018499.999999,rye
410,South Korea,97,112.42635389002135,2.6700000000000044,8517300.000000013,50730.00000000008,293700.00000000047,rye
496,Mongolia,98,152.4378877930758,0,0,0,0,rye
356,India,99,79.05111065506935,0,0,0,0,rye
050,Bangladesh,100,0,0,0,0,0,rye
064,Bhutan,101,19.641203746199608,0,0,0,0,rye
524,Nepal,102,185.4803261309862,0,0,0,0,rye
586,Pakistan,103,11.587382584810257,0,0,0,0,rye
004,Afghanistan,104,14.212175431661308,0,0,0,0,rye
762,Tajikistan,105,453.18763090018183,472.8199999999995,1508295799.9999983,8983579.999999989,52010199.99999994,rye
417,Kyrgyzstan,106,192.8615621770732,939.4699999999991,2996909299.999997,17849929.99999998,103341699.9999999,rye
795,Turkmenistan,107,15.273093078285456,0,0,0,0,rye
364,Iran,108,10.54505255818367,449.38,1433522200,8538220,49431800,rye
760,Syria,109,0,0,0,0,0,rye
051,Armenia,110,189.85869746562093,285.6999999999999,911382999.9999995,5428299.999999997,31426999.999999985,rye
752,Sweden,111,112432.8033099767,189599.99999999968,604823999999.999,3602399999.999994,20855999999.999966,rye
112,Belarus,112,1338363.885878086,1050701.9999999984,3351739379999.9946,19963337999.999966,115577219999.99982,rye
804,Ukraine,113,1140174.467490524,456779.9999999998,1457128199999.9995,8678819999.999996,50245799999.99998,rye
616,Poland,114,4544161.935169458,2929929.9999999977,9346476699999.992,55668669999.999954,322292299999.99976,rye
