ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,safflower
834,United Republic of Tanzania,2,3271.562197946012,14033.229999999954,44064342199.99986,4252068689.9999866,1361223309.9999955,safflower
732,Western Sahara,3,0,0,0,0,0,safflower
124,Canada,4,2472.421695434497,0,0,0,0,safflower
840,United States of America,5,150622.2550490764,68999.99999999994,216659999999.99982,20906999999.99998,6692999999.999993,safflower
398,Kazakhstan,6,34000.07247981474,226739.24000000182,711961213600.0057,68701989720.00055,21993706280.000175,safflower
860,Uzbekistan,7,9734.260128151625,8884.999999999996,27898899999.999992,2692154999.999999,861844999.9999996,safflower
598,Papua New Guinea,8,0,0,0,0,0,safflower
360,Indonesia,9,0,0,0,0,0,safflower
032,Argentina,10,18440.131095901917,22565.000000000047,70854100000.00015,6837195000.000014,2188805000.0000043,safflower
152,Chile,11,0,0,0,0,0,safflower
180,Democratic Republic of the Congo,12,0,0,0,0,0,safflower
706,Somalia,13,0.10267794877290726,0,0,0,0,safflower
404,Kenya,14,27.174030635505915,0,0,0,0,safflower
729,Sudan,15,38.965411335229874,0,0,0,0,safflower
148,Chad,16,0,0,0,0,0,safflower
332,Haiti,17,0,0,0,0,0,safflower
214,Dominican Republic,18,0,0,0,0,0,safflower
643,Russia,19,2520.3082713725175,96635.80000000121,303436412000.00385,29280647400.00037,9373672600.000116,safflower
044,The Bahamas,20,0,0,0,0,0,safflower
238,United Kingdom,21,0,0,0,0,0,safflower
578,Norway,22,0,0,0,0,0,safflower
304,Denmark,23,0,0,0,0,0,safflower
260,France,24,0,0,0,0,0,safflower
626,East Timor,25,0,0,0,0,0,safflower
710,South Africa,26,0,0,0,0,0,safflower
426,Lesotho,27,0,0,0,0,0,safflower
484,Mexico,28,145276.16726888446,86793.1600000001,272530522400.00034,26298327480.000034,8418936520.00001,safflower
858,Uruguay,29,0,0,0,0,0,safflower
076,Brazil,30,0,0,0,0,0,safflower
068,Bolivia,31,1.6361751556396484,0,0,0,0,safflower
604,Peru,32,0,0,0,0,0,safflower
170,Colombia,33,0,0,0,0,0,safflower
591,Panama,34,0,0,0,0,0,safflower
188,Costa Rica,35,0,0,0,0,0,safflower
558,Nicaragua,36,0,0,0,0,0,safflower
340,Honduras,37,0,0,0,0,0,safflower
222,El Salvador,38,0,0,0,0,0,safflower
320,Guatemala,39,0,0,0,0,0,safflower
084,Belize,40,0,0,0,0,0,safflower
862,Venezuela,41,0,0,0,0,0,safflower
328,Guyana,42,0,0,0,0,0,safflower
740,Suriname,43,0,0,0,0,0,safflower
250,France,44,0.11609889366081916,0,0,0,0,safflower
218,Ecuador,45,0,0,0,0,0,safflower
630,United States of America,46,0,0,0,0,0,safflower
388,Jamaica,47,0,0,0,0,0,safflower
192,Cuba,48,0,0,0,0,0,safflower
716,Zimbabwe,49,0,0,0,0,0,safflower
072,Botswana,50,0,0,0,0,0,safflower
516,Namibia,51,0,0,0,0,0,safflower
686,Senegal,52,0,0,0,0,0,safflower
466,Mali,53,0,0,0,0,0,safflower
478,Mauritania,54,0,0,0,0,0,safflower
204,Benin,55,0,0,0,0,0,safflower
562,Niger,56,0,0,0,0,0,safflower
566,Nigeria,57,0,0,0,0,0,safflower
120,Cameroon,58,0,0,0,0,0,safflower
768,Togo,59,0,0,0,0,0,safflower
288,Ghana,60,0,0,0,0,0,safflower
384,Ivory Coast,61,0,0,0,0,0,safflower
324,Guinea,62,0,0,0,0,0,safflower
624,Guinea-Bissau,63,0,0,0,0,0,safflower
430,Liberia,64,0,0,0,0,0,safflower
694,Sierra Leone,65,0,0,0,0,0,safflower
854,Burkina Faso,66,0,0,0,0,0,safflower
140,Central African Republic,67,0,0,0,0,0,safflower
178,Republic of the Congo,68,0,0,0,0,0,safflower
266,Gabon,69,0,0,0,0,0,safflower
226,Equatorial Guinea,70,0,0,0,0,0,safflower
894,Zambia,71,10.056466490030289,0,0,0,0,safflower
454,Malawi,72,13.336012348532677,0,0,0,0,safflower
508,Mozambique,73,9.01793560339138,0,0,0,0,safflower
748,eSwatini,74,0,0,0,0,0,safflower
024,Angola,75,0,0,0,0,0,safflower
108,Burundi,76,8.752384305000305,0,0,0,0,safflower
376,Israel,77,0.6069182582650683,2.1099999999999985,6625399.999999995,639329.9999999995,204669.99999999985,safflower
422,Lebanon,78,0,0,0,0,0,safflower
450,Madagascar,79,0,0,0,0,0,safflower
275,Israel,80,0.3239121872175019,1.0900000000000005,3422600.000000002,330270.0000000002,105730.00000000004,safflower
270,Gambia,81,0,0,0,0,0,safflower
788,Tunisia,82,0,0,0,0,0,safflower
012,Algeria,83,0,0,0,0,0,safflower
400,Jordan,84,0,0,0,0,0,safflower
784,United Arab Emirates,85,0,0,0,0,0,safflower
634,Qatar,86,0,0,0,0,0,safflower
414,Kuwait,87,0,0,0,0,0,safflower
368,Iraq,88,1.1716041400068207,0,0,0,0,safflower
512,Oman,89,0,0,0,0,0,safflower
548,Vanuatu,90,0,0,0,0,0,safflower
116,Cambodia,91,0,0,0,0,0,safflower
764,Thailand,92,0,0,0,0,0,safflower
418,Laos,93,0,0,0,0,0,safflower
104,Myanmar,94,6.481103245634586,0,0,0,0,safflower
704,Vietnam,95,13.015556287020445,0,0,0,0,safflower
408,North Korea,96,9.642941568046808,0,0,0,0,safflower
410,South Korea,97,0,0,0,0,0,safflower
496,Mongolia,98,0.7140303488231439,0,0,0,0,safflower
356,India,99,219654.0040781048,43669.99999999995,137123799999.99983,13232009999.999985,4235989999.9999943,safflower
050,Bangladesh,100,0,0,0,0,0,safflower
064,Bhutan,101,0.15109107550233603,0,0,0,0,safflower
524,Nepal,102,0.3577773650922609,0,0,0,0,safflower
586,Pakistan,103,203.28423208828826,268.00000000000045,841520000.0000014,81204000.00000015,25996000.000000045,safflower
004,Afghanistan,104,22.98304964449926,0,0,0,0,safflower
762,Tajikistan,105,1217.9150369977579,8879.250000000013,27880845000.000042,2690412750.0000043,861287250.0000012,safflower
417,Kyrgyzstan,106,13818.92279003933,9869.600000000013,30990544000.000042,2990488800.0000043,957351200.0000012,safflower
795,Turkmenistan,107,36.64980751601979,0,0,0,0,safflower
364,Iran,108,476.86400119418977,4701.100000000003,14761454000.00001,1424433300.000001,456006700.00000024,safflower
760,Syria,109,0.20860173110850155,0,0,0,0,safflower
051,Armenia,110,0.49160523246973753,0,0,0,0,safflower
752,Sweden,111,0,0,0,0,0,safflower
112,Belarus,112,0.2971187031362206,0,0,0,0,safflower
804,Ukraine,113,5.030569806694984,107.32,336984800,32517960,10410040,safflower
616,Poland,114,0,0,0,0,0,safflower
040,Austria,115,0.1904574679210782,0,0,0,0,safflower
348,Hungary,116,648.058071907144,0,0,0,0,safflower
498,Moldova,117,0,0,0,0,0,safflower
642,Romania,118,13.466881275177002,0,0,0,0,safflower
440,Lithuania,119,0.3848965656943619,0,0,0,0,safflower
428,Latvia,120,0.10734730586409569,0,0,0,0,safflower
233,Estonia,121,0.2779646178241819,0,0,0,0,safflower
276,Germany,122,0,0,0,0,0,safflower
100,Bulgaria,123,0,0,0,0,0,safflower
300,Greece,124,0.020762572064995766,0,0,0,0,safflower
792,Turkey,125,57.53300733732249,21324.999999999967,66960499999.9999,6461474999.99999,2068524999.9999967,safflower
008,Albania,126,0,0,0,0,0,safflower
191,Croatia,127,8.76293720304966,0,0,0,0,safflower
756,Switzerland,128,0,0,0,0,0,safflower
442,Luxembourg,129,0,0,0,0,0,safflower
056,Belgium,130,0,0,0,0,0,safflower
528,Netherlands,131,0,0,0,0,0,safflower
620,Portugal,132,0.07138939708238468,0,0,0,0,safflower
724,Spain,133,153.61221180132998,0,0,0,0,safflower
372,Ireland,134,0,0,0,0,0,safflower
540,France,135,0,0,0,0,0,safflower
090,Solomon Islands,136,0,0,0,0,0,safflower
554,New Zealand,137,0,0,0,0,0,safflower
036,Australia,138,30195.722948978622,3601.6900000000082,11309306600.000025,1091312070.0000026,349363930.0000008,safflower
144,Sri Lanka,139,0,0,0,0,0,safflower
156,China,140,32970.885245566045,33509.06000000004,105218448400.00014,10153245180.000013,3250378820.000004,safflower
158,Taiwan,141,0,0,0,0,0,safflower
380,Italy,142,0,0,0,0,0,safflower
208,Denmark,143,0,0,0,0,0,safflower
826,United Kingdom,144,0,0,0,0,0,safflower
352,Iceland,145,0,0,0,0,0,safflower
031,Azerbaijan,146,7.701703416649252,0,0,0,0,safflower
268,Georgia,147,0.025922469038050622,0,0,0,0,safflower
608,Philippines,148,0,0,0,0,0,safflower
458,Malaysia,149,0,0,0,0,0,safflower
096,Brunei,150,0,0,0,0,0,safflower
705,Slovenia,151,0.9735980182886124,0,0,0,0,safflower
246,Finland,152,0.20314217917621136,0,0,0,0,safflower
703,Slovakia,153,1.5443719141185284,0,0,0,0,safflower
203,Czechia,154,0,0,0,0,0,safflower
232,Eritrea,155,11.282910108566284,0,0,0,0,safflower
392,Japan,156,0,0,0,0,0,safflower
600,Paraguay,157,0,0,0,0,0,safflower
887,Yemen,158,0,0,0,0,0,safflower
682,Saudi Arabia,159,0,0,0,0,0,safflower
010,Antarctica,160,0,0,0,0,0,safflower
-99,Northern Cyprus,161,0,0,0,0,0,safflower
196,Cyprus,162,0,0,0,0,0,safflower
504,Morocco,163,0,0,0,0,0,safflower
818,Egypt,164,0,0,0,0,0,safflower
434,Libya,165,0,0,0,0,0,safflower
231,Ethiopia,166,34984.78487756476,9469.490000000069,29734198600.000214,2869255470.000021,918540530.0000066,safflower
262,Djibouti,167,0,0,0,0,0,safflower
-99,Somaliland,168,21.11263281106949,0,0,0,0,safflower
800,Uganda,169,0,0,0,0,0,safflower
646,Rwanda,170,0,0,0,0,0,safflower
070,Bosnia and Herzegovina,171,0,0,0,0,0,safflower
807,North Macedonia,172,0,0,0,0,0,safflower
688,Republic of Serbia,173,0.9729684591293335,0,0,0,0,safflower
499,Montenegro,174,0,0,0,0,0,safflower
-99,Kosovo,175,0,0,0,0,0,safflower
780,Trinidad and Tobago,176,0,0,0,0,0,safflower
728,South Sudan,177,29.72718795388937,0,0,0,0,safflower
