ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,sesame
834,United Republic of Tanzania,2,36566.946512550116,710000.0000000005,4068300000000.003,352870000000.00024,125670000000.00008,sesame
732,Western Sahara,3,0,0,0,0,0,sesame
124,Canada,4,0,0,0,0,0,sesame
840,United States of America,5,0,0,0,0,0,sesame
398,Kazakhstan,6,89.15885000912385,0,0,0,0,sesame
860,Uzbekistan,7,16961.287368587684,12774.000000000005,73195020000.00003,6348678000.000003,2260998000.000001,sesame
598,Papua New Guinea,8,0,0,0,0,0,sesame
360,Indonesia,9,0,0,0,0,0,sesame
032,Argentina,10,47.23931916966103,0,0,0,0,sesame
152,Chile,11,0,0,0,0,0,sesame
180,Democratic Republic of the Congo,12,4570.750382750295,4606.210000000017,26393583300.0001,2289286370.0000086,815299170.000003,sesame
706,Somalia,13,25189.037482224405,33688.99999999999,193037969999.99997,16743432999.999998,5962952999.999999,sesame
404,Kenya,14,13673.890269830823,11486.84999999998,65819650499.999886,5708964449.99999,2033172449.9999964,sesame
729,Sudan,15,178175.3778079599,0,0,0,0,sesame
148,Chad,16,19673.290626585484,202074.00000000006,1157884020000.0002,100430778000.00003,35767098000.00001,sesame
332,Haiti,17,3672.1728613972664,4180.979999999999,23957015399.999992,2077947059.9999993,740033459.9999998,sesame
214,Dominican Republic,18,20.738154411315918,0,0,0,0,sesame
643,Russia,19,1.4362974567338824,0,0,0,0,sesame
044,The Bahamas,20,0,0,0,0,0,sesame
238,United Kingdom,21,0,0,0,0,0,sesame
578,Norway,22,0,0,0,0,0,sesame
304,Denmark,23,0,0,0,0,0,sesame
260,France,24,0,0,0,0,0,sesame
626,East Timor,25,0,0,0,0,0,sesame
710,South Africa,26,10.429569944739342,0,0,0,0,sesame
426,Lesotho,27,0,0,0,0,0,sesame
484,Mexico,28,29259.296280290815,51996.969999999885,297942638099.9993,25842494089.999947,9203463689.999979,sesame
858,Uruguay,29,2.9670667707687244,0,0,0,0,sesame
076,Brazil,30,14046.024491884351,57000.00000000016,326610000000.0009,28329000000.00008,10089000000.000027,sesame
068,Bolivia,31,7.216077712189872,13076.21,74926683299.99998,6498876370,2314489169.9999995,sesame
604,Peru,32,423.0045176168496,305.0000000000008,1747650000.0000045,151585000.0000004,53985000.00000014,sesame
170,Colombia,33,4143.762420215111,4043.3300000000017,23168280900.000008,2009535010.000001,715669410.0000002,sesame
591,Panama,34,211.37381883710623,0,0,0,0,sesame
188,Costa Rica,35,119.7363393153064,158.05999999999997,905683799.9999999,78555820,27976619.999999996,sesame
558,Nicaragua,36,5854.961440276355,4290.999999999995,24587429999.999973,2132626999.9999979,759506999.9999992,sesame
340,Honduras,37,1034.1034060227685,1187.7899999999997,6806036699.999999,590331630,210238829.99999997,sesame
222,El Salvador,38,6172.007042109966,1250.0899999999995,7163015699.999997,621294729.9999998,221265929.99999988,sesame
320,Guatemala,39,30815.870825067163,34999.99999999997,200549999999.99982,17394999999.999985,6194999999.999994,sesame
084,Belize,40,2.651510536670685,0,0,0,0,sesame
862,Venezuela,41,22281.451102161165,22262.780000000035,127565729400.0002,11064601660.00002,3940512060.000006,sesame
328,Guyana,42,1.2004226217977703,0,0,0,0,sesame
740,Suriname,43,0,0,0,0,0,sesame
250,France,44,0.01696752745192498,0,0,0,0,sesame
218,Ecuador,45,36.80811920136699,17.820000000000018,102108600.0000001,8856540.00000001,3154140.000000003,sesame
630,United States of America,46,0,0,0,0,0,sesame
388,Jamaica,47,0,0,0,0,0,sesame
192,Cuba,48,0,0,0,0,0,sesame
716,Zimbabwe,49,5.284833129495382,0,0,0,0,sesame
072,Botswana,50,0,0,0,0,0,sesame
516,Namibia,51,6.227873017080128,0,0,0,0,sesame
686,Senegal,52,128.22046792507172,36110.45,206912878500,17946893650,6391549650,sesame
466,Mali,53,164.39925387501717,35191.00000000001,201644430000.00003,17489927000.000004,6228807000.000001,sesame
478,Mauritania,54,0,0,0,0,0,sesame
204,Benin,55,7755.449707372347,10000.000000000002,57300000000.00001,4970000000.000001,1770000000.0000002,sesame
562,Niger,56,13835.81897767447,88189.09999999995,505323542999.99976,43829982699.99998,15609470699.99999,sesame
566,Nigeria,57,59369.23838562146,195426.98000000033,1119796595400.002,97127209060.00017,34590575460.00006,sesame
120,Cameroon,58,3380.662727945484,75821.89999999967,434459486999.99817,37683484299.99984,13420476299.999943,sesame
768,Togo,59,1626.7523187212646,1878.5999999999988,10764377999.999994,933664199.9999995,332512199.99999976,sesame
288,Ghana,60,1485.3991614244878,0,0,0,0,sesame
384,Ivory Coast,61,2987.4643978048116,3027.739999999999,17348950199.999992,1504786779.9999995,535909979.99999976,sesame
324,Guinea,62,273.3639553489629,4400,25212000000,2186800000,778800000,sesame
624,Guinea-Bissau,63,0,0,0,0,0,sesame
430,Liberia,64,18.637996807694435,0,0,0,0,sesame
