ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,sorghum
834,United Republic of Tanzania,2,479580.97573910654,1043000.0000000019,3577490000000.0063,34419000000.00006,105343000000.00018,sorghum
732,Western Sahara,3,0,0,0,0,0,sorghum
124,Canada,4,2.2044198806397617,0,0,0,0,sorghum
840,United States of America,5,12769117.071922138,9473620.000000054,32494516600000.184,312629460000.0018,956835620000.0054,sorghum
398,Kazakhstan,6,754.0193064060145,4160.129999999999,14269245899.999998,137284289.99999997,420173129.9999999,sorghum
860,Uzbekistan,7,15404.566807352312,19000.000000000004,65170000000.00001,627000000.0000001,1919000000.0000002,sorghum
598,Papua New Guinea,8,3231.455805087462,4848.189999999998,16629291699.999992,159990269.9999999,489667189.99999976,sorghum
360,Indonesia,9,14.882657051086426,0,0,0,0,sorghum
032,Argentina,10,2990586.9900384094,1829913.9999999967,6276605019999.988,60387161999.999886,184821313999.99963,sorghum
152,Chile,11,0,0,0,0,0,sorghum
180,Democratic Republic of the Congo,12,60861.38923598081,8183.000000000005,28067690000.000015,270039000.0000001,826483000.0000005,sorghum
706,Somalia,13,176675.40310263634,100000.00000000003,343000000000.00006,3300000000.0000005,10100000000.000002,sorghum
404,Kenya,14,105545.61276574433,315000.00000000006,1080450000000.0001,10395000000.000002,31815000000.000004,sorghum
729,Sudan,15,2602024.5556581914,0,0,0,0,sorghum
148,Chad,16,300379.90373633057,970241.6399999984,3327928825199.9946,32017974119.999947,97994405639.99985,sorghum
332,Haiti,17,88537.57015514374,9692.000000000002,33243560000.000004,319836000.00000006,978892000.0000001,sorghum
214,Dominican Republic,18,8632.498659089208,356.2599999999999,1221971799.9999995,11756579.999999994,35982259.999999985,sorghum
643,Russia,19,36508.33302584282,53046.900000000256,181950867000.0009,1750547700.0000083,5357736900.000026,sorghum
044,The Bahamas,20,0,0,0,0,0,sorghum
238,United Kingdom,21,0,0,0,0,0,sorghum
578,Norway,22,0,0,0,0,0,sorghum
304,Denmark,23,0,0,0,0,0,sorghum
260,France,24,0,0,0,0,0,sorghum
626,East Timor,25,0,0,0,0,0,sorghum
710,South Africa,26,283676.56077724235,157999.99999999974,541939999999.9991,5213999999.999991,15957999999.999973,sorghum
426,Lesotho,27,27932.75713968277,4111,14100730000,135663000,415211000,sorghum
484,Mexico,28,5727038.701642887,4703700.869999994,16133693984099.979,155222128709.9998,475073787869.9994,sorghum
858,Uruguay,29,82089.3664641045,98800.00000000003,338884000000.00006,3260400000.0000005,9978800000.000002,sorghum
076,Brazil,30,780029.3264133413,2761837.0000000116,9473100910000.041,91140621000.00038,278945537000.00116,sorghum
068,Bolivia,31,126837.25764825454,1018884.9999999997,3494775549999.9985,33623204999.999985,102907384999.99995,sorghum
604,Peru,32,256.6842484985864,136.64000000000058,468675200.00000197,4509120.000000019,13800640.000000058,sorghum
170,Colombia,33,226369.69425773987,5814.159999999989,19942568799.99996,191867279.9999996,587230159.9999988,sorghum
591,Panama,34,4707.789867080108,3647.999999999999,12512639999.999998,120383999.99999997,368447999.99999994,sorghum
