ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,sourcherry
834,United Republic of Tanzania,2,0.0029966232978040352,0,0,0,0,sourcherry
732,Western Sahara,3,0,0,0,0,0,sourcherry
124,Canada,4,5844.595040288024,2022.9999999999998,910349999.9999999,6068999.999999999,18206999.999999996,sourcherry
840,United States of America,5,112276.84837458687,63499.9999999996,28574999999.999817,190499999.99999878,571499999.9999964,sourcherry
398,Kazakhstan,6,194.428984373582,200.0000000000009,90000000.0000004,600000.0000000027,1800000.0000000081,sourcherry
860,Uzbekistan,7,3749.1159241928312,70650.00000000009,31792500000.00004,211950000.00000024,635850000.0000007,sourcherry
598,Papua New Guinea,8,0,0,0,0,0,sourcherry
360,Indonesia,9,0,0,0,0,0,sourcherry
032,Argentina,10,2498.5512604646374,0,0,0,0,sourcherry
152,Chile,11,2346.6448490489993,300.00000000000074,135000000.00000033,900000.0000000022,2700000.000000007,sourcherry
180,Democratic Republic of the Congo,12,0,0,0,0,0,sourcherry
706,Somalia,13,0.0036500716814771295,0,0,0,0,sourcherry
404,Kenya,14,6.132522548115958,0,0,0,0,sourcherry
729,Sudan,15,0,0,0,0,0,sourcherry
148,Chad,16,0.07122488738968968,0,0,0,0,sourcherry
332,Haiti,17,0,0,0,0,0,sourcherry
214,Dominican Republic,18,0,0,0,0,0,sourcherry
643,Russia,19,173347.06470431405,254799.9999999986,114659999999.99937,764399999.9999958,2293199999.9999876,sourcherry
044,The Bahamas,20,0,0,0,0,0,sourcherry
238,United Kingdom,21,0,0,0,0,0,sourcherry
578,Norway,22,0,0,0,0,0,sourcherry
304,Denmark,23,0,0,0,0,0,sourcherry
260,France,24,0,0,0,0,0,sourcherry
626,East Timor,25,0,0,0,0,0,sourcherry
710,South Africa,26,5633.934952909884,0,0,0,0,sourcherry
426,Lesotho,27,3.773639604449272,0,0,0,0,sourcherry
484,Mexico,28,0,0,0,0,0,sourcherry
858,Uruguay,29,0.034127538092434406,0,0,0,0,sourcherry
076,Brazil,30,1.6268721650359907,0,0,0,0,sourcherry
068,Bolivia,31,2.505073819745121,70.00000000000001,31500000.000000004,210000.00000000003,630000.0000000001,sourcherry
604,Peru,32,44.65738457759289,1437.319999999996,646793999.9999982,4311959.999999988,12935879.999999965,sourcherry
170,Colombia,33,0.04330692466760411,0,0,0,0,sourcherry
591,Panama,34,0,0,0,0,0,sourcherry
188,Costa Rica,35,0,0,0,0,0,sourcherry
558,Nicaragua,36,0,0,0,0,0,sourcherry
340,Honduras,37,0,0,0,0,0,sourcherry
222,El Salvador,38,0,0,0,0,0,sourcherry
320,Guatemala,39,0,0,0,0,0,sourcherry
084,Belize,40,0,0,0,0,0,sourcherry
862,Venezuela,41,0,0,0,0,0,sourcherry
328,Guyana,42,0,0,0,0,0,sourcherry
740,Suriname,43,0,0,0,0,0,sourcherry
250,France,44,23.835554607212543,0,0,0,0,sourcherry
218,Ecuador,45,62.3449392735904,0,0,0,0,sourcherry
630,United States of America,46,0,0,0,0,0,sourcherry
388,Jamaica,47,0,0,0,0,0,sourcherry
192,Cuba,48,0,0,0,0,0,sourcherry
716,Zimbabwe,49,15.290990503504872,0,0,0,0,sourcherry
072,Botswana,50,2.5877317976701306,0,0,0,0,sourcherry
516,Namibia,51,0.006894185673445463,0,0,0,0,sourcherry
686,Senegal,52,0,0,0,0,0,sourcherry
466,Mali,53,0,0,0,0,0,sourcherry
478,Mauritania,54,0,0,0,0,0,sourcherry
204,Benin,55,0,0,0,0,0,sourcherry
562,Niger,56,0,0,0,0,0,sourcherry
566,Nigeria,57,0.01879800856113434,0,0,0,0,sourcherry
120,Cameroon,58,0.10611553746275604,0,0,0,0,sourcherry
768,Togo,59,0,0,0,0,0,sourcherry
288,Ghana,60,0,0,0,0,0,sourcherry
384,Ivory Coast,61,0,0,0,0,0,sourcherry
324,Guinea,62,0,0,0,0,0,sourcherry
624,Guinea-Bissau,63,0,0,0,0,0,sourcherry
430,Liberia,64,0,0,0,0,0,sourcherry
694,Sierra Leone,65,0,0,0,0,0,sourcherry
854,Burkina Faso,66,0,0,0,0,0,sourcherry
140,Central African Republic,67,0.020231363596394658,0,0,0,0,sourcherry
178,Republic of the Congo,68,5.689271765158757e-43,0,0,0,0,sourcherry
266,Gabon,69,0,0,0,0,0,sourcherry
226,Equatorial Guinea,70,0,0,0,0,0,sourcherry
894,Zambia,71,0.004914920456940308,0,0,0,0,sourcherry
454,Malawi,72,0,0,0,0,0,sourcherry
508,Mozambique,73,8.866770454216748,0,0,0,0,sourcherry
748,eSwatini,74,7.927289456129074,0,0,0,0,sourcherry
024,Angola,75,0,0,0,0,0,sourcherry
108,Burundi,76,0,0,0,0,0,sourcherry
376,Israel,77,0,0,0,0,0,sourcherry
422,Lebanon,78,0,0,0,0,0,sourcherry
450,Madagascar,79,125.0524410963917,0,0,0,0,sourcherry
275,Israel,80,0,0,0,0,0,sourcherry
270,Gambia,81,0,0,0,0,0,sourcherry
788,Tunisia,82,4376.72518967092,0,0,0,0,sourcherry
012,Algeria,83,21042.816385358572,0,0,0,0,sourcherry
400,Jordan,84,0,0,0,0,0,sourcherry
784,United Arab Emirates,85,0,0,0,0,0,sourcherry
634,Qatar,86,0,0,0,0,0,sourcherry
414,Kuwait,87,0,0,0,0,0,sourcherry
368,Iraq,88,176.70776462554932,0,0,0,0,sourcherry
512,Oman,89,0,0,0,0,0,sourcherry
548,Vanuatu,90,0,0,0,0,0,sourcherry
116,Cambodia,91,0,0,0,0,0,sourcherry
764,Thailand,92,0,0,0,0,0,sourcherry
418,Laos,93,0.005402330309152603,0,0,0,0,sourcherry
104,Myanmar,94,3.4562721510010306,0,0,0,0,sourcherry
704,Vietnam,95,3.7669647079892457,0,0,0,0,sourcherry
408,North Korea,96,0.740766292787157,0,0,0,0,sourcherry
410,South Korea,97,0,0,0,0,0,sourcherry
496,Mongolia,98,3.9520120822808167,0,0,0,0,sourcherry
356,India,99,2556.134167262395,0,0,0,0,sourcherry
050,Bangladesh,100,2.8559910157928243,0,0,0,0,sourcherry
064,Bhutan,101,0.02935694096959196,0,0,0,0,sourcherry
524,Nepal,102,2.1651555139105767,0,0,0,0,sourcherry
586,Pakistan,103,14556.432382061292,0,0,0,0,sourcherry
004,Afghanistan,104,85.64366667438298,0,0,0,0,sourcherry
762,Tajikistan,105,33.665280019333295,0,0,0,0,sourcherry
417,Kyrgyzstan,106,15.881640023979827,0,0,0,0,sourcherry
795,Turkmenistan,107,139.29134273901582,0,0,0,0,sourcherry
364,Iran,108,45036.048319235444,123198.14000000012,55439163000.00005,369594420.00000036,1108783260.0000012,sourcherry
760,Syria,109,399.61170053482056,0,0,0,0,sourcherry
051,Armenia,110,81.91028827428818,2746,1235700000,8238000,24714000,sourcherry
752,Sweden,111,0,0,0,0,0,sourcherry
112,Belarus,112,11509.42891722545,53763.00000000009,24193350000.00004,161289000.00000024,483867000.0000008,sourcherry
804,Ukraine,113,100795.11244206503,174629.99999999988,78583499999.99994,523889999.99999964,1571669999.999999,sourcherry
616,Poland,114,156663.6937058717,155499.99999999977,69974999999.9999,466499999.9999993,1399499999.9999979,sourcherry
040,Austria,115,4582.359611128726,770.0000000000003,346500000.0000002,2310000.000000001,6930000.000000004,sourcherry
348,Hungary,116,49365.50213638693,61459.99999999991,27656999999.99996,184379999.99999973,553139999.9999993,sourcherry
498,Moldova,117,11796.365201234818,9656.999999999989,4345649999.999995,28970999.999999966,86912999.99999991,sourcherry
642,Romania,118,1651.3213329017162,0,0,0,0,sourcherry
440,Lithuania,119,419.46586717665195,0,0,0,0,sourcherry
428,Latvia,120,8.139103770256042,0,0,0,0,sourcherry
233,Estonia,121,3.511754661798477,0,0,0,0,sourcherry
276,Germany,122,72127.58748932183,13189.999999999996,5935499999.999999,39569999.99999999,118709999.99999997,sourcherry
100,Bulgaria,123,8800.691055059433,4809.9999999999945,2164499999.9999976,14429999.999999983,43289999.999999955,sourcherry
300,Greece,124,2912.6435139160603,630.0000000000013,283500000.00000054,1890000.0000000035,5670000.000000011,sourcherry
792,Turkey,125,109985.20648410544,189183.99999999988,85132799999.99994,567551999.9999996,1702655999.999999,sourcherry
008,Albania,126,8481.311906844378,17602.8,7921260000,52808400,158425200,sourcherry
191,Croatia,127,8371.262942805886,6219.999999999997,2798999999.9999986,18659999.99999999,55979999.99999998,sourcherry
