ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,soybean
834,United Republic of Tanzania,2,2103.0503306798637,45000.00000000003,150750000000.0001,8100000000.000006,17100000000.000011,soybean
732,Western Sahara,3,0,0,0,0,0,soybean
124,Canada,4,2427173.497201929,6358499.999999995,21300974999999.984,1144529999999.9993,2416229999999.998,soybean
840,United States of America,5,73910516.75246869,114748940.00000066,384408949000002.2,20654809200000.117,43604597200000.25,soybean
398,Kazakhstan,6,13186.550178293226,260638.5399999996,873139108999.9988,46914937199.99993,99042645199.99985,soybean
860,Uzbekistan,7,24.600665310339537,0,0,0,0,soybean
598,Papua New Guinea,8,0,0,0,0,0,soybean
360,Indonesia,9,855134.9102652896,290999.99999999977,974849999999.9991,52379999999.999954,110579999999.99991,soybean
032,Argentina,10,22056351.200891882,48780406.999999955,163414363449999.84,8780473259999.992,18536554659999.984,soybean
152,Chile,11,0,0,0,0,0,soybean
180,Democratic Republic of the Congo,12,13395.789944906253,25681.999999999993,86034699999.99998,4622759999.999999,9759159999.999998,soybean
706,Somalia,13,0.07019582390785217,0,0,0,0,soybean
404,Kenya,14,466.450003111735,2396.1399999999994,8027068999.999997,431305199.9999999,910533199.9999998,soybean
729,Sudan,15,26.63871940970421,0,0,0,0,soybean
148,Chad,16,182.4223638791591,0,0,0,0,soybean
332,Haiti,17,0,0,0,0,0,soybean
214,Dominican Republic,18,0,0,0,0,0,soybean
643,Russia,19,355852.8848824009,4307593.2000000095,14430437220000.031,775366776000.0017,1636885416000.0034,soybean
044,The Bahamas,20,0,0,0,0,0,soybean
238,United Kingdom,21,0,0,0,0,0,soybean
578,Norway,22,0,0,0,0,0,soybean
304,Denmark,23,0,0,0,0,0,soybean
260,France,24,0,0,0,0,0,soybean
626,East Timor,25,684.0843930044211,852.0699999999999,2854434500,153372600,323786600,soybean
710,South Africa,26,170566.09682701714,1245499.9999999977,4172424999999.992,224189999999.99957,473289999999.99915,soybean
426,Lesotho,27,103.03875839710236,0,0,0,0,soybean
484,Mexico,28,119976.6619268201,246018.86999999976,824163214499.9991,44283396599.999954,93487170599.99991,soybean
858,Uruguay,29,42752.45960399974,1990000.0000000026,6666500000000.009,358200000000.0005,756200000000.001,soybean
076,Brazil,30,33734750.893475115,121820949.00000015,408100179150000.5,21927770820000.027,46291960620000.055,soybean
068,Bolivia,31,1135389.1925624418,2829355.9999999977,9478342599999.992,509284079999.9996,1075155279999.9991,soybean
604,Peru,32,3253.140911852359,1533.7599999999984,5138095999.999994,276076799.9999997,582828799.9999994,soybean
170,Colombia,33,58965.72089188658,119411.99999999993,400030199999.99976,21494159999.99999,45376559999.99997,soybean
591,Panama,34,107.62162866292056,98.2,328970000,17676000,37316000,soybean
188,Costa Rica,35,29.8623164370656,0,0,0,0,soybean
558,Nicaragua,36,14364.691148076206,10000.000000000011,33500000000.000034,1800000000.000002,3800000000.000004,soybean
340,Honduras,37,2814.1913501648232,1623.34,5438189000,292201200,616869200,soybean
222,El Salvador,38,2135.0287900716066,5229.2,17517820000,941256000,1987096000,soybean
320,Guatemala,39,34809.83807645738,40999.99999999999,137349999999.99998,7379999999.999999,15579999999.999998,soybean
084,Belize,40,834.6302958093584,13669.999999999982,45794499999.99994,2460599999.9999967,5194599999.999993,soybean
862,Venezuela,41,4780.998534114623,6736.119999999991,22566001999.99997,1212501599.9999983,2559725599.9999967,soybean
328,Guyana,42,0.13625107146799564,0,0,0,0,soybean
740,Suriname,43,41.5541910903994,5.000000000000003,16750000.00000001,900000.0000000005,1900000.0000000012,soybean
250,France,44,237152.331514274,406809.9999999993,1362813499999.9976,73225799999.99988,154587799999.99973,soybean
218,Ecuador,45,65581.48794513514,27238.07,91247534500,4902852600,10350466600,soybean
630,United States of America,46,0,0,0,0,0,soybean
388,Jamaica,47,0,0,0,0,0,soybean
192,Cuba,48,0,0,0,0,0,soybean
716,Zimbabwe,49,72140.10094162542,59656.00000000001,199847600000.00003,10738080000.000002,22669280000.000004,soybean
072,Botswana,50,433.9287919178605,0,0,0,0,soybean
516,Namibia,51,1.2774020615033805,0,0,0,0,soybean
686,Senegal,52,0,0,0,0,0,soybean
466,Mali,53,634.4411841453984,14684.999999999998,49194749999.99999,2643299999.9999995,5580299999.999999,soybean
478,Mauritania,54,0,0,0,0,0,soybean
204,Benin,55,2575.6815652363002,253953.52999999985,850744325499.9995,45711635399.99998,96502341399.99994,soybean
562,Niger,56,4322.358358716592,0,0,0,0,soybean
566,Nigeria,57,367052.5220381068,1262280.000000007,4228638000000.0234,227210400000.00128,479666400000.0027,soybean
120,Cameroon,58,7202.694759158418,93191.99999999987,312193199999.9996,16774559999.999977,35412959999.99995,soybean
768,Togo,59,646.0368279641261,154544.99999999994,517725749999.9998,27818099999.999992,58727099999.999985,soybean
288,Ghana,60,250.778390718624,0,0,0,0,soybean
384,Ivory Coast,61,2267.971832611598,557.3899999999985,1867256499.999995,100330199.99999973,211808199.99999943,soybean
324,Guinea,62,1157.1627283943817,0,0,0,0,soybean
624,Guinea-Bissau,63,0,0,0,0,0,soybean
430,Liberia,64,2103.4001399427652,3361.8999999999983,11262364999.999994,605141999.9999998,1277521999.9999995,soybean
694,Sierra Leone,65,27.533982813358307,0,0,0,0,soybean
854,Burkina Faso,66,3453.7614746158943,98513.00000000001,330018550000.00006,17732340000.000004,37434940000.00001,soybean
140,Central African Republic,67,330.6342131959973,0,0,0,0,soybean
178,Republic of the Congo,68,175.01769737899303,0,0,0,0,soybean
266,Gabon,69,1586.922527819872,3936.189999999997,13186236499.99999,708514199.9999995,1495752199.9999988,soybean
226,Equatorial Guinea,70,14.176957249641418,0,0,0,0,soybean
894,Zambia,71,14694.084368153533,296865.85999999853,994500630999.995,53435854799.99973,112809026799.99944,soybean
454,Malawi,72,360.57001232914627,210000,703500000000,37800000000,79800000000,soybean
508,Mozambique,73,8215.912677574903,0,0,0,0,soybean
748,eSwatini,74,801.7731145396829,0,0,0,0,soybean
024,Angola,75,226.35441937390715,37960.99999999998,127169349999.99992,6832979999.999996,14425179999.99999,soybean
108,Burundi,76,731.3778381897137,2498.360000000001,8369506000.000004,449704800.0000002,949376800.0000005,soybean
376,Israel,77,76.33489465713501,0,0,0,0,soybean
422,Lebanon,78,23.842117071151733,0,0,0,0,soybean
450,Madagascar,79,51.940836203906656,46.59999999999994,156109999.9999998,8387999.999999989,17707999.999999974,soybean
275,Israel,80,0,0,0,0,0,soybean
270,Gambia,81,0,0,0,0,0,soybean
788,Tunisia,82,0,0,0,0,0,soybean
012,Algeria,83,0.6148992702364922,0,0,0,0,soybean
400,Jordan,84,0.7971073985099792,0,0,0,0,soybean
784,United Arab Emirates,85,0,0,0,0,0,soybean
634,Qatar,86,0,0,0,0,0,soybean
414,Kuwait,87,0,0,0,0,0,soybean
368,Iraq,88,305.9806592166424,33.42,111957000,6015600,12699600,soybean
512,Oman,89,0,0,0,0,0,soybean
548,Vanuatu,90,0,0,0,0,0,soybean
116,Cambodia,91,39563.57605905825,47497.44999999997,159116457499.9999,8549540999.999994,18049030999.99999,soybean
764,Thailand,92,283505.71270234697,22800.000000000015,76380000000.00005,4104000000.000003,8664000000.000006,soybean
418,Laos,93,4179.516231089656,14594.440000000033,48891374000.00011,2626999200.0000057,5545887200.000012,soybean
104,Myanmar,94,102319.91869034711,135132.00000000006,452692200000.0002,24323760000.000008,51350160000.000015,soybean
704,Vietnam,95,144687.27348351106,65405.28000000002,219107688000.0001,11772950400.000004,24854006400.000008,soybean
408,North Korea,96,355882.9716594219,229892.3,770139205000,41380614000,87359074000,soybean
410,South Korea,97,113206.69734495878,80926.00000000012,271102100000.0004,14566680000.000021,30751880000.000046,soybean
496,Mongolia,98,63.89054438006133,0,0,0,0,soybean
356,India,99,5960564.720125074,11225849.999999939,37606597499999.8,2020652999999.989,4265822999999.9766,soybean
050,Bangladesh,100,52.47779601812363,104761,350949350000,18856980000,39809180000,soybean
064,Bhutan,101,887.3005170542747,233.60000000000005,782560000.0000001,42048000.00000001,88768000.00000001,soybean
524,Nepal,102,17676.92833988549,34543.999999999935,115722399999.99979,6217919999.999989,13126719999.999975,soybean
586,Pakistan,103,9285.432539784757,200.9999999999997,673349999.9999989,36179999.99999995,76379999.99999988,soybean
004,Afghanistan,104,195.91407459166658,0,0,0,0,soybean
762,Tajikistan,105,14.332415506440157,20.410000000000004,68373500.00000001,3673800.0000000005,7755800.000000001,soybean
417,Kyrgyzstan,106,79.83382711437298,2371.2,7943520000,426816000,901056000,soybean
795,Turkmenistan,107,342.5345620214939,0,0,0,0,soybean
364,Iran,108,123641.05668010563,189999.99999999936,636499999999.9978,34199999999.999886,72199999999.99976,soybean
760,Syria,109,5264.792194887996,6227.000000000009,20860450000.00003,1120860000.0000017,2366260000.0000033,soybean
051,Armenia,110,124.76424564234912,0,0,0,0,soybean
752,Sweden,111,0,0,0,0,0,soybean
112,Belarus,112,108.53533868805971,0,0,0,0,soybean
804,Ukraine,113,80282.09446655214,2797669.999999987,9372194499999.957,503580599999.9977,1063114599999.9951,soybean
616,Poland,114,26.024096379987895,15960,53466000000,2872800000,6064800000,soybean
040,Austria,115,36586.36592083081,204859.99999999985,686280999999.9995,36874799999.99998,77846799999.99994,soybean
348,Hungary,116,44724.995216757525,165760.00000000017,555296000000.0006,29836800000.00003,62988800000.00006,soybean
498,Moldova,117,10790.125185906887,33359.999999999985,111755999999.99995,6004799999.999998,12676799999.999996,soybean
642,Romania,118,149047.3402744732,340820.00000000035,1141747000000.0012,61347600000.00006,129511600000.00012,soybean
440,Lithuania,119,807.6119382497345,0,0,0,0,soybean
428,Latvia,120,24.298958907776978,0,0,0,0,soybean
233,Estonia,121,45.9954775757069,0,0,0,0,soybean
276,Germany,122,967.4971190287033,90500.00000000003,303175000000.00006,16290000000.000004,34390000000.00001,soybean
100,Bulgaria,123,4423.8731870912015,6200.000000000011,20770000000.00004,1116000000.000002,2356000000.0000043,soybean
300,Greece,124,2903.068469776772,1840.000000000002,6164000000.000007,331200000.00000036,699200000.0000007,soybean
792,Turkey,125,55336.53852321487,155224.99999999994,520003749999.9998,27940499999.999992,58985499999.999985,soybean
008,Albania,126,482.16303303511813,441,1477350000,79380000,167580000,soybean
