ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,spicenes
834,United Republic of Tanzania,2,3.8603057377040386,0,0,0,0,spicenes
732,Western Sahara,3,0,0,0,0,0,spicenes
124,Canada,4,0,0,0,0,0,spicenes
840,United States of America,5,13.406237613364539,0,0,0,0,spicenes
398,Kazakhstan,6,19.89400597428903,0,0,0,0,spicenes
860,Uzbekistan,7,113.42891684072674,527.7599999999992,1778551199.9999971,81802799.99999987,59636879.99999991,spicenes
598,Papua New Guinea,8,261.30122839298565,328.0899999999993,1105663299.9999976,50853949.99999989,37074169.999999925,spicenes
360,Indonesia,9,1499.192773184608,191812.46999999997,646408023899.9999,29730932849.999996,21674809110,spicenes
032,Argentina,10,1458.0294142377775,1519.6800000000108,5121321600.000036,235550400.00000167,171723840.00000122,spicenes
152,Chile,11,0.34581399105036326,0,0,0,0,spicenes
180,Democratic Republic of the Congo,12,24.60861981846392,4054.5300000000007,13663766100.000002,628452150.0000001,458161890.0000001,spicenes
706,Somalia,13,0.6665801927447319,0,0,0,0,spicenes
404,Kenya,14,1119.9165777307935,1242.360000000003,4186753200.0000105,192565800.00000048,140386680.00000036,spicenes
729,Sudan,15,0.019847294315695763,0,0,0,0,spicenes
148,Chad,16,0,0,0,0,0,spicenes
332,Haiti,17,29.871301025152206,0,0,0,0,spicenes
214,Dominican Republic,18,952.5060414131731,664.4000000000007,2239028000.0000024,102982000.0000001,75077200.00000007,spicenes
643,Russia,19,74.4589071040973,0,0,0,0,spicenes
044,The Bahamas,20,0,0,0,0,0,spicenes
238,United Kingdom,21,0,0,0,0,0,spicenes
578,Norway,22,0,0,0,0,0,spicenes
304,Denmark,23,0,0,0,0,0,spicenes
260,France,24,0,0,0,0,0,spicenes
626,East Timor,25,233.20219320990145,367.9999999999999,1240159999.9999998,57039999.999999985,41583999.99999999,spicenes
710,South Africa,26,6.763795342296362,0,0,0,0,spicenes
426,Lesotho,27,0,0,0,0,0,spicenes
484,Mexico,28,1988.759051932806,6000.000000000003,20220000000.00001,930000000.0000005,678000000.0000004,spicenes
858,Uruguay,29,0.06444909330457449,0,0,0,0,spicenes
076,Brazil,30,1.71921791481509,0,0,0,0,spicenes
068,Bolivia,31,0.26312960686482256,3446.5100000000007,11614738700.000002,534209050.0000001,389455630.0000001,spicenes
604,Peru,32,1512.1902377918595,3500.000000000011,11795000000.000038,542500000.0000018,395500000.0000013,spicenes
170,Colombia,33,0.5431529894385676,32158.77,108375054900,4984609350,3633941010,spicenes
591,Panama,34,0,0,0,0,0,spicenes
188,Costa Rica,35,0,0,0,0,0,spicenes
558,Nicaragua,36,0,0,0,0,0,spicenes
340,Honduras,37,0.21175596117973328,0,0,0,0,spicenes
222,El Salvador,38,0.25979313254356384,0,0,0,0,spicenes
320,Guatemala,39,260.0227632676251,398.67000000000024,1343517900.0000007,61793850.00000004,45049710.00000003,spicenes
084,Belize,40,0.02253184700384736,0,0,0,0,spicenes
862,Venezuela,41,0,0,0,0,0,spicenes
328,Guyana,42,0,0,0,0,0,spicenes
740,Suriname,43,0,0,0,0,0,spicenes
250,France,44,1.8552035479806364,0,0,0,0,spicenes
218,Ecuador,45,272.90691309710746,821.540000000002,2768589800.0000067,127338700.00000031,92834020.00000024,spicenes
630,United States of America,46,0,0,0,0,0,spicenes
388,Jamaica,47,890.4155864715576,997.0000000000002,3359890000.0000005,154535000.00000003,112661000.00000003,spicenes
192,Cuba,48,0,0,0,0,0,spicenes
716,Zimbabwe,49,591.1468747742474,583.7499999999997,1967237499.9999988,90481249.99999994,65963749.99999996,spicenes
072,Botswana,50,2.630362693220377,0,0,0,0,spicenes
516,Namibia,51,1.3708327179774642,0,0,0,0,spicenes
686,Senegal,52,0,0,0,0,0,spicenes
466,Mali,53,64.05940645327792,0,0,0,0,spicenes
478,Mauritania,54,0,0,0,0,0,spicenes
204,Benin,55,54.05384963750839,0,0,0,0,spicenes
562,Niger,56,4629.277235988062,5139.399999999993,17319777999.999977,796606999.9999989,580752199.9999993,spicenes
566,Nigeria,57,3616.370684152469,10000.000000000031,33700000000.000107,1550000000.0000048,1130000000.0000036,spicenes
120,Cameroon,58,20.69344139751047,0,0,0,0,spicenes
768,Togo,59,199.66728964541107,277.9500000000003,936691500.000001,43082250.000000045,31408350.000000034,spicenes
288,Ghana,60,28.37091846158728,0,0,0,0,spicenes
384,Ivory Coast,61,698.0299418019131,715.0700000000003,2409785900.000001,110835850.00000004,80802910.00000003,spicenes
324,Guinea,62,23.14886276423931,0,0,0,0,spicenes
624,Guinea-Bissau,63,0,0,0,0,0,spicenes
430,Liberia,64,0.3919655680656433,0,0,0,0,spicenes
694,Sierra Leone,65,947.0364994928241,2051.7100000000014,6914262700.000005,318015050.00000024,231843230.00000018,spicenes
854,Burkina Faso,66,4760.156104481779,6451.209999999992,21740577699.999973,999937549.9999987,728986729.9999992,spicenes
140,Central African Republic,67,0,0,0,0,0,spicenes
178,Republic of the Congo,68,0,0,0,0,0,spicenes
266,Gabon,69,0,0,0,0,0,spicenes
226,Equatorial Guinea,70,0,0,0,0,0,spicenes
894,Zambia,71,3204.862552828621,2597.010000000001,8751923700.000004,402536550.0000002,293462130.0000001,spicenes
454,Malawi,72,414.90167439356446,760.3599999999991,2562413199.9999967,117855799.99999985,85920679.9999999,spicenes
508,Mozambique,73,49.552540072239935,0,0,0,0,spicenes
748,eSwatini,74,0,0,0,0,0,spicenes
024,Angola,75,0.7786546628922224,0,0,0,0,spicenes
108,Burundi,76,1.3481476455926895,0,0,0,0,spicenes
376,Israel,77,1280.136868134141,0,0,0,0,spicenes
422,Lebanon,78,303.10892490670085,723.1500000000002,2437015500.0000005,112088250.00000003,81715950.00000003,spicenes
450,Madagascar,79,34.301005544519285,428.03999999999974,1442494799.999999,66346199.999999955,48368519.99999997,spicenes
275,Israel,80,672.6200702190399,3122.720000000002,10523566400.000008,484021600.00000036,352867360.0000003,spicenes
270,Gambia,81,0,0,0,0,0,spicenes
788,Tunisia,82,1932.344305060804,3411.1899999999996,11495710299.999998,528734449.9999999,385464469.99999994,spicenes
012,Algeria,83,7.647298812866211,0,0,0,0,spicenes
400,Jordan,84,0.18348601460456848,0,0,0,0,spicenes
784,United Arab Emirates,85,0,0,0,0,0,spicenes
634,Qatar,86,0,0,0,0,0,spicenes
414,Kuwait,87,245.86112117767334,462.11999999999995,1557344399.9999998,71628599.99999999,52219559.99999999,spicenes
368,Iraq,88,26.208622213453054,0,0,0,0,spicenes
512,Oman,89,0,0,0,0,0,spicenes
548,Vanuatu,90,0,0,0,0,0,spicenes
116,Cambodia,91,7.829991810023785,0,0,0,0,spicenes
764,Thailand,92,2603.9604468746693,4675.220000000015,15755491400.00005,724659100.0000023,528299860.0000017,spicenes
418,Laos,93,13.818415336310863,0,0,0,0,spicenes
104,Myanmar,94,92.17404403397813,22115.98000000001,74530852600.00005,3427976900.000002,2499105740.0000014,spicenes
704,Vietnam,95,24.120625101029873,0,0,0,0,spicenes
408,North Korea,96,17.870444733649492,0,0,0,0,spicenes
410,South Korea,97,0,0,0,0,0,spicenes
496,Mongolia,98,0.9173059827589896,0,0,0,0,spicenes
356,India,99,1322468.9877541927,1522804.509999991,5131851198699.969,236034699049.9986,172076909629.99896,spicenes
050,Bangladesh,100,44052.52758061886,309522.99999999965,1043092509999.9989,47976064999.99995,34976098999.99996,spicenes
064,Bhutan,101,2381.3570752803935,2996.260000000002,10097396200.000006,464420300.0000003,338577380.00000024,spicenes
524,Nepal,102,11896.341498801572,22451.359999999986,75661083199.99995,3479960799.9999976,2537003679.9999986,spicenes
586,Pakistan,103,41405.79800274363,79533.00000000017,268026210000.0006,12327615000.000029,8987229000.000021,spicenes
004,Afghanistan,104,47.38293188274838,0,0,0,0,spicenes
762,Tajikistan,105,2.954491953132674,0,0,0,0,spicenes
417,Kyrgyzstan,106,124.61470309109427,394.04000000000013,1327914800.0000005,61076200.00000002,44526520.000000015,spicenes
795,Turkmenistan,107,0.42448681266978383,0,0,0,0,spicenes
364,Iran,108,38.25771211087704,0,0,0,0,spicenes
760,Syria,109,1208.2433523759246,5549.919999999984,18703230399.999947,860237599.9999975,627140959.9999982,spicenes
051,Armenia,110,12.63296103477478,0,0,0,0,spicenes
752,Sweden,111,0,0,0,0,0,spicenes
112,Belarus,112,0,0,0,0,0,spicenes
804,Ukraine,113,5.518055081367493,0,0,0,0,spicenes
616,Poland,114,0,0,0,0,0,spicenes
040,Austria,115,0.2740273168310523,0,0,0,0,spicenes
348,Hungary,116,932.4159801458009,0,0,0,0,spicenes
498,Moldova,117,0,0,0,0,0,spicenes
642,Romania,118,30.472028970718384,0,0,0,0,spicenes
440,Lithuania,119,0,0,0,0,0,spicenes
428,Latvia,120,0,0,0,0,0,spicenes
233,Estonia,121,0,0,0,0,0,spicenes
276,Germany,122,0,0,0,0,0,spicenes
100,Bulgaria,123,688.0541890377644,0,0,0,0,spicenes
300,Greece,124,26.118753808550537,0,0,0,0,spicenes
792,Turkey,125,37173.40080319438,267006.1399999991,899810691799.997,41385951699.99986,30171693819.9999,spicenes
008,Albania,126,275.26572030130774,346.1399999999999,1166491799.9999995,53651699.99999998,39113819.999999985,spicenes
191,Croatia,127,12.607978820800781,0,0,0,0,spicenes
756,Switzerland,128,0,0,0,0,0,spicenes
442,Luxembourg,129,0,0,0,0,0,spicenes
056,Belgium,130,0,0,0,0,0,spicenes
528,Netherlands,131,0,0,0,0,0,spicenes
620,Portugal,132,1.1407676301896572,0,0,0,0,spicenes
724,Spain,133,2454.6479909524787,0,0,0,0,spicenes
372,Ireland,134,0,0,0,0,0,spicenes
540,France,135,0,0,0,0,0,spicenes
090,Solomon Islands,136,0,0,0,0,0,spicenes
554,New Zealand,137,0,0,0,0,0,spicenes
036,Australia,138,0,0,0,0,0,spicenes
144,Sri Lanka,139,4122.35458034277,5170.820000000001,17425663400.000004,801477100.0000001,584302660.0000001,spicenes
156,China,140,60678.67236305629,104839.230000001,353308205100.00336,16250080650.000154,11846832990.000114,spicenes
158,Taiwan,141,0,0,0,0,0,spicenes
380,Italy,142,0,0,0,0,0,spicenes
208,Denmark,143,0,0,0,0,0,spicenes
826,United Kingdom,144,0,0,0,0,0,spicenes
352,Iceland,145,0,0,0,0,0,spicenes
031,Azerbaijan,146,28.27929151058197,0,0,0,0,spicenes
268,Georgia,147,5080.635236814618,5099.999999999998,17186999999.999996,790499999.9999998,576299999.9999999,spicenes
608,Philippines,148,0,0,0,0,0,spicenes
458,Malaysia,149,5.967000542208552,757.0100000000001,2551123700.0000005,117336550.00000001,85542130.00000001,spicenes
096,Brunei,150,0,0,0,0,0,spicenes
705,Slovenia,151,1.4007978737354279,0,0,0,0,spicenes
246,Finland,152,0,0,0,0,0,spicenes
