ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,spinach
834,United Republic of Tanzania,2,8.903172850608826,0,0,0,0,spinach
732,Western Sahara,3,0,0,0,0,0,spinach
124,Canada,4,3647.0801582735367,4154.000000000004,664640000.0000006,12462000.000000011,87234000.00000007,spinach
840,United States of America,5,270144.5017795373,325180.0000000001,52028800000.000015,975540000.0000002,6828780000.000002,spinach
398,Kazakhstan,6,87.5922468683566,0,0,0,0,spinach
860,Uzbekistan,7,0,0,0,0,0,spinach
598,Papua New Guinea,8,0,0,0,0,0,spinach
360,Indonesia,9,73257.24429657403,157024.19000000015,25123870400.000023,471072570.0000004,3297507990.0000033,spinach
032,Argentina,10,0,0,0,0,0,spinach
152,Chile,11,0,0,0,0,0,spinach
180,Democratic Republic of the Congo,12,0,0,0,0,0,spinach
706,Somalia,13,10.84461236000061,0,0,0,0,spinach
404,Kenya,14,18220.143525518477,243335.8299999992,38933732799.99987,730007489.9999975,5110052429.999983,spinach
729,Sudan,15,0,0,0,0,0,spinach
148,Chad,16,0,0,0,0,0,spinach
332,Haiti,17,494.9634427949786,1000.9099999999999,160145599.99999997,3002729.9999999995,21019109.999999996,spinach
214,Dominican Republic,18,2.7952463626861572,0,0,0,0,spinach
643,Russia,19,483.4407664425671,0,0,0,0,spinach
044,The Bahamas,20,0,0,0,0,0,spinach
238,United Kingdom,21,0,0,0,0,0,spinach
578,Norway,22,0,0,0,0,0,spinach
304,Denmark,23,0,0,0,0,0,spinach
260,France,24,0,0,0,0,0,spinach
626,East Timor,25,2.4856005907058716,0,0,0,0,spinach
710,South Africa,26,0,0,0,0,0,spinach
426,Lesotho,27,0,0,0,0,0,spinach
484,Mexico,28,18186.060090627863,49312.81999999996,7890051199.999994,147938459.99999988,1035569219.9999993,spinach
858,Uruguay,29,0,0,0,0,0,spinach
076,Brazil,30,3.176420621544821,0,0,0,0,spinach
068,Bolivia,31,1.685071632033214,0,0,0,0,spinach
604,Peru,32,10088.154045623378,29855.13999999999,4776822399.999998,89565419.99999996,626957939.9999998,spinach
170,Colombia,33,3636.548088456715,5735.999999999986,917759999.9999979,17207999.99999996,120455999.99999972,spinach
591,Panama,34,0.00427735410630703,0,0,0,0,spinach
188,Costa Rica,35,0,0,0,0,0,spinach
558,Nicaragua,36,0,0,0,0,0,spinach
340,Honduras,37,0,0,0,0,0,spinach
222,El Salvador,38,0,0,0,0,0,spinach
320,Guatemala,39,0,0,0,0,0,spinach
084,Belize,40,0,0,0,0,0,spinach
862,Venezuela,41,3.702885653823614,4218.54,674966400,12655620,88589340,spinach
328,Guyana,42,0,0,0,0,0,spinach
740,Suriname,43,0,0,0,0,0,spinach
250,France,44,113719.19455771893,86259.99999999999,13801599999.999998,258779999.99999994,1811459999.9999998,spinach
218,Ecuador,45,30.322290155338123,0,0,0,0,spinach
630,United States of America,46,0,0,0,0,0,spinach
388,Jamaica,47,12716.75416135788,15975.999999999996,2556159999.9999995,47927999.99999999,335495999.99999994,spinach
192,Cuba,48,0,0,0,0,0,spinach
