ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,stonefruitnes
834,United Republic of Tanzania,2,0,0,0,0,0,stonefruitnes
732,Western Sahara,3,0,0,0,0,0,stonefruitnes
124,Canada,4,717.1947169756402,0,0,0,0,stonefruitnes
840,United States of America,5,55181.63100940228,0,0,0,0,stonefruitnes
398,Kazakhstan,6,0.2043693725996718,0,0,0,0,stonefruitnes
860,Uzbekistan,7,0,0,0,0,0,stonefruitnes
598,Papua New Guinea,8,0,0,0,0,0,stonefruitnes
360,Indonesia,9,0,0,0,0,0,stonefruitnes
032,Argentina,10,25425.242228236635,0,0,0,0,stonefruitnes
152,Chile,11,13322.425611147752,0,0,0,0,stonefruitnes
180,Democratic Republic of the Congo,12,0,0,0,0,0,stonefruitnes
706,Somalia,13,0,0,0,0,0,stonefruitnes
404,Kenya,14,0,0,0,0,0,stonefruitnes
729,Sudan,15,0,0,0,0,0,stonefruitnes
148,Chad,16,88.49648868013173,0,0,0,0,stonefruitnes
332,Haiti,17,0,0,0,0,0,stonefruitnes
214,Dominican Republic,18,0,0,0,0,0,stonefruitnes
643,Russia,19,8.814312839040213,0,0,0,0,stonefruitnes
044,The Bahamas,20,0,0,0,0,0,stonefruitnes
238,United Kingdom,21,0,0,0,0,0,stonefruitnes
578,Norway,22,0,0,0,0,0,stonefruitnes
304,Denmark,23,0,0,0,0,0,stonefruitnes
260,France,24,0,0,0,0,0,stonefruitnes
626,East Timor,25,0,0,0,0,0,stonefruitnes
710,South Africa,26,0.6483556376770139,0,0,0,0,stonefruitnes
426,Lesotho,27,0,0,0,0,0,stonefruitnes
484,Mexico,28,1.0684046464307784,0,0,0,0,stonefruitnes
858,Uruguay,29,528.3799107685918,0,0,0,0,stonefruitnes
076,Brazil,30,6.608320020248357,0,0,0,0,stonefruitnes
068,Bolivia,31,732.9249389099132,0,0,0,0,stonefruitnes
604,Peru,32,993.0455000204238,0,0,0,0,stonefruitnes
170,Colombia,33,1097.0301559238094,0,0,0,0,stonefruitnes
591,Panama,34,0.0012894942192360759,0,0,0,0,stonefruitnes
188,Costa Rica,35,0,0,0,0,0,stonefruitnes
558,Nicaragua,36,0,0,0,0,0,stonefruitnes
340,Honduras,37,0,0,0,0,0,stonefruitnes
222,El Salvador,38,0,0,0,0,0,stonefruitnes
320,Guatemala,39,1.088472595148945e-40,0,0,0,0,stonefruitnes
084,Belize,40,0,0,0,0,0,stonefruitnes
862,Venezuela,41,1.1163092907518148,0,0,0,0,stonefruitnes
328,Guyana,42,0,0,0,0,0,stonefruitnes
740,Suriname,43,0,0,0,0,0,stonefruitnes
250,France,44,0.16996858082711697,0,0,0,0,stonefruitnes
218,Ecuador,45,2519.892457191101,0,0,0,0,stonefruitnes
630,United States of America,46,0,0,0,0,0,stonefruitnes
388,Jamaica,47,0,0,0,0,0,stonefruitnes
192,Cuba,48,0,0,0,0,0,stonefruitnes
716,Zimbabwe,49,55.76239759771852,80.0699999999998,41636399.99999989,240209.99999999936,720629.9999999981,stonefruitnes
072,Botswana,50,0.25213808356784284,0,0,0,0,stonefruitnes
