ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,strawberry
834,United Republic of Tanzania,2,0.31068373657763004,0,0,0,0,strawberry
732,Western Sahara,3,0,0,0,0,0,strawberry
124,Canada,4,24116.119096809278,24134.000000000033,6757520000.00001,96536000.00000013,144804000.00000018,strawberry
840,United States of America,5,831170.8828751008,1209729.999999983,338724399999.99524,4838919999.999932,7258379999.999898,strawberry
398,Kazakhstan,6,6752.388772152986,6846.480000000015,1917014400.0000043,27385920.00000006,41078880.00000009,strawberry
860,Uzbekistan,7,1137.6474312746432,13339,3734920000,53356000,80034000,strawberry
598,Papua New Guinea,8,0,0,0,0,0,strawberry
360,Indonesia,9,0,0,0,0,0,strawberry
032,Argentina,10,8485.078878195887,42000.00000000002,11760000000.000008,168000000.00000012,252000000.00000012,strawberry
152,Chile,11,23464.146888534142,26699.280000000035,7475798400.00001,106797120.00000015,160195680.0000002,strawberry
180,Democratic Republic of the Congo,12,0,0,0,0,0,strawberry
706,Somalia,13,0.37843192741274834,0,0,0,0,strawberry
404,Kenya,14,635.8073038703296,499.8900000000004,139969200.00000012,1999560.0000000016,2999340.0000000023,strawberry
729,Sudan,15,0,0,0,0,0,strawberry
148,Chad,16,0,0,0,0,0,strawberry
332,Haiti,17,0,0,0,0,0,strawberry
214,Dominican Republic,18,0,0,0,0,0,strawberry
643,Russia,19,191214.11377127992,218399.9999999984,61151999999.99954,873599999.9999936,1310399999.9999902,strawberry
044,The Bahamas,20,0,0,0,0,0,strawberry
238,United Kingdom,21,0,0,0,0,0,strawberry
578,Norway,22,3993.5215455561797,7026.999999999994,1967559999.9999983,28107999.999999978,42161999.99999996,strawberry
304,Denmark,23,0,0,0,0,0,strawberry
260,France,24,0,0,0,0,0,strawberry
626,East Timor,25,0,0,0,0,0,strawberry
710,South Africa,26,5185.884576211625,10876.000000000091,3045280000.0000253,43504000.000000365,65256000.000000544,strawberry
426,Lesotho,27,3.472156196832657,0,0,0,0,strawberry
484,Mexico,28,129649.25127560718,557514.2000000005,156103976000.00015,2230056800.0000024,3345085200.0000033,strawberry
858,Uruguay,29,0.6446596707974095,0,0,0,0,strawberry
076,Brazil,30,2520.3319214636067,218880.99999999936,61286679999.999825,875523999.9999976,1313285999.9999962,strawberry
068,Bolivia,31,1752.5510318466258,3288.0000000000036,920640000.0000011,13152000.000000015,19728000.000000022,strawberry
604,Peru,32,15242.988014573595,21636.279999999955,6058158399.999988,86545119.99999982,129817679.99999973,strawberry
170,Colombia,33,20027.473213607853,99900.64000000019,27972179200.000053,399602560.0000008,599403840.0000011,strawberry
591,Panama,34,4.822532344609499,0,0,0,0,strawberry
188,Costa Rica,35,1538.7509165294468,5063.12,1417673600,20252480,30378720,strawberry
558,Nicaragua,36,0,0,0,0,0,strawberry
340,Honduras,37,5.37876558303833,0,0,0,0,strawberry
222,El Salvador,38,6.598947048187256,0,0,0,0,strawberry
320,Guatemala,39,6566.86920042336,13896.960000000017,3891148800.000005,55587840.000000075,83381760.0000001,strawberry
084,Belize,40,0.5723264366388321,0,0,0,0,strawberry
862,Venezuela,41,8451.090345641354,12896.999999999995,3611159999.999998,51587999.99999998,77381999.99999996,strawberry
328,Guyana,42,0.10284446738660336,0,0,0,0,strawberry
740,Suriname,43,0,0,0,0,0,strawberry
250,France,44,58501.125254654886,77460.00000000033,21688800000.00009,309840000.0000014,464760000.00000197,strawberry
218,Ecuador,45,684.0906081946578,1443.5699999999986,404199599.9999996,5774279.999999994,8661419.99999999,strawberry
630,United States of America,46,0,0,0,0,0,strawberry
388,Jamaica,47,0,0,0,0,0,strawberry
192,Cuba,48,0,0,0,0,0,strawberry
