ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,stringbean
834,United Republic of Tanzania,2,0,0,0,0,0,stringbean
732,Western Sahara,3,0,0,0,0,0,stringbean
124,Canada,4,165.98467815702315,0,0,0,0,stringbean
840,United States of America,5,917146.8314960398,653318.0000000051,176395860000.0014,653318000.0000052,10453088000.000084,stringbean
398,Kazakhstan,6,0.26469607036847265,0,0,0,0,stringbean
860,Uzbekistan,7,0,0,0,0,0,stringbean
598,Papua New Guinea,8,0,0,0,0,0,stringbean
360,Indonesia,9,0,0,0,0,0,stringbean
032,Argentina,10,43357.406912566024,50073.16000000027,13519753200.000074,50073160.000000276,801170560.0000044,stringbean
152,Chile,11,10.128364732780028,0,0,0,0,stringbean
180,Democratic Republic of the Congo,12,0,0,0,0,0,stringbean
706,Somalia,13,0,0,0,0,0,stringbean
404,Kenya,14,0,0,0,0,0,stringbean
729,Sudan,15,0,0,0,0,0,stringbean
148,Chad,16,0,0,0,0,0,stringbean
332,Haiti,17,0,0,0,0,0,stringbean
214,Dominican Republic,18,0,0,0,0,0,stringbean
643,Russia,19,1.6653821872314438,0,0,0,0,stringbean
044,The Bahamas,20,0,0,0,0,0,stringbean
238,United Kingdom,21,0,0,0,0,0,stringbean
578,Norway,22,0,0,0,0,0,stringbean
304,Denmark,23,0,0,0,0,0,stringbean
260,France,24,0,0,0,0,0,stringbean
626,East Timor,25,0,0,0,0,0,stringbean
710,South Africa,26,0,0,0,0,0,stringbean
426,Lesotho,27,0,0,0,0,0,stringbean
484,Mexico,28,76855.77769584063,125332.89999999982,33839882999.999947,125332899.99999982,2005326399.9999971,stringbean
858,Uruguay,29,0.592822715640068,0,0,0,0,stringbean
076,Brazil,30,33.89601296963852,0,0,0,0,stringbean
068,Bolivia,31,3.4176535333972424,0,0,0,0,stringbean
604,Peru,32,18561.225840172032,25571.159999999927,6904213199.999981,25571159.99999993,409138559.99999887,stringbean
170,Colombia,33,13.416035299640072,0,0,0,0,stringbean
591,Panama,34,0,0,0,0,0,stringbean
188,Costa Rica,35,0,0,0,0,0,stringbean
558,Nicaragua,36,0,0,0,0,0,stringbean
340,Honduras,37,0,0,0,0,0,stringbean
222,El Salvador,38,0,0,0,0,0,stringbean
320,Guatemala,39,57.69064047932625,0,0,0,0,stringbean
084,Belize,40,0,0,0,0,0,stringbean
862,Venezuela,41,3771.959191816495,7178.230000000018,1938122100.0000048,7178230.000000019,114851680.0000003,stringbean
328,Guyana,42,0.1048069167882204,0,0,0,0,stringbean
740,Suriname,43,0,0,0,0,0,stringbean
250,France,44,353457.7758564651,0,0,0,0,stringbean
218,Ecuador,45,52.694869577884674,0,0,0,0,stringbean
630,United States of America,46,0,0,0,0,0,stringbean
388,Jamaica,47,4483.07401239872,5425.000000000002,1464750000.0000005,5425000.000000002,86800000.00000003,stringbean
192,Cuba,48,0,0,0,0,0,stringbean
716,Zimbabwe,49,0,0,0,0,0,stringbean
072,Botswana,50,0,0,0,0,0,stringbean
516,Namibia,51,0,0,0,0,0,stringbean
686,Senegal,52,0,0,0,0,0,stringbean
466,Mali,53,0,0,0,0,0,stringbean
478,Mauritania,54,0,0,0,0,0,stringbean
204,Benin,55,0,0,0,0,0,stringbean
562,Niger,56,0,0,0,0,0,stringbean
566,Nigeria,57,0,0,0,0,0,stringbean
120,Cameroon,58,0,0,0,0,0,stringbean
768,Togo,59,0,0,0,0,0,stringbean
288,Ghana,60,0,0,0,0,0,stringbean
384,Ivory Coast,61,0,0,0,0,0,stringbean
324,Guinea,62,0,0,0,0,0,stringbean
624,Guinea-Bissau,63,0,0,0,0,0,stringbean
430,Liberia,64,0,0,0,0,0,stringbean
694,Sierra Leone,65,0,0,0,0,0,stringbean
854,Burkina Faso,66,0,0,0,0,0,stringbean
140,Central African Republic,67,0,0,0,0,0,stringbean
178,Republic of the Congo,68,0,0,0,0,0,stringbean
266,Gabon,69,0,0,0,0,0,stringbean
226,Equatorial Guinea,70,0,0,0,0,0,stringbean
894,Zambia,71,0,0,0,0,0,stringbean
454,Malawi,72,0,0,0,0,0,stringbean
508,Mozambique,73,0,0,0,0,0,stringbean
748,eSwatini,74,0,0,0,0,0,stringbean
024,Angola,75,0,0,0,0,0,stringbean
108,Burundi,76,0,0,0,0,0,stringbean
376,Israel,77,0,0,0,0,0,stringbean
422,Lebanon,78,0,0,0,0,0,stringbean
450,Madagascar,79,0,0,0,0,0,stringbean
275,Israel,80,0,0,0,0,0,stringbean
270,Gambia,81,0,0,0,0,0,stringbean
788,Tunisia,82,0,0,0,0,0,stringbean
012,Algeria,83,21.73889994621277,0,0,0,0,stringbean
400,Jordan,84,0,0,0,0,0,stringbean
784,United Arab Emirates,85,0,0,0,0,0,stringbean
634,Qatar,86,0,0,0,0,0,stringbean
414,Kuwait,87,0,0,0,0,0,stringbean
368,Iraq,88,25.138691037893295,46210,12476700000,46210000,739360000,stringbean
512,Oman,89,0,0,0,0,0,stringbean
548,Vanuatu,90,0,0,0,0,0,stringbean
116,Cambodia,91,0,0,0,0,0,stringbean
764,Thailand,92,0,0,0,0,0,stringbean
418,Laos,93,0.001839091069996357,0,0,0,0,stringbean
104,Myanmar,94,1.872298039656016,0,0,0,0,stringbean
704,Vietnam,95,6.445249094045721,0,0,0,0,stringbean
408,North Korea,96,2.3501579265575856,0,0,0,0,stringbean
410,South Korea,97,0,0,0,0,0,stringbean
496,Mongolia,98,0.011603897267832508,0,0,0,0,stringbean
356,India,99,0.09703778654557027,0,0,0,0,stringbean
050,Bangladesh,100,0,0,0,0,0,stringbean
064,Bhutan,101,0.023750776857923483,0,0,0,0,stringbean
524,Nepal,102,0.13660116835580993,0,0,0,0,stringbean
586,Pakistan,103,0.005342371234291932,0,0,0,0,stringbean
004,Afghanistan,104,0.0020133884936512914,0,0,0,0,stringbean
762,Tajikistan,105,0.0018452481599524617,0,0,0,0,stringbean
417,Kyrgyzstan,106,0.0018404027941869572,0,0,0,0,stringbean
795,Turkmenistan,107,0,0,0,0,0,stringbean
364,Iran,108,26.208773776888847,0,0,0,0,stringbean
760,Syria,109,144.22389483451843,0,0,0,0,stringbean
051,Armenia,110,12.15449047088623,0,0,0,0,stringbean
752,Sweden,111,0,0,0,0,0,stringbean
112,Belarus,112,0,0,0,0,0,stringbean
804,Ukraine,113,0,0,0,0,0,stringbean
616,Poland,114,0,0,0,0,0,stringbean
040,Austria,115,0,0,0,0,0,stringbean
348,Hungary,116,0,0,0,0,0,stringbean
498,Moldova,117,0,0,0,0,0,stringbean
642,Romania,118,0,0,0,0,0,stringbean
440,Lithuania,119,0,0,0,0,0,stringbean
428,Latvia,120,0,0,0,0,0,stringbean
233,Estonia,121,0,0,0,0,0,stringbean
276,Germany,122,994.8425879478455,0,0,0,0,stringbean
100,Bulgaria,123,0,0,0,0,0,stringbean
300,Greece,124,14.354910373687744,0,0,0,0,stringbean
792,Turkey,125,39631.543742457405,88107.00000000012,23788890000.00003,88107000.00000012,1409712000.000002,stringbean
008,Albania,126,0,0,0,0,0,stringbean
191,Croatia,127,0,0,0,0,0,stringbean
756,Switzerland,128,398.62051647901535,0,0,0,0,stringbean
442,Luxembourg,129,98.53767395019531,0,0,0,0,stringbean
056,Belgium,130,586.2943856716156,0,0,0,0,stringbean
528,Netherlands,131,0,0,0,0,0,stringbean
620,Portugal,132,0,0,0,0,0,stringbean
724,Spain,133,9.533264875411987,0,0,0,0,stringbean
372,Ireland,134,0,0,0,0,0,stringbean
540,France,135,0,0,0,0,0,stringbean
090,Solomon Islands,136,0,0,0,0,0,stringbean
554,New Zealand,137,0,0,0,0,0,stringbean
036,Australia,138,0,0,0,0,0,stringbean
144,Sri Lanka,139,0,0,0,0,0,stringbean
156,China,140,23982.086182156356,0,0,0,0,stringbean
158,Taiwan,141,0,0,0,0,0,stringbean
