ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,sugarbeet
834,United Republic of Tanzania,2,0,0,0,0,0,sugarbeet
732,Western Sahara,3,0,0,0,0,0,sugarbeet
124,Canada,4,642602.7917598188,1114299.9999999998,780009999999.9999,1114299999.9999998,14485899999.999998,sugarbeet
840,United States of America,5,27400616.659375295,30490479.999999862,21343335999999.902,30490479999.999863,396376239999.99817,sugarbeet
398,Kazakhstan,6,296775.126680988,466307.6000000008,326415320000.00055,466307600.0000008,6061998800.0000105,sugarbeet
860,Uzbekistan,7,80683.84349904954,3100.000000000006,2170000000.0000043,3100000.000000006,40300000.00000008,sugarbeet
598,Papua New Guinea,8,0,0,0,0,0,sugarbeet
360,Indonesia,9,0,0,0,0,0,sugarbeet
032,Argentina,10,3258.433229004826,0,0,0,0,sugarbeet
152,Chile,11,2988752.8829781683,1259048.0000000063,881333600000.0044,1259048000.0000064,16367624000.000082,sugarbeet
180,Democratic Republic of the Congo,12,0,0,0,0,0,sugarbeet
706,Somalia,13,0,0,0,0,0,sugarbeet
404,Kenya,14,0,0,0,0,0,sugarbeet
729,Sudan,15,0,0,0,0,0,sugarbeet
148,Chad,16,0,0,0,0,0,sugarbeet
332,Haiti,17,0,0,0,0,0,sugarbeet
214,Dominican Republic,18,0,0,0,0,0,sugarbeet
643,Russia,19,14735337.184682555,33915085.89999985,23740560129999.895,33915085899.999847,440896116699.99805,sugarbeet
044,The Bahamas,20,0,0,0,0,0,sugarbeet
238,United Kingdom,21,0,0,0,0,0,sugarbeet
578,Norway,22,0,0,0,0,0,sugarbeet
304,Denmark,23,0,0,0,0,0,sugarbeet
260,France,24,0,0,0,0,0,sugarbeet
626,East Timor,25,0,0,0,0,0,sugarbeet
710,South Africa,26,0,0,0,0,0,sugarbeet
426,Lesotho,27,0,0,0,0,0,sugarbeet
484,Mexico,28,0,0,0,0,0,sugarbeet
858,Uruguay,29,0,0,0,0,0,sugarbeet
076,Brazil,30,0.13317401136090012,0,0,0,0,sugarbeet
068,Bolivia,31,3158.742349624634,0,0,0,0,sugarbeet
604,Peru,32,912.1972800716758,0,0,0,0,sugarbeet
170,Colombia,33,37.71698510022634,30394.279999999995,21275995999.999996,30394279.999999996,395125639.99999994,sugarbeet
591,Panama,34,0,0,0,0,0,sugarbeet
188,Costa Rica,35,0,0,0,0,0,sugarbeet
558,Nicaragua,36,0,0,0,0,0,sugarbeet
340,Honduras,37,0,0,0,0,0,sugarbeet
222,El Salvador,38,0,0,0,0,0,sugarbeet
320,Guatemala,39,0,0,0,0,0,sugarbeet
084,Belize,40,0,0,0,0,0,sugarbeet
862,Venezuela,41,16185.617959685515,23241.30999999997,16268916999.999977,23241309.99999997,302137029.9999996,sugarbeet
328,Guyana,42,0.44973041117191315,0,0,0,0,sugarbeet
740,Suriname,43,0,0,0,0,0,sugarbeet
250,France,44,28551425.630961776,26163360.000000104,18314352000000.074,26163360000.000107,340123680000.00134,sugarbeet
218,Ecuador,45,3159.3880621153876,4646.58999999998,3252612999.9999857,4646589.99999998,60405669.99999974,sugarbeet
630,United States of America,46,0,0,0,0,0,sugarbeet
388,Jamaica,47,0,0,0,0,0,sugarbeet
192,Cuba,48,0,0,0,0,0,sugarbeet
716,Zimbabwe,49,0,0,0,0,0,sugarbeet
072,Botswana,50,0,0,0,0,0,sugarbeet
516,Namibia,51,0,0,0,0,0,sugarbeet
686,Senegal,52,0,0,0,0,0,sugarbeet
466,Mali,53,0,0,0,0,0,sugarbeet
478,Mauritania,54,0,0,0,0,0,sugarbeet
204,Benin,55,0,0,0,0,0,sugarbeet
562,Niger,56,0,0,0,0,0,sugarbeet
566,Nigeria,57,0,0,0,0,0,sugarbeet
120,Cameroon,58,0,0,0,0,0,sugarbeet
768,Togo,59,0,0,0,0,0,sugarbeet
288,Ghana,60,0,0,0,0,0,sugarbeet
384,Ivory Coast,61,0,0,0,0,0,sugarbeet
324,Guinea,62,0,0,0,0,0,sugarbeet
624,Guinea-Bissau,63,0,0,0,0,0,sugarbeet
430,Liberia,64,0,0,0,0,0,sugarbeet
694,Sierra Leone,65,0,0,0,0,0,sugarbeet
854,Burkina Faso,66,0,0,0,0,0,sugarbeet
140,Central African Republic,67,0,0,0,0,0,sugarbeet
178,Republic of the Congo,68,0,0,0,0,0,sugarbeet
266,Gabon,69,0,0,0,0,0,sugarbeet
226,Equatorial Guinea,70,0,0,0,0,0,sugarbeet
894,Zambia,71,0,0,0,0,0,sugarbeet
454,Malawi,72,0,0,0,0,0,sugarbeet
508,Mozambique,73,0,0,0,0,0,sugarbeet
748,eSwatini,74,0,0,0,0,0,sugarbeet
024,Angola,75,0,0,0,0,0,sugarbeet
108,Burundi,76,0,0,0,0,0,sugarbeet
376,Israel,77,32202.04331354924,0,0,0,0,sugarbeet
422,Lebanon,78,141703.58654403687,5480,3836000000,5480000,71240000,sugarbeet
450,Madagascar,79,0,0,0,0,0,sugarbeet
275,Israel,80,0.0081974347049254,0,0,0,0,sugarbeet
270,Gambia,81,0,0,0,0,0,sugarbeet
788,Tunisia,82,37201.86249804497,85872.3200000002,60110624000.00014,85872320.0000002,1116340160.0000026,sugarbeet
012,Algeria,83,776.2592620849609,0,0,0,0,sugarbeet
400,Jordan,84,325.86871337890625,0,0,0,0,sugarbeet
784,United Arab Emirates,85,0,0,0,0,0,sugarbeet
634,Qatar,86,0,0,0,0,0,sugarbeet
414,Kuwait,87,0,0,0,0,0,sugarbeet
368,Iraq,88,8006.866802215576,32273.370000000003,22591359000,32273370,419553810,sugarbeet
512,Oman,89,0,0,0,0,0,sugarbeet
548,Vanuatu,90,0,0,0,0,0,sugarbeet
116,Cambodia,91,0,0,0,0,0,sugarbeet
764,Thailand,92,0,0,0,0,0,sugarbeet
418,Laos,93,0.019080571830272675,0,0,0,0,sugarbeet
104,Myanmar,94,10.632695431937464,0,0,0,0,sugarbeet
704,Vietnam,95,2.052117883809842,0,0,0,0,sugarbeet
408,North Korea,96,378.7742470651865,0,0,0,0,sugarbeet
410,South Korea,97,0,0,0,0,0,sugarbeet
496,Mongolia,98,374.2713596224785,0,0,0,0,sugarbeet
356,India,99,2734.569858402014,0,0,0,0,sugarbeet
050,Bangladesh,100,0,0,0,0,0,sugarbeet
064,Bhutan,101,0,0,0,0,0,sugarbeet
