ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,sunflower
834,United Republic of Tanzania,2,27868.273528581485,1075000.0000000014,3311000000000.004,288100000000.00037,132225000000.00017,sunflower
732,Western Sahara,3,0,0,0,0,0,sunflower
124,Canada,4,118563.92985573687,101299.99999999981,312003999999.9994,27148399999.99995,12459899999.999977,sunflower
840,United States of America,5,1632214.4239056578,1353019.99999998,4167301599999.9385,362609359999.9946,166421459999.99756,sunflower
398,Kazakhstan,6,140140.5225186448,844256.1300000038,2600308880400.0117,226260642840.00104,103843503990.00047,sunflower
860,Uzbekistan,7,10912.372151844203,36736.00000000005,113146880000.00017,9845248000.000015,4518528000.000007,sunflower
598,Papua New Guinea,8,0,0,0,0,0,sunflower
360,Indonesia,9,0,0,0,0,0,sunflower
032,Argentina,10,4716746.865258498,2857413.0000000056,8800832040000.018,765786684000.0016,351461799000.00073,sunflower
152,Chile,11,3891.3177102392997,3409.999999999991,10502799999.999973,913879999.9999976,419429999.9999989,sunflower
180,Democratic Republic of the Congo,12,224.17889255424961,0,0,0,0,sunflower
706,Somalia,13,5.889973759651184,0,0,0,0,sunflower
404,Kenya,14,10100.22099077329,4999.999999999976,15399999999.999928,1339999999.9999936,614999999.9999971,sunflower
729,Sudan,15,7251.3321479270235,0,0,0,0,sunflower
148,Chad,16,14.369850523769855,0,0,0,0,sunflower
332,Haiti,17,0,0,0,0,0,sunflower
214,Dominican Republic,18,0,0,0,0,0,sunflower
643,Russia,19,3579280.5988839506,13314418.000000056,41008407440000.17,3568264024000.015,1637673414000.007,sunflower
044,The Bahamas,20,0,0,0,0,0,sunflower
238,United Kingdom,21,0,0,0,0,0,sunflower
578,Norway,22,0,0,0,0,0,sunflower
304,Denmark,23,0,0,0,0,0,sunflower
260,France,24,0,0,0,0,0,sunflower
626,East Timor,25,0,0,0,0,0,sunflower
710,South Africa,26,694346.1041359674,788499.9999999971,2428579999999.9907,211317999999.9992,96985499999.99965,sunflower
426,Lesotho,27,452.5822238922119,0,0,0,0,sunflower
484,Mexico,28,864.3896321013624,8331.12999999999,25659880399.99997,2232742839.999997,1024728989.9999988,sunflower
858,Uruguay,29,110629.72200468736,1000.0000000000001,3080000000.0000005,268000000.00000006,123000000.00000003,sunflower
076,Brazil,30,98578.80380693961,79590.00000000022,245137200000.00067,21330120000.000057,9789570000.000027,sunflower
068,Bolivia,31,127590.34249286429,159604.99999999962,491583399999.99884,42774139999.9999,19631414999.999954,sunflower
604,Peru,32,1.8906687152339146,0,0,0,0,sunflower
170,Colombia,33,9.136530310191944,0,0,0,0,sunflower
591,Panama,34,0,0,0,0,0,sunflower
188,Costa Rica,35,0,0,0,0,0,sunflower
558,Nicaragua,36,0,0,0,0,0,sunflower
340,Honduras,37,0,0,0,0,0,sunflower
222,El Salvador,38,0,0,0,0,0,sunflower
320,Guatemala,39,0.6419449066743255,0,0,0,0,sunflower
084,Belize,40,0,0,0,0,0,sunflower
862,Venezuela,41,3951.42212701963,7716.960000000024,23768236800.000072,2068145280.0000064,949186080.000003,sunflower
328,Guyana,42,4.251782637089491,0,0,0,0,sunflower
740,Suriname,43,0,0,0,0,0,sunflower
250,France,44,1676893.0927198094,1608190.0000000023,4953225200000.007,430994920000.0006,197807370000.0003,sunflower
218,Ecuador,45,0,0,0,0,0,sunflower
630,United States of America,46,0,0,0,0,0,sunflower
388,Jamaica,47,0,0,0,0,0,sunflower
192,Cuba,48,0,0,0,0,0,sunflower
716,Zimbabwe,49,14651.173000719398,14509.999999999962,44690799999.99988,3888679999.9999895,1784729999.9999952,sunflower
072,Botswana,50,2855.564389869338,1499.4099999999987,4618182799.999996,401841879.99999964,184427429.99999985,sunflower
516,Namibia,51,115.94446044317374,69.61000000000003,214398800.00000006,18655480.000000007,8562030.000000004,sunflower
686,Senegal,52,0,0,0,0,0,sunflower
466,Mali,53,0,0,0,0,0,sunflower
478,Mauritania,54,0,0,0,0,0,sunflower
204,Benin,55,0,0,0,0,0,sunflower
562,Niger,56,0,0,0,0,0,sunflower
566,Nigeria,57,0,0,0,0,0,sunflower
120,Cameroon,58,0,0,0,0,0,sunflower
768,Togo,59,0,0,0,0,0,sunflower
288,Ghana,60,0,0,0,0,0,sunflower
384,Ivory Coast,61,0,0,0,0,0,sunflower
324,Guinea,62,0,0,0,0,0,sunflower
624,Guinea-Bissau,63,0,0,0,0,0,sunflower
430,Liberia,64,0,0,0,0,0,sunflower
694,Sierra Leone,65,0,0,0,0,0,sunflower
854,Burkina Faso,66,0,0,0,0,0,sunflower
140,Central African Republic,67,5.68901064991951,0,0,0,0,sunflower
178,Republic of the Congo,68,0.953221470117569,0,0,0,0,sunflower
266,Gabon,69,0,0,0,0,0,sunflower
226,Equatorial Guinea,70,0,0,0,0,0,sunflower
894,Zambia,71,7953.995795084251,50450.62000000002,155387909600.00006,13520766160.000006,6205426260.000003,sunflower
454,Malawi,72,2560.3546351627447,25000,77000000000,6700000000,3075000000,sunflower
508,Mozambique,73,13617.17586920783,14999.999999999989,46199999999.99996,4019999999.999997,1844999999.9999986,sunflower
748,eSwatini,74,3855.7912202477455,0,0,0,0,sunflower
024,Angola,75,9961.898705320666,12122.500000000004,37337300000.00001,3248830000.000001,1491067500.0000005,sunflower
108,Burundi,76,67.54093670845032,0,0,0,0,sunflower
376,Israel,77,5709.9402639865875,4999.999999999999,15399999999.999998,1339999999.9999998,615000000,sunflower
422,Lebanon,78,194.8596548512578,0,0,0,0,sunflower
450,Madagascar,79,0,0,0,0,0,sunflower
275,Israel,80,2957.4097740650177,0.7399999999999999,2279199.9999999995,198319.99999999997,91020,sunflower
270,Gambia,81,0,0,0,0,0,sunflower
788,Tunisia,82,8945.778954098583,6639.089999999998,20448397199.999996,1779276119.9999998,816608069.9999999,sunflower
012,Algeria,83,76.79533401655499,86.46000000000006,266296800.0000002,23171280.00000002,10634580.00000001,sunflower
400,Jordan,84,1.7486803531646729,0,0,0,0,sunflower
