ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,sweetpotato
834,United Republic of Tanzania,2,921099.1153070927,3999999.9999999856,3679999999999.987,7999999999.999971,27999999999.999897,sweetpotato
732,Western Sahara,3,0,0,0,0,0,sweetpotato
124,Canada,4,0,0,0,0,0,sweetpotato
840,United States of America,5,613543.783514682,1366583.0000000023,1257256360000.0022,2733166000.000005,9566081000.000015,sweetpotato
398,Kazakhstan,6,1233.8283077180386,0,0,0,0,sweetpotato
860,Uzbekistan,7,0,0,0,0,0,sweetpotato
598,Papua New Guinea,8,500651.10606622696,710950.6099999989,654074561199.999,1421901219.999998,4976654269.999992,sweetpotato
360,Indonesia,9,1547519.3624961674,1603999.9999999972,1475679999999.9973,3207999999.9999943,11227999999.999979,sweetpotato
032,Argentina,10,258515.19023385522,125000.00000000019,115000000000.00018,250000000.0000004,875000000.0000013,sweetpotato
152,Chile,11,7524.3458154319405,15124.810000000007,13914825200.000006,30249620.000000015,105873670.00000003,sweetpotato
180,Democratic Republic of the Congo,12,275322.9756863378,558366.9999999999,513697639999.99994,1116733999.9999998,3908568999.999999,sweetpotato
706,Somalia,13,278.0862010717392,8668.21,7974753199.999999,17336419.999999996,60677469.999999985,sweetpotato
404,Kenya,14,389675.32424096065,685687.4399999978,630832444799.9979,1371374879.9999957,4799812079.999985,sweetpotato
729,Sudan,15,4501.640460618073,0,0,0,0,sweetpotato
148,Chad,16,58539.39572118223,206242.9999999998,189743559999.99982,412485999.9999996,1443700999.9999983,sweetpotato
332,Haiti,17,165937.94905376434,100982.00000000003,92903440000.00002,201964000.00000006,706874000.0000001,sweetpotato
214,Dominican Republic,18,33967.03147095442,57141.780000000006,52570437600.00001,114283560.00000003,399992460.00000006,sweetpotato
643,Russia,19,3700.3162194490433,0,0,0,0,sweetpotato
044,The Bahamas,20,0,0,0,0,0,sweetpotato
238,United Kingdom,21,0,0,0,0,0,sweetpotato
578,Norway,22,0,0,0,0,0,sweetpotato
304,Denmark,23,0,0,0,0,0,sweetpotato
260,France,24,0,0,0,0,0,sweetpotato
626,East Timor,25,18499.90567970276,5688,5232960000,11376000,39816000,sweetpotato
710,South Africa,26,52274.70252936287,84120.0000000001,77390400000.00009,168240000.00000024,588840000.0000007,sweetpotato
426,Lesotho,27,31.30807428061962,0,0,0,0,sweetpotato
484,Mexico,28,47813.92761189217,75396.19000000032,69364494800.00029,150792380.00000066,527773330.0000022,sweetpotato
858,Uruguay,29,53498.68824444339,81544.41000000003,75020857200.00003,163088820.0000001,570810870.0000002,sweetpotato
076,Brazil,30,480364.8463585139,849397.0000000017,781445240000.0016,1698794000.0000036,5945779000.000011,sweetpotato
068,Bolivia,31,13705.562137661735,4506.999999999997,4146439999.999997,9013999.999999994,31548999.999999978,sweetpotato
604,Peru,32,227741.4315178441,243157.46000000025,223704863200.0002,486314920.0000005,1702102220.0000017,sweetpotato
170,Colombia,33,91.00466626420143,0,0,0,0,sweetpotato
591,Panama,34,0,0,0,0,0,sweetpotato
188,Costa Rica,35,0,0,0,0,0,sweetpotato
558,Nicaragua,36,11.809757094830275,0,0,0,0,sweetpotato
340,Honduras,37,1961.138685291633,21838.26999999997,20091208399.999973,43676539.99999994,152867889.9999998,sweetpotato
222,El Salvador,38,522.7245857939124,751.2400000000007,691140800.0000006,1502480.0000000014,5258680.000000005,sweetpotato
320,Guatemala,39,45.673287466168404,186.79,171846800,373580,1307530,sweetpotato
084,Belize,40,187.6569112278521,135.99999999999991,125119999.99999991,271999.9999999998,951999.9999999993,sweetpotato
862,Venezuela,41,12178.377422894755,19645.659999999996,18074007199.999996,39291319.99999999,137519619.99999997,sweetpotato
328,Guyana,42,679.4089404242113,20255.16000000004,18634747200.000034,40510320.00000008,141786120.00000027,sweetpotato
740,Suriname,43,216.94680596329272,590.9999999999991,543719999.9999992,1181999.9999999981,4136999.999999993,sweetpotato
250,France,44,15.301674082875252,0,0,0,0,sweetpotato
218,Ecuador,45,3149.605297700542,4163.579999999999,3830493599.9999995,8327159.999999999,29145059.999999993,sweetpotato
630,United States of America,46,2488.3559231758118,489.10999999999996,449981200,978220,3423770,sweetpotato
388,Jamaica,47,22874.467210769653,49971.999999999985,45974239999.99999,99943999.99999999,349803999.9999999,sweetpotato
192,Cuba,48,317417.3217343092,302581.2000000001,278374704000.0001,605162400.0000004,2118068400.000001,sweetpotato
716,Zimbabwe,49,2195.263191599399,60257.539999999964,55436936799.99997,120515079.99999994,421802779.9999997,sweetpotato
072,Botswana,50,37.28794080670923,0,0,0,0,sweetpotato
516,Namibia,51,1326.0108815487474,0,0,0,0,sweetpotato
686,Senegal,52,802.0326407365501,89729.99999999996,82551599999.99995,179459999.9999999,628109999.9999996,sweetpotato
466,Mali,53,37110.120203220285,573183.9000000011,527329188000.001,1146367800.0000021,4012287300.000007,sweetpotato
478,Mauritania,54,2231.1417758637253,5266.05,4844766000,10532100,36862350,sweetpotato
204,Benin,55,48560.622156500816,56923.48999999997,52369610799.99997,113846979.99999994,398464429.9999997,sweetpotato
562,Niger,56,35985.11736313254,209863.84000000026,193074732800.00024,419727680.00000054,1469046880.0000017,sweetpotato
566,Nigeria,57,1987956.1303188652,4014766.779999991,3693585437599.9917,8029533559.999982,28103367459.999935,sweetpotato
120,Cameroon,58,147124.79962298274,517281.2999999999,475898795999.99994,1034562599.9999999,3620969099.999999,sweetpotato
768,Togo,59,4138.568478967994,9303.000000000002,8558760000.000001,18606000.000000004,65121000.00000001,sweetpotato
288,Ghana,60,82619.1401406154,143393.21000000028,131921753200.00026,286786420.0000006,1003752470.0000019,sweetpotato
384,Ivory Coast,61,48842.98634941876,57982.99999999987,53344359999.99988,115965999.99999975,405880999.99999905,sweetpotato
324,Guinea,62,104305.99061813112,322066.0000000001,296300720000.00006,644132000.0000002,2254462000.0000005,sweetpotato
624,Guinea-Bissau,63,786.6062244176865,0,0,0,0,sweetpotato
430,Liberia,64,15467.309705734253,24202.550000000007,22266346000.000004,48405100.000000015,169417850.00000003,sweetpotato
694,Sierra Leone,65,30776.269401550293,195015.99999999997,179414719999.99997,390032000,1365111999.9999998,sweetpotato
854,Burkina Faso,66,21315.690139738377,126558.99999999994,116434279999.99995,253117999.9999999,885912999.9999996,sweetpotato
140,Central African Republic,67,1689.6798419430852,0,0,0,0,sweetpotato
178,Republic of the Congo,68,7947.09136672318,9204.369999999999,8468020399.999999,18408739.999999996,64430589.999999985,sweetpotato
266,Gabon,69,4001.40423476696,3951.359999999997,3635251199.999997,7902719.999999994,27659519.999999978,sweetpotato
226,Equatorial Guinea,70,27207.554656982422,102380.11,94189701200,204760220,716660770,sweetpotato
894,Zambia,71,44555.33278545365,144706.30999999994,133129805199.99994,289412619.9999999,1012944169.9999994,sweetpotato
454,Malawi,72,6536.076826520264,0,0,0,0,sweetpotato
508,Mozambique,73,66901.26898534968,448633.0000000004,412742360000.00037,897266000.0000008,3140431000.0000024,sweetpotato
