ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,tangetc
834,United Republic of Tanzania,2,0.024415334220975637,0,0,0,0,tangetc
732,Western Sahara,3,0,0,0,0,0,tangetc
124,Canada,4,48.88982144463807,0,0,0,0,tangetc
840,United States of America,5,551477.8327028082,856379.9999999986,274041599999.99954,856379999.9999986,4281899999.999993,tangetc
398,Kazakhstan,6,2471.164086803794,0,0,0,0,tangetc
860,Uzbekistan,7,448.5301371644018,1353.8800000000024,433241600.0000008,1353880.0000000026,6769400.000000012,tangetc
598,Papua New Guinea,8,0,0,0,0,0,tangetc
360,Indonesia,9,0,0,0,0,0,tangetc
032,Argentina,10,406262.5305222077,420000.00000000105,134400000000.00034,420000000.0000011,2100000000.0000052,tangetc
152,Chile,11,3.6281195133924484,207131.54,66282092800,207131540,1035657700,tangetc
180,Democratic Republic of the Congo,12,79.06680811103433,0,0,0,0,tangetc
706,Somalia,13,0.02270110324025154,0,0,0,0,tangetc
404,Kenya,14,13.235668764449656,20090.420000000002,6428934400.000001,20090420.000000004,100452100.00000001,tangetc
729,Sudan,15,801.9648715581861,0,0,0,0,tangetc
148,Chad,16,1.4038508012890816,0,0,0,0,tangetc
332,Haiti,17,7533.160587370396,19970.210000000003,6390467200.000001,19970210.000000004,99851050.00000001,tangetc
214,Dominican Republic,18,42.54261589050293,0,0,0,0,tangetc
643,Russia,19,3739.9354798980057,0,0,0,0,tangetc
044,The Bahamas,20,0,0,0,0,0,tangetc
238,United Kingdom,21,0,0,0,0,0,tangetc
578,Norway,22,0,0,0,0,0,tangetc
304,Denmark,23,0,0,0,0,0,tangetc
260,France,24,0,0,0,0,0,tangetc
626,East Timor,25,0,0,0,0,0,tangetc
710,South Africa,26,106266.99893250316,460999.9999999994,147519999999.99982,460999999.99999946,2304999999.999997,tangetc
426,Lesotho,27,71.11080551147461,0,0,0,0,tangetc
484,Mexico,28,318193.78969299106,530367.5300000019,169717609600.0006,530367530.0000019,2651837650.0000095,tangetc
858,Uruguay,29,70178.63538511842,77800.00000000001,24896000000.000004,77800000.00000001,389000000.00000006,tangetc
076,Brazil,30,987911.4575789233,1027518.0000000014,328805760000.0004,1027518000.0000014,5137590000.000007,tangetc
068,Bolivia,31,58117.32616172079,237812.00000000017,76099840000.00006,237812000.0000002,1189060000.000001,tangetc
604,Peru,32,118036.68775009736,526142.0600000006,168365459200.0002,526142060.0000007,2630710300.0000033,tangetc
170,Colombia,33,25728.667204706853,183480.99999999985,58713919999.999954,183480999.99999988,917404999.9999993,tangetc
591,Panama,34,0.02975226566195488,0,0,0,0,tangetc
188,Costa Rica,35,0,0,0,0,0,tangetc
558,Nicaragua,36,0,0,0,0,0,tangetc
340,Honduras,37,31.164313793182373,0,0,0,0,tangetc
222,El Salvador,38,2878.117178365588,17121.689999999984,5478940799.999995,17121689.999999985,85608449.99999993,tangetc
320,Guatemala,39,51.18594169616699,0,0,0,0,tangetc
084,Belize,40,0,0,0,0,0,tangetc
862,Venezuela,41,182888.56892752514,163481.00000000023,52313920000.00008,163481000.00000024,817405000.0000012,tangetc
328,Guyana,42,5.167778268456459,0,0,0,0,tangetc
740,Suriname,43,1.5520992949604988,0,0,0,0,tangetc
250,France,44,23627.275379806757,45059.999999999876,14419199999.99996,45059999.99999988,225299999.99999937,tangetc
218,Ecuador,45,24794.841224131058,26876.75000000006,8600560000.00002,26876750.00000006,134383750.0000003,tangetc
630,United States of America,46,0,0,0,0,0,tangetc
388,Jamaica,47,14439.156145095825,3731.9999999999986,1194239999.9999995,3731999.9999999986,18659999.999999993,tangetc
192,Cuba,48,23182.479445774108,17882.000000000025,5722240000.000009,17882000.000000026,89410000.00000013,tangetc
716,Zimbabwe,49,7792.5994418291375,13515.760000000042,4325043200.000013,13515760.000000043,67578800.00000021,tangetc
072,Botswana,50,82.69347315654159,0,0,0,0,tangetc
