ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,taro
834,United Republic of Tanzania,2,1302.4187823534012,0,0,0,0,taro
732,Western Sahara,3,0,0,0,0,0,taro
124,Canada,4,0,0,0,0,0,taro
840,United States of America,5,0,0,0,0,0,taro
398,Kazakhstan,6,465.80993032827973,0,0,0,0,taro
860,Uzbekistan,7,0,0,0,0,0,taro
598,Papua New Guinea,8,213294.0012331158,275745.2100000001,237140880600.0001,551490420.0000002,4136178150.0000014,taro
360,Indonesia,9,982.3378448486328,0,0,0,0,taro
032,Argentina,10,0,0,0,0,0,taro
152,Chile,11,0,0,0,0,0,taro
180,Democratic Republic of the Congo,12,75738.98735368904,69148.55999999997,59467761599.99997,138297119.99999994,1037228399.9999995,taro
706,Somalia,13,0,0,0,0,0,taro
404,Kenya,14,0,0,0,0,0,taro
729,Sudan,15,99.51420690119267,0,0,0,0,taro
148,Chad,16,19551.70159092266,24855.999999999978,21376159999.99998,49711999.99999996,372839999.9999997,taro
332,Haiti,17,0,0,0,0,0,taro
214,Dominican Republic,18,0,0,0,0,0,taro
643,Russia,19,703.7601852715015,0,0,0,0,taro
044,The Bahamas,20,0,0,0,0,0,taro
238,United Kingdom,21,0,0,0,0,0,taro
578,Norway,22,0,0,0,0,0,taro
304,Denmark,23,0,0,0,0,0,taro
260,France,24,0,0,0,0,0,taro
626,East Timor,25,0,0,0,0,0,taro
710,South Africa,26,0,0,0,0,0,taro
426,Lesotho,27,0,0,0,0,0,taro
484,Mexico,28,0,0,0,0,0,taro
858,Uruguay,29,0,0,0,0,0,taro
076,Brazil,30,21.205934862606227,0,0,0,0,taro
068,Bolivia,31,0,0,0,0,0,taro
604,Peru,32,0,0,0,0,0,taro
170,Colombia,33,0,0,0,0,0,taro
591,Panama,34,0,0,0,0,0,taro
188,Costa Rica,35,0,0,0,0,0,taro
558,Nicaragua,36,0,0,0,0,0,taro
340,Honduras,37,0,0,0,0,0,taro
222,El Salvador,38,0,0,0,0,0,taro
320,Guatemala,39,0,0,0,0,0,taro
084,Belize,40,0,0,0,0,0,taro
862,Venezuela,41,0.6316674649715424,0,0,0,0,taro
328,Guyana,42,1673.3399291858077,9219.750000000016,7928985000.000014,18439500.000000034,138296250.00000024,taro
740,Suriname,43,43.455997586250305,0,0,0,0,taro
250,France,44,3855.946820873767,0,0,0,0,taro
218,Ecuador,45,0,0,0,0,0,taro
630,United States of America,46,0,0,0,0,0,taro
388,Jamaica,47,0,0,0,0,0,taro
192,Cuba,48,0,0,0,0,0,taro
716,Zimbabwe,49,0,0,0,0,0,taro
072,Botswana,50,0,0,0,0,0,taro
516,Namibia,51,0,0,0,0,0,taro
686,Senegal,52,12.83521341450978,0,0,0,0,taro
466,Mali,53,7558.032048065215,0,0,0,0,taro
478,Mauritania,54,0,0,0,0,0,taro
204,Benin,55,2673.357469462673,1836.9699999999984,1579794199.9999988,3673939.999999997,27554549.999999978,taro
562,Niger,56,2210.1663723194506,0,0,0,0,taro
566,Nigeria,57,2597832.0040984964,7867170,6765766200000,15734340000,118007550000,taro
120,Cameroon,58,818273.6164548367,1683770.8000000003,1448042888000.0002,3367541600.0000005,25256562000.000004,taro
768,Togo,59,23030.578707754612,18795.000000000007,16163700000.000006,37590000.000000015,281925000.0000001,taro
288,Ghana,60,1677623.5712263584,1596000,1372560000000,3192000000,23940000000,taro
384,Ivory Coast,61,356343.6016651392,89163,76680180000,178326000,1337445000,taro
324,Guinea,62,24032.05550368782,117529.00000000025,101074940000.0002,235058000.00000048,1762935000.0000036,taro
624,Guinea-Bissau,63,351.7116600871086,0,0,0,0,taro
430,Liberia,64,17956.98427823186,27671.33999999999,23797352399.99999,55342679.99999998,415070099.9999998,taro
694,Sierra Leone,65,2645.9005753546953,2925.4699999999984,2515904199.9999986,5850939.999999997,43882049.99999998,taro
854,Burkina Faso,66,864.237627350114,0,0,0,0,taro
140,Central African Republic,67,87163.8319087387,138603.9700000001,119199414200.00008,277207940.0000002,2079059550.0000014,taro
178,Republic of the Congo,68,6676.230465203524,0,0,0,0,taro
266,Gabon,69,50446.25386428833,89251.47999999997,76756272799.99997,178502959.99999994,1338772199.9999995,taro
226,Equatorial Guinea,70,0,0,0,0,0,taro
894,Zambia,71,445.0201850067824,0,0,0,0,taro
454,Malawi,72,0,0,0,0,0,taro
508,Mozambique,73,0,0,0,0,0,taro
748,eSwatini,74,0,0,0,0,0,taro
024,Angola,75,490.0497637325898,0,0,0,0,taro
108,Burundi,76,75704.42346143723,103477.25999999995,88990443599.99995,206954519.9999999,1552158899.9999993,taro
376,Israel,77,85.0579532571137,0,0,0,0,taro
422,Lebanon,78,970.8398750126362,739.9999999999998,636399999.9999999,1479999.9999999998,11099999.999999996,taro
450,Madagascar,79,173302.8378996253,229942.08000000037,197750188800.00034,459884160.0000008,3449131200.0000057,taro
275,Israel,80,41.451901303604245,15.310000000000002,13166600.000000002,30620.000000000007,229650.00000000006,taro
270,Gambia,81,0,0,0,0,0,taro
788,Tunisia,82,0,0,0,0,0,taro
012,Algeria,83,0,0,0,0,0,taro
400,Jordan,84,0,0,0,0,0,taro
784,United Arab Emirates,85,0,0,0,0,0,taro
634,Qatar,86,0,0,0,0,0,taro
414,Kuwait,87,0,0,0,0,0,taro
368,Iraq,88,0.23921208386309445,0,0,0,0,taro
512,Oman,89,0,0,0,0,0,taro
548,Vanuatu,90,0,0,0,0,0,taro
116,Cambodia,91,173.03939390182495,0,0,0,0,taro
764,Thailand,92,57546.385072677396,102718.04000000036,88337514400.0003,205436080.00000072,1540770600.0000052,taro
418,Laos,93,305.3809270709753,0,0,0,0,taro
104,Myanmar,94,511.68474547564983,0,0,0,0,taro
704,Vietnam,95,601.8064044713974,0,0,0,0,taro
408,North Korea,96,445.8652226924896,0,0,0,0,taro
410,South Korea,97,0,0,0,0,0,taro
496,Mongolia,98,22.88666252186522,0,0,0,0,taro
356,India,99,46.66913405805826,0,0,0,0,taro
050,Bangladesh,100,0,0,0,0,0,taro
064,Bhutan,101,5.904528763145208,0,0,0,0,taro
524,Nepal,102,41.553069119225256,0,0,0,0,taro
586,Pakistan,103,2.8988264203071594,0,0,0,0,taro
004,Afghanistan,104,1.0932223200798035,0,0,0,0,taro
762,Tajikistan,105,0.8141229152679443,0,0,0,0,taro
417,Kyrgyzstan,106,3.6223874539136887,0,0,0,0,taro
795,Turkmenistan,107,0,0,0,0,0,taro
364,Iran,108,0.24939466058276594,0,0,0,0,taro
760,Syria,109,90.84434250928462,0,0,0,0,taro
051,Armenia,110,0.11565840989351273,0,0,0,0,taro
752,Sweden,111,0,0,0,0,0,taro
112,Belarus,112,0,0,0,0,0,taro
804,Ukraine,113,0,0,0,0,0,taro
616,Poland,114,0,0,0,0,0,taro
040,Austria,115,0,0,0,0,0,taro
348,Hungary,116,0,0,0,0,0,taro
498,Moldova,117,0,0,0,0,0,taro
642,Romania,118,0,0,0,0,0,taro
440,Lithuania,119,0,0,0,0,0,taro
428,Latvia,120,0,0,0,0,0,taro
233,Estonia,121,0,0,0,0,0,taro
276,Germany,122,0,0,0,0,0,taro
100,Bulgaria,123,0.4054954566527158,0,0,0,0,taro
300,Greece,124,100.0371579373168,0,0,0,0,taro
792,Turkey,125,377.6024973569438,0,0,0,0,taro
008,Albania,126,0.9869344532489777,0,0,0,0,taro
191,Croatia,127,0,0,0,0,0,taro
756,Switzerland,128,0.5792908659204841,0,0,0,0,taro
442,Luxembourg,129,0,0,0,0,0,taro
056,Belgium,130,0,0,0,0,0,taro
528,Netherlands,131,0,0,0,0,0,taro
620,Portugal,132,2790.6378141772,0,0,0,0,taro
724,Spain,133,1275.4837162924814,0,0,0,0,taro
372,Ireland,134,0,0,0,0,0,taro
540,France,135,0,0,0,0,0,taro
090,Solomon Islands,136,0,0,0,0,0,taro
554,New Zealand,137,0,0,0,0,0,taro
036,Australia,138,0,0,0,0,0,taro
144,Sri Lanka,139,0,0,0,0,0,taro
156,China,140,1513049.2322905096,1903447.7399999825,1636965056399.9849,3806895479.999965,28551716099.999737,taro
158,Taiwan,141,35372.86912402511,38357.40999999999,32987372599.99999,76714819.99999999,575361149.9999998,taro
380,Italy,142,994.8079573982977,0,0,0,0,taro
208,Denmark,143,0,0,0,0,0,taro
826,United Kingdom,144,0,0,0,0,0,taro
352,Iceland,145,0,0,0,0,0,taro
031,Azerbaijan,146,0,0,0,0,0,taro
268,Georgia,147,0.11107048951089382,0,0,0,0,taro
608,Philippines,148,83925.12620693445,107422.17999999998,92383074799.99998,214844359.99999997,1611332699.9999995,taro
458,Malaysia,149,50.74114257097244,0,0,0,0,taro
096,Brunei,150,0,0,0,0,0,taro
705,Slovenia,151,0,0,0,0,0,taro
246,Finland,152,0,0,0,0,0,taro
703,Slovakia,153,0,0,0,0,0,taro
203,Czechia,154,0,0,0,0,0,taro
232,Eritrea,155,0,0,0,0,0,taro
392,Japan,156,208638.54078680277,139500.00000000015,119970000000.00012,279000000.0000003,2092500000.0000021,taro
600,Paraguay,157,0,0,0,0,0,taro
887,Yemen,158,0,0,0,0,0,taro
682,Saudi Arabia,159,0,0,0,0,0,taro
010,Antarctica,160,0,0,0,0,0,taro
-99,Northern Cyprus,161,1390.1128540039062,0,0,0,0,taro
196,Cyprus,162,1312.0597186088562,0,0,0,0,taro
504,Morocco,163,0,0,0,0,0,taro
