ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,NA,NA,NA,tobacco
834,United Republic of Tanzania,2,30143.533646270633,0,NA,NA,NA,tobacco
732,Western Sahara,3,0,0,NA,NA,NA,tobacco
124,Canada,4,60928.52891096218,0,NA,NA,NA,tobacco
840,United States of America,5,533691.815371452,0,NA,NA,NA,tobacco
398,Kazakhstan,6,10735.621799200368,0,NA,NA,NA,tobacco
860,Uzbekistan,7,20252.257503281347,0,NA,NA,NA,tobacco
598,Papua New Guinea,8,0,0,NA,NA,NA,tobacco
360,Indonesia,9,152352.82854001038,0,NA,NA,NA,tobacco
032,Argentina,10,108082.70301762005,0,NA,NA,NA,tobacco
152,Chile,11,9567.00352865472,0,NA,NA,NA,tobacco
180,Democratic Republic of the Congo,12,3935.6357287317514,0,NA,NA,NA,tobacco
706,Somalia,13,10.573306001722813,0,NA,NA,NA,tobacco
404,Kenya,14,18003.478723678738,0,NA,NA,NA,tobacco
729,Sudan,15,5.348844561493024,0,NA,NA,NA,tobacco
148,Chad,16,171.8346827591813,0,NA,NA,NA,tobacco
332,Haiti,17,1011.7467016093433,0,NA,NA,NA,tobacco
214,Dominican Republic,18,20583.623343735933,0,NA,NA,NA,tobacco
643,Russia,19,1773.8653908554493,0,NA,NA,NA,tobacco
044,The Bahamas,20,0,0,NA,NA,NA,tobacco
238,United Kingdom,21,0,0,NA,NA,NA,tobacco
578,Norway,22,0,0,NA,NA,NA,tobacco
304,Denmark,23,0,0,NA,NA,NA,tobacco
260,France,24,0,0,NA,NA,NA,tobacco
626,East Timor,25,5.16827130317688,0,NA,NA,NA,tobacco
710,South Africa,26,33242.079955234425,0,NA,NA,NA,tobacco
426,Lesotho,27,0,0,NA,NA,NA,tobacco
484,Mexico,28,37106.314043933526,0,NA,NA,NA,tobacco
858,Uruguay,29,2440.8544599642046,0,NA,NA,NA,tobacco
076,Brazil,30,589050.3831135969,0,NA,NA,NA,tobacco
068,Bolivia,31,960.4671353015437,0,NA,NA,NA,tobacco
604,Peru,32,12670.696876496142,0,NA,NA,NA,tobacco
170,Colombia,33,27340.153761965958,0,NA,NA,NA,tobacco
591,Panama,34,1990.1149274166673,0,NA,NA,NA,tobacco
188,Costa Rica,35,289.3915401501581,0,NA,NA,NA,tobacco
558,Nicaragua,36,2206.9607294900343,0,NA,NA,NA,tobacco
340,Honduras,37,6344.660860277712,0,NA,NA,NA,tobacco
222,El Salvador,38,981.509314071387,0,NA,NA,NA,tobacco
320,Guatemala,39,19359.821843661368,0,NA,NA,NA,tobacco
084,Belize,40,1.6828114986419678,0,NA,NA,NA,tobacco
862,Venezuela,41,9136.162016349072,0,NA,NA,NA,tobacco
328,Guyana,42,74.2719007586129,0,NA,NA,NA,tobacco
740,Suriname,43,0.08785743126645684,0,NA,NA,NA,tobacco
250,France,44,24079.448712741956,0,NA,NA,NA,tobacco
218,Ecuador,45,5885.682007833282,0,NA,NA,NA,tobacco
630,United States of America,46,1.9088982595130801,0,NA,NA,NA,tobacco
388,Jamaica,47,1730.5367265343666,0,NA,NA,NA,tobacco
192,Cuba,48,32516.962922498584,0,NA,NA,NA,tobacco
716,Zimbabwe,49,175073.3929387927,0,NA,NA,NA,tobacco
072,Botswana,50,832.436238319031,0,NA,NA,NA,tobacco
516,Namibia,51,13.784181349445134,0,NA,NA,NA,tobacco
686,Senegal,52,0,0,NA,NA,NA,tobacco
466,Mali,53,353.7044999226928,0,NA,NA,NA,tobacco
478,Mauritania,54,0,0,NA,NA,NA,tobacco
204,Benin,55,500.81235487014055,0,NA,NA,NA,tobacco
562,Niger,56,1871.2392754550092,0,NA,NA,NA,tobacco
566,Nigeria,57,7071.385317618027,0,NA,NA,NA,tobacco
120,Cameroon,58,2808.499068083591,0,NA,NA,NA,tobacco
768,Togo,59,1832.5770506374538,0,NA,NA,NA,tobacco
288,Ghana,60,1575.5102847982198,0,NA,NA,NA,tobacco
384,Ivory Coast,61,10499.579900104553,0,NA,NA,NA,tobacco
