ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,tomato
834,United Republic of Tanzania,2,125722.15903713554,464993.3800000009,79048874600.00015,929986760.0000018,3719947040.000007,tomato
732,Western Sahara,3,0,0,0,0,0,tomato
124,Canada,4,672435.4309823986,492071.9999999999,83652239999.99998,984143999.9999999,3936575999.9999995,tomato
840,United States of America,5,11108865.379764294,10939108.999999963,1859648529999.9937,21878217999.999928,87512871999.99971,tomato
398,Kazakhstan,6,321435.79980533617,788760.250000001,134089242500.00018,1577520500.0000021,6310082000.000009,tomato
860,Uzbekistan,7,1027419.5360870361,1928508,327846360000,3857016000,15428064000,tomato
598,Papua New Guinea,8,332.6633370103664,542.2299999999996,92179099.99999993,1084459.999999999,4337839.999999996,tomato
360,Indonesia,9,505411.699575454,1084993.440000002,184448884800.00037,2169986880.0000043,8679947520.000017,tomato
032,Argentina,10,544170.7838832438,1221000.000000005,207570000000.00085,2442000000.00001,9768000000.00004,tomato
152,Chile,11,1207283.577537681,800330.769999999,136056230899.99982,1600661539.999998,6402646159.999992,tomato
180,Democratic Republic of the Congo,12,39275.40776136238,50366.88999999976,8562371299.99996,100733779.99999952,402935119.9999981,tomato
706,Somalia,13,151.6965064406395,23850.669999999995,4054613899.999999,47701339.99999999,190805359.99999997,tomato
404,Kenya,14,260640.9950620532,1046181.2200000011,177850807400.00018,2092362440.0000024,8369449760.00001,tomato
729,Sudan,15,437106.03316264413,0,0,0,0,tomato
148,Chad,16,5627.645524251624,0,0,0,0,tomato
332,Haiti,17,9482.009568557143,2361.2599999999993,401414199.9999999,4722519.999999999,18890079.999999996,tomato
214,Dominican Republic,18,226110.95365428925,27979.72000000003,4756552400.000005,55959440.00000006,223837760.00000024,tomato
643,Russia,19,1876724.9746908792,2975587.7000000062,505849909000.00104,5951175400.000012,23804701600.00005,tomato
044,The Bahamas,20,0,0,0,0,0,tomato
238,United Kingdom,21,0,0,0,0,0,tomato
578,Norway,22,4743.228842817543,14238.99999999999,2420629999.9999986,28477999.999999985,113911999.99999994,tomato
304,Denmark,23,0,0,0,0,0,tomato
260,France,24,0,0,0,0,0,tomato
626,East Timor,25,158.55527526140213,584.8299999999999,99421099.99999999,1169659.9999999998,4678639.999999999,tomato
710,South Africa,26,500713.01602520444,599305.9999999965,101882019999.9994,1198611999.999993,4794447999.999972,tomato
426,Lesotho,27,1.7241926603019238,0,0,0,0,tomato
484,Mexico,28,2174027.1546822153,4137341.8499999903,703348114499.9983,8274683699.999981,33098734799.999924,tomato
858,Uruguay,29,42292.08675061393,36037.979999999996,6126456599.999999,72075959.99999999,288303839.99999994,tomato
076,Brazil,30,3161410.8721478535,3757078.000000014,638703260000.0023,7514156000.000028,30056624000.00011,tomato
068,Bolivia,31,107110.36956825899,73514.99999999991,12497549999.999987,147029999.99999985,588119999.9999994,tomato
604,Peru,32,141630.48330542893,204051.99999999983,34688839999.99997,408103999.9999997,1632415999.9999988,tomato
170,Colombia,33,335690.24952955695,823300.0000000008,139961000000.00015,1646600000.000002,6586400000.000008,tomato
591,Panama,34,18125.142880972475,25076.000000000004,4262920000.0000005,50152000.00000001,200608000.00000003,tomato
188,Costa Rica,35,31777.99192392826,48905.09000000003,8313865300.000006,97810180.00000007,391240720.0000003,tomato
558,Nicaragua,36,4733.973474048078,86290.00000000007,14669300000.000011,172580000.00000015,690320000.0000006,tomato
340,Honduras,37,48065.32709944248,79419.83000000005,13501371100.000008,158839660.0000001,635358640.0000004,tomato
222,El Salvador,38,20755.502373993397,23359.200000000015,3971064000.0000024,46718400.00000003,186873600.00000012,tomato
320,Guatemala,39,131878.60321128368,421251.00000000093,71612670000.00017,842502000.0000019,3370008000.0000076,tomato
084,Belize,40,1251.4621155969799,1320.0000000000007,224400000.00000012,2640000.000000002,10560000.000000007,tomato
862,Venezuela,41,211399.65326746926,184978.89000000025,31446411300.000042,369957780.0000005,1479831120.000002,tomato
328,Guyana,42,2445.174125192687,27345.620000000003,4648755400,54691240,218764960,tomato
740,Suriname,43,1036.0165459141135,874,148580000,1748000,6992000,tomato
250,France,44,836438.3242928125,703590.0000000009,119610300000.00017,1407180000.000002,5628720000.000008,tomato
218,Ecuador,45,57379.621491006576,38438.37999999999,6534524599.999998,76876759.99999999,307507039.99999994,tomato
