ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,triticale
834,United Republic of Tanzania,2,0,0,0,0,0,triticale
732,Western Sahara,3,0,0,0,0,0,triticale
124,Canada,4,58803.51848874593,42999.999999999905,140609999999.9997,902999999.9999981,4987999999.999989,triticale
840,United States of America,5,7572.82516604563,0,0,0,0,triticale
398,Kazakhstan,6,29.580538899987005,0,0,0,0,triticale
860,Uzbekistan,7,0,0,0,0,0,triticale
598,Papua New Guinea,8,0,0,0,0,0,triticale
360,Indonesia,9,0,0,0,0,0,triticale
032,Argentina,10,11.011034995317459,0,0,0,0,triticale
152,Chile,11,2.3412241712212563,92863,303662010000,1950123000,10772108000,triticale
180,Democratic Republic of the Congo,12,0,0,0,0,0,triticale
706,Somalia,13,0,0,0,0,0,triticale
404,Kenya,14,0,0,0,0,0,triticale
729,Sudan,15,0,0,0,0,0,triticale
148,Chad,16,0,0,0,0,0,triticale
332,Haiti,17,0,0,0,0,0,triticale
214,Dominican Republic,18,0,0,0,0,0,triticale
643,Russia,19,7433.777816006502,310454.99999999994,1015187849999.9999,6519554999.999999,36012779999.99999,triticale
044,The Bahamas,20,0,0,0,0,0,triticale
238,United Kingdom,21,0,0,0,0,0,triticale
578,Norway,22,1535.903773698398,0,0,0,0,triticale
304,Denmark,23,0,0,0,0,0,triticale
260,France,24,0,0,0,0,0,triticale
626,East Timor,25,0,0,0,0,0,triticale
710,South Africa,26,0,0,0,0,0,triticale
426,Lesotho,27,0,0,0,0,0,triticale
484,Mexico,28,1070.3706842572306,25301.419999999984,82735643399.99995,531329819.9999997,2934964719.999998,triticale
858,Uruguay,29,0,0,0,0,0,triticale
076,Brazil,30,57.071561734133866,38442.99999999999,125708609999.99998,807302999.9999999,4459387999.999999,triticale
068,Bolivia,31,37239.80664922204,0,0,0,0,triticale
604,Peru,32,27886.177471614443,0,0,0,0,triticale
170,Colombia,33,8.030006268996658,0,0,0,0,triticale
591,Panama,34,0,0,0,0,0,triticale
188,Costa Rica,35,0,0,0,0,0,triticale
558,Nicaragua,36,0,0,0,0,0,triticale
340,Honduras,37,0,0,0,0,0,triticale
222,El Salvador,38,0,0,0,0,0,triticale
320,Guatemala,39,0,0,0,0,0,triticale
084,Belize,40,0,0,0,0,0,triticale
862,Venezuela,41,0,0,0,0,0,triticale
328,Guyana,42,0,0,0,0,0,triticale
740,Suriname,43,0,0,0,0,0,triticale
250,France,44,1177741.846050769,1206560.0000000016,3945451200000.0054,25337760000.00004,139960960000.00018,triticale
218,Ecuador,45,1155.2527170445555,0,0,0,0,triticale
630,United States of America,46,0,0,0,0,0,triticale
388,Jamaica,47,0,0,0,0,0,triticale
192,Cuba,48,0,0,0,0,0,triticale
716,Zimbabwe,49,0,0,0,0,0,triticale
072,Botswana,50,0,0,0,0,0,triticale
516,Namibia,51,0,0,0,0,0,triticale
686,Senegal,52,0,0,0,0,0,triticale
466,Mali,53,0,0,0,0,0,triticale
478,Mauritania,54,0,0,0,0,0,triticale
204,Benin,55,0,0,0,0,0,triticale
562,Niger,56,0,0,0,0,0,triticale
566,Nigeria,57,0,0,0,0,0,triticale
120,Cameroon,58,0,0,0,0,0,triticale
768,Togo,59,0,0,0,0,0,triticale
288,Ghana,60,0,0,0,0,0,triticale
384,Ivory Coast,61,0,0,0,0,0,triticale
324,Guinea,62,0,0,0,0,0,triticale
624,Guinea-Bissau,63,0,0,0,0,0,triticale
430,Liberia,64,0,0,0,0,0,triticale
694,Sierra Leone,65,0,0,0,0,0,triticale
854,Burkina Faso,66,0,0,0,0,0,triticale
140,Central African Republic,67,0,0,0,0,0,triticale
178,Republic of the Congo,68,0,0,0,0,0,triticale
266,Gabon,69,0,0,0,0,0,triticale
226,Equatorial Guinea,70,0,0,0,0,0,triticale
894,Zambia,71,0,0,0,0,0,triticale
454,Malawi,72,0,0,0,0,0,triticale
508,Mozambique,73,0,0,0,0,0,triticale
748,eSwatini,74,0,0,0,0,0,triticale
024,Angola,75,0,0,0,0,0,triticale
108,Burundi,76,0,0,0,0,0,triticale
376,Israel,77,402.30439100041986,0,0,0,0,triticale
422,Lebanon,78,774.8274374753237,0,0,0,0,triticale
450,Madagascar,79,0,0,0,0,0,triticale
275,Israel,80,179.15734159946442,0,0,0,0,triticale
270,Gambia,81,0,0,0,0,0,triticale
788,Tunisia,82,3805.762427374837,26000.000000000007,85020000000.00002,546000000.0000001,3016000000.0000005,triticale
012,Algeria,83,41.077964922529645,268.99999999999983,879629999.9999994,5648999.999999996,31203999.999999978,triticale
400,Jordan,84,91.56405960582197,0,0,0,0,triticale
784,United Arab Emirates,85,107.28691101074219,0,0,0,0,triticale
634,Qatar,86,0,0,0,0,0,triticale
414,Kuwait,87,0,0,0,0,0,triticale
368,Iraq,88,9.276918947696686,0,0,0,0,triticale
512,Oman,89,736.9120455980301,0,0,0,0,triticale
548,Vanuatu,90,0,0,0,0,0,triticale
116,Cambodia,91,0,0,0,0,0,triticale
764,Thailand,92,0,0,0,0,0,triticale
418,Laos,93,0.03413813188672066,0,0,0,0,triticale
104,Myanmar,94,53.89838352194056,0,0,0,0,triticale
704,Vietnam,95,84.47644391423091,0,0,0,0,triticale
408,North Korea,96,37.319453712552786,0,0,0,0,triticale
410,South Korea,97,0,0,0,0,0,triticale
496,Mongolia,98,0.28543878272830625,0,0,0,0,triticale
