ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,tropicalnes
834,United Republic of Tanzania,2,44961.22689046711,50758.18999999994,20810857899.999973,355307329.9999995,253790949.99999967,tropicalnes
732,Western Sahara,3,0,0,0,0,0,tropicalnes
124,Canada,4,0,0,0,0,0,tropicalnes
840,United States of America,5,0,0,0,0,0,tropicalnes
398,Kazakhstan,6,4.976519023044602,0,0,0,0,tropicalnes
860,Uzbekistan,7,0,0,0,0,0,tropicalnes
598,Papua New Guinea,8,1806.663229859667,3049.4200000000124,1250262200.000005,21345940.000000086,15247100.000000061,tropicalnes
360,Indonesia,9,1502341.0143166631,2228208.680000002,913565558800.0007,15597460760.000011,11141043400.00001,tropicalnes
032,Argentina,10,112.09990580799058,0,0,0,0,tropicalnes
152,Chile,11,0,0,0,0,0,tropicalnes
180,Democratic Republic of the Congo,12,664.5419052839279,0,0,0,0,tropicalnes
706,Somalia,13,17.535360496491194,0,0,0,0,tropicalnes
404,Kenya,14,29690.765256494284,39966.969999999856,16386457699.99994,279768789.999999,199834849.99999928,tropicalnes
729,Sudan,15,11877.523468066938,0,0,0,0,tropicalnes
148,Chad,16,20.98070202767849,0,0,0,0,tropicalnes
332,Haiti,17,0,0,0,0,0,tropicalnes
214,Dominican Republic,18,0,0,0,0,0,tropicalnes
643,Russia,19,67.42409767070785,0,0,0,0,tropicalnes
044,The Bahamas,20,0,0,0,0,0,tropicalnes
238,United Kingdom,21,0,0,0,0,0,tropicalnes
578,Norway,22,0,0,0,0,0,tropicalnes
304,Denmark,23,0,0,0,0,0,tropicalnes
260,France,24,0,0,0,0,0,tropicalnes
626,East Timor,25,753.4779330343008,1091.1899999999998,447387899.99999994,7638329.999999998,5455949.999999999,tropicalnes
710,South Africa,26,26.96862180577591,0,0,0,0,tropicalnes
426,Lesotho,27,0,0,0,0,0,tropicalnes
484,Mexico,28,242701.35186510443,472352.61999999895,193664574199.99957,3306468339.9999924,2361763099.9999948,tropicalnes
858,Uruguay,29,0,0,0,0,0,tropicalnes
076,Brazil,30,436642.8316120946,2167946.9999999967,888858269999.9985,15175628999.999975,10839734999.999983,tropicalnes
068,Bolivia,31,64.3623277603183,0,0,0,0,tropicalnes
