ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,NA,NA,NA,vanilla
834,United Republic of Tanzania,2,0.0106627743516583,0,NA,NA,NA,vanilla
732,Western Sahara,3,0,0,NA,NA,NA,vanilla
124,Canada,4,0,0,NA,NA,NA,vanilla
840,United States of America,5,0,0,NA,NA,NA,vanilla
398,Kazakhstan,6,160.74936335951566,0,NA,NA,NA,vanilla
860,Uzbekistan,7,1671.5391653261613,0,NA,NA,NA,vanilla
598,Papua New Guinea,8,0,0,NA,NA,NA,vanilla
360,Indonesia,9,1843.8913531594444,0,NA,NA,NA,vanilla
032,Argentina,10,0,0,NA,NA,NA,vanilla
152,Chile,11,0,0,NA,NA,NA,vanilla
180,Democratic Republic of the Congo,12,0.06024382822215557,0,NA,NA,NA,vanilla
706,Somalia,13,0.004906475020106882,0,NA,NA,NA,vanilla
404,Kenya,14,8.583307318440347,0,NA,NA,NA,vanilla
729,Sudan,15,0,0,NA,NA,NA,vanilla
148,Chad,16,0,0,NA,NA,NA,vanilla
332,Haiti,17,0,0,NA,NA,NA,vanilla
214,Dominican Republic,18,0,0,NA,NA,NA,vanilla
643,Russia,19,2.2423346419018344,0,NA,NA,NA,vanilla
044,The Bahamas,20,0,0,NA,NA,NA,vanilla
238,United Kingdom,21,0,0,NA,NA,NA,vanilla
578,Norway,22,0,0,NA,NA,NA,vanilla
304,Denmark,23,0,0,NA,NA,NA,vanilla
260,France,24,0,0,NA,NA,NA,vanilla
626,East Timor,25,0.06256278604269028,0,NA,NA,NA,vanilla
710,South Africa,26,0.10250548395561054,0,NA,NA,NA,vanilla
426,Lesotho,27,0,0,NA,NA,NA,vanilla
484,Mexico,28,294.1590049449005,0,NA,NA,NA,vanilla
858,Uruguay,29,0,0,NA,NA,NA,vanilla
076,Brazil,30,0,0,NA,NA,NA,vanilla
068,Bolivia,31,0,0,NA,NA,NA,vanilla
604,Peru,32,0,0,NA,NA,NA,vanilla
170,Colombia,33,0,0,NA,NA,NA,vanilla
591,Panama,34,0,0,NA,NA,NA,vanilla
188,Costa Rica,35,0,0,NA,NA,NA,vanilla
558,Nicaragua,36,0,0,NA,NA,NA,vanilla
340,Honduras,37,0,0,NA,NA,NA,vanilla
222,El Salvador,38,0,0,NA,NA,NA,vanilla
320,Guatemala,39,0.03628449433017522,0,NA,NA,NA,vanilla
084,Belize,40,0,0,NA,NA,NA,vanilla
862,Venezuela,41,0,0,NA,NA,NA,vanilla
328,Guyana,42,0,0,NA,NA,NA,vanilla
740,Suriname,43,0,0,NA,NA,NA,vanilla
250,France,44,2.4450003625825047,0,NA,NA,NA,vanilla
218,Ecuador,45,0,0,NA,NA,NA,vanilla
630,United States of America,46,0,0,NA,NA,NA,vanilla
388,Jamaica,47,0,0,NA,NA,NA,vanilla
192,Cuba,48,0,0,NA,NA,NA,vanilla
716,Zimbabwe,49,8.816074514528736,0,NA,NA,NA,vanilla
072,Botswana,50,0.039863209654868115,0,NA,NA,NA,vanilla
516,Namibia,51,0,0,NA,NA,NA,vanilla
686,Senegal,52,0,0,NA,NA,NA,vanilla
466,Mali,53,0,0,NA,NA,NA,vanilla
478,Mauritania,54,0,0,NA,NA,NA,vanilla
204,Benin,55,0,0,NA,NA,NA,vanilla
562,Niger,56,0,0,NA,NA,NA,vanilla
566,Nigeria,57,0,0,NA,NA,NA,vanilla
120,Cameroon,58,0,0,NA,NA,NA,vanilla
768,Togo,59,0,0,NA,NA,NA,vanilla
288,Ghana,60,0,0,NA,NA,NA,vanilla
384,Ivory Coast,61,0,0,NA,NA,NA,vanilla
324,Guinea,62,0,0,NA,NA,NA,vanilla
624,Guinea-Bissau,63,0,0,NA,NA,NA,vanilla
430,Liberia,64,0,0,NA,NA,NA,vanilla
694,Sierra Leone,65,0,0,NA,NA,NA,vanilla
854,Burkina Faso,66,0,0,NA,NA,NA,vanilla
140,Central African Republic,67,0,0,NA,NA,NA,vanilla
178,Republic of the Congo,68,0,0,NA,NA,NA,vanilla
266,Gabon,69,0,0,NA,NA,NA,vanilla
226,Equatorial Guinea,70,0,0,NA,NA,NA,vanilla
894,Zambia,71,0.15999505267245695,0,NA,NA,NA,vanilla
454,Malawi,72,13.07130896236049,0,NA,NA,NA,vanilla
508,Mozambique,73,0.957363156194333,0,NA,NA,NA,vanilla
748,eSwatini,74,0,0,NA,NA,NA,vanilla
024,Angola,75,0,0,NA,NA,NA,vanilla
108,Burundi,76,0,0,NA,NA,NA,vanilla
376,Israel,77,1.0911486223340034,0,NA,NA,NA,vanilla
422,Lebanon,78,0.31093443743884563,0,NA,NA,NA,vanilla
450,Madagascar,79,1968.2767783399904,0,NA,NA,NA,vanilla
275,Israel,80,0,0,NA,NA,NA,vanilla
270,Gambia,81,0,0,NA,NA,NA,vanilla
788,Tunisia,82,0,0,NA,NA,NA,vanilla
012,Algeria,83,0,0,NA,NA,NA,vanilla
400,Jordan,84,0.011394036933779716,0,NA,NA,NA,vanilla
784,United Arab Emirates,85,0,0,NA,NA,NA,vanilla
634,Qatar,86,0,0,NA,NA,NA,vanilla
414,Kuwait,87,0,0,NA,NA,NA,vanilla
368,Iraq,88,7.864649486728013,0,NA,NA,NA,vanilla
512,Oman,89,0,0,NA,NA,NA,vanilla
548,Vanuatu,90,0,0,NA,NA,NA,vanilla
116,Cambodia,91,0,0,NA,NA,NA,vanilla
764,Thailand,92,0,0,NA,NA,NA,vanilla
418,Laos,93,0,0,NA,NA,NA,vanilla
104,Myanmar,94,0.12245294238528004,0,NA,NA,NA,vanilla
704,Vietnam,95,0.2459138635895215,0,NA,NA,NA,vanilla
408,North Korea,96,0.18219221170875244,0,NA,NA,NA,vanilla
410,South Korea,97,0,0,NA,NA,NA,vanilla
496,Mongolia,98,0.009352090000675162,0,NA,NA,NA,vanilla
356,India,99,0.019070230790021014,0,NA,NA,NA,vanilla
050,Bangladesh,100,0,0,NA,NA,NA,vanilla
064,Bhutan,101,0.002412745104265923,0,NA,NA,NA,vanilla
524,Nepal,102,0.016979672588945505,0,NA,NA,NA,vanilla
586,Pakistan,103,0.0011845364115288248,0,NA,NA,NA,vanilla
004,Afghanistan,104,2.8525235673132556,0,NA,NA,NA,vanilla
762,Tajikistan,105,15.74249408909236,0,NA,NA,NA,vanilla
417,Kyrgyzstan,106,55.266452591706184,0,NA,NA,NA,vanilla
795,Turkmenistan,107,10.37728173751384,0,NA,NA,NA,vanilla
364,Iran,108,1381.0172906573862,0,NA,NA,NA,vanilla
760,Syria,109,90.30311343097128,0,NA,NA,NA,vanilla
051,Armenia,110,3.5065509155392647,0,NA,NA,NA,vanilla
752,Sweden,111,0,0,NA,NA,NA,vanilla
112,Belarus,112,0,0,NA,NA,NA,vanilla
804,Ukraine,113,38.02933746576309,0,NA,NA,NA,vanilla
616,Poland,114,34.04428593814373,0,NA,NA,NA,vanilla
040,Austria,115,26.690171867609024,0,NA,NA,NA,vanilla
348,Hungary,116,5345.62937932834,0,NA,NA,NA,vanilla
498,Moldova,117,155.99132347106934,0,NA,NA,NA,vanilla
642,Romania,118,29256.114116445184,0,NA,NA,NA,vanilla
440,Lithuania,119,0,0,NA,NA,NA,vanilla
428,Latvia,120,0,0,NA,NA,NA,vanilla
233,Estonia,121,0,0,NA,NA,NA,vanilla
276,Germany,122,6.702693998813629,0,NA,NA,NA,vanilla
100,Bulgaria,123,342.33203900035005,0,NA,NA,NA,vanilla
300,Greece,124,68.78665584826376,0,NA,NA,NA,vanilla
792,Turkey,125,6975.352296440862,0,NA,NA,NA,vanilla
008,Albania,126,0.8436179310083389,0,NA,NA,NA,vanilla
191,Croatia,127,327.2632649242878,0,NA,NA,NA,vanilla
756,Switzerland,128,0,0,NA,NA,NA,vanilla
442,Luxembourg,129,0,0,NA,NA,NA,vanilla
056,Belgium,130,0,0,NA,NA,NA,vanilla
528,Netherlands,131,0,0,NA,NA,NA,vanilla
620,Portugal,132,1.5034346673637629,0,NA,NA,NA,vanilla
724,Spain,133,3235.0171253354056,0,NA,NA,NA,vanilla
372,Ireland,134,0,0,NA,NA,NA,vanilla
540,France,135,0,0,NA,NA,NA,vanilla
090,Solomon Islands,136,0,0,NA,NA,NA,vanilla
554,New Zealand,137,0,0,NA,NA,NA,vanilla
