ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,vegetablenes
834,United Republic of Tanzania,2,853377.4552856088,1925369.1200000022,423581206400.0005,3850738240.000005,26955167680.00003,vegetablenes
732,Western Sahara,3,0,0,0,0,0,vegetablenes
124,Canada,4,130936.80533098937,153931.99999999988,33865039999.999973,307863999.99999976,2155047999.999998,vegetablenes
840,United States of America,5,1049775.214333314,731554.0000000037,160941880000.00082,1463108000.0000076,10241756000.000051,vegetablenes
398,Kazakhstan,6,167549.29498454742,351090.91999999963,77240002399.99991,702181839.9999993,4915272879.999994,vegetablenes
860,Uzbekistan,7,836405.0692725778,1999418.3100000005,439872028200.00006,3998836620.000001,27991856340.000004,vegetablenes
598,Papua New Guinea,8,234379.02559757233,331884.31000000006,73014548200.00002,663768620.0000001,4646380340,vegetablenes
360,Indonesia,9,483153.56236638874,589190.3399999966,129621874799.99924,1178380679.999993,8248664759.999951,vegetablenes
032,Argentina,10,585860.7923243397,854523.129999996,187995088599.99915,1709046259.9999924,11963323819.999945,vegetablenes
152,Chile,11,122216.29411970798,125961.92999999945,27711624599.999878,251923859.99999893,1763467019.9999921,vegetablenes
180,Democratic Republic of the Congo,12,288216.2878007293,410346.04000000143,90276128800.00032,820692080.0000029,5744844560.00002,vegetablenes
706,Somalia,13,47197.39894580841,78977.72999999988,17375100599.999973,157955459.99999976,1105688219.9999983,vegetablenes
404,Kenya,14,575787.9997670054,655986.7499999998,144317084999.99997,1311973499.9999998,9183814499.999996,vegetablenes
729,Sudan,15,296635.64431884885,0,0,0,0,vegetablenes
148,Chad,16,80595.43511341512,84870.18000000017,18671439600.00004,169740360.00000036,1188182520.0000021,vegetablenes
332,Haiti,17,184305.892516613,117346.24999999997,25816174999.999996,234692499.99999997,1642847499.9999995,vegetablenes
214,Dominican Republic,18,14793.526801735163,271500.26999999996,59730059399.99999,543000539.9999999,3801003779.999999,vegetablenes
643,Russia,19,3248991.90064984,1994127.0000000312,438707940000.0069,3988254000.000063,27917778000.000435,vegetablenes
044,The Bahamas,20,0,0,0,0,0,vegetablenes
238,United Kingdom,21,0,0,0,0,0,vegetablenes
578,Norway,22,8141.78910788603,9962.00000000001,2191640000.000002,19924000.00000002,139468000.00000012,vegetablenes
304,Denmark,23,0,0,0,0,0,vegetablenes
260,France,24,0,0,0,0,0,vegetablenes
626,East Timor,25,14218.429543018341,26360.15000000001,5799233000.000002,52720300.00000002,369042100.0000001,vegetablenes
710,South Africa,26,272279.40710564516,174692.99999999904,38432459999.99979,349385999.9999981,2445701999.9999866,vegetablenes
426,Lesotho,27,15895.154608905315,32461.260000000024,7141477200.000006,64922520.00000005,454457640.0000003,vegetablenes
484,Mexico,28,372552.40818248846,822229.4599999993,180890481199.99982,1644458919.9999986,11511212439.999989,vegetablenes
858,Uruguay,29,17822.680977825075,38371.36999999998,8441701399.999996,76742739.99999997,537199179.9999998,vegetablenes
076,Brazil,30,1778043.6292356905,3024495.439999988,665388996799.9973,6048990879.999976,42342936159.999825,vegetablenes
068,Bolivia,31,20602.42764033226,4299.999999999996,945999999.9999992,8599999.999999993,60199999.99999994,vegetablenes
604,Peru,32,39718.03363982774,88888.82000000004,19555540400.000008,177777640.0000001,1244443480.0000005,vegetablenes
170,Colombia,33,130267.735189315,176074.10999999987,38736304199.99998,352148219.99999976,2465037539.999998,vegetablenes
591,Panama,34,24914.53787110746,254.0000000000001,55880000.00000002,508000.00000000023,3556000.000000001,vegetablenes
188,Costa Rica,35,36463.77227413654,48885.880000000034,10754893600.000008,97771760.00000007,684402320.0000005,vegetablenes
558,Nicaragua,36,6214.034229960293,11531.249999999989,2536874999.9999976,23062499.99999998,161437499.99999985,vegetablenes
340,Honduras,37,56703.322469804436,85000.00000000006,18700000000.00001,170000000.00000012,1190000000.0000007,vegetablenes
222,El Salvador,38,19970.557446837425,31781.12,6991846400,63562240,444935680,vegetablenes
320,Guatemala,39,126429.71673214436,153268.29999999996,33719025999.99999,306536599.99999994,2145756199.9999993,vegetablenes
084,Belize,40,3197.0906359255314,4707.510000000004,1035652200.0000008,9415020.000000007,65905140.000000045,vegetablenes
862,Venezuela,41,130822.53971871443,45040.1000000001,9908822000.000023,90080200.00000021,630561400.0000014,vegetablenes
328,Guyana,42,7493.949868083,2594.269999999994,570739399.9999987,5188539.999999989,36319779.99999991,vegetablenes
740,Suriname,43,13615.234924077988,16811.999999999978,3698639999.999995,33623999.99999996,235367999.9999997,vegetablenes
250,France,44,2735699.9384326935,459850.00000000064,101167000000.00015,919700000.0000014,6437900000.000009,vegetablenes
218,Ecuador,45,21008.973122184398,21938.300000000007,4826426000.000001,43876600.000000015,307136200.00000006,vegetablenes
630,United States of America,46,0,0,0,0,0,vegetablenes
388,Jamaica,47,14433.323116779327,22974.130000000012,5054308600.000003,45948260.00000003,321637820.0000001,vegetablenes
192,Cuba,48,878612.5644004345,786932.3000000005,173125106000.0001,1573864600.000001,11017052200.000006,vegetablenes
716,Zimbabwe,49,147404.93317770958,189957.21000000022,41790586200.000046,379914420.0000005,2659400940.000003,vegetablenes
072,Botswana,50,17512.310981437564,43272.50000000006,9519950000.000013,86545000.00000012,605815000.0000008,vegetablenes
516,Namibia,51,12161.277742167935,21238.700000000117,4672514000.000026,42477400.00000024,297341800.0000016,vegetablenes
686,Senegal,52,38139.662608496845,208959.9999999995,45971199999.99989,417919999.99999905,2925439999.999993,vegetablenes
466,Mali,53,220182.86238991097,341254.1999999996,75075923999.99991,682508399.9999993,4777558799.999994,vegetablenes
478,Mauritania,54,6125.506080540756,4809.240000000007,1058032800.0000014,9618480.000000013,67329360.00000009,vegetablenes
204,Benin,55,89743.74091684818,209243.5100000001,46033572200.00002,418487020.00000024,2929409140.000001,vegetablenes
562,Niger,56,49358.632586970925,123638.64999999964,27200502999.99992,247277299.99999928,1730941099.999995,vegetablenes
566,Nigeria,57,3546841.4653306007,6939176.110000028,1526618744200.0063,13878352220.00006,97148465540.0004,vegetablenes
120,Cameroon,58,452309.42162549496,799661.2399999982,175925472799.99963,1599322479.9999967,11195257359.999975,vegetablenes
768,Togo,59,129885.87722171098,142885.99,31434917800,285771980,2000403859.9999998,vegetablenes
288,Ghana,60,4179.421259815339,11184.820000000009,2460660400.000002,22369640.00000002,156587480.00000012,vegetablenes
384,Ivory Coast,61,114051.94015122578,152869.2999999997,33631245999.99993,305738599.9999994,2140170199.9999955,vegetablenes
324,Guinea,62,197076.86718572676,263289.06000000035,57923593200.00008,526578120.0000007,3686046840.0000043,vegetablenes
624,Guinea-Bissau,63,24483.74381494522,41196.52000000005,9063234400.000011,82393040.0000001,576751280.0000006,vegetablenes
430,Liberia,64,52255.325050354004,92922.02999999997,20442846599.999992,185844059.99999994,1300908419.9999995,vegetablenes
694,Sierra Leone,65,175703.85060429573,343941.15999999974,75667055199.99995,687882319.9999995,4815176239.999996,vegetablenes
854,Burkina Faso,66,144639.99850168824,980000.0000000003,215600000000.0001,1960000000.000001,13720000000.000004,vegetablenes
140,Central African Republic,67,58228.11204124987,75243.88999999985,16553655799.99997,150487779.99999973,1053414459.999998,vegetablenes
178,Republic of the Congo,68,33611.37836933136,38929.439999999995,8564476799.999999,77858879.99999999,545012159.9999999,vegetablenes
266,Gabon,69,31045.666081428528,51682.86999999999,11370231399.999998,103365739.99999999,723560179.9999998,vegetablenes
226,Equatorial Guinea,70,1137.4951171875,0,0,0,0,vegetablenes
894,Zambia,71,208736.29225948453,368263.79000000097,81018033800.00021,736527580.0000019,5155693060.000013,vegetablenes
454,Malawi,72,120829.62361955643,232024.38999999975,51045365799.99995,464048779.9999995,3248341459.9999967,vegetablenes
508,Mozambique,73,133658.59704315662,212407.3099999994,46729608199.99986,424814619.9999988,2973702339.999991,vegetablenes
748,eSwatini,74,7772.908674299717,7638.01,1680362200,15276020,106932140,vegetablenes
024,Angola,75,231308.80101764202,364914.7199999996,80281238399.99991,729829439.9999993,5108806079.999994,vegetablenes
108,Burundi,76,225629.50468063354,509443.5100000001,112077572200.00002,1018887020.0000002,7132209140.000001,vegetablenes
376,Israel,77,55533.79115962982,151138.00000000006,33250360000.00001,302276000.0000001,2115932000.0000005,vegetablenes
422,Lebanon,78,38825.38603878021,13559.999999999995,2983199999.9999986,27119999.99999999,189839999.9999999,vegetablenes
450,Madagascar,79,281877.11006842554,373020.7800000006,82064571600.00014,746041560.0000013,5222290920.000009,vegetablenes
275,Israel,80,28765.131828308105,11910.000000000004,2620200000.0000005,23820000.000000007,166740000.00000003,vegetablenes
270,Gambia,81,8697.729060649872,13192.940000000002,2902446800.0000005,26385880.000000007,184701160.00000003,vegetablenes
788,Tunisia,82,67892.94723439217,114134.21000000008,25109526200.000015,228268420.00000015,1597878940.000001,vegetablenes
012,Algeria,83,257221.85479545593,1458964.5999999996,320972211999.99994,2917929199.9999995,20425504399.999992,vegetablenes
400,Jordan,84,35677.958720207214,79772.00000000001,17549840000.000004,159544000.00000003,1116808000,vegetablenes
784,United Arab Emirates,85,114233.03295898438,28963,6371860000,57926000,405482000,vegetablenes
634,Qatar,86,0,0,0,0,0,vegetablenes
414,Kuwait,87,42504.883361816406,35489.99999999999,7807799999.999999,70979999.99999999,496859999.9999999,vegetablenes
368,Iraq,88,4129.524660944939,34960,7691200000,69920000,489439999.99999994,vegetablenes
512,Oman,89,96754.43455505371,156990.00000000003,34537800000.00001,313980000.00000006,2197860000,vegetablenes
548,Vanuatu,90,0,0,0,0,0,vegetablenes
116,Cambodia,91,485869.771024704,646216.0999999994,142167541999.99988,1292432199.999999,9047025399.99999,vegetablenes
764,Thailand,92,959125.3279021531,1034988.0900000009,227697379800.0002,2069976180.000002,14489833260.000013,vegetablenes
418,Laos,93,375044.4235187769,1450706.0000000033,319155320000.00073,2901412000.0000067,20309884000.000046,vegetablenes
104,Myanmar,94,2381706.200593531,3652689.28999999,803591643799.9978,7305378579.999981,51137650059.999855,vegetablenes
704,Vietnam,95,5231057.153944492,15449738.559999978,3398942483199.995,30899477119.999958,216296339839.9997,vegetablenes
408,North Korea,96,2265862.9594516754,2045512.33,450012712600,4091024660,28637172620,vegetablenes
410,South Korea,97,3187703.3566408157,3314916.2699999963,729281579399.9991,6629832539.999992,46408827779.99995,vegetablenes
496,Mongolia,98,19044.571655031166,11936.869999999954,2626111399.99999,23873739.99999991,167116179.99999934,vegetablenes
356,India,99,27007874.853866428,41023673.83999986,9025208244799.969,82047347679.99973,574331433759.998,vegetablenes
050,Bangladesh,100,910165.0062260628,1660400.0000000016,365288000000.00037,3320800000.000004,23245600000.000023,vegetablenes
064,Bhutan,101,1293.1944542592391,8765,1928300000,17530000,122709999.99999999,vegetablenes
524,Nepal,102,1498279.8874955364,3962383.000000003,871724260000.0007,7924766000.000007,55473362000.00004,vegetablenes
586,Pakistan,103,936091.7095457762,754814.0000000005,166059080000.0001,1509628000.000001,10567396000.000006,vegetablenes
004,Afghanistan,104,5206.954951301217,590932.0200000001,130005044400.00002,1181864040.0000002,8273048280.000001,vegetablenes
762,Tajikistan,105,51707.03265982866,325282.21999999986,71562088399.99997,650564439.9999998,4553951079.999998,vegetablenes
417,Kyrgyzstan,106,127646.6837104857,114741.19999999995,25243063999.99999,229482399.9999999,1606376799.9999993,vegetablenes
795,Turkmenistan,107,31639.29303444922,59722.90999999999,13139040199.999998,119445819.99999999,836120739.9999998,vegetablenes
364,Iran,108,1579099.4904984832,1995823.230000001,439081110600.0002,3991646460.000002,27941525220.000008,vegetablenes
760,Syria,109,95980.38010072708,173928.00000000015,38264160000.00003,347856000.0000003,2434992000.000002,vegetablenes
051,Armenia,110,72654.60735702515,151863.39999999994,33409947999.999985,303726799.9999999,2126087599.9999988,vegetablenes
752,Sweden,111,23276.6407801123,1059.9999999999993,233199999.99999982,2119999.9999999986,14839999.999999989,vegetablenes
112,Belarus,112,397178.4409881234,355832.9999999998,78283259999.99995,711665999.9999996,4981661999.999997,vegetablenes
804,Ukraine,113,265043.79461241513,863369.9999999998,189941399999.99997,1726739999.9999998,12087179999.999996,vegetablenes
616,Poland,114,1542697.6287311614,1600.0000000000027,352000000.0000006,3200000.0000000056,22400000.000000037,vegetablenes
040,Austria,115,84328.13379305019,13079.999999999978,2877599999.999995,26159999.999999955,183119999.99999967,vegetablenes
348,Hungary,116,184771.5727161914,3210.000000000002,706200000.0000004,6420000.000000004,44940000.00000002,vegetablenes
498,Moldova,117,65240.73154973984,27411.999999999967,6030639999.999993,54823999.99999994,383767999.9999996,vegetablenes
642,Romania,118,419471.9263896346,740.000000000001,162800000.00000024,1480000.000000002,10360000.000000013,vegetablenes
440,Lithuania,119,113295.90286386013,0,0,0,0,vegetablenes
