ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,vetch
834,United Republic of Tanzania,2,0,0,0,0,0,vetch
732,Western Sahara,3,0,0,0,0,0,vetch
124,Canada,4,0,0,0,0,0,vetch
840,United States of America,5,301.0060021613026,0,0,0,0,vetch
398,Kazakhstan,6,3017.994040237885,0,0,0,0,vetch
860,Uzbekistan,7,0,0,0,0,0,vetch
598,Papua New Guinea,8,0,0,0,0,0,vetch
360,Indonesia,9,0,0,0,0,0,vetch
032,Argentina,10,3983.8807772464347,0,0,0,0,vetch
152,Chile,11,1.4600835863454051,0,0,0,0,vetch
180,Democratic Republic of the Congo,12,0,0,0,0,0,vetch
706,Somalia,13,0,0,0,0,0,vetch
404,Kenya,14,48.88071060180664,0,0,0,0,vetch
729,Sudan,15,0.3034218456596136,0,0,0,0,vetch
148,Chad,16,0,0,0,0,0,vetch
332,Haiti,17,0,0,0,0,0,vetch
214,Dominican Republic,18,0,0,0,0,0,vetch
643,Russia,19,387694.3763339365,177556.60000000126,577058950000.0042,3373575400.000024,55930329000.0004,vetch
044,The Bahamas,20,0,0,0,0,0,vetch
238,United Kingdom,21,0,0,0,0,0,vetch
578,Norway,22,0,0,0,0,0,vetch
304,Denmark,23,0,0,0,0,0,vetch
260,France,24,0,0,0,0,0,vetch
626,East Timor,25,0,0,0,0,0,vetch
710,South Africa,26,0,0,0,0,0,vetch
426,Lesotho,27,0,0,0,0,0,vetch
484,Mexico,28,89512.46838356808,109397.1200000003,355540640000.00104,2078545280.0000057,34460092800.0001,vetch
858,Uruguay,29,0.054796306416392326,0,0,0,0,vetch
076,Brazil,30,4.1121532515317085,0,0,0,0,vetch
068,Bolivia,31,1.3037124719121493,0,0,0,0,vetch
604,Peru,32,4781.6477232460165,0,0,0,0,vetch
170,Colombia,33,3259.741972958568,0,0,0,0,vetch
591,Panama,34,0.004092598333954811,0,0,0,0,vetch
188,Costa Rica,35,0,0,0,0,0,vetch
558,Nicaragua,36,0,0,0,0,0,vetch
340,Honduras,37,0,0,0,0,0,vetch
222,El Salvador,38,0,0,0,0,0,vetch
320,Guatemala,39,67.17794689536095,0,0,0,0,vetch
084,Belize,40,0,0,0,0,0,vetch
862,Venezuela,41,3.5429431349039078,0,0,0,0,vetch
328,Guyana,42,0,0,0,0,0,vetch
740,Suriname,43,0,0,0,0,0,vetch
250,France,44,93.39601004682481,0,0,0,0,vetch
218,Ecuador,45,11.849538639267848,21022.91,68324457500,399435290,6622216650,vetch
630,United States of America,46,0,0,0,0,0,vetch
388,Jamaica,47,0,0,0,0,0,vetch
192,Cuba,48,0,0,0,0,0,vetch
716,Zimbabwe,49,0,0,0,0,0,vetch
072,Botswana,50,0,0,0,0,0,vetch
516,Namibia,51,0,0,0,0,0,vetch
686,Senegal,52,0,0,0,0,0,vetch
466,Mali,53,0,0,0,0,0,vetch
478,Mauritania,54,0,0,0,0,0,vetch
204,Benin,55,0,0,0,0,0,vetch
562,Niger,56,0,0,0,0,0,vetch
566,Nigeria,57,0,0,0,0,0,vetch
120,Cameroon,58,0,0,0,0,0,vetch
768,Togo,59,0,0,0,0,0,vetch
288,Ghana,60,0,0,0,0,0,vetch
384,Ivory Coast,61,0,0,0,0,0,vetch
324,Guinea,62,0,0,0,0,0,vetch
624,Guinea-Bissau,63,0,0,0,0,0,vetch
430,Liberia,64,0,0,0,0,0,vetch
694,Sierra Leone,65,0,0,0,0,0,vetch
854,Burkina Faso,66,0,0,0,0,0,vetch
140,Central African Republic,67,0,0,0,0,0,vetch
178,Republic of the Congo,68,0,0,0,0,0,vetch
266,Gabon,69,0,0,0,0,0,vetch
226,Equatorial Guinea,70,0,0,0,0,0,vetch
894,Zambia,71,0,0,0,0,0,vetch
454,Malawi,72,0,0,0,0,0,vetch
508,Mozambique,73,0,0,0,0,0,vetch
748,eSwatini,74,0,0,0,0,0,vetch
024,Angola,75,0,0,0,0,0,vetch
108,Burundi,76,0,0,0,0,0,vetch
376,Israel,77,857.6540893502533,0,0,0,0,vetch
422,Lebanon,78,4787.013050556183,452.42,1470365000,8595980,142512300,vetch
450,Madagascar,79,0,0,0,0,0,vetch
275,Israel,80,163.65327533334494,4288.14,13936455000,81474660,1350764100,vetch
270,Gambia,81,0,0,0,0,0,vetch
788,Tunisia,82,0.5833412436768413,252.98999999999998,822217500,4806810,79691850,vetch
012,Algeria,83,123.46400341182016,77.81000000000029,252882500.00000095,1478390.0000000054,24510150.000000093,vetch
400,Jordan,84,1069.9632964134216,953.9999999999999,3100499999.9999995,18125999.999999996,300509999.99999994,vetch
784,United Arab Emirates,85,0,0,0,0,0,vetch
634,Qatar,86,0,0,0,0,0,vetch
414,Kuwait,87,0,0,0,0,0,vetch
368,Iraq,88,142.25694900751114,883.4900000000001,2871342500.0000005,16786310.000000004,278299350.00000006,vetch
512,Oman,89,0,0,0,0,0,vetch
548,Vanuatu,90,0,0,0,0,0,vetch
116,Cambodia,91,0,0,0,0,0,vetch
764,Thailand,92,7.723080849274993,0,0,0,0,vetch
418,Laos,93,0.4152504224330187,0,0,0,0,vetch
104,Myanmar,94,2942.5667598083382,0,0,0,0,vetch
704,Vietnam,95,17.645030940067954,0,0,0,0,vetch
408,North Korea,96,8.392888700589538,0,0,0,0,vetch
410,South Korea,97,0,0,0,0,0,vetch
496,Mongolia,98,31.030897889564358,0,0,0,0,vetch
356,India,99,12512.015202628238,0,0,0,0,vetch
050,Bangladesh,100,13156.379900686443,0,0,0,0,vetch
064,Bhutan,101,0.7353102415800095,0,0,0,0,vetch
524,Nepal,102,1.4521818676549787e-37,0,0,0,0,vetch
586,Pakistan,103,31908.65531315619,0,0,0,0,vetch
004,Afghanistan,104,62.90412784926593,0,0,0,0,vetch
762,Tajikistan,105,0.0076035694219172,0,0,0,0,vetch
417,Kyrgyzstan,106,0.13011292275041342,0,0,0,0,vetch
795,Turkmenistan,107,0,0,0,0,0,vetch
364,Iran,108,104.49503141641617,0,0,0,0,vetch
760,Syria,109,28099.640076994896,17943.99999999997,58317999999.9999,340935999.9999994,5652359999.99999,vetch
051,Armenia,110,129.05528230266646,0,0,0,0,vetch
752,Sweden,111,0,0,0,0,0,vetch
112,Belarus,112,204.69814304821193,36452.000000000015,118469000000.00005,692588000.0000002,11482380000.000004,vetch
804,Ukraine,113,114971.95347302407,6869.999999999998,22327499999.999996,130529999.99999997,2164049999.9999995,vetch
616,Poland,114,2638.4115415858687,0,0,0,0,vetch
040,Austria,115,4.633183104684576,0,0,0,0,vetch
348,Hungary,116,92.48596522212029,0,0,0,0,vetch
498,Moldova,117,994.8895664848387,103.99999999999991,337999999.99999976,1975999.9999999984,32759999.999999974,vetch
642,Romania,118,217.36213609576225,0,0,0,0,vetch
440,Lithuania,119,17500.796143048443,0,0,0,0,vetch
428,Latvia,120,2270.739491449669,0,0,0,0,vetch
233,Estonia,121,26.097513277083635,0,0,0,0,vetch
276,Germany,122,0.21561939921230078,0,0,0,0,vetch
