ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,walnut
834,United Republic of Tanzania,2,0,0,0,0,0,walnut
732,Western Sahara,3,0,0,0,0,0,walnut
124,Canada,4,0.13078749013948254,0,0,0,0,walnut
840,United States of America,5,249005.4837327743,716680.0000000021,2071205200000.006,199237040000.00058,45867520000.00014,walnut
398,Kazakhstan,6,816.5156029534355,2817.320000000014,8142054800.00004,783214960.0000038,180308480.0000009,walnut
860,Uzbekistan,7,5473.964893353521,48299.25000000002,139584832500.00006,13427191500.000008,3091152000.000002,walnut
598,Papua New Guinea,8,0,0,0,0,0,walnut
360,Indonesia,9,0,0,0,0,0,walnut
032,Argentina,10,8721.882162702796,20482.499999999996,59194424999.99999,5694134999.999999,1310880000,walnut
152,Chile,11,11721.231337345063,140400.00000000012,405756000000.00037,39031200000.00003,8985600000.000008,walnut
180,Democratic Republic of the Congo,12,0,0,0,0,0,walnut
706,Somalia,13,0,0,0,0,0,walnut
404,Kenya,14,0,0,0,0,0,walnut
729,Sudan,15,0,0,0,0,0,walnut
148,Chad,16,0,0,0,0,0,walnut
332,Haiti,17,0,0,0,0,0,walnut
214,Dominican Republic,18,0,0,0,0,0,walnut
643,Russia,19,13594.547927952937,0,0,0,0,walnut
044,The Bahamas,20,0,0,0,0,0,walnut
238,United Kingdom,21,0,0,0,0,0,walnut
578,Norway,22,0,0,0,0,0,walnut
304,Denmark,23,0,0,0,0,0,walnut
260,France,24,0,0,0,0,0,walnut
626,East Timor,25,0,0,0,0,0,walnut
710,South Africa,26,0,0,0,0,0,walnut
426,Lesotho,27,0,0,0,0,0,walnut
484,Mexico,28,17336.513088712854,164651.51999999984,475842892799.9995,45773122559.999954,10537697279.99999,walnut
858,Uruguay,29,0.17500510066747665,0,0,0,0,walnut
076,Brazil,30,2061.9398644334806,4181.999999999997,12085979999.99999,1162595999.9999993,267647999.99999982,walnut
068,Bolivia,31,0.2076661970204441,0,0,0,0,walnut
604,Peru,32,760.091766917224,282.9999999999996,817869999.9999988,78673999.99999988,18111999.999999974,walnut
170,Colombia,33,0.20471329390420578,0,0,0,0,walnut
591,Panama,34,0,0,0,0,0,walnut
188,Costa Rica,35,0,0,0,0,0,walnut
558,Nicaragua,36,0,0,0,0,0,walnut
340,Honduras,37,0,0,0,0,0,walnut
222,El Salvador,38,0,0,0,0,0,walnut
320,Guatemala,39,0,0,0,0,0,walnut
084,Belize,40,0,0,0,0,0,walnut
862,Venezuela,41,0,0,0,0,0,walnut
328,Guyana,42,0,0,0,0,0,walnut
740,Suriname,43,0,0,0,0,0,walnut
250,France,44,25966.23365379125,38059.99999999991,109993399999.99974,10580679999.999975,2435839999.9999943,walnut
218,Ecuador,45,2.1577820014208555,0,0,0,0,walnut
630,United States of America,46,0,0,0,0,0,walnut
388,Jamaica,47,0,0,0,0,0,walnut
192,Cuba,48,0,0,0,0,0,walnut
716,Zimbabwe,49,0,0,0,0,0,walnut
072,Botswana,50,0,0,0,0,0,walnut
516,Namibia,51,0,0,0,0,0,walnut
686,Senegal,52,0,0,0,0,0,walnut
466,Mali,53,0,0,0,0,0,walnut
478,Mauritania,54,0,0,0,0,0,walnut
204,Benin,55,0,0,0,0,0,walnut
562,Niger,56,0,0,0,0,0,walnut
566,Nigeria,57,0,0,0,0,0,walnut
120,Cameroon,58,0,0,0,0,0,walnut
768,Togo,59,0,0,0,0,0,walnut
288,Ghana,60,0,0,0,0,0,walnut
384,Ivory Coast,61,0,0,0,0,0,walnut
324,Guinea,62,0,0,0,0,0,walnut
624,Guinea-Bissau,63,0,0,0,0,0,walnut
430,Liberia,64,0,0,0,0,0,walnut
694,Sierra Leone,65,0,0,0,0,0,walnut
854,Burkina Faso,66,0,0,0,0,0,walnut
140,Central African Republic,67,0,0,0,0,0,walnut
178,Republic of the Congo,68,0,0,0,0,0,walnut
266,Gabon,69,0,0,0,0,0,walnut
226,Equatorial Guinea,70,0,0,0,0,0,walnut
894,Zambia,71,0,0,0,0,0,walnut
454,Malawi,72,0,0,0,0,0,walnut
508,Mozambique,73,0,0,0,0,0,walnut
748,eSwatini,74,0,0,0,0,0,walnut
024,Angola,75,0,0,0,0,0,walnut
108,Burundi,76,0,0,0,0,0,walnut
376,Israel,77,52.13042493117973,0,0,0,0,walnut
422,Lebanon,78,2777.163665086031,3780.2900000000004,10925038100.000002,1050920620.0000002,241938560.00000006,walnut
450,Madagascar,79,0,0,0,0,0,walnut
275,Israel,80,16.541262130253017,267.6800000000001,773595200.0000004,74415040.00000004,17131520.00000001,walnut
270,Gambia,81,0,0,0,0,0,walnut
788,Tunisia,82,0,0,0,0,0,walnut
012,Algeria,83,4.5904770493507385,0,0,0,0,walnut
400,Jordan,84,0,0,0,0,0,walnut
784,United Arab Emirates,85,0,0,0,0,0,walnut
634,Qatar,86,0,0,0,0,0,walnut
414,Kuwait,87,0,0,0,0,0,walnut
368,Iraq,88,412.5055579841137,1486.7999999999997,4296851999.999999,413330399.99999994,95155200,walnut
512,Oman,89,0,0,0,0,0,walnut
548,Vanuatu,90,0,0,0,0,0,walnut
