ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,watermelon
834,United Republic of Tanzania,2,1.9768234193325043,37683.05,6406118500,75366100,113049150,watermelon
732,Western Sahara,3,0,0,0,0,0,watermelon
124,Canada,4,2018.2027544731259,33561.99999999987,5705539999.999978,67123999.99999975,100685999.9999996,watermelon
840,United States of America,5,1779672.6446153116,1561786.9999999946,265503789999.99908,3123573999.9999895,4685360999.999984,watermelon
398,Kazakhstan,6,418152.8969424474,1259695.9299999988,214148308099.99982,2519391859.9999976,3779087789.9999967,watermelon
860,Uzbekistan,7,486028.51971143484,1254442.9999999977,213255309999.9996,2508885999.9999957,3763328999.999993,watermelon
598,Papua New Guinea,8,0,0,0,0,0,watermelon
360,Indonesia,9,431.8734121322632,560317.2299999999,95253929099.99998,1120634459.9999998,1680951689.9999998,watermelon
032,Argentina,10,125007.64578512208,125978.16000000044,21416287200.000072,251956320.00000086,377934480.00000125,watermelon
152,Chile,11,73505.16969995687,50811.51999999997,8637958399.999994,101623039.99999994,152434559.9999999,watermelon
180,Democratic Republic of the Congo,12,1.078272819519043,0,0,0,0,watermelon
706,Somalia,13,19875.297251284122,6433.349999999997,1093669499.9999995,12866699.999999994,19300049.99999999,watermelon
404,Kenya,14,5185.685114217922,381496.2599999996,64854364199.99994,762992519.9999993,1144488779.9999988,watermelon
729,Sudan,15,90590.67561075091,0,0,0,0,watermelon
148,Chad,16,499.88784474134445,0,0,0,0,watermelon
332,Haiti,17,0,0,0,0,0,watermelon
214,Dominican Republic,18,0,0,0,0,0,watermelon
643,Russia,19,718259.6965201023,1584310.2999999963,269332750999.9994,3168620599.999993,4752930899.999989,watermelon
044,The Bahamas,20,0,0,0,0,0,watermelon
238,United Kingdom,21,0,0,0,0,0,watermelon
578,Norway,22,0,0,0,0,0,watermelon
304,Denmark,23,0,0,0,0,0,watermelon
260,France,24,0,0,0,0,0,watermelon
626,East Timor,25,0,0,0,0,0,watermelon
710,South Africa,26,56100.49347007414,60914.999999999905,10355549999.999985,121829999.99999982,182744999.9999997,watermelon
426,Lesotho,27,37.574370980262756,0,0,0,0,watermelon
484,Mexico,28,856464.5158276598,1362392.659999994,231606752199.999,2724785319.9999886,4087177979.999982,watermelon
858,Uruguay,29,13193.204081591219,11255.579999999973,1913448599.9999955,22511159.999999948,33766739.99999992,watermelon
076,Brazil,30,921919.3545552363,2183918.0000000014,371266060000.00024,4367836000.000003,6551754000.000005,watermelon
068,Bolivia,31,25232.68867396773,60202.00000000002,10234340000.000004,120404000.00000006,180606000.00000006,watermelon
604,Peru,32,59328.5618816698,116108.25000000025,19738402500.000042,232216500.00000048,348324750.0000007,watermelon
170,Colombia,33,49861.05575756764,227513.42000000016,38677281400.00002,455026840.0000003,682540260.0000004,watermelon
591,Panama,34,21865.80043077469,27298,4640660000,54596000,81894000,watermelon
188,Costa Rica,35,71367.20943379402,60544.00000000001,10292480000.000002,121088000.00000003,181632000.00000003,watermelon
558,Nicaragua,36,194.09324371814728,0,0,0,0,watermelon
340,Honduras,37,32926.70725621283,70531.07999999994,11990283599.99999,141062159.99999988,211593239.99999982,watermelon
222,El Salvador,38,63528.28764843941,51609.95999999999,8773693199.999998,103219920,154829879.99999997,watermelon
320,Guatemala,39,125785.71478062868,132000.00000000003,22440000000.000004,264000000.00000006,396000000.00000006,watermelon
084,Belize,40,1686.4606631100178,1844,313480000,3688000,5532000,watermelon
862,Venezuela,41,209681.10781804493,156628.9500000007,26626921500.000122,313257900.00000143,469886850.00000215,watermelon
328,Guyana,42,42.88068356513395,31569.549999999945,5366823499.99999,63139099.999999896,94708649.99999984,watermelon
740,Suriname,43,2341.6297391169355,1851.9999999999993,314839999.9999999,3703999.9999999986,5555999.999999997,watermelon
250,France,44,7801.566329983529,24820.00000000004,4219400000.0000067,49640000.00000008,74460000.00000012,watermelon
218,Ecuador,45,26724.70863428997,77121.13999999987,13110593799.999977,154242279.99999973,231363419.9999996,watermelon
630,United States of America,46,0,0,0,0,0,watermelon
388,Jamaica,47,14254.472561836243,16182.000000000004,2750940000.0000005,32364000.000000007,48546000.00000001,watermelon
192,Cuba,48,56175.98720495403,56682.699999999975,9636058999.999996,113365399.99999996,170048099.9999999,watermelon
716,Zimbabwe,49,0,0,0,0,0,watermelon
072,Botswana,50,39.233530692756176,11526.079999999998,1959433599.9999998,23052160,34578239.99999999,watermelon
516,Namibia,51,1472.671329260571,3596.6099999999924,611423699.9999987,7193219.999999985,10789829.999999978,watermelon
686,Senegal,52,66010.47385120392,1677475.98,285170916600,3354951960,5032427940,watermelon
466,Mali,53,0,0,0,0,0,watermelon
478,Mauritania,54,9225.722448594868,2724.4199999999987,463151399.9999998,5448839.999999998,8173259.999999996,watermelon
204,Benin,55,0,0,0,0,0,watermelon
562,Niger,56,0,0,0,0,0,watermelon
566,Nigeria,57,78.58456972241402,0,0,0,0,watermelon
