ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,wheat
834,United Republic of Tanzania,2,81620.67229622975,77275.99999999988,258101839999.9996,1777347999.9999971,9427671999.999985,wheat
732,Western Sahara,3,0,0,0,0,0,wheat
124,Canada,4,22919575.9583916,35437200.00000006,118360248000000.2,815055600000.0013,4323338400000.0073,wheat
840,United States of America,5,60617596.883668706,49751179.9999994,166168941199997.97,1144277139999.986,6069643959999.926,wheat
398,Kazakhstan,6,9486372.63528769,14257950.139999881,47621553467599.6,327932853219.99725,1739469917079.9854,wheat
860,Uzbekistan,7,3987373.506006241,6157844.000000014,20567198960000.047,141630412000.0003,751256968000.0016,wheat
598,Papua New Guinea,8,0,0,0,0,0,wheat
360,Indonesia,9,0,0,0,0,0,wheat
032,Argentina,10,14084215.738427605,19776942.00000006,66054986280000.2,454869666000.00134,2412786924000.0073,wheat
152,Chile,11,1132783.6060107648,1230988.0000000007,4111499920000.0024,28312724000.000015,150180536000.0001,wheat
180,Democratic Republic of the Congo,12,9168.234800185077,9000.000000000025,30060000000.000084,207000000.00000057,1098000000.000003,wheat
706,Somalia,13,2993.360688287765,1049.32,3504728800,24134359.999999996,128017039.99999999,wheat
404,Kenya,14,248430.93487124145,404699.99999999825,1351697999999.9941,9308099999.999958,49373399999.99978,wheat
729,Sudan,15,181156.81450845394,0,0,0,0,wheat
148,Chad,16,3316.4410814208677,1814.9999999999995,6062099999.999999,41744999.999999985,221429999.99999994,wheat
332,Haiti,17,0,0,0,0,0,wheat
214,Dominican Republic,18,0,0,0,0,0,wheat
643,Russia,19,36936489.15325625,85896325.70000023,286893727838000.75,1975615491100.0051,10479351735400.027,wheat
044,The Bahamas,20,0,0,0,0,0,wheat
238,United Kingdom,21,0,0,0,0,0,wheat
578,Norway,22,133300.6479285833,322500.0000000003,1077150000000.001,7417500000.000006,39345000000.00003,wheat
304,Denmark,23,0,0,0,0,0,wheat
260,France,24,0,0,0,0,0,wheat
626,East Timor,25,0,0,0,0,0,wheat
710,South Africa,26,1863206.773990839,2119999.9999999977,7080799999999.992,48759999999.99995,258639999999.9997,wheat
426,Lesotho,27,23104.559046093374,2004,6693360000,46092000,244488000,wheat
484,Mexico,28,2911401.807507052,2986689.2400000035,9975542061600.012,68693852520.00008,364376087280.0004,wheat
858,Uruguay,29,344922.43656529364,776299.9999999988,2592841999999.996,17854899999.999973,94708599999.99985,wheat
076,Brazil,30,2946537.9290797426,6344079.000000011,21189223860000.04,145913817000.00024,773977638000.0013,wheat
068,Bolivia,31,124887.46440651827,311310.0000000003,1039775400000.001,7160130000.000006,37979820000.00003,wheat
604,Peru,32,144325.51103332895,186834.99999999994,624028899999.9999,4297204999.999999,22793869999.999992,wheat
