ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,yam
834,United Republic of Tanzania,2,9032.53837186005,9529.200000000028,9624492000.000029,19058400.000000056,123879600.00000037,yam
732,Western Sahara,3,0,0,0,0,0,yam
124,Canada,4,0,0,0,0,0,yam
840,United States of America,5,0,0,0,0,0,yam
398,Kazakhstan,6,0,0,0,0,0,yam
860,Uzbekistan,7,0,0,0,0,0,yam
598,Papua New Guinea,8,240021.13438498974,378456.79000000015,382241357900.0001,756913580.0000004,4919938270.000002,yam
360,Indonesia,9,1105.4311790466309,0,0,0,0,yam
032,Argentina,10,187.89046022295952,0,0,0,0,yam
152,Chile,11,0,0,0,0,0,yam
180,Democratic Republic of the Congo,12,95885.81089805625,115141.00000000007,116292410000.00008,230282000.00000015,1496833000.000001,yam
706,Somalia,13,4.520122528076172,0,0,0,0,yam
404,Kenya,14,7514.379448123276,8009.160000000017,8089251600.000016,16018320.000000034,104119080.00000022,yam
729,Sudan,15,111880.93260844797,0,0,0,0,yam
148,Chad,16,122361.38769482821,462899.2900000002,467528282900.0002,925798580.0000005,6017690770.000003,yam
332,Haiti,17,195494.85361766815,51913.999999999956,52433139999.999954,103827999.99999993,674881999.9999995,yam
214,Dominican Republic,18,14838.074896872044,30276.739999999998,30579507400,60553480,393597620,yam
643,Russia,19,0,0,0,0,0,yam
044,The Bahamas,20,0,0,0,0,0,yam
238,United Kingdom,21,0,0,0,0,0,yam
578,Norway,22,0,0,0,0,0,yam
304,Denmark,23,0,0,0,0,0,yam
260,France,24,0,0,0,0,0,yam
626,East Timor,25,0,0,0,0,0,yam
710,South Africa,26,0,0,0,0,0,yam
426,Lesotho,27,0,0,0,0,0,yam
484,Mexico,28,0,0,0,0,0,yam
858,Uruguay,29,47.64556966908276,0,0,0,0,yam
076,Brazil,30,225358.8486394059,252123.29999999894,254644532999.99893,504246599.9999979,3277602899.9999866,yam
068,Bolivia,31,54.76819648779929,0,0,0,0,yam
