ISO_N3_EH,SOVEREIGNT,num,totalanimaldens_15,totalanimaldens_20,totalanimalvol_20,totalcalories_20,totalfats_20,totalprt_20,animal
242,Fiji,1,4926513.773132324,12927000.000000004,25367.944800000023,46930697880.000046,3145625155.200003,4337918560.800004,chickenmeat
834,United Republic of Tanzania,2,34412606.997305274,111532999.99999994,80604.89909999992,149119063334.99985,9995007488.39999,13783437746.099987,chickenmeat
732,Western Sahara,3,0,0,0,0,0,0,chickenmeat
124,Canada,4,166255792.93650907,755495999.9999973,1305194.8896000008,2414610545760.0015,161844166310.4001,223188326121.60016,chickenmeat
840,United States of America,5,1998099661.1826136,9346659999.999966,18813891.91400007,34805700040900.13,2332922597336.009,3217175517294.012,chickenmeat
398,Kazakhstan,6,34975061.21715388,132167999.9999989,228624.2063999993,422954781839.99866,28349401593.59991,39094739294.39988,chickenmeat
860,Uzbekistan,7,54429140.802291274,51389999.99999993,101402.74799999985,187595083799.99973,12573940751.99998,17339869907.999973,chickenmeat
598,Papua New Guinea,8,4273847.644447327,7389000.000000017,6650.1,12302685000,824612400,1137167100,chickenmeat
360,Indonesia,9,1869322585.795946,4672835000.00003,3642007.5990000083,6737714058150.016,451608942276.00104,622783299429.0015,chickenmeat
032,Argentina,10,115140420.59802105,757487999.9999995,2219212.593600005,4105543298160.0093,275182361606.40063,379485353505.6009,chickenmeat
152,Chile,11,102572078.10039094,291414000.00000036,695721.7836000007,1287085299660.0012,86269501166.40009,118968424995.60013,chickenmeat
180,Democratic Republic of the Congo,12,20271182.113144822,16621000.000000073,10471.22999999998,19371775499.99996,1298432519.9999974,1790580329.9999967,chickenmeat
706,Somalia,13,2997332.2981238365,4941999.999999991,3953.5999999999913,7314159999.999984,490246399.9999989,676065599.9999986,chickenmeat
404,Kenya,14,41339789.9523869,49436999.99999989,69211.80000000018,128041830000.00034,8582263200.000023,11835217800.000032,chickenmeat
729,Sudan,15,46129722.49672538,33999999.99999998,80355.59999999973,148657859999.99948,9964094399.999966,13740807599.999954,chickenmeat
148,Chad,16,6731080.6706517115,8084999.999999991,6456.680999999983,11944859849.999968,800628443.9999979,1104092450.9999971,chickenmeat
332,Haiti,17,8462388.720214844,9670000.000000004,8703,16100550000,1079172000,1488213000.0000002,chickenmeat
214,Dominican Republic,18,167817797.7390747,191527000,292136.1331000002,540451846235.00037,36224880504.400024,49955278760.10004,chickenmeat
643,Russia,19,474209200.54904497,2497983999.9999976,4576806.2847999055,8467091626879.825,567523979315.1882,782633874700.7839,chickenmeat
044,The Bahamas,20,2282817.259765625,5406000,6215.818800000005,11499264780.000008,770761531.2000005,1062905014.8000009,chickenmeat
238,United Kingdom,21,0,0,0,0,0,0,chickenmeat
578,Norway,22,12214509.293034948,67804000,98153.07040000004,181583180240.00006,12170980729.600004,16784175038.400007,chickenmeat
304,Denmark,23,0,0,0,0,0,0,chickenmeat
260,France,24,0,0,0,0,0,0,chickenmeat
626,East Timor,25,818451.5571899414,1049999.9999999993,839.9999999999997,1553999999.9999993,104159999.99999996,143639999.99999994,chickenmeat
710,South Africa,26,161294401.51886797,986812999.999994,1886983.818600001,3490920064410.002,233985993506.40015,322674232980.6002,chickenmeat
426,Lesotho,27,430584.06552124023,1445000.0000000014,1156.000000000001,2138600000.0000017,143344000.00000012,197676000.00000018,chickenmeat
484,Mexico,28,534400907.2343887,1961065999.9999955,3578749.343400018,6620686285290.032,443764918581.6022,611966137721.4031,chickenmeat
858,Uruguay,29,37385147.464434624,29699999.99999999,70290.98999999998,130038331499.99995,8716082759.999998,12019759289.999996,chickenmeat
076,Brazil,30,1324251482.8829038,5953807999.999956,13787233.18559992,25506381393359.85,1709616915014.3901,2357616874737.5864,chickenmeat
068,Bolivia,31,196559697.26770234,163365999.99999914,471098.53420000104,871532288270.002,58416218240.80013,80557849348.20018,chickenmeat
604,Peru,32,150515446.94910258,753602000.000001,1723487.7739999949,3188452381899.9907,213712483975.9994,294716409353.9992,chickenmeat
170,Colombia,33,149089271.38922372,1063799999.9999976,1619741.8799999908,2996522477999.983,200847993119.99887,276975861479.9985,chickenmeat
591,Panama,34,23829404.46261382,121265000.00000016,182685.72249999965,337968586624.9993,22653029589.999958,31239258547.499943,chickenmeat
188,Costa Rica,35,24066240.60546112,77765000,137496.29650000005,254368148525.0001,17049540766.000006,23511866701.50001,chickenmeat
558,Nicaragua,36,22960365.73751068,63172000.00000003,140671.40960000004,260242107760.0001,17443254790.400005,24054811041.60001,chickenmeat
340,Honduras,37,45332778.03363037,100141000.00000012,198579.60299999992,367372265549.9998,24623870771.99999,33957112112.999985,chickenmeat
222,El Salvador,38,16446434.911636353,124320000,131542.99199999997,243354535199.99997,16311331007.999998,22493851631.999996,chickenmeat
320,Guatemala,39,35994911.547042474,238678000.00000003,427591.63699999964,791044528449.9993,53021362987.999954,73118169926.99994,chickenmeat
084,Belize,40,1616246.1390533447,10721000.000000006,18298.60279999999,33852415179.999985,2269026747.199999,3129061078.7999988,chickenmeat
862,Venezuela,41,123194885.71995072,231149999.9999984,455065.00499999884,841870259249.9979,56428060619.99986,77816115854.99982,chickenmeat
328,Guyana,42,22599809.25467682,31903000.00000001,42746.82969999988,79081634944.99979,5300606882.799985,7309707878.69998,chickenmeat
740,Suriname,43,4971328.734525174,6872000.000000006,10868.067999999985,20105925799.999973,1347640431.999998,1858439627.9999976,chickenmeat
250,France,44,245675271.38876894,770477999.9999967,1129983.0347999965,2090468614379.9937,140117896315.1996,193227098950.79944,chickenmeat
218,Ecuador,45,159793028.90420055,215259999.99999976,452045.99999999994,836285099999.9999,56053703999.99999,77299865999.99998,chickenmeat
630,United States of America,46,14634647.420341492,24698000,26370.054600000003,48784601010.00001,3269886770.4000006,4509279336.600001,chickenmeat
388,Jamaica,47,13432201.69921875,75021999.99999997,123636.25599999994,228727073599.99988,15330895743.999992,21141799775.99999,chickenmeat
192,Cuba,48,31489138.156777382,16713999.999999993,23999.632599999964,44399320309.99993,2975954442.399996,4103937174.599994,chickenmeat
716,Zimbabwe,49,9544990.281998634,71206999.99999988,111545.76549999953,206359666174.9991,13831674921.99994,19074325900.49992,chickenmeat
072,Botswana,50,814258.881905172,2415999.9999999986,1328.800000000004,2458280000.0000076,164771200.0000005,227224800.00000072,chickenmeat
516,Namibia,51,4363797.338535428,14005999.999999993,11615.175800000019,21488075230.000034,1440281799.2000024,1986195061.8000035,chickenmeat
686,Senegal,52,58568537.23434353,84757999.9999999,121831.14919999987,225387626019.99973,15107062500.799982,20833126513.199978,chickenmeat
466,Mali,53,39182166.72549948,75859000.00000001,57053.55389999994,105549074714.9999,7074640683.599993,9756157716.89999,chickenmeat
478,Mauritania,54,5012109.271631837,6083999.999999988,3990.4956000000093,7382416860.000016,494821454.4000011,682374747.6000016,chickenmeat
204,Benin,55,18498679.237213135,17806000,9793.300000000003,18117605000.000004,1214369200.0000005,1674654300.0000007,chickenmeat
562,Niger,56,18350961.87137413,25096999.999999974,20077.600000000006,37143560000.00001,2489622400.000001,3433269600.0000014,chickenmeat
566,Nigeria,57,142122606.0917096,319109999.9999993,319110.0000000001,590353500000.0001,39569640000.000015,54567810000.00002,chickenmeat
120,Cameroon,58,51352022.85177094,38000000.0000001,44000.20000000002,81400370000.00003,5456024800.000002,7524034200.000004,chickenmeat
768,Togo,59,27114660.774902344,28542999.99999999,22834.399999999998,42243639999.99999,2831465599.9999995,3904682400,chickenmeat
288,Ghana,60,70908814.16012383,83970999.99999984,65413.409000000014,121014806650.00002,8111262716.000002,11185692939.000004,chickenmeat
384,Ivory Coast,61,64864503.32965469,66385999.99999999,69950.92820000014,129409217170.00026,8673915096.800018,11961608722.200026,chickenmeat
324,Guinea,62,27840838.072784424,9495999.999999996,13627.709599999996,25211262759.999996,1689835990.3999996,2330338341.6,chickenmeat
624,Guinea-Bissau,63,2009222.87890625,3531999.999999998,3004.3192000000013,5557990520.000002,372535580.80000013,513738583.2000002,chickenmeat
430,Liberia,64,7350493.573287964,16578999.999999994,14025.833999999995,25947792899.99999,1739203415.9999993,2398417613.999999,chickenmeat
694,Sierra Leone,65,12249733.40189743,22986000.000000022,20232.277199999993,37429712819.99999,2508802372.799999,3459719401.1999993,chickenmeat
854,Burkina Faso,66,43664928.85978699,122797999.99999984,147357.59999999954,272611559999.99918,18272342399.999943,25198149599.999924,chickenmeat
140,Central African Republic,67,6656313.860424042,7142999.999999985,6359.4129000000185,11764913865.000034,788567199.6000023,1087459605.9000032,chickenmeat
178,Republic of the Congo,68,2817511.366047144,6844000.000000002,6843.999999999983,12661399999.999968,848655999.9999979,1170323999.9999971,chickenmeat
266,Gabon,69,3204132.193529129,5100999.999999988,4080.8000000000034,7549480000.000007,506019200.0000005,697816800.0000007,chickenmeat
226,Equatorial Guinea,70,334341.6137742996,322999.9999999999,258.39999999999975,478039999.9999996,32041599.99999997,44186399.99999996,chickenmeat
894,Zambia,71,37292266.188033104,48322999.99999999,49951.485100000034,92410247435.00006,6193984152.400004,8541703952.100007,chickenmeat
454,Malawi,72,17713383.65643692,46200000.000000015,138636.95999999985,256478375999.99973,17190983039.99998,23706920159.999977,chickenmeat
508,Mozambique,73,16018344.642537117,42446999.999999985,120137.74409999963,222254826584.99933,14897080268.399956,20543554241.09994,chickenmeat
748,eSwatini,74,3679830.8099365234,5799999.999999997,5588.3,10338355000,692949200,955599300.0000001,chickenmeat
024,Angola,75,35506591.03240299,49488999.99999958,52230.690600000016,96626777610.00003,6476605634.4000025,8931448092.600004,chickenmeat
108,Burundi,76,2286512.5731811523,7750999.999999996,7950.975799999997,14709305229.999994,985920999.1999997,1359616861.7999997,chickenmeat
376,Israel,77,46938342.20178223,529913000.0000002,578188.0743000002,1069647937455.0004,71695321213.20003,98870160705.30003,chickenmeat
422,Lebanon,78,59412428.0234375,53134000.000000015,126012.59440000003,233123299640.00003,15625561705.600004,21548153642.400005,chickenmeat
450,Madagascar,79,36532569.99976349,64081000.00000021,51264.80000000008,94839880000.00015,6356835200.0000105,8766280800.000015,chickenmeat
275,Israel,80,4805525.765625,25651999.999999993,42123.14919999999,77927826019.99998,5223270500.799999,7203058513.2,chickenmeat
270,Gambia,81,1594520.1220703125,1112000,1112.0000000000002,2057200000.0000002,137888000.00000003,190152000.00000006,chickenmeat
788,Tunisia,82,86463597.04648495,102565999.99999997,144002.66400000002,266404928400.00003,17856330336.000004,24624455544.000008,chickenmeat
012,Algeria,83,131735738.47177683,272146000.00000286,272146.0000000006,503470100000.00104,33746104000.000072,46536966000.0001,chickenmeat
400,Jordan,84,26363271.87538202,215000000.00000012,217580.00000000006,402523000000.00006,26979920000.000008,37206180000.00001,chickenmeat
784,United Arab Emirates,85,22258526.652706146,41981000.00000002,54100.914700000045,100086692195.00009,6708513422.800006,9251256413.700008,chickenmeat
634,Qatar,86,7665036.14453125,27999999.999999993,34761.99999999999,64309699999.99999,4310487999.999999,5944301999.999999,chickenmeat
414,Kuwait,87,46622926.40356445,47402000.00000002,62551.67920000001,115720606520.00002,7756408220.800002,10696337143.200003,chickenmeat
368,Iraq,88,46548572.88962267,115100000.00000004,156547.51000000024,289612893500.0004,19411891240.00003,26769624210.000042,chickenmeat
512,Oman,89,5005835.995077133,8233000.000000001,6550.174799999994,12117823379.999989,812221675.1999993,1120079890.799999,chickenmeat
548,Vanuatu,90,493622.5390625,648000,648,1198800000,80352000,110808000.00000001,chickenmeat
116,Cambodia,91,13242079.217859745,16875999.999999996,16875.999999999985,31220599999.999973,2092623999.9999983,2885795999.9999976,chickenmeat
764,Thailand,92,270717324.1346854,1252713000.000003,1756804.711199997,3250088715719.994,217843784188.79962,300413605615.1995,chickenmeat
418,Laos,93,33648164.64108324,43954000.000000015,35317.03900000006,65336522150.00011,4379312836.000008,6039213669.0000105,chickenmeat
104,Myanmar,94,316991358.8765402,470231000.0000008,623103.0980999989,1152740731484.9978,77264784164.39986,106550629775.09981,chickenmeat
704,Vietnam,95,255581978.42181683,618513999.9999993,1146291.9961999978,2120640192969.996,142140207528.79974,196015931350.19965,chickenmeat
408,North Korea,96,17285936.717559814,28810999.99999999,31692.099999999955,58630384999.99991,3929820399.9999943,5419349099.999992,chickenmeat
410,South Korea,97,157323050.51957703,1051816999.9999988,961991.828199999,1779684882169.9983,119286986696.79988,164500602622.19986,chickenmeat
496,Mongolia,98,846690.8636177068,387000.0000000011,538.5492000000061,996316020.0000112,66780100.80000075,92091913.20000105,chickenmeat
356,India,99,753063305.6811435,2797362000.000007,4472702.101799974,8274498888329.952,554615060623.1968,764832059407.7957,chickenmeat
050,Bangladesh,100,247785634.77294922,300720000.0000003,210503.99999999994,389432399999.99994,26102495999.999996,35996183999.99999,chickenmeat
064,Bhutan,101,591854.7990265936,2093999.9999999998,1834.9722000000002,3394698570,227536552.8,313780246.20000005,chickenmeat
524,Nepal,102,50540725.42576887,290000000.00000006,254997.00000000017,471744450000.00037,31619628000.000023,43604487000.00004,chickenmeat
586,Pakistan,103,464307028.27662826,1400000000.000001,1657040.000000002,3065524000000.004,205472960000.00027,283353840000.00037,chickenmeat
004,Afghanistan,104,13221359.078420997,34435999.99999998,28168.647999999932,52111998799.99988,3492912351.999992,4816838807.9999895,chickenmeat
762,Tajikistan,105,5702838.925772667,12999999.999999987,21400.59999999999,39591109999.999985,2653674399.999999,3659502599.9999986,chickenmeat
417,Kyrgyzstan,106,4230055.369398743,6666000.00000002,9499.050000000021,17573242500.00004,1177882200.0000026,1624337550.0000038,chickenmeat
795,Turkmenistan,107,20987812.407171488,16826999.99999999,23090.009399999963,42716517389.99993,2863161165.599995,3948391607.399994,chickenmeat
364,Iran,108,930857832.8009491,1836393000.0000014,2430466.135500006,4496362350675.011,301377800802.00073,415609709170.50104,chickenmeat
760,Syria,109,20730405.359291792,99288999.99999999,125709.80290000002,232563135365.00003,15588015559.600004,21496376295.900005,chickenmeat
051,Armenia,110,4081138.574142456,11609000.000000002,12599.247699999989,23308608244.99998,1562306714.7999988,2154471356.6999984,chickenmeat
752,Sweden,111,8113520.7712073885,107185999.99999991,166835.00899999982,308644766649.99963,20687541115.999977,28528786538.99997,chickenmeat
112,Belarus,112,45818802.629314184,446499999.9999989,535800.0000000008,991230000000.0016,66439200000.00011,91621800000.00015,chickenmeat
804,Ukraine,113,195126689.21698666,754120000.0000024,1343992.6639999957,2486386428399.9917,166655090335.99945,229822745543.99927,chickenmeat
616,Poland,114,145438473.6970787,1178807000.000002,2200243.265500003,4070450041175.006,272830164922.0004,376241598400.50055,chickenmeat
040,Austria,115,17022902.545547485,97991000.00000003,124997.31960000026,231245041260.0005,15499667630.400032,21374541651.600048,chickenmeat
348,Hungary,116,30133189.48249054,182492999.99999994,354474.4032000003,655777645920.0005,43954825996.80003,60615122947.20005,chickenmeat
498,Moldova,117,35706389.75802612,39994000.000000015,45461.17980000001,84103182630.00002,5637186295.200002,7773861745.800003,chickenmeat
642,Romania,118,0,0,0,0,0,0,chickenmeat
440,Lithuania,119,10316408.76041007,53424999.999999985,97062.54000000008,179565699000.00015,12035754960.000011,16597694340.000015,chickenmeat
428,Latvia,120,3872160.452697277,20874000.000000045,35139.29159999998,65007689459.99997,4357272158.399998,6008818863.5999975,chickenmeat
233,Estonia,121,0,0,0,0,0,0,chickenmeat
276,Germany,122,139222582.6873932,623161000.0000004,1065979.2066000025,1972061532210.0046,132181421618.40031,182282444328.60043,chickenmeat
100,Bulgaria,123,12953840.849771976,51067999.99999991,86897.3088000001,160760021280.00018,10775266291.200012,14859439804.800018,chickenmeat
300,Greece,124,32238949.801338196,141123000.00000006,236522.14800000025,437565973800.0004,29328746352.00003,40445287308.000046,chickenmeat
792,Turkey,125,308120441.2272059,1200707000.0000021,2138459.1670000073,3956149458950.013,265168936708.00092,365676517557.0013,chickenmeat
008,Albania,126,8843818.338873863,10785000,12233.42550000001,22631837175.00002,1516944762.0000014,2091915760.500002,chickenmeat
191,Croatia,127,9991372.25494957,38248000.000000015,56649.11279999996,104800858679.99994,7024489987.199996,9686998288.799995,chickenmeat
756,Switzerland,128,10836556.547835112,81046000.00000004,103487.63739999989,191452129189.9998,12832467037.599987,17696385995.399982,chickenmeat
442,Luxembourg,129,105053.83827590942,0,0,0,0,0,chickenmeat
056,Belgium,130,35516698.22161484,297295000.0000003,441304.6979999999,816413691299.9999,54721782551.99999,75463103357.99998,chickenmeat
528,Netherlands,131,107965703.70158386,597529000.0000002,995722.3255999996,1842086302359.9993,123469568374.39996,170268517677.59995,chickenmeat
620,Portugal,132,11903880.83583349,201876999.9999999,297385.0087000001,550162266095.0002,36875741078.80002,50852836487.70003,chickenmeat
724,Spain,133,133540489.13240567,696387000.0000001,1401409.1988000036,2592607017780.007,173774740651.20044,239640972994.80063,chickenmeat
372,Ireland,134,10154998.337730408,102795999.99999997,152138.07999999993,281455447999.9999,18865121919.999992,26015611679.99999,chickenmeat
540,France,135,496890.93889045715,540999.9999999999,937.8776000000001,1735073560.0000002,116296822.40000002,160377069.60000005,chickenmeat
090,Solomon Islands,136,177789.5971069336,355999.9999999997,284.8,526880000,35315200,48700800.00000001,chickenmeat
554,New Zealand,137,20894898.58824539,118702000.00000007,217200.91959999935,401821701259.9988,26932914030.399918,37141357251.59989,chickenmeat
036,Australia,138,87832299.87809287,658260999.9999927,1246548.8556999962,2306115383044.993,154572058106.79953,213159854324.69937,chickenmeat
144,Sri Lanka,139,16363035.712723494,181156000.00000006,216155.33920000005,399887377520.00006,26803262060.800007,36962563003.20001,chickenmeat
156,China,140,4673302614.196342,10940662999.999908,14600314.773500197,27010582330975.36,1810439031914.0242,2496653826268.5337,chickenmeat
158,Taiwan,141,90171115.73774147,379596000.00000006,656928.8376000004,1215318349560.001,81459175862.40005,112334831229.6001,chickenmeat
380,Italy,142,137352017.26666853,573845999.9999989,1066894.4831999997,1973754793919.9993,132294915916.79996,182438956627.19995,chickenmeat
208,Denmark,143,15900846.37621808,103342999.99999999,165100.77679999988,305436437079.99976,20472496323.199986,28232232832.79998,chickenmeat
826,United Kingdom,144,156247025.8902521,1155000000.0000038,1793945.9999999998,3318800099999.9995,222449303999.99997,306764765999.99994,chickenmeat
352,Iceland,145,219278.35172999173,5476000.000000008,9069.898799999999,16779312779.999998,1124667451.1999998,1550952694.8,chickenmeat
031,Azerbaijan,146,31599301.326400757,97760000.00000001,115386.1279999998,213464336799.9996,14307879871.999973,19731027887.999966,chickenmeat
268,Georgia,147,6685998.131254017,15427000.000000019,23700.50009999998,43845925184.99996,2938862012.3999977,4052785517.0999966,chickenmeat
608,Philippines,148,162464912.0006485,1120638999.9999993,1393626.660400001,2578209321740.002,172809705889.60016,238310158928.4002,chickenmeat
458,Malaysia,149,284613069.3900776,820126000.0000013,1628606.2108000007,3012921489980.0015,201947170139.2001,278491662046.8002,chickenmeat
096,Brunei,150,18542044.8046875,17576999.999999993,27033.426000000003,50011838100.00001,3352144824.000001,4622715846.000001,chickenmeat
705,Slovenia,151,3448976.3005919456,39629000.00000004,67040.3793,124024701705,8313007033.2,11463904860.300001,chickenmeat
246,Finland,152,7355733.1794409035,79766999.99999997,136888.1487000001,253243075095.00018,16974130438.800013,23407873427.70002,chickenmeat
703,Slovakia,153,0,0,0,0,0,0,chickenmeat
203,Czechia,154,21627011.563417435,121178000.0000002,161166.74000000002,298158469000.00006,19984675760.000004,27559512540.000008,chickenmeat
232,Eritrea,155,1446948.1187934875,1692000.000000003,1186.0919999999999,2194270199.9999995,147075407.99999997,202821731.99999997,chickenmeat
392,Japan,156,290719865.08745193,817840000.0000001,2331661.8400000064,4313574404000.012,289126068160.0008,398714174640.00116,chickenmeat
600,Paraguay,157,17129873.257520437,74441000.00000007,74440.99999999983,137715849999.99966,9230683999.999979,12729410999.999971,chickenmeat
887,Yemen,158,63915837.37477112,191871999.9999995,193080.79360000035,357199468160.0007,23942018406.400043,33016815705.600063,chickenmeat
682,Saudi Arabia,159,184543297.71441382,635365999.9999982,899995.9390000041,1664992487150.0073,111599496436.0005,153899305569.0007,chickenmeat
010,Antarctica,160,0,0,0,0,0,0,chickenmeat
-99,Northern Cyprus,161,0,0,0,0,0,0,chickenmeat
196,Cyprus,162,1738424.35546875,13264000.000000006,26529.326400000005,49079253840.00001,3289636473.600001,4536514814.400002,chickenmeat
504,Morocco,163,188886887.7889328,681304000.0000005,535028.0312000014,989801857720.0024,66343475868.80017,91489793335.20024,chickenmeat
818,Egypt,164,142557599.03131104,1446331999.9999983,2033976.6915999998,3762856879459.9995,252213109758.39996,347810014263.6,chickenmeat
434,Libya,165,31344166.613307223,108276000.00000046,129747.13080000023,240032191980.00043,16088644219.20003,22186759366.80004,chickenmeat
231,Ethiopia,166,60991001.46159172,84514999.99999972,67611.99999999968,125082199999.9994,8383887999.99996,11561651999.999947,chickenmeat
262,Djibouti,167,0,0,0,0,0,0,chickenmeat
-99,Somaliland,168,0,0,0,0,0,0,chickenmeat
800,Uganda,169,33336319.52219054,50766999.99999993,68200.38779999991,126170717429.99982,8456848087.199988,11662266313.799984,chickenmeat
646,Rwanda,170,4577249.311157227,5016000.000000003,15025.929599999989,27797969759.999977,1863215270.3999987,2569433961.599998,chickenmeat
070,Bosnia and Herzegovina,171,14955274.285339355,41453000.000000015,65930.99649999998,121972343524.99995,8175443565.999997,11274200401.499996,chickenmeat
807,North Macedonia,172,1738989.5942382812,1943000.0000000002,1494.3612999999987,2764568404.9999976,185300801.19999984,255535782.2999998,chickenmeat
688,Republic of Serbia,173,15048567.381072998,71542999.99999999,113975.15329999998,210854033604.99997,14132919009.199997,19489751214.3,chickenmeat
499,Montenegro,174,618309.8840589523,2299000,1264.45,2339232500,156791800,216220950.00000003,chickenmeat
-99,Kosovo,175,0,0,0,0,0,0,chickenmeat
780,Trinidad and Tobago,176,35011583.1953125,32686000,47103.7946,87142020010,5840870530.400001,8054748876.6,chickenmeat
728,South Sudan,177,15071792.77768135,30000000.000000004,34865.99999999996,64502099999.99993,4323383999.999995,5962085999.999994,chickenmeat
