ISO_N3_EH,SOVEREIGNT,num,totalanimaldens_15,totalanimaldens_20,totalanimalvol_20,totalcalories_20,totalfats_20,totalprt_20,animal
242,Fiji,1,65700.7646408081,32619.999999999993,12392.337999999996,7559326179.999997,408947153.9999998,408947153.9999998,cowsmilk
834,United Republic of Tanzania,2,26247851.456510782,7512685.999999997,3002820.594200012,1831720562462.0073,99093079608.60039,99093079608.60039,cowsmilk
732,Western Sahara,3,0,0,0,0,0,0,cowsmilk
124,Canada,4,11502707.754066419,980700.0000000027,9640575.209999977,5880750878099.986,318138981929.9992,318138981929.9992,cowsmilk
840,United States of America,5,89117708.58621615,9342600.000000093,101291534.93999888,61787836313399.31,3342620653019.963,3342620653019.963,cowsmilk
398,Kazakhstan,6,6217458.202184066,2539679.0000000102,6004309.091800022,3662628545998.0137,198142200029.40073,198142200029.40073,cowsmilk
860,Uzbekistan,7,10997717.758542776,4024308.0000000014,10930020.528,6667312522080.001,360690677424.00006,360690677424.00006,cowsmilk
598,Papua New Guinea,8,90617.51635610312,1619.9999999999932,163.29600000000002,99610560.00000001,5388768.000000001,5388768.000000001,cowsmilk
360,Indonesia,9,13463902.415329047,568000.0000000002,946912.7999999989,577616807999.9993,31248122399.99996,31248122399.99996,cowsmilk
032,Argentina,10,51384877.71630686,1547298.9999999886,11446608.542199938,6982431210741.962,377738081892.5979,377738081892.5979,cowsmilk
152,Chile,11,2717896.833516758,586778.9999999987,2343654.0039000013,1429628942379.0007,77340582128.70003,77340582128.70003,cowsmilk
180,Democratic Republic of the Congo,12,1040170.1894979592,9381.999999999969,8425.036000000002,5139271960.000001,278026188.00000006,278026188.00000006,cowsmilk
706,Somalia,13,2494435.8277845383,1186008.9999999981,456376.26320000185,278389520552.0011,15060416685.60006,15060416685.60006,cowsmilk
404,Kenya,14,18786836.57124746,5112340.000000021,4047950.8119999943,2469249995319.9966,133582376795.99982,133582376795.99982,cowsmilk
729,Sudan,15,30272080.198768444,8226489.999999999,3010895.339999992,1836646157399.995,99359546219.99973,99359546219.99973,cowsmilk
148,Chad,16,25087297.318965383,1179124.0000000007,242781.63160000055,148096795276.0003,8011793842.800016,8011793842.800016,cowsmilk
332,Haiti,17,1420762.8430786133,194818.00000000006,49717.55360000002,30327707696.000015,1640679268.8000007,1640679268.8000007,cowsmilk
214,Dominican Republic,18,2944189.396323204,560000.0000000007,891519.9999999995,543827199999.99976,29420159999.999985,29420159999.999985,cowsmilk
643,Russia,19,19266779.710322764,6571602.999999974,31959676.869900037,19495402890639.023,1054669336706.7012,1054669336706.7012,cowsmilk
044,The Bahamas,20,591.6591651439667,672.0000000000002,677.6447999999998,413363327.9999999,22362278.39999999,22362278.39999999,cowsmilk
238,United Kingdom,21,0,0,0,0,0,0,cowsmilk
578,Norway,22,768432.2592165661,213510.99999999948,1547015.3015999992,943679333975.9995,51051504952.79997,51051504952.79997,cowsmilk
304,Denmark,23,0,0,0,0,0,0,cowsmilk
260,France,24,0,0,0,0,0,0,cowsmilk
626,East Timor,25,0,0,0,0,0,0,cowsmilk
710,South Africa,26,13592621.975749373,1001111.0000000029,3852975.9056999693,2350315302476.9814,127148204888.09898,127148204888.09898,cowsmilk
426,Lesotho,27,451575.8581542969,123333.00000000001,173332.19819999998,105732640901.99998,5719962540.599998,5719962540.599998,cowsmilk
484,Mexico,28,33377545.767445832,2606311,12940594.746100042,7893762795121.026,427039626621.3014,427039626621.3014,cowsmilk
858,Uruguay,29,11967695.008026123,749000.0000000021,2271117.8000000017,1385381858000.001,74946887400.00005,74946887400.00005,cowsmilk
076,Brazil,30,214770297.59410536,15953935.000000194,36376567.19349964,22189705988034.78,1200426717385.488,1200426717385.488,cowsmilk
068,Bolivia,31,9078638.673682887,221000.00000000073,558776.4000000012,340853604000.0007,18439621200.00004,18439621200.00004,cowsmilk
604,Peru,32,5563614.25054705,906689.0000000008,2138063.3308999976,1304218631848.9985,70556089919.69992,70556089919.69992,cowsmilk
170,Colombia,33,22526934.52611078,3496793.9999999795,7071566.506200002,4313655568782.001,233361694704.60004,233361694704.60004,cowsmilk
591,Panama,34,1508345.2181919664,144471.00000000003,213773.73869999993,130401980606.99995,7054533377.0999975,7054533377.0999975,cowsmilk
188,Costa Rica,35,1326372.844521284,838332.9999999991,1201415.0222999984,732863163602.999,39646695735.89995,39646695735.89995,cowsmilk
558,Nicaragua,36,5072028.820957661,1036999.9999999998,1399742.600000002,853842986000.0012,46191505800.00006,46191505800.00006,cowsmilk
340,Honduras,37,2792371.144903183,500285,686040.8204999978,418484900504.99866,22639347076.499928,22639347076.499928,cowsmilk
222,El Salvador,38,1010315.1180114746,357374.0000000001,410408.3015999999,250349063975.99994,13543473952.799995,13543473952.799995,cowsmilk
320,Guatemala,39,3705813.190776348,702313.9999999997,558690.7870000004,340801380070.00024,18436795971.00001,18436795971.00001,cowsmilk
084,Belize,40,96627.43655109406,6122,4521.7092,2758242612,149216403.6,149216403.6,cowsmilk
862,Venezuela,41,16714899.804219201,3301383.9999999907,2762267.9928000057,1684983475608.0034,91154843762.40018,91154843762.40018,cowsmilk
328,Guyana,42,106935.39079687,38999.99999999999,55001.6999999999,33551036999.999943,1815056099.9999967,1815056099.9999967,cowsmilk
740,Suriname,43,37299.6273935996,999.9999999999999,3020.0000000000005,1842200000.0000002,99660000,99660000,cowsmilk
250,France,44,19157811.926700644,3405680.000000004,25234726.528000023,15393183182080.016,832745975424.0007,832745975424.0007,cowsmilk
218,Ecuador,45,4101346.9199157916,962520.0000000002,1788458.4120000044,1090959631320.0028,59019127596.000145,59019127596.000145,cowsmilk
630,United States of America,46,365317.34952545166,64999.99999999998,242001.5,147620915000,7986049500,7986049500,cowsmilk
388,Jamaica,47,154168.21768188477,5522.999999999998,12204.725400000003,7444882494.000002,402755938.20000005,402755938.20000005,cowsmilk
192,Cuba,48,3981827.6635756493,311399.9999999991,455329.08000000013,277750738800.00006,15025859640.000002,15025859640.000002,cowsmilk
716,Zimbabwe,49,5357380.152396202,944140.9999999991,408813.0529999992,249375962329.9995,13490830748.999973,13490830748.999973,cowsmilk
072,Botswana,50,1784551.51186347,133303.00000000003,177572.9263000005,108319485043.00029,5859906567.900016,5859906567.900016,cowsmilk
516,Namibia,51,2833770.43162328,221261.9999999993,100320.19080000001,61195316388.00001,3310566296.4,3310566296.4,cowsmilk
686,Senegal,52,3436581.223567486,813332.9999999998,220657.24290000007,134600918169.00003,7281689015.700001,7281689015.700001,cowsmilk
466,Mali,53,10356614.107567813,1995913.999999993,285016.5192000009,173860076712.00055,9405545133.600029,9405545133.600029,cowsmilk
478,Mauritania,54,1939002.3028400186,421651.0000000004,148631.97750000015,90665506275.00009,4904855257.500005,4904855257.500005,cowsmilk
204,Benin,55,2236700.692097664,465994.00000000006,95994.76399999988,58556806039.99992,3167827211.9999957,3167827211.9999957,cowsmilk
562,Niger,56,12263785.750875786,2420840.0000000056,822843.5159999991,501934544759.99945,27153836027.99997,27153836027.99997,cowsmilk
566,Nigeria,57,19943550.48248528,2198477.999999993,521039.2860000007,317833964460.0005,17194296438.000023,17194296438.000023,cowsmilk
120,Cameroon,58,5926156.918845862,319999.99999999936,188000.00000000023,114680000000.00015,6204000000.000008,6204000000.000008,cowsmilk
768,Togo,59,452231.42724990845,65791.99999999994,9408.256000000003,5739036160.000002,310472448.00000006,310472448.00000006,cowsmilk
288,Ghana,60,1758594.3488154411,363802.0000000002,48203.76499999999,29404296649.999996,1590724244.9999998,1590724244.9999998,cowsmilk
384,Ivory Coast,61,1542946.9449757338,318799.99999999924,34781.08000000003,21216458800.00002,1147775640.000001,1147775640.000001,cowsmilk
324,Guinea,62,6295652.312432289,731271.0000000001,209216.6330999997,127622146190.99982,6904148892.29999,6904148892.29999,cowsmilk
624,Guinea-Bissau,63,663755.7390365601,108083.99999999991,17693.350799999993,10792943987.999996,583880576.3999997,583880576.3999997,cowsmilk
430,Liberia,64,42062.779444471,6804.000000000007,8639.038799999993,5269813667.999995,285088280.39999974,285088280.39999974,cowsmilk
694,Sierra Leone,65,650907.4481806159,111232.99999999988,144580.6534000004,88194198574.00023,4771161562.200012,4771161562.200012,cowsmilk
854,Burkina Faso,66,9280977.119297981,1660000.0000000054,216298.00000000006,131941780000.00003,7137834000.000001,7137834000.000001,cowsmilk
140,Central African Republic,67,4399422.342644617,323480.99999999977,80546.76899999996,49133529089.99997,2658043376.999998,2658043376.999998,cowsmilk
178,Republic of the Congo,68,328367.5530890785,3432.0000000000023,4543.624800000006,2771611128.000004,149939618.40000018,149939618.40000018,cowsmilk
266,Gabon,69,39036.068898528814,8097.000000000009,10601.40210000001,6466855281.000007,349846269.3000003,349846269.3000003,cowsmilk
226,Equatorial Guinea,70,0,0,0,0,0,0,cowsmilk
894,Zambia,71,3841802.2601204664,333072.9999999992,438390.68260000006,267418316386.00006,14466892525.800003,14466892525.800003,cowsmilk
