ISO_N3_EH,SOVEREIGNT,num,totalanimaldens_15,totalanimaldens_20,totalanimalvol_20,totalcalories_20,totalfats_20,totalprt_20,animal
242,Fiji,1,4926513.773132324,467000.00000000006,8156014.900000004,13294304287000.008,986877802900.0005,921629683700.0006,eggs
834,United Republic of Tanzania,2,34412606.997305274,24607999.999999862,182303446.39999962,297154617631999.4,22058717014399.953,20600289443199.957,eggs
732,Western Sahara,3,0,0,0,0,0,0,eggs
124,Canada,4,166255792.93650907,34126000.00000008,604282732.4000006,984980853812001,73118210620400.06,68283948761200.07,eggs
840,United States of America,5,1998099661.1826136,391771999.9999984,6658791975.200063,10853830919576102,805713828999207.5,752443493197607.1,eggs
398,Kazakhstan,6,34975061.21715388,20782999.99999999,252359655.80000114,411346238954001.8,30535518351800.137,28516641105400.13,eggs
860,Uzbekistan,7,54429140.802291274,34747999.99999996,433599443.1999998,706767092415999.6,52465532627199.98,48996737081599.984,eggs
598,Papua New Guinea,8,4273847.644447327,1700999.9999999972,5500353.600000011,8965576368000.018,665542785600.0012,621539956800.0012,eggs
360,Indonesia,9,1869322585.795946,345180999.99999887,5141574549.299997,8380766515358996,622130520465299.75,580997924070899.75,eggs
032,Argentina,10,115140420.59802105,44799999.999999955,872999680.0000001,1422989478400000.2,105632961280000.02,98648963840000.02,eggs
152,Chile,11,102572078.10039094,13025999.999999985,228040971.59999985,371706783707999.75,27592957563599.98,25768629790799.984,eggs
180,Democratic Republic of the Congo,12,20271182.113144822,2900000.0000000033,8859209.99999997,14440512299999.951,1071964409999.9962,1001090729999.9966,eggs
706,Somalia,13,2997332.2981238365,826000.0000000019,2690447.1999999993,4385428935999.9985,325544111199.9999,304020533599.99994,eggs
404,Kenya,14,41339789.9523869,21050999.999999918,110368287.89999984,179900309276999.75,13354562835899.982,12471616532699.984,eggs
729,Sudan,15,46129722.49672538,10149000.000000035,75383727.30000018,122875475499000.28,9121431003300.02,8518361184900.02,eggs
148,Chad,16,6731080.6706517115,1153999.9999999995,4049039.8,6599934874000,489933815800,457541497400,eggs
332,Haiti,17,8462388.720214844,527999.9999999998,4584835.200000002,7473281376000.004,554765059200.0002,518086377600.0003,eggs
214,Dominican Republic,18,167817797.7390747,13682000.000000011,199833819.2000001,325729125296000.2,24179892123200.01,22581221569600.01,eggs
643,Russia,19,474209200.54904497,157905999.99999964,2492183026.200025,4062258332706041,301554146170203,281616681960602.8,eggs
044,The Bahamas,20,2282817.259765625,116000.00000000003,874906.8000000003,1426098084000.0002,105863722800.00002,98864468400.00003,eggs
238,United Kingdom,21,0,0,0,0,0,0,eggs
578,Norway,22,12214509.293034948,4593000.000000004,73116885.59999989,119180523527999.83,8847143157599.986,8262208072799.988,eggs
304,Denmark,23,0,0,0,0,0,0,eggs
260,France,24,0,0,0,0,0,0,eggs
626,East Timor,25,818451.5571899414,147999.9999999999,1452146.3999999992,2366998631999.9985,175709714399.9999,164092543199.99994,eggs
710,South Africa,26,161294401.51886797,48129000.00000002,593998492.2000039,968217542286006.4,71873817556200.47,67121829618600.445,eggs
426,Lesotho,27,430584.06552124023,273000,1397896.5000000014,2278571295000.002,169145476500.00015,157962304500.00015,eggs
484,Mexico,28,534400907.2343887,209443999.9999987,3015972655.6000133,4916035428628022,364932691327601.6,340804910082801.5,eggs
858,Uruguay,29,37385147.464434624,3093000.0000000014,58036124.1,94598882283000,7022371016100,6558082023300,eggs
076,Brazil,30,1324251482.8829038,252772000.00000057,3260632413.999995,5314830834819992,394536522093999.44,368451462781999.5,eggs
068,Bolivia,31,196559697.26770234,22295000.000000022,113987646.50000003,185799863795000.03,13792505226500.002,12880604054500.004,eggs
604,Peru,32,150515446.94910258,29326000.000000093,497527320.3999999,810969532251999.9,60200805768399.984,56220587205199.99,eggs
170,Colombia,33,149089271.38922372,62050000.00000003,982896819.999998,1602121816599996.8,118930515219999.77,111067340659999.78,eggs
591,Panama,34,23829404.46261382,3272999.9999999986,42814113.00000008,69787004190000.13,5180507673000.01,4837994769000.009,eggs
188,Costa Rica,35,24066240.60546112,3252000.000000001,75439895.99999999,122967030479999.98,9128227415999.998,8524708247999.999,eggs
558,Nicaragua,36,22960365.73751068,4719000.000000001,37393827.899999976,60951939476999.96,4524653175899.997,4225502552699.9976,eggs
340,Honduras,37,45332778.03363037,4500000.000000003,51600150.00000002,84108244500000.05,6243618150000.003,5830816950000.003,eggs
222,El Salvador,38,16446434.911636353,6666999.999999998,61250395.699999966,99838144990999.94,7411297879699.995,6921294714099.996,eggs
320,Guatemala,39,35994911.547042474,16949000.000000007,268170467.8000001,437117862514000.2,32448626603800.01,30303262861400.01,eggs
084,Belize,40,1616246.1390533447,561999.9999999994,2931167.1999999983,4777802535999.997,354671231199.9998,331221893599.9999,eggs
862,Venezuela,41,123194885.71995072,10537000.000000048,170825844.00000066,278446125720001.06,20669927124000.08,19303320372000.074,eggs
328,Guyana,42,22599809.25467682,641000.0000000016,3126349.2999999975,5095949358999.996,378288265299.9997,353277470899.9997,eggs
740,Suriname,43,4971328.734525174,874999.9999999988,3825325.000000005,6235279750000.009,462864325000.0006,432261725000.0006,eggs
250,France,44,245675271.38876894,62367999.99999981,0,0,0,0,eggs
218,Ecuador,45,159793028.90420055,9834999.999999957,168000486.50000006,273840792995000.1,20328058866500.004,18984054974500.008,eggs
630,United States of America,46,14634647.420341492,1138000,12134038.799999995,19778483243999.992,1468218694799.9995,1371146384399.9995,eggs
388,Jamaica,47,13432201.69921875,864000,11245219.2,18329707296000,1360671523200,1270709769600,eggs
192,Cuba,48,31489138.156777382,9756000.000000002,103702377.60000007,169034875488000.12,12547987689600.008,11718368668800.01,eggs
716,Zimbabwe,49,9544990.281998634,4496000.000000003,22401769.600000095,36514884448000.16,2710614121600.011,2531399964800.0107,eggs
072,Botswana,50,814258.881905172,666999.9999999992,3401700.0000000144,5544771000000.023,411605700000.0018,384392100000.00165,eggs
516,Namibia,51,4363797.338535428,851999.999999998,2703396.000000008,4406535480000.013,327110916000.001,305483748000.0009,eggs
686,Senegal,52,58568537.23434353,17298000.00000001,59551824.59999991,97069474097999.86,7205770776599.989,6729356179799.991,eggs
466,Mali,53,39182166.72549948,8294000.000000007,18717069.800000038,30508823774000.06,2264765445800.0044,2115028887400.0042,eggs
478,Mauritania,54,5012109.271631837,1735000.0000000014,5572472.999999996,9083130989999.994,674269232999.9995,629689448999.9996,eggs
204,Benin,55,18498679.237213135,14005000.000000004,13803328.000000004,22499424640000.004,1670202688000.0002,1559776064000.0005,eggs
562,Niger,56,18350961.87137413,3853000.0000000037,10583805.699999971,17251603290999.953,1280640489699.9963,1195970044099.9968,eggs
566,Nigeria,57,142122606.0917096,115677999.9999999,710829742.2000006,1158652479786001,86010398806200.08,80323760868600.08,eggs
120,Cameroon,58,51352022.85177094,13499999.999999996,93883049.9999999,153029371499999.8,11359849049999.986,10608784649999.988,eggs
768,Togo,59,27114660.774902344,3798000,21009016.8,34244697384000,2542091032800,2374018898400,eggs
288,Ghana,60,70908814.16012383,19365000,51528328.499999955,83991175454999.94,6234927748499.995,5822701120499.995,eggs
384,Ivory Coast,61,64864503.32965469,5499999.999999991,75090949.99999994,122398248499999.9,9086004949999.992,8485277349999.993,eggs
